11年10月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 2日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,すずらん賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａガッテンムサシ, 57,丸山元,, 51,* -5, -13, 5,  7.6,④⑤④, 1,12,Ｅサイカニア, 67,丸山元,, 66,*  1,   2, 2,  3.9, ③③, 1, 6,Ｃリｰサムハｰツ, 72,四位洋,, 78,* 21, -13, 2,  3.3, ①①, 1, 3,Ｊアラフネ, 55,吉田隼,, 77,* 12,  -4, 5, 12.9, ②②
 2,13,Ｅロｰドエストレｰラ, 48,四位洋, 0.3, 48,  -9,*-10, 3,  5.9,⑪⑫⑧, 2, 3,Ａキタサンハヤブサ, 72,三浦皇, 0.0, 66,*  2,   1, 1,  2.5, ②②, 2,12,Ａカリステジア, 78,丸山元, 0.3, 73,* 19, -16, 1,  2.3, ②②, 2, 4,Ｉジャｰエスペランサ, 56,三浦皇, 0.2, 71,   5,   0, 8, 21.4, ⑥④
 3,14,Ｍゾクゾク, 39,三浦皇, 0.3, 49,  -9,*-10, 7, 24.2,⑬⑪⑨, 3, 7,Ｊナガラダンディ, 57,川島信, 0.0, 65,  -4,   6, 9,108.0, ⑥⑦, 3,10,Ｊサクセスゴｰランド, 61,吉田隼, 0.4, 71,  17, -14,12, 95.6, ④③, 3,11,Ａエクセルシオｰル, 74,柴山雄, 0.2, 74,* 13,  -8, 2,  4.4, ①①
 4, 3,Ｆモネロ, 46,古川吉, 0.5, 46,  -7, -16,10, 50.5,⑦⑦⑤, 4, 8,Ｈデプラｰタ, 59,黛弘人, 0.0, 66,  -4,   6, 8, 63.1, ⑧⑤, 4, 5,Ｄヴィｰヴァサルｰテ, 70,藤岡佑, 0.4, 67,   8,  -6, 3,  4.5, ⑩⑩, 4,16,Ｈストレイトガｰル, 56,宮崎北, 0.4, 67,   2,*  1,14, 99.0, ⑫⑫
 5,10,Ｇケイツｰクロｰト, 46,丸田恭, 0.5, 45, -12,* -9, 6, 22.2,⑫⑭⑫, 5, 4,Ｂコスモセレクト, 68,柴山雄, 0.1, 63, -12,* 10, 6, 15.8, ⑩⑩, 5,14,Ｂヴィｰヴァブｰケ, 73,津村明, 0.5, 65,   4,* -2, 4, 12.1, ⑬⑬, 5,12,Ｂサドンストｰム, 68,勝浦正, 0.6, 64,   4,  -4, 1,  2.5, ⑨⑥
 6,12,Ｋマイネルシュハリ, 43,丹内祐, 0.7, 44,  -7, -18,12, 97.4,⑨⑧⑥, 6, 5,Ｆモリトブイコｰル, 66,吉田隼, 0.1, 64,  -9,*  8, 3,  4.8, ⑨⑨, 6, 2,Ｉマスタｰウィンド, 62,丸田恭, 0.5, 67,  12, -10,10, 61.8, ⑧⑤, 6,14,Ｍステルミナｰト, 52,服部茂, 0.7, 60,  -9,*  7, 4, 11.9, ⑯⑯
 7, 8,Ｊヤマニンプレッジ, 43,吉田隼, 0.7, 44,  -9, -15, 9, 30.8,⑩⑩⑪, 7,11,Ｋデステニｰアロｰ, 57,丹内祐, 0.5, 62, -12,   8,10,113.7, ⑪⑪, 7,16,Ｅヤマニンファンシｰ, 70,水口優, 0.6, 67,  15, -16, 8, 39.6, ⑥⑦, 7, 5,Ｅコスモアクセス, 58,津村明, 0.7, 66,* 11, -12, 6, 15.8, ③③
 8, 7,Ｃキボウダクリチャン, 51,服部茂, 0.9, 42,  -9, -16, 4,  7.1,⑧⑨⑩, 8,10,Ｇマイネルマサムネ, 66,津村明, 0.5, 60,   0,  -1, 5,  8.9, ④④, 8, 9,Ｋメジロソフィア, 60,黛弘人, 0.8, 62,   4,  -6, 6, 30.1, ⑫⑫, 8, 6,Ｋマイネルアダマス, 54,丹内祐, 0.8, 66,   9, -10,10, 50.1, ⑤⑤
