11年 3月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 3月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾘｰｼﾞｱ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄトウケイカガヤキ, 54,飯田祐,, 54,* -3,*  1, 4,  8.7, ②②, 1, 8,Ａゴｰズオン, 65,川須栄,, 62,   2,* -2, 2,  4.5,⑮⑩⑥, 1,12,Ｃスペシャルイモン, 77,川須栄,, 80,* 12,*  6, 2,  6.2,⑨③①, 1,10,Ｇサウンドバスタｰ, 64,太宰啓,, 80,   1,* 22,13, 41.0,⑥⑥④
 2, 7,Ａエｰシンパナギア, 68,中舘英, 0.2, 51,* -1,  -2, 1,  1.9, ①①, 2,12,Ｌイイデトウキョウ, 44,大野拓, 0.2, 61,*  6, -13,12, 60.4,②②①, 2,11,Ａジャストザシｰズン, 78,石橋脩, 0.0, 80,* 11,*  7, 1,  4.2,⑦②②, 2,15,Ａエｰシンミズｰリ, 76,中舘英, 0.0, 79,   4,  15, 1,  3.3,③③③
 3,14,Ｂクｰルグラン, 62,大野拓, 0.3, 49,* -4,* -1, 3,  8.3, ④③, 3,11,Ｃコスモディセント, 58,丹内祐, 0.3, 63,   2,* -3, 4,  6.9,⑭⑫⑬, 3, 6,Ｆオウシュウベスト, 72,勝浦正, 0.5, 78,  11,*  6, 4,  6.7,⑪⑤④, 3, 3,Ｄアイルトンバロｰズ, 68,勝浦正, 0.4, 74,  -2,* 20, 5,  8.8,⑪⑧⑦
 4,12,Ｇミスチフキッツ, 39,川須栄, 0.6, 47,  -6,  -1, 5, 13.7, ⑥⑥, 4, 6,Ｇダノンハロｰ, 52,中舘英, 0.4, 59,*  5, -14, 6,  9.4,⑨④③, 4, 3,Ｂセイカプレスト, 77,津村明, 0.8, 76,  10,   5, 6, 11.5,⑩⑧⑦, 4, 8,Ｍリリｰファイアｰ, 61,酒井学, 0.7, 70,   2,   8, 6, 14.6,④④⑤
 5, 3,Ｊミズｰラ, 29,的場勇, 0.8, 47,  -6,  -4, 8, 69.1, ③④, 5, 9,Ｉオｰビｰキング, 51,西村太, 0.4, 59,   0,* -1,13, 67.0,⑬⑯⑯, 5, 1,Ｋテラボルト, 63,武幸四, 0.9, 75,   9,   5, 8, 13.0,⑫⑨⑥, 5, 4,Ｈハｰキュリｰズ, 63,鮫島良, 0.7, 77,  -6,* 26, 4,  8.0,⑮⑮⑭
 6,13,Ｅアンジェラバロｰズ, 45,太宰啓, 1.1, 42,  -8,  -5,12,147.7, ⑦⑧, 6,13,Ｄウインルキア, 56,鮫島良, 0.6, 59,   1,  -7, 5,  9.1,⑫⑪⑫, 6,10,Ｈスマｰトファントム, 66,鮫島良, 1.2, 73,   8,*  5, 7, 12.2,⑭⑪⑨, 6,14,Ｎマイネルヴァルム, 58,丹内祐, 0.9, 68,*  8,  -6, 8, 23.3,①①①
 7, 4,Ｃヒカルマイガｰル, 60,伊藤工, 1.1, 42,  -7,  -6, 2,  3.2, ⑤⑤, 7, 2,Ｆマイネルリシェス, 53,嶋田純, 0.6, 56,   4, -13, 8, 35.2,④⑥④, 7,14,Ｎマルヘイサッカｰ, 56,田辺裕, 1.9, 68,  10,  -6,11, 39.7,⑥⑥⑤, 7,13,Ｂアバウト, 72,芹沢純, 1.2, 65,   2,   2, 3,  7.1,⑤⑤⑥
 8, 1,Ｆプリンセスモトヒメ, 40,勝浦正, 1.3, 40, -11,  -5, 7, 58.6, ⑧⑦, 8, 3,Ｈバｰガンディミック, 51,丸山元, 0.8, 54,   3, -13,14, 75.0,⑪⑨⑧, 8, 8,Ｊジュヌドラゴン, 63,田中博, 2.3, 68,   9,  -6,13, 47.3,⑧⑩⑪, 8, 1,Ｏチェリオス, 54,丸山元, 1.2, 61,*  6,  -8,12, 31.9,②②②
