11年 2月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄラブギャラクシｰ, 60,太宰啓,, 66,*  0,*  8, 3,  7.2,⑥④②,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2, 8,Ｃユウキマリアッチ, 60,酒井学, 0.6, 63,*  0,   0, 4,  7.3,⑤①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 3, 6,Ｆスペシャルピｰス, 55,丸山元, 1.4, 56,  -3,  -1, 6,  8.4,③⑥⑤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 4,13,Ｅテイエムオニキス, 56,大野拓, 1.6, 55,  -7,*  4, 7, 32.9,⑭⑪⑧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 5, 4,Ｈマギｰメイ, 50,野元昭, 2.3, 52,  -2,  -8,12,184.8,⑨⑦⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 6, 3,Ｊトｰホウエルザ, 42,藤岡康, 2.3, 51,  -5,  -5,11,102.9,⑩⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 7,10,Ｋシゲルシュカン, 41,飯田祐, 2.5, 51,  -4,  -6,14,251.7,⑧⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 8,14,Ｂヒラボクウィン, 60,川須栄, 2.7, 48,* -1, -16, 1,  3.0,②②③,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 9,12,Ｎドゥルキス, 31,安藤光, 2.8, 47,  -7,  -6,13,233.7,⑫⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10, 7,Ａレッドシルフィア, 61,浜中俊, 3.2, 44,* -1, -20, 5,  7.5,④③④,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11, 5,Ｉスズカバンパイア, 45,高倉稜, 3.4, 42,  -9,  -9, 8, 45.1,⑪⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, 9,Ｍテイエムオジャンセ, 31,芹沢純, 3.5, 43,  -5, -14,10, 94.0,⑬⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, 1,Ｌヤマノアサカゼ, 37,松山弘, 3.8, 42,  -1, -23, 9, 53.2,①⑤⑦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, 2,Ｇミススパイダｰ, 51,岩部純, 5.7, 29, -10, -25, 2,  3.4,⑦⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"単勝:720円 複勝:11=210円 08=240円 06=230円 枠連:1,510円",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"馬連:2,650円 ワイド:08-11=860円 06-11=720円 06-08=940円",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
