11年12月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月11日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,筑前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａラブリｰアリュｰル, 62,川須栄,, 53, -11,* 13, 1,  2.4,③⑤④, 1, 5,Ｋレインボｰロｰズ, 61,小牧太,, 67,*  7,   5, 2,  4.1,②②①, 1,10,Ａスピルオｰバｰ, 78,渡辺薫,, 72,   3,* 16, 1,  2.4,⑥⑤④, 1, 9,Ｉシルヴァｰノ, 66,丸田恭,, 77,   4,* 10, 7, 20.9,⑥⑦⑤
 2, 2,Ｅエｰシンフルハウス, 46,松山弘, 0.2, 49,* -9,   8, 2,  3.0,①①①, 2, 2,Ｆシナル, 65,伊藤工, 0.1, 68,   3,*  9, 3,  5.2,⑥⑨⑥, 2, 3,Ｆファイアアロｰ, 69,川須栄, 0.0, 72,*  5,  14, 3,  8.3,②②②, 2,13,Ｃジャニアリシックス, 76,小牧太, 0.0, 77,*  6,*  7, 1,  3.6,⑫⑤①
 3, 8,Ｆダｰクアイリス, 42,松田大, 0.2, 50,*-10,   8, 3,  6.8,②②②, 3, 1,Ａグジョウハチマン, 71,杉原誠, 0.3, 67,   1,* 12, 7, 15.1,⑭⑮⑫, 3,12,Ｃシｰズガレット, 71,藤懸貴, 0.1, 69,   2,* 19, 6, 18.1,⑬⑫⑨, 3,11,Ｈソｰルデスタン, 66,黛弘人, 0.4, 74,   3,*  6, 6, 18.9,⑪⑪⑦
 4, 9,Ｃソロデビュｰ, 52,上村洋, 0.6, 47, -11,   7, 4,  7.0,④④⑤, 4,12,Ｅホワイトジュエル, 66,二本柳, 0.4, 66,   3,* 10, 6, 13.2,⑯⑭⑬, 4, 7,Ｂケイアイプログレス, 77,勝浦正, 0.2, 69,*  4,  14, 2,  2.5,④③③, 4, 7,Ａアドマイヤコリン, 77,上村洋, 0.5, 73,*  6,   0, 2,  4.0,③③④
 5,10,Ｂダンツレアリティ, 61,丸田恭, 0.8, 44,*-10,   3, 5,  7.5,⑩③③, 5, 6,Ｇチェルカトロｰバ, 64,柴山雄, 0.4, 64,   3,*  9, 9, 19.9,⑩⑪⑨, 5, 1,Ｅディレクシオン, 69,丸田恭, 0.3, 69,   4,  14, 5, 16.1,③④⑤, 5, 4,Ｆキングウェｰルズ, 73,松山弘, 0.7, 72,   3,   4, 8, 23.9,⑧⑨⑩
 6, 3,Ｊミスバレイ, 26,伊藤工, 2.0, 38, -13,  -1, 6, 46.9,⑥⑦⑥, 6,14,Ｄアソルｰタ, 66,大野拓, 0.6, 63,*  6,   2, 1,  3.8,⑨④④, 6, 2,Ｌゴｰルドスマイル, 64,杉原誠, 0.6, 66,*  5,   8, 9, 40.9,①①①, 6, 8,Ｇショウナンカライス, 67,勝浦正, 0.8, 67,   4,  -4,10, 31.0,⑤④⑥
 7, 6,Ｉモリトリジョイス, 28,横山和, 2.5, 34, -14,  -3, 7, 48.8,⑨⑨⑨, 7, 7,Ｐクリスタルクｰル, 38,鮫島良, 0.6, 67,   6,   3, 8, 16.7,④⑤③, 7, 8,Ｈラシアンウッズ, 67,江田照, 0.6, 68,   3,  14,11,148.4,⑩⑪⑦, 7,12,Ｂキイレ, 76,荻野琢, 0.9, 67,   1,   5,14,135.8,⑭⑭⑬
 8, 4,Ｇラインミッシェル, 35,森一馬, 2.5, 34, -14,  -4, 8, 58.2,⑦⑧⑧, 8,13,Ｃバイブレイションズ, 68,江田照, 0.6, 64,   5,   3, 4, 11.6,⑦⑦⑤, 8,11,Ｇエｰシンマギｰ, 68,中舘英, 0.6, 68,   3,  13,12,150.9,⑧⑦⑧, 8, 5,Ｋピｰスフルアｰス, 64,太宰啓, 0.9, 66,*  6,  -6, 5, 13.0,②②③
 9, 7,Ｈリネンサクラ, 33,太宰啓, 3.9, 24, -15, -13,10,118.7,⑧⑩⑩, 9,15,Ｂピノブラン, 70,松山弘, 1.5, 57,*  6,  -6,10, 21.1,⑤③⑦, 9, 5,Ｋティアップゼウス, 65,大野拓, 0.7, 67,   4,  11,10,113.1,⑤⑥⑥, 9, 1,Ｄサンライズスカイ, 76,川須栄, 1.0, 70,   1,   4, 4,  5.0,⑬⑬⑫
10, 5,Ｄシゲルスモモ, 51,水口優,32.3,32.3---, -11, ---, 9, 63.7,⑤⑥⑦,10,11,Ｊダイシンベｰル, 62,川須栄, 1.7, 56,   4,  -6,13, 41.5,⑬⑧⑧,10, 6,Ｉイキナヤツ, 67,柴山雄, 1.6, 60,   1,   9, 8, 39.9,⑪⑬⑫,10, 2,Ｅガリレオバロｰズ, 76,中舘英, 1.4, 63,*  6, -15, 3,  4.9,①①②
,,,,,,,,,,,,11, 9,Ｍメイショウフロリナ, 59,菅原隆, 1.8, 57,   1,   0,16,340.9,⑮⑯⑭,11, 4,Ｍウィズインカチドキ, 63,森一馬, 1.8, 59,   3,   3,13,319.5,⑦⑩⑪,11, 3,Ｊマイネルドルチェ, 66,丹内祐, 1.5, 62,   5, -12, 9, 29.5,④⑥⑧
,,,,,,,,,,,,12,10,Ｉトｰホウガｰデン, 63,太宰啓, 2.0, 53,   4,  -8,12, 40.8,③⑥⑩,12,13,Ｄスリｰプレシャス, 70,西田雄, 2.2, 55,   3,  -1, 4, 14.0,⑨⑧⑩,12, 6,Ｌクリアキｰ, 62,伊藤工, 1.5, 62,   3,  -9,13,103.4,⑦⑧⑪
,,,,,,,,,,,,13,16,Ｈファｰマレッド, 63,宮崎北, 2.0, 53,   4,  -6,11, 31.9,⑪⑩⑪,13, 9,Ｊラインレグルス, 66,小牧太, 2.3, 54,   3,  -2, 7, 24.3,⑫⑨⑬,13,14,Ｎミススパイダｰ, 58,江田照, 2.0, 58,   3, -16,11, 80.3,⑩⑩⑨
,,,,,,,,,,,,14, 8,Ｌブルｰエンジェル, 60,西村太, 2.1, 53,   2,  -5,15,224.2,⑫⑬⑯,,,,,,,,,,,,,14,10,Ｍグランクロワ, 59,鮫島良, 2.3, 55,   2, -17,12, 93.7,⑨⑫⑭
,,,,,,,,,,,,15, 3,Ｏスナｰクサｰクル, 49,松田大, 2.1, 54,   3,  -6,14, 99.3,⑧⑫⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 4,Ｎゴｰルドエンジュ, 58,丸田恭, 2.7, 47,*  7, -18, 5, 13.2,①①②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:3),,,,,,,,,,,
単勝:240円 複勝:01=110円 02=120円 08=190円 枠連:250円,,,,,,,,,,,,単勝:410円 複勝:05=170円 02=230円 01=440円 枠連:720円,,,,,,,,,,,,"単勝:240円 複勝:10=140円 03=220円 12=320円 枠連:1,040円",,,,,,,,,,,,"単勝:2,090円 複勝:09=530円 13=180円 11=370円 枠連:3,910円",,,,,,,,,,,
馬連:240円 ワイド:01-02=140円 01-08=380円 02-08=450円,,,,,,,,,,,,"馬連:1,160円 ワイド:02-05=490円 01-05=1,390円 01-02=1,490円",,,,,,,,,,,,"馬連:1,330円 ワイド:03-10=570円 10-12=760円 03-12=1,440円",,,,,,,,,,,,"馬連:4,590円 ワイド:09-13=1,310円 09-11=4,360円 11-13=960円",,,,,,,,,,,
"馬単:480円 3連複:850円 3連単:2,710円",,,,,,,,,,,,"馬単:1,710円 3連複:5,950円 3連単:24,500円",,,,,,,,,,,,"馬単:1,900円 3連複:4,560円 3連単:13,320円",,,,,,,,,,,,"馬単:11,590円 3連複:22,840円 3連単:159,280円",,,,,,,,,,,
■ 2R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,柳川特別,,,,,,,,,,
