11年11月20日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月20日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飛翼特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂペパｰミントラヴ, 74,丸田恭,, 75,   0,* 19, 3,  7.1,⑫⑬⑬, 1,11,Ｄロｰレルエナジｰ, 55,吉田隼,, 53,   3,  -4, 4,  8.3, ⑤⑤, 1, 9,Ｋエパティック, 69,浜中俊,, 71,   2,* -1, 1,  3.3, ⑥⑩, 1, 9,Ｃアポロノカンザシ, 76,村田一,, 83,* 10,   8, 3,  7.4,   
 2,12,Ａメｰデイア, 82,川須栄, 0.0, 75,   2,* 16, 1,  1.9,③⑥⑥, 2,17,Ｉハナズルナピエナ, 53,川須栄, 0.1, 52,  -2,*  3, 3,  5.8, ⑬⑭, 2,14,Ｇオメガブルｰハワイ, 72,上村洋, 0.3, 69,   3,* -4, 5, 13.8, ⑬⑪, 2,14,Ｂスマｰトムｰビｰ, 77,松山弘, 0.0, 83,*  7,*  9, 1,  3.2,   
 3,13,Ｆセニョリｰタ, 71,丸山元, 0.1, 73,*  4,  11, 5, 15.5,④②②, 3,13,Ｒウインオｰラム, 21,佐藤哲, 0.1, 51,  -1,*  0, 5,  9.5, ⑪⑪, 3,15,Ｂインダクティ, 76,丸田恭, 0.3, 68,*  5,  -7,11, 28.0, ⑤⑤, 3,17,Ｉロｰブドヴルｰル, 71,西田雄, 0.1, 81,   2,* 12, 5, 15.8,   
 4, 6,Ｄアドマイヤインディ, 73,浜中俊, 0.9, 69,   3,   7, 6, 18.5,⑥⑤④, 4,14,Ｆシゲルササグリ, 54,丸山元, 0.1, 49,  -4,*  4, 1,  4.3, ⑭⑬, 4, 6,Ｍコスモヴェント, 67,木幡初, 0.3, 67,   2,* -4,15, 69.5, ⑫⑬, 4,18,Ｇスイｰトライラ, 73,勝浦正, 0.2, 78,  -2,* 13, 4,  7.9,   
 5, 1,Ｃマイネフェリックス, 73,丹内祐, 1.0, 69,   0,  10, 2,  4.3,⑦⑨⑨, 5, 9,Ｈシュンマリ, 53,浜中俊, 0.2, 51,   1,  -4, 7, 10.8, ⑧⑦, 5, 4,Ｉトｰセンジャガｰ, 70,西田雄, 0.4, 67,   0,* -1, 8, 21.8, ⑭⑭, 5, 7,Ａキッズチェイサｰ, 80,丸山元, 0.3, 78,*  7,   5, 2,  3.9,   
 6, 5,Ｈネオジェイズレｰヌ, 69,藤懸貴, 1.1, 68,   0,  10,13,152.9,⑪⑪⑪, 6, 3,Ｑシゲルポンカン, 26,黛弘人, 0.3, 50,*  4,  -9,14,101.2, ③③, 6, 5,Ｌママキジャ, 68,嘉藤貴, 0.5, 66,   3,  -8,18,108.7, ⑨⑨, 6,10,Ｄビラゴｰティアラ, 75,水口優, 0.4, 77,   3,   7, 8, 22.0,   
 7,15,Ｉヴィッテリア, 68,平野優, 1.4, 69,  -1,  11,11,107.2,⑮⑮⑮, 7, 8,Ｊスマｰトブリｰザ, 52,小島太, 0.3, 50,*  5, -10, 9, 22.4, ②②, 7, 7,Ｃウエスタンディオ, 75,勝浦正, 0.7, 63,   0,  -5, 3,  8.1, ⑯⑰, 7, 6,Ｑエｰシンジェイワン, 64,吉田隼, 0.6, 73,  -3,   7, 9, 24.2,   
 8,10,Ｇクリノソｰニャ, 69,杉原誠, 1.4, 66,   0,   7,15,219.6,⑨⑫⑫, 8, 6,Ｇウインクルチャチャ, 53,木幡初, 0.3, 49,   3,  -8, 6, 10.5, ④④, 8,13,Ｅベストアンサｰ, 72,藤岡佑, 0.7, 65,*  4, -12, 6, 15.7, ⑩⑦, 8,13,Ｋシシャモチャン, 70,小林徹, 0.6, 73,   2,   5, 7, 18.7,   
