11年 7月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月 9日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2880m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,印旛沼特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｆロックドクトリン, 59,武士沢,, 67,  -7,* 10, 1,  3.0, ⑨⑧, 1, 4, ボストンプラチナ,,草野太,,,,, 2,  3.8,⑦④②, 1, 3, ゴｰハンティング,---,田中勝,, 71,   1,*  5, 3,  6.4,⑨⑨⑧, 1,13,Ａトウショウフォアゴ, 78,後藤浩,, 74,  -1,*  7, 1,  2.9, ⑩⑨
 2, 2,Ｃフロｰラルホｰル, 60,小林淳, 0.0, 68,  -1,*  4, 2,  3.9, ④④, 2, 9, ショウナンサミット,,大庭和,194.5,,,, 4, 10.7,①①①, 2, 5,Ｂクイｰンオリｰブ, 61,大野拓, 0.0, 72,*  9,  -9, 2,  5.9,①①①, 2,14,Ｄショウナンスマイル, 71,柴田善, 0.0, 75,   3,   3, 7, 19.6, ⑧⑦
 3, 6,Ａサトノヴィクトリア, 62,平野優, 0.3, 64,*  2,  -1, 4,  6.4, ①①, 3, 3, クリスタルウイング,,五十嵐,194.6,,,, 1,  1.9,④⑤③, 3,15,Ｄアップルジャック, 57,北村宏, 0.6, 64,   5, -11, 4,  7.5,⑥⑥⑥, 3, 3,Ｃハノハノ, 72,田中勝, 0.1, 73,   3,   2, 3,  4.6, ⑤④
 4,15,Ｊクロｰズホｰルド, 51,松岡正, 0.6, 62,  -4,   2, 8, 20.5, ⑦⑥, 4,13, メジロクリントン,,大江原,195.5,,,, 3,  7.8,⑧⑥⑤, 4,11,Ａマイネロｰレライ, 62,松岡正, 0.6, 65,   6, -12, 1,  2.2,⑤⑤⑤, 4,10,Ｊウィルパワｰ, 66,松岡正, 0.4, 71,*  6,  -5, 2,  4.1, ②②
 5, 9,Ｂスナン, 60,田中勝, 1.3, 56,*  1,  -9, 5, 12.1, ③③, 5, 8, ディアユウキ,,石神深,195.9,,,, 7, 25.3,⑤⑦⑦, 5, 2,Ｈサトノオリオン, 50,田面木, 0.7, 64,   4,  -9,13,268.7,⑧⑦⑦, 5,11,Ｅケイバズキ, 70,北村宏, 0.5, 67,  -6,*  6, 6, 17.7, ⑫⑪
 6, 5,Ｄユキノヴィｰナス, 60,田辺裕, 1.4, 55,*  1, -10, 7, 17.7, ②②, 6,12, コブラボｰル,,金子光,196.1,,,,11,119.2,⑪⑩⑨, 6,14,Ｇマリブビｰチ, 53,田辺裕, 0.9, 58,*  8, -20, 9, 35.1,③③②, 6, 5,Ｂボンジュｰルメロン, 74,村田一, 0.6, 63, -10,*  8, 5, 10.7, ⑮⑫
 7,12,Ｉゴｰルドキリｰ, 52,西田雄, 1.4, 56,  -6,  -2,15,543.2, ⑩⑨, 7, 7, スズカケノミチ,,高野和,196.4,,,,14,220.0,⑩⑧⑥, 7, 4,Ｅユキノアイオロス, 56,後藤浩, 0.9, 61,   2, -11, 5,  7.6,⑩⑧⑨, 7, 4,Ｍアスタｰヒュｰモア, 58,中舘英, 0.8, 66,*  7, -12,10, 49.8, ①①
 8,10, レザンメルヴェイユ,---,高橋智, 1.4, 55, -12,   2, 9, 50.3, ⑫⑫, 8, 2, ブルｰデイズ,,山本康,196.4,,,, 9, 89.9,⑫⑪⑩, 8,12,Ｆミススパイダｰ, 54,柴田善, 1.7, 53,   1, -18, 6, 13.9,⑦⑩⑪, 8, 8,Ｋコスモティカル, 63,中谷雄, 0.9, 63,   3,  -9,13,178.6, ⑦⑤
