11年12月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,つわぶき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂディアサルｰテ, 57,吉田隼,, 60,* -4,*  4, 1,  3.3, ②②, 1,12,Ａクリスワｰルド, 71,野元昭,, 70,* -2,*  8, 4,  5.8, ①①, 1,14,Ｇメイショウサバト, 70,松田大,, 72,   2,   3, 2,  4.5, ⑦⑧, 1, 2,Ａシゲルアセロラ, 74,勝浦正,, 71,*  4,   5, 1,  2.5, ①①
 2, 5,Ｃシゲルライム, 57,川島信, 0.4, 55,  -7,   2, 7, 17.1, ③③, 2,13,Ｅシゲルシゲザネ, 70,松田大, 0.1, 69,* -4,*  9, 3,  5.3, ②②, 2,13,Ｄスギノブロッサム, 72,松山弘, 0.2, 68,  -5,*  8, 9, 25.2, ⑮⑰, 2,10,Ｅボストンサクラ, 62,大野拓, 0.5, 66,  -8,* 11, 4,  7.2, ⑩⑩
 3, 1,Ｄハクユウリリｰ, 55,中舘英, 0.8, 52,* -2,  -6, 3,  5.9, ①①, 3, 6,Ｂジャベリン, 71,国分優, 0.4, 65,  -7,   7, 1,  3.4, ③③, 3,12,Ｃアイムヒアｰ, 72,川島信, 0.2, 71,   4,  -1, 4,  7.2, ⑥⑤, 3,17,Ｉアイラブリリ, 58,酒井学, 0.6, 64,  -1,   3, 5, 10.9, ⑥⑤
 4,13,Ｎドラゴンエッグ, 36,村田一, 1.0, 47,  -9,  -3, 4,  7.6, ⑧⑧, 4, 9,Ｊスズカロジック, 66,上村洋, 0.7, 62,  -7,   5, 5, 11.4, ④④, 4, 5,Ｈテングジョウ, 67,宮崎北, 0.3, 66,  -4,*  5,12, 47.6, ⑭⑪, 4,12,Ｊシゲルシバグリ, 57,柴山雄, 0.7, 62,  -4,   4,12, 90.2, ⑧⑧
 5, 8,Ｇクロト, 40,横山和, 1.2, 44, -30,*  8,11, 81.8, ⑭⑭, 5,10,Ｋライブリリュウショ, 65,水口優, 0.9, 59, -16,*  9,13,107.8, ⑭⑫, 5, 2,Ｏヘイハチプリンセス, 61,柴山雄, 0.3, 67,  -4,*  6,14,132.8, ⑬⑩, 5, 3,Ｂオレニホレルナヨ, 67,古川吉, 0.7, 62,  -3,   3, 2,  6.4, ⑤⑥
 6, 9,Ｈフミノリバティ, 39,国分優, 1.3, 45,  -7,  -7, 6, 12.3, ⑤⑤, 6, 2,Ｆメロｰクｰミス, 69,宮崎北, 1.0, 58, -12,   6,11, 65.4, ⑦⑥, 6, 6,Ｅマルセイユシチｰ, 71,西村太, 0.4, 67,   4,  -4, 3,  5.1, ⑤②, 6, 4,Ｃアグネスハビット, 65,中舘英, 0.9, 61,*  0,  -2, 3,  6.6, ④③
 7, 7,Ｆムジャウハラｰト, 47,黛弘人, 1.3, 44, -16,  -2,10, 48.1, ⑫⑬, 7, 5,Ｌシンボリマルセイユ, 64,西田雄, 1.0, 58, -18,*  9, 8, 26.3, ⑬⑭, 7, 9,Ｆヤマニンファンシｰ, 71,伊藤工, 0.4, 66,   1,  -1,11, 34.4, ⑩⑨, 7,15,Ｄカノヤミノリ, 63,西田雄, 1.2, 56,*  1,  -7, 9, 19.1, ②④
 8,11,Ｍベネノチョｰジョ, 36,松田大, 1.4, 44,  -9,  -7,13,128.4, ⑦⑦, 8, 7,Ｃゴｰルドオリｰブ, 71,勝浦正, 1.0, 59,  -8,   3, 2,  4.0, ⑤⑤, 8, 4,Ｋエナジｰハｰト, 64,勝浦正, 0.5, 65,   1,  -2,10, 27.0, ⑨⑦, 8, 1,Ｈサチノポピｰ, 58,川島信, 1.3, 56,*  0,  -8, 6, 15.3, ③②
 9, 2,Ｅロンググラティア, 48,森一馬, 1.5, 42, -10,  -7, 8, 29.0, ⑥⑥, 9, 4,Ｍゼニスパワｰ, 62,鮫島良, 1.1, 59, -10,   4, 9, 61.4, ⑧⑨, 9,18,Ｌシルクアイリス, 61,吉田隼, 0.6, 63,  -2,  -1, 8, 21.0, ⑫⑬, 9,18,Ｏリョウラン, 51,宮崎北, 1.3, 55, -20,* 12,15,201.6, ⑯⑯
10,10,Ｉワンダｰアイ, 37,杉原誠, 1.8, 38, -23,  -1,14,234.9, ⑬⑫,10,14,Ｉナスザン, 66,大野拓, 1.1, 57, -13,   6,12, 81.0, ⑫⑩,10,11,Ｍトｰホウカクテル, 61,古川吉, 0.7, 61,  -8,*  4,15,141.8, ⑰⑯,10,16,Ｆシゲルオレンジ, 61,吉田隼, 1.4, 54,  -6,  -4, 8, 18.0, ⑨⑨
11,14,Ａキボウノハナ, 64,野元昭, 1.8, 39, -12,  -9, 2,  3.4, ⑨⑩,11, 8,Ｄルｰジュアルダン, 70,川須栄, 1.3, 57,  -8,   0, 7, 13.6, ⑥⑦,11, 3,Ｂカリステジア, 72,中舘英, 0.8, 64,*  9, -14, 1,  4.5, ①①,11, 9,Ｋレｰザｰインパクト, 55,松山弘, 1.4, 54, -12,   3,11, 55.1, ⑬⑬
