11年 2月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  ダ1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,橿原ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａマッキンリｰ, 61,和田竜,, 67,*  6,  -3, 1,  1.7, ①①, 1, 6, アペリティフ,,今村康,,,,, 8, 26.9,①①①, 1,13,Ａマックスドリｰム, 79,デムｰ,, 80,*  1,   8, 2,  3.5, ③②, 1, 4,Ｇトｰホウチェイサｰ, 82,和田竜,, 86,   9,  12, 2,  4.3, ⑤⑤
 2, 4,Ｄトルベジｰノ, 56,高倉稜, 0.0, 65,*  5,* -1, 5, 12.5, ③④, 2,11, オｰプンセサミ,,中村将,197.7,,,, 2,  3.4,⑦⑦②, 2,16,Ｋコスモサイキック, 70,幸英明, 0.1, 80,*  3,   5, 9, 25.7, ①①, 2,16,Ｂナムラカクレイ, 87,デムｰ, 0.1, 83,   2,* 18, 3,  5.9, ⑫⑨
 3, 6,Ｃニシオドリｰム, 57,高橋亮, 0.4, 62,*  4,  -5, 2,  4.3, ②②, 3, 2, ジェンティリティｰ,,林満明,198.5,,,, 1,  2.9,③⑥⑦, 3, 7,Ｍヒルトップシｰン, 68,藤田伸, 0.3, 79,   0,   7,11, 74.3, ②④, 3,15,Ｎネオフリｰダム, 80,国分恭, 0.1, 86,* 12,   7, 7, 29.7, ②②
 4, 2,Ｇファイアアロｰ, 53,吉田稔, 0.4, 59,  -3,*  4, 3,  9.4, ⑩⑨, 4,14, ツルマルビビッド,,南井大,198.6,,,, 7, 20.6,⑪⑧⑧, 4, 1,Ｊサクラエクスプロｰ, 71,岩田康, 0.5, 79,  -3,   8, 5, 10.0, ⑦⑦, 4, 8,Ｌアナモリ, 81,川田将, 0.2, 85,  -1,* 20, 4,  7.7, ⑬⑬
 5,11,Ｈカネトシファイタｰ, 53,岩田康, 0.9, 57,  -1,  -4, 6, 20.1, ⑨⑧, 5, 4, ソリッドラヴ,,植野貴,198.8,,,, 4,  8.6,⑧⑤⑤, 5, 5,Ｅランリョウオｰ, 72,藤岡佑, 0.5, 83,  -9,* 20, 3,  5.2, ⑯⑯, 5,10,Ｉエｰシンリｰドオｰ, 82,福永祐, 0.4, 82,* 11,   7, 5,  9.2, ④③
 6, 9,Ｌキンシゴｰルド, 39,池添謙, 1.4, 49,  -8,* -1, 8,111.0, ⑫⑬, 6, 9, コアレススキャン,,佐久間,199.1,,,, 5,  8.9,⑤③③, 6,12,Ｂヤマカツゴｰルド, 76,池添謙, 0.5, 78,  -3,  10, 6, 16.7, ⑨⑨, 6,14,Ｍドスライス, 80,岩田康, 0.6, 81,   8,   7, 6, 11.7, ⑥⑥
 7,15,Ｊバトルルノン, 49,上野翔, 1.7, 49,  -8,  -2,15,441.4, ⑬⑫, 7,12, ラブイズモネ,,岩崎祐,199.4,,,, 9, 38.5,⑨⑪⑪, 7, 9,Ｇファミリズム, 71,川田将, 0.8, 75,  -5,   8, 7, 20.0, ⑪⑪, 7,13,Ｆスマｰトブレｰド, 83,幸英明, 0.7, 79,   1,  14,11, 76.1, ⑪⑫
 8,13,Ｅアサケムサシ, 56,丸野勝, 1.7, 49,   1, -13,10,138.3, ⑥⑦, 8,13, クリノイマジン,,金子光,199.5,,,,14,228.3,⑥⑩⑩, 8,15,Ｌドリｰムヒｰロｰ, 68,高倉稜, 0.8, 72,  -1,   2,12, 98.1, ⑥⑥, 8, 5,Ｈダノンアスカ, 82,渡辺薫, 0.8, 78,  -6,* 19, 8, 32.2, ⑮⑮
