11年 5月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月 7日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ2100m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,丹沢ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａグジョウハチマン, 61,北村宏,, 58,* -1,* -2, 5,  6.1, ③③, 1, 6, マジェスティバイオ,,柴田大,,,,, 2,  3.4,⑨④②, 1,13,Ｃコスモマクスウェル, 69,松岡正,, 70,  -5,   3, 4,  5.9, ⑩⑥, 1, 4,Ｂフリソ, 88,三浦皇,, 86,  18,*  2, 2,  5.4,⑩⑪⑨
 2,11,Ｃアドマイヤアジナ, 58,田中勝, 0.2, 56,* -1,* -5, 3,  4.8, ①①, 2, 5, スイｰトバイカル,,蓑島靖,207.0,,,,10, 75.0,①①①, 2, 6,Ｄアルマトゥｰラ, 68,内田博, 0.1, 71,  -7,*  6, 3,  5.3, ⑧⑩, 2,14,Ｎドットコム, 75,蛯名正, 0.1, 85,  17,*  3,13, 69.9,⑪⑩⑩
 3,10,Ｂトｰセンティアラ, 61,横山典, 0.5, 55,  -2,* -5, 1,  3.2, ④④, 3,13, トリビュｰトソング,,五十嵐,208.3,,,, 1,  2.0,⑤⑤⑤, 3,16,Ｅシンボリカｰジナル, 67,吉田隼, 0.1, 70,  -8,*  7, 8, 40.4, ⑬⑬, 3, 2,Ｄサイモントルナｰレ, 86,北村宏, 0.2, 85,* 19,  -4,11, 53.1,③③②
 4, 6,Ｉラブロジック, 45,ウィリ, 0.8, 54,  -3,  -7, 9, 90.5, ⑤⑤, 4,14, イｰジｰウイン,,横山義,208.5,,,, 9, 55.3,⑥⑦⑦, 4,10,Ｂカネトシスラｰヴァ, 72,ウィリ, 0.1, 67,  -7,   4, 5,  8.2, ⑨⑨, 4,16,Ｋエジソン, 83,横山典, 0.5, 82,  16,*  2, 7, 21.6,⑫⑬⑬
 5, 4,Ｌレピドライト, 32,大庭和, 1.1, 51,  -5,  -7,10, 96.8, ⑨⑧, 5, 3, マンドリｰカ,,草野太,208.6,,,, 6, 37.0,④③④, 5, 5,Ａシャイニｰデザｰト, 74,蛯名正, 0.2, 69, -10,*  7, 2,  4.7, ⑯⑭, 5, 1,Ｃマエストラｰレ, 87,柴田善, 0.5, 83,  17,   0, 8, 29.9,⑭⑫⑫
 6, 1,Ｅプレシャスマリン, 53,後藤浩, 1.2, 49,  -7,* -5, 8, 34.9, ⑭⑭, 6, 4, ロｰレルリラ,,金子光,210.4,,,,12,161.4,③⑥⑥, 6, 1,Ｋプレタポルテ, 60,横山典, 0.3, 65,  -4,  -3, 1,  3.2, ③③, 6,13,Ｇエナｰジバイオ, 85,大庭和, 0.7, 82,  15,*  2,14, 70.7,⑯⑯⑮
 7,12,Ｍベルモントタッチ, 26,吉田隼, 1.3, 50,* -2, -14,14,281.9, ②②, 7, 2, ブルｰデザフィｰオ,,大庭和,211.0,,,,11, 90.4,⑦⑧⑨, 7, 4,Ｈリッツィｰスタｰ, 65,後藤浩, 0.3, 66,  -7,   1, 7, 17.1, ⑤⑦, 7, 3,Ｈトウショウゲｰム, 85,田中勝, 0.7, 80,* 20, -11, 5, 14.3,①①①
 8, 2, ツクバクリコ,---,蛯名正, 1.5, 47,  -5, -10, 4,  5.7, ⑩⑨, 8,10, ドリｰムガｰデン,,高野和,211.2,,,,14,243.8,⑩⑩⑩, 8,15,Ｊヤマニンアストレア, 61,ピンナ, 0.5, 61,* -2,  -9, 6, 13.4, ②②, 8, 9,Ｆヒラボクビジン, 85,後藤浩, 0.7, 81,  16,  -1, 9, 42.7,⑬⑭⑭
