11年 1月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,頌春賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 7,Ｉバシマイシン, 48,菅原隆, 1.1, 45,   0,  -8,16,268.8, ⑪⑪,12, 6, ベイビｰブルｰアイ,---,小林淳, 1.8, 39,  -7, -15,15,209.3, ⑩⑫,12, 5,Ｇナンヨｰクイｰン, 67,石橋脩, 3.2, 50,*  3, -22, 8, 13.1,①①①,,,,,,,,,,,,
13, 9,Ｐカワキタハｰツ, 34,武士沢, 1.4, 39,  -2,  -9,15,240.1, ⑭⑭,13, 2, イｰグルフォンテン,---,丸山元, 1.9, 40,   1, -24, 5,  7.4, ⑤⑤,13, 1,Ｍスプリングモナ, 55,小林淳, 4.8, 41,  -3, -24,14,342.8,⑪⑬⑬,,,,,,,,,,,,
14,12,Ｄコパノサチオｰ, 56,大庭和, 1.5, 39, -13,*  1, 8, 39.3, ⑯⑯,14,16, レッドアンジェリカ,---,横山典, 3.9, -1, -41,* -2, 2,  4.4, ⑮⑮,14, 7,Ｎツルマルミホ, 44,武士沢, 5.4, 34,  -4, -27,11,149.9,⑭⑭⑭,,,,,,,,,,,,
15,13,Ｆダイワロック, 50,後藤浩, 1.9, 39,   6, -20,12, 74.1, ⑤⑤,15,12, ノアフィｰルド,---,大野拓, 4.1, -4, -42,* -3,12, 83.0, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
16, 1,Ｍバンキｰナ, 42,勝浦正, 3.4, 29,*  8, -35,13,128.5, ①②,16, 1, ミルキｰマム,---,菅原隆, 4.3,  9, -16, -29,16,214.3, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,
"単勝:180円 複勝:04=120円 10=600円 08=2,410円 枠連:3,990円",,,,,,,,,,,,"単勝:1,940円 複勝:15=590円 14=1,350円 10=470円 枠連:3,520円",,,,,,,,,,,,単勝:300円 複勝:14=150円 10=200円 04=260円 枠連:560円,,,,,,,,,,,,単勝:230円 複勝:04=120円 05=170円 02=240円 枠連:600円,,,,,,,,,,,
"馬連:4,740円 ワイド:04-10=1,370円 04-08=4,120円 08-10=35,120円",,,,,,,,,,,,"馬連:33,000円 ワイド:14-15=7,540円 10-15=3,360円 10-14=6,150円",,,,,,,,,,,,馬連:860円 ワイド:10-14=400円 04-14=640円 04-10=870円,,,,,,,,,,,,馬連:630円 ワイド:04-05=240円 02-04=410円 02-05=730円,,,,,,,,,,,
"馬単:5,500円 3連複:149,300円 3連単:404,420円",,,,,,,,,,,,"馬単:54,770円 3連複:111,090円 3連単:757,400円",,,,,,,,,,,,"馬単:1,640円 3連複:3,170円 3連単:11,560円",,,,,,,,,,,,"馬単:940円 3連複:1,780円 3連単:6,320円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 8R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■11R  芝1600m 3 歳ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｪｱﾘｰｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
