11年11月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月19日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,錦秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄアサクサウタヒメ, 63,福永祐,, 63,  -1,* 15, 1,  2.7, ⑦⑦, 1, 7, ガｰネットチャｰム,---,岩田康,, 81,  -3,* 18, 2,  4.4, ⑪⑧, 1,15,Ａイｰグルドライヴ, 76,ベリｰ,, 76,* 11,*  8, 4,  7.6, ③③, 1,16,Ｃサイレントメロディ, 88,横山典,, 82,   4,* 20, 1,  2.8, ⑭⑮
 2,18,Ｉシンジルキボウアイ, 49,後藤浩, 0.0, 62,*  4,   9, 6, 14.7, ③③, 2, 4, テイエムコウノトリ,---,大庭和, 0.2, 77,*  5,   2, 8, 26.3, ②②, 2,11,Ｆアクロスザボｰド, 71,岩田康, 0.3, 78,   9,* 10, 3,  5.2, ⑤⑤, 2,15,Ｄデンコウヤマト, 86,武士沢, 0.2, 81,   4,* 18, 7, 20.7, ⑮⑭
 3,16,Ａディアイレイザｰ, 71,吉田豊, 0.1, 61,   2,  11, 7, 20.8, ⑥⑤, 3,10, リンガスジュエル,---,柴田善, 0.4, 75,*  2,   5, 6,  9.9, ③③, 3,12,Ｂゴｰルドアカデミｰ, 75,田中勝, 0.6, 74,   8,*  9, 5,  8.9, ⑦⑧, 3,10,Ｂフォｰティファイド, 88,ベリｰ, 0.3, 77,   7,  13, 8, 21.5, ⑧⑨
 4,10,Ｃルミナススカイ, 65,丸山元, 0.3, 59,  -6,* 17, 2,  4.1, ⑩⑭, 4, 1, アミカブルナンバｰ,---,横山典, 0.5, 72,*  5,  -2, 1,  3.3, ①①, 4, 3,Ｌロジハｰツ, 65,柴田善, 0.9, 73,   8,   6, 2,  4.8, ⑥⑥, 4,13,Ｈスエズ, 83,丸山元, 0.3, 79,   6,  15, 9, 24.7, ⑪⑬
 5,14,Ｅパイライトパワｰ, 58,千葉直, 0.5, 58,  -6,* 16, 4,  8.0, ⑯⑮, 5, 8, ヤサカオディｰル,---,中谷雄, 0.6, 74,  -2,*  9,15,193.4, ⑨⑨, 5,14,Ｊカネトシリｰプイン, 67,メンデ, 1.2, 69,* 14,  -7, 9, 14.3, ①①, 5, 2,Ｅバトｰドｰル, 85,メンデ, 0.5, 77,* 10,   8, 6, 15.5, ③③
 6,11,Ｌトｰセンムンク, 41,武士沢, 0.6, 54,*  6,  -3,16,307.3, ①①, 6, 9, トミケンアニマｰド,---,石神深, 1.1, 69,  -6,   7,14,137.6, ⑭⑫, 6, 7,Ｋショウナンガｰデン, 66,丸山元, 1.3, 71,   8,   3,10, 39.5, ⑧⑦, 6, 8,Ｏミッキｰチアフル, 76,三浦皇, 0.5, 77,* 10,   6,10, 38.6, ②②
 7, 1,Ｍノｰブルガイア, 37,田中勝, 0.6, 56,  -2,  10, 9, 41.9, ⑨⑧, 7,12, ミラクルムｰン,---,松岡正, 1.2, 67,   0,  -3, 4,  8.2, ⑤⑤, 7, 5,Ｄケイバズキ, 74,後藤浩, 1.4, 69,   5,   8, 8, 14.1, ⑬⑫, 7, 1,Ｉピュｰタｰ, 82,岩田康, 0.5, 76,* 11,   5, 5,  9.0, ①①
 8,13,Ｂキングズクエスト, 65,松岡正, 0.7, 56,  -3,  10, 5, 11.4, ⑧⑪, 8, 6, オメガエンブレム,---,福永祐, 1.4, 64,  -1,  -4, 3,  5.4, ⑦⑦, 8, 6,Ｅニシノオウガイ, 73,吉田豊, 1.4, 67,   5,   6, 1,  4.6, ⑭⑬, 8, 7,Ｐドリｰムスカイラブ, 73,中谷雄, 0.5, 75,   8,  10,15,181.5, ⑥⑥
