11年12月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄヴェルティゴ, 57,松山弘,, 59,  -8,*  2, 7, 39.9, ⑩⑦, 1, 8,Ｎサンマルデュｰク, 33,柴田善,, 65,* -3,* 17, 8, 41.8,⑥④④, 1, 8, マスクトヒｰロｰ,---,横山典,, 80,*  9,* 13, 2,  2.9,①③①, 1,15,Ｊトｰセンアドミラル, 83,高倉稜,, 83,*  4,  21, 3,  8.0,①①①
 2, 6,Ｊクレバｰアポロ, 46,田辺裕, 0.1, 58,* -2,  -4, 3,  8.7, ③③, 2,13,Ｅサウスパシフィック, 55,蛯名正, 0.0, 64,* -4,* 16, 5,  9.6,③③③, 2, 4,Ｄクレヨンロケット, 75,蛯名正, 0.5, 77,   7,* 12, 1,  2.7,⑥⑦④, 2, 6,Ｅデンコウヤマト, 84,武幸四, 0.2, 84,   2,* 23, 6, 12.9,⑫⑦③
 3, 3,Ｂエリクサｰ, 59,後藤浩, 0.1, 58,  -5,* -1, 2,  7.2, ⑦⑤, 3,14,Ｄコパノウィリアム, 57,吉田豊, 0.7, 59,  -6,* 16, 7, 18.9,⑪⑨⑦, 3, 1,Ｂキングジャズ, 77,田中勝, 0.6, 77,   7,  12, 8, 30.4,③⑤⑥, 3, 5,Ｇドットコム, 84,蛯名正, 0.4, 82,   0,* 25, 7, 22.3,⑪⑬⑩
 4,13,Ｈトキノワイルド, 50,平野優, 0.4, 57,* -1,  -7, 4, 11.1, ①①, 4, 4,Ｃゴｰルデンクラウン, 58,後藤浩, 0.8, 57,* -3,   9, 1,  2.3,②②②, 4,11,Ｈベストフェット, 72,田辺裕, 0.8, 76,   5,* 12,11, 51.8,⑧⑨⑧, 4, 3,Ｈスギノブレイド, 84,武士沢, 0.4, 82,   2,  22,10, 26.4,⑧⑧⑧
 5, 5,Ａワイルドアイザック, 69,柴田善, 0.5, 55,  -4,  -5, 1,  1.4, ⑥④, 5,11,Ｂボンジュｰルエｰル, 62,三浦皇, 1.0, 59,  -4,  11, 3,  6.1,⑧⑦⑤, 5,13,Ｅテンゲントッパ, 73,武士沢, 1.0, 75,   6,  11, 4, 12.1,⑩⑩⑨, 5, 9,Ｉロンギングスタｰ, 83,後藤浩, 0.5, 80,   2,  21, 8, 22.7,⑥⑥⑨
 6, 1,Ｆノｰブルガイア, 51,丸山元, 0.7, 54,  -7,  -4, 6, 30.2, ⑧⑥, 6, 7,Ｈワイルドアプロｰズ, 50,丸山元, 1.7, 53,  -4,   4, 2,  5.8,⑤⑥⑥, 6,15,Ｇメイショウドレイク, 72,武幸四, 1.1, 73,*  9,   3,10, 39.6,⑨②③, 6, 4,Ｋインフィニットエア, 83,柴田善, 0.6, 79,*  3,  16,12, 54.7,②②②
 7, 7,Ｅリバｰデュランダル, 56,小野寺, 1.1, 51, -11,  -3, 5, 25.7, ⑫⑫, 7, 2,Ｇトウカイアストロ, 51,石橋脩, 1.8, 51,* -3,   0, 6, 11.4,①①①, 7, 7,Ｊリンクルリッジ, 70,吉田豊, 1.3, 72,   3,* 14,14,125.4,⑯⑯⑭, 7,14,Ｂベルモントガリバｰ, 86,田中勝, 0.6, 79,   1,  21,13, 79.0,⑨⑩⑪
 8, 2,Ｍクレイジｰタイガｰ, 31,嶋田純, 1.1, 49, -19,*  2,10, 76.0, ⑭⑬, 8, 9,Ａコスモバンディエラ, 63,柴田大, 2.3, 50,  -6,   2, 4,  6.8,⑫⑩⑩, 8,10,Ａロジハｰツ, 77,柴田善, 1.4, 71,*  9,   0, 3,  6.7,④①②, 8, 2,Ｃダンシングマオ, 85,北村宏, 0.8, 79,   1,  20, 4, 11.2,⑦⑨⑦
