11年 9月10日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月10日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺｽﾓｽ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃマイネルバウンス, 55,津村明,, 54,   7,* -6, 3,  4.9,④④③, 1, 4,Ａジャマイカラｰ, 66,三浦皇,, 63,  -2,*  4, 1,  1.9,⑥⑤⑤, 1, 2,Ｂクｰルフォｰマ, 73,丸田恭,, 67,   8,   3, 1,  2.2, ③③, 1, 4,Ａゴｰルドシップ, 69,秋山真,, 52, -13,* -5, 1,  1.2,⑤⑤③
 2, 2,Ａアドマイヤシャドウ, 64,丸山元, 0.0, 54,* 11, -13, 1,  1.7,①①①, 2, 6,Ｅエルサント, 55,柴山雄, 0.1, 61,* -1,*  2, 5, 23.7,③③③, 2, 5,Ｃキンショｰユウジャ, 68,勝浦正, 0.0, 68,   9,   2, 6, 15.2, ④④, 2, 7,Ｂニシノカチヅクシ, 60,勝浦正, 0.1, 48,*-11,  -9, 2,  6.0,②②②
 3, 4,Ｂニｰレンベルギア, 61,古川吉, 0.4, 49,   4,  -9, 2,  4.0,⑥⑥⑤, 3, 3,Ｄナムラバンケット, 59,松田大, 0.5, 62,  -2,   0, 4, 12.4,④④④, 3, 7,Ｆサイカニア, 66,丸山元, 0.1, 64,   2,*  6, 5, 11.8, ⑦⑦, 3, 8,Ｄコスモワイルド, 42,津村明, 0.2, 52, -14,* -3, 5, 19.2,⑦⑦⑤
 4, 1,Ｅブルｰイングリｰン, 47,三浦皇, 0.5, 50,   7, -13, 5, 23.9,③③④, 4, 2,Ｆアドマイヤルビアノ, 52,吉田稔, 1.1, 55,  -4,  -2, 8, 72.2,⑦⑦⑥, 4, 3,Ｅロｰドハリアｰ, 67,池添謙, 0.3, 64,   5,   3, 2,  3.2, ⑥⑥, 4, 1,Ｃステルミナｰト, 51,服部茂, 0.2, 50, -13,  -6, 3, 12.9,③④④
 5, 3,Ｄウインミｰティア, 47,藤岡佑, 0.7, 48,*  9, -20, 4,  7.1,②②②, 5, 7,Ｂドラゴンブレス, 64,丸山元, 1.1, 56,  -3,  -2, 2,  2.7,⑧⑧⑦, 5, 8,Ｄコスモセレクト, 67,柴山雄, 0.5, 63,   9,  -2, 4, 10.5, ⑤⑤, 5, 3, ハイタッチ,---,桑村真, 0.4, 49, -14,  -6, 7, 58.3,⑥⑥⑥
 6, 8,Ｇビレッジオブベスト, 38,黛弘人, 1.2, 40,   2, -15, 7, 95.8,⑧⑧⑥, 6, 5,Ｃアカウンタビリティ, 60,秋山真, 1.2, 53,* -1,  -9, 3,  6.7,②②②, 6, 9,Ａイッツアチャンス, 73,竹之下, 0.5, 65,* 11,  -3, 3,  6.6, ②②, 6, 6, イクシカナイダロウ,---,吉田稔, 1.0, 42, -17, -10, 6, 49.8,⑧⑧⑧
 7, 5,Ｈシャｰク, 38,勝浦正, 1.6, 36,   5, -23, 8, 99.3,⑤⑦⑦, 7, 1,Ｇアメｰジングミノル, 51,池添謙, 2.2, 47,* -1, -17, 6, 40.2,①①①, 7, 4,Ｉアンロｰランサン, 61,横山和, 0.7, 56,  -3,*  4,10,178.4, ⑪⑩, 7, 2, ロゼオ,---,三浦皇, 1.0, 40,*-10, -23, 4, 17.3,①①①
 8, 7,Ｆタガノナパヴァレｰ, 43,秋山真, 3.0, 23,   4, -41, 6, 69.0,⑦⑤⑧, 8,10,Ｈピエナノテツジン, 51,柴原央, 2.5, 45,  -3, -16, 9, 99.2,⑨⑥⑧, 8,12,Ｊデステニｰアロｰ, 61,菅原隆, 0.7, 58,  -2,   4, 9, 67.4, ⑩⑧, 8, 5, コパノワｰニング,---,宮崎光, 3.3,  9,*-11, -54, 8, 58.8,④③⑦
