11年11月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月19日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,八瀬特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｈゴｰイングストｰン, 51,和田竜,, 58,*  5,  -6, 5, 15.7,①①①, 1, 7, ナリタシャトル,,西谷誠,,,,, 1,  2.5,①①①, 1, 2,Ｅヒシワイルド, 61,池添謙,, 69,   2,* -2, 5, 11.7, ⑦⑤, 1, 1,Ｉタニノエポレット, 75,安藤勝,, 84,  20,*-15, 6, 20.4,⑩⑦⑦
 2,12,Ｄアズマリュウセイ, 60,国分優, 0.0, 58,   2,*  0, 3,  8.6,⑪⑨⑧, 2,12, アグネスラナップ,,北沢伸,200.8,,,, 5, 14.1,⑥⑤②, 2, 3,Ｃサハラブレイヴ, 62,デムｰ, 0.1, 70,*  7,  -9, 4,  8.8, ①①, 2, 2,Ａギュスタｰヴクライ, 88,デムｰ, 0.0, 84,  20, -17, 1,  1.9,⑨⑩⑥
 3,10,Ｂグレｰトチャｰルズ, 60,秋山真, 0.0, 57,   2,* -1, 4, 10.5,⑧⑦⑦, 3, 5, アスカノバッハ,,南井大,200.8,,,,12,105.5,⑧⑥⑥, 3,13,Ｆシゲルオレンジ, 60,国分恭, 0.4, 66,*  6, -11, 6, 13.5, ③③, 3, 9,Ｂスズカスコｰピオン, 86,川田将, 0.0, 84,* 22, -22, 2,  4.8,②②②
 4, 9,Ａハギノタイクｰン, 64,川田将, 0.2, 55,*  4,  -6, 2,  2.5,⑥⑤④, 4,14, タッチマイハｰト,,小坂忠,201.1,,,, 2,  3.4,②③③, 4, 6,Ｇオウケンハナミズキ, 58,川田将, 0.5, 65,   4,  -9, 7, 21.9, ⑤⑥, 4, 8,Ｊヤマニンシャスｰル, 72,武豊  , 0.2, 83,  19,*-15,11, 61.3,⑪⑪⑨
 5, 5,Ｉシルクメガスタｰ, 48,浜中俊, 0.5, 55,   3,  -7, 6, 26.3,⑤⑥⑥, 5,13, テイエムライジン,,難波剛,201.2,,,, 7, 17.9,④④④, 5,11,Ａオレニホレルナヨ, 68,和田竜, 0.7, 64,*  8, -18, 1,  2.2, ②②, 5, 7,Ｄサフランディライト, 79,池添謙, 0.8, 78,  21, -29, 4,  8.1,⑧⑥⑤
 6, 2,Ｊビュｰティフォｰ, 40,国分恭, 0.9, 51,*  4, -12, 8, 81.5,④④⑤, 6,10, カシノネロ,,植野貴,201.7,,,, 3,  6.3,⑦⑦⑦, 6, 5, グレンダウザｰ,---,岡部誠, 0.9, 56,  -2, -10,13,174.4, ⑩⑧, 6, 4,Ｇサクラキングオｰ, 77,四位洋, 1.7, 73,  18, -33,10, 58.9,⑦⑧⑩
 7, 8,Ｃリュウシンアクシス, 60,デムｰ, 1.0, 47,*  4, -13, 1,  2.1,③③②, 7,11, クレバｰウエスタン,,今村康,203.0,,,, 9, 53.7,③②⑤, 7,12,Ｄルリシュブｰル, 61,武豊  , 1.2, 53,  -1, -15, 2,  4.3, ⑨⑨, 7, 3,Ｆアｰセナルゴｰル, 78,藤岡佑, 1.9, 74,  21, -46, 9, 45.4,⑥④③
 8, 3,Ｇナイク, 53,川島信, 1.6, 47,   2, -13,11,152.9,⑨⑩⑨, 8, 2, セルリアンデｰゲン,,田嶋翔,203.7,,,, 6, 14.7,⑪⑨⑨, 8, 1,Ｈドナメデュｰサ, 58,浜中俊, 1.4, 53,   4, -23, 3,  7.9, ④④, 8, 5,Ｈアルジェンタム, 76,浜中俊, 2.1, 72,  21, -47, 3,  7.8,④⑤④
 9, 6,Ｆフラカン, 53,幸英明, 1.7, 46,*  5, -20, 9, 98.2,②②③, 9, 1, メｰンテｰブル,,黒岩悠,205.4,,,,10, 56.0,⑫⑩⑩, 9,15,Ｂミスネバｰ, 66,秋山真, 1.5, 51,   3, -23, 9, 30.3, ⑥⑦, 9,10,Ｋテンシノマズル, 69,中村将, 2.3, 71,* 23, -54, 8, 33.4,①①①
10, 7,Ｌカネトシアｰジ, 29,岡部誠, 2.2, 44,   1, -16,13,453.7,⑬⑫⑪,10, 8, バンクｰバｰリズム,,平沢健,207.8,,,,14,197.8,⑩⑪⑪,10, 8, プレミｰルサダコ,---,田中学, 1.6, 49, -13,* -7,14,272.2, ⑬⑬,10, 6,Ｃヒットザタｰゲット, 83,藤田伸, 3.6, 66,  18, -60, 5,  9.1,⑤⑨⑪
11,11,Ｅアイミｰマイン, 54,北村友, 2.3, 43,   1, -17, 7, 46.5,⑫⑬⑫,11, 6, セントアンズ,,江田勇,209.3,,,,11,100.0,⑤⑧⑧,11,14,Ｉリョウラン, 55,幸英明, 1.6, 48,  -6, -15,11, 63.9, ⑫⑪,11,11,Ｅホウショウアマネ, 79,幸英明, 3.9, 66,  21, -75, 7, 32.0,③③⑧
