11年 8月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 8月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白鳥大橋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂセイクレットレｰヴ, 51,横山典,, 46,*  1,* -7, 2,  3.0,③②②, 1, 3,Ｇスズカセクレタｰボ, 59,上村洋,, 68,*  3,*  6, 4,  7.0,①①①, 1,10,Ｆホクトキングダム, 66,黛弘人,, 76,* 12,   4,10, 42.3, ③③, 1, 8,Ａオｰラレガｰレ, 83,藤田伸,, 78,*  6,*  7, 2,  3.0, ①①
 2, 2,Ｄツヨシノブルｰム, 44,藤岡佑, 0.0, 49,*  3, -10, 4,  8.5,①①①, 2,11,Ａアドマイヤジャコモ, 69,蛯名正, 0.8, 61,*  1,   2, 3,  4.9,⑥④②, 2, 9,Ａクｰルフォｰマ, 72,丸田恭, 0.3, 69,  -4,* 12, 2,  4.0, ⑧⑥, 2,11,Ｄナイトオブザオペラ, 79,福永祐, 0.2, 75,   4,*  7, 3,  4.0, ④③
 3, 3,Ｃゾクゾク, 45,松田大, 0.5, 42,   0, -12, 7, 47.8,②④⑤, 3, 7,Ｊダノンスプリｰム, 54,藤岡佑, 1.2, 62,  -1,   2, 8, 26.1,⑧⑧④, 3, 3,Ｌピエナヴィブレ, 54,上野翔, 0.5, 69,   2,   7,12,248.8, ⑤④, 3,10,Ｅトレボｰネ, 76,丸田恭, 0.3, 73,*  5,   6, 5, 14.5, ②②
 4, 4,Ｆスペリオビｰン, 43,池添謙, 0.6, 41,   0, -12, 1,  2.5,⑤⑤⑥, 4, 5,Ｃグッドスピｰド, 66,藤田伸, 1.3, 60,*  1,  -3, 1,  3.2,④②③, 4,12,Ｅアグネスジャスパｰ, 66,上村洋, 0.8, 64,  -7,*  9, 8, 20.6, ⑩⑨, 4, 5,Ｃハッピｰダイアリｰ, 80,横山典, 0.4, 72,   4,   5, 1,  2.9, ③④
 5, 5,Ｅエムケｰジャック, 43,勝浦正, 0.9, 36,   0, -17, 5, 11.4,⑥⑥④, 5,12,Ｆアカウンタビリティ, 59,丸田恭, 1.5, 56,   0,  -3, 6, 17.9,⑤⑤⑤, 5, 7,Ｈキンショｰノボス, 65,藤岡佑, 0.9, 67,* 13,  -5, 1,  3.7, ①①, 5, 9,Ｂコパノカチｰノ, 82,池添謙, 0.7, 68,  -1,   5, 4,  8.8, ⑧⑥
 6, 7,Ａマイネルサムアップ, 61,鈴来直, 1.0, 38,*  2, -20, 3,  4.0,④③③, 6, 2,Ｈエラット, 58,横山典, 1.8, 56,  -2,  -1, 5,  7.5,⑦⑨⑦, 6,11,Ｃケイアイカミｰリア, 68,松田大, 1.0, 63, -10,* 10, 5,  7.8, ⑫⑪, 6, 6,Ｈクレムリンエッグ, 68,丹内祐, 0.7, 70,  -1,   6, 9, 68.8, ⑦⑤
,,,,,,,,,,,, 7,10,Ｉシルクアリオン, 55,古川吉, 1.9, 54,  -2,  -2,11,199.1,⑩⑩⑧, 7, 1,Ｊナムラオｰシャン, 63,西村太, 1.2, 60,  -7,   5, 7, 16.2, ⑨⑧, 7, 3,Ｆアｰトオブビｰン, 71,松田大, 0.8, 69,  -4,   7, 7, 42.3, ⑩⑧
,,,,,,,,,,,, 8, 6,Ｅハヤブサアビオン, 60,吉田隼, 2.0, 57,  -3,   0, 9, 57.3,⑨⑪⑩, 8, 5,Ｂゴｰルドオリｰブ, 71,荻野琢, 1.4, 61,   2,  -2, 3,  4.6, ④⑤, 8, 1,Ｇムスタングリｰダｰ, 68,四位洋, 0.9, 68,  -4,   7, 6, 17.2, ⑨⑪
