11年10月16日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月16日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,清水ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅタニセンジャッキｰ, 44,武豊  ,, 69,*  1,*  2, 1,  3.1, ①①, 1, 7, タマモスコｰピオン,---,秋山真,, 63,  -6,* 10, 1,  2.6,⑥⑥⑥, 1,11,Ｈアルゴリズム, 69,福永祐,, 73,*  2,  10, 3,  5.2, ②②, 1, 4,Ｆミキノバンジョｰ, 80,武豊  ,, 83,  10,  11, 6, 12.8, ⑨⑨
 2, 8,Ａマｰベラスルビｰ, 56,小牧太, 1.4, 55,  -3,  -6, 2,  4.1, ⑤⑦, 2, 2, ダイヴァｰダウン,---,藤岡康, 0.0, 65,* -4,   7, 5, 12.7,①①①, 2, 3,Ｅブラックイレブン, 72,酒井学, 0.1, 73,   1,* 12, 6, 20.6, ④③, 2,15,Ｇドリｰムカトラス, 80,後藤浩, 0.1, 81,  11,   9, 3,  7.4, ⑧⑧
 3, 2,Ｆシゲルスイカ, 44,中村将, 2.0, 50,  -7,* -5, 9, 36.3, ⑬⑫, 3, 5, コスモアンノｰン,---,和田竜, 0.3, 63,* -4,   5, 2,  2.8,②②②, 3, 4,Ｂウォｰタｰサムデイ, 74,幸英明, 0.2, 72,  -1,* 12, 2,  4.9, ⑦⑧, 3,11,Ｄダノンシャｰク, 83,福永祐, 0.2, 82,   5,* 18, 1,  2.2, ⑮⑮
 4,15,Ｍコウエイロックオン, 35,北村宏, 2.2, 50,  -3, -13,10, 39.1, ⑦⑥, 4, 6, ペプチドキングピン,---,国分優, 1.0, 57,* -5,  -2, 3,  5.6,③③③, 4,14,Ｄシゲルタダカツ, 72,和田竜, 0.3, 70,*  3,   6, 4,  7.4, ①①, 4, 7,Ｅスプリングサンダｰ, 83,四位洋, 0.3, 80,  10,   9, 4,  9.0, ⑩⑩
 5, 3,Ｊヒシタイトル, 39,藤岡康, 2.4, 47,  -8,  -8,12,175.6, ⑭⑬, 5, 1, コスモアケルナル,---,松岡正, 1.8, 52,  -5,  -7, 4,  6.1,⑦⑤⑤, 5, 7,Ｎタッチドヘヴンリｰ, 60,浜中俊, 0.7, 68,  -2,   8, 5,  8.4, ⑧⑦, 5, 2,Ｂアスカクリチャン, 87,田中勝, 0.4, 78,   8,  10, 7, 13.8, ⑪⑪
 6, 1,Ｏスタｰファンタジア, 29,安藤光, 2.7, 45,  -6, -12,14,257.7, ⑫⑪, 6, 4, フラカン,---,国分恭, 1.9, 51,  -7,  -5, 7, 44.3,⑤⑦⑦, 6, 5,Ａスマｰトアｰサイト, 76,武豊  , 0.7, 68,  -2,  10, 1,  2.4, ⑪⑫, 6, 9,Ｉシェｰンヴァルト, 80,秋山真, 0.4, 78,   6,  12,13, 70.5, ⑫⑫
 7,14,Ｇリバｰマンサｰナ, 43,酒井学, 2.7, 46,  -5, -13,16,366.9, ⑪⑩, 7, 3, ミッキｰクリスエス,---,北村友, 2.1, 49,  -5,  -9, 6, 14.3,④④④, 7,13,Ｍケンブリッジシｰザ, 63,国分恭, 0.9, 65,  -5,* 11,14,351.2, ⑭⑭, 7, 6,Ａレジェンドブルｰ, 88,藤岡康, 0.4, 76,  12,   3, 8, 21.4, ⑤⑥
 8, 9,Ｉリｰノレオン, 39,和田竜, 3.0, 42, -11,  -9, 7, 21.8, ⑮⑮,,,,,,,,,,,,, 8,10,Ｌケンタッキｰロｰド, 65,北村友, 0.9, 65,   0,   5,13,201.9, ⑥⑥, 8, 1,Ｈマッシヴエンペラｰ, 80,熊沢重, 0.5, 76,  10,   3,10, 60.0, ⑦⑤
 9, 6,Ｌサマｰヴィクトリア, 35,幸英明, 3.3, 42,* -1, -24,11, 41.1, ④②,,,,,,,,,,,,, 9, 1,Ｉプロスアンドコンズ, 67,岩田康, 1.0, 65,  -4,   9, 7, 25.2, ⑬⑬, 9,14,Ｎリフトザウイングス, 69,小牧太, 0.6, 76,   6,   8, 2,  6.4, ⑬⑬
10,13,Ｎトウケイヤマト, 34,北村友, 3.3, 40,  -3, -23, 3,  6.0, ⑥⑤,,,,,,,,,,,,,10, 6,Ｇネオシｰサｰ, 70,川島信, 1.0, 66,  -2,   8,11, 80.6, ⑫⑪,10, 3,Ｃギンザボナンザ, 85,池添謙, 0.6, 75,  12,   0, 5,  9.1, ⑥⑦
11,11,Ｃキクノパラマ, 48,川田将, 3.5, 40,  -3, -22, 8, 23.4, ⑨⑨,,,,,,,,,,,,,11, 2,Ｋヤマニンソルファ, 65,渡辺薫, 1.1, 64,  -2,   5, 8, 35.3, ⑩⑩,11, 8,Ｊホｰカｰハリケｰン, 77,北村宏, 0.6, 73,* 15,  -6, 9, 54.3, ②②
12,10,Ｂマイネルバルビゾン, 50,柴田大, 3.5, 41,*  0, -27, 6, 10.7, ③③,,,,,,,,,,,,,12, 8,Ｃセキサンキセキ, 72,国分優, 1.1, 64,  -2,   5,10, 47.1, ⑨⑨,12,10,Ｍテｰオｰティアラ, 76,柴田善, 0.6, 77,   5,  11,12, 68.6, ⑭⑭
13, 5,Ｈジプシｰバイオリン, 42,福永祐, 3.9, 37,  -4, -25, 4,  6.8, ⑧⑧,,,,,,,,,,,,,13, 9,Ｆピノブラン, 71,野元昭, 1.6, 59,   0,  -2,12, 88.4, ⑤⑤,13,13,Ｌノボリデュｰク, 76,石橋守, 0.7, 72,* 17, -10,11, 60.6, ①①
14, 7,Ｋテイエムキモシタ, 38,国分優, 4.1, 37,*  1, -32,13,187.3, ②④,,,,,,,,,,,,,14,12,Ｊメイショウキルタｰ, 65,川田将, 1.6, 59,   0,  -2, 9, 40.3, ③④,14, 5,Ｋアキノカウンタｰ, 76,幸英明, 1.0, 69,  13,  -9,14,158.5, ③③
15,16,Ｄエｰシンブランシュ, 47,後藤浩, 5.1, 28,  -4, -35, 5, 10.4, ⑩⑭,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｏワキノパワｰ, 68,酒井学, 1.9, 59,  13, -22,15,403.3, ④④
16,12,Ｐキングブラヴィシモ,  9,松岡正, 6.9,  4, -23, -28,15,285.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
