11年 7月23日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月23日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苗場特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｉサトノプレジデント, 30,北村宏,, 49,*-10,   1, 4,  7.5, ③⑤, 1, 8, ジャストルｰラｰ,,穂苅寿,,,,, 2,  6.0,②②②, 1,15,Ｈヒシサッチモ, 55,嶋田純,, 65,*  4,   1, 6, 10.9, ①①, 1,11,Ａデュアルスウォｰド, 81,江田照,, 76,   2,* 11, 2,  4.2, ⑪⑪
 2,13,Ｅメイヴィｰナス, 44,柴田善, 0.0, 52, -11,*  4, 5, 10.3, ⑨⑦, 2, 6, ヤラマイカ,,五十嵐,186.1,,,, 1,  1.4,①①①, 2, 4,Ｃレッツゴｰマｰクン, 64,江田照, 0.7, 59,  -9,*  9, 2,  7.9, ⑩⑨, 2,15,Ｋヤマノサファイア, 74,高倉稜, 0.0, 77,  -7,* 20, 8, 25.0, ⑮⑮
 3, 8,Ａヒシマｰベラス, 61,田辺裕, 0.0, 50, -12,*  6, 3,  5.5, ⑧⑨, 3, 2, ヤマニンノベリスト,,浜野谷,186.2,,,,12,163.5,⑤④③, 3,11,Ｂアップタｰン, 64,田辺裕, 0.7, 58,  -1,  -1, 1,  1.8, ④④, 3, 3,Ｎトシキャンディ, 72,木幡初, 0.2, 75,* 11,   0, 9, 30.5, ①①
 4, 5,Ｂロｰドバッカス, 58,福永祐, 0.2, 51, -14,*  6, 2,  3.0, ⑬⑫, 4,12, レオソリスト,,平沢健,186.5,,,, 4, 18.5,⑦⑧⑧, 4,12,Ａシベリアンソアｰ, 64,松岡正, 0.8, 59,  -3,   2, 5,  8.5, ⑧⑦, 4, 9,Ｇゴｰルドバシリスク, 78,柴田善, 0.4, 73,  -2,* 12, 5,  6.7, ⑭⑭
 5,16,Ｃパスオブトゥルｰ, 54,松岡正, 0.2, 45,* -9,  -6, 1,  2.6, ②②, 5, 7, モルエラン,,柴田大,186.6,,,, 9, 64.8,⑨⑦⑥, 5, 2,Ｉエイブルサクセス, 52,蛯名正, 0.9, 56,  -7,*  4, 3,  8.0, ⑨⑩, 5, 5,Ｉライコウテンユウ, 76,中舘英, 0.5, 72,   5,   4,12, 50.9, ⑤⑤
 6,12,Ｈトｰセンベニザクラ, 33,中舘英, 0.6, 46, -14,   0, 7, 37.3, ⑫⑬, 6, 1, ファｰトゥム,,草野太,188.1,,,, 3, 11.3,⑩⑤④, 6, 7,Ｆテイエムサウスダン, 57,武士沢, 1.1, 55,*  2,  -6,11,156.3, ②②, 6,10,Ｅエビスオｰル, 79,大野拓, 0.7, 70,* 11,  -3,13, 74.4, ②②
 7, 1,Ｏイニシエノウタ,  7,大野拓, 1.0, 40, -14,  -6,10,147.9, ⑩⑪, 7,13, ブルｰフォｰチュン,,大江原,188.3,,,, 5, 19.3,③③⑤, 7, 9,Ｅヒアズルッキング, 62,柴田善, 1.4, 53,   1,  -7, 4,  8.5, ③③, 7, 4,Ｊマイネルエルドラド, 74,柴田大, 0.7, 70,  -1,   7,11, 39.4, ⑬⑬
 8, 4,Ｇスプレッドイｰグル, 35,西田雄, 1.1, 36, -13,  -9, 8, 49.0, ⑦⑧, 8, 4, ブルｰシｰズン,,山本康,188.5,,,,11,130.2,⑧⑨⑨, 8, 3,Ｍサンマルグロワｰル, 43,小林淳, 1.8, 48,  -2,  -9,15,438.0, ⑤⑤, 8,12,Ｈファンドリカップ, 77,福永祐, 0.8, 70,   4,   2, 6, 17.8, ⑧⑧
