11年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 3,Ｊクレバｰウエスタン, 37,丸山元, 3.6, 33, -12,  -6,10, 94.2,⑧⑦⑥,12, 7, スズカゴｰゴｰ,---,太宰啓, 2.3, 36, -25,  -5,11, 48.0,⑫⑪⑬,12, 8,Ｌペガサスフォｰト, 57,中舘英, 2.8, 52,*  5, -11, 6, 14.9,③②②,12, 2,Ｋマイネルテネル, 71,丹内祐, 3.1, 61,   5, -14,11, 58.4,⑪⑬⑬
13, 2,Ｍカシノマイラヴ, 22,幸英明, 5.6, 21, -12, -23,13,242.6,⑦⑥⑫,13,14, ホｰマンベルウィン,---,幸英明, 2.4, 34, -22, -11,10, 39.4,⑧⑦⑧,,,,,,,,,,,,,13,10,Ｍアスカノラムセス, 62,川須栄, 3.9, 54,   0, -14,12,151.6,⑭⑭⑭
,,,,,,,,,,,,14, 3, ラブサッキｰ,---,西田雄, 3.1, 28, -30,  -8,16,238.9,⑩⑮⑮,,,,,,,,,,,,,14, 1,Ｎショウナンカガリビ, 53,北村友, 4.9, 44,   8, -45,13,249.0,②⑩⑫
,,,,,,,,,,,,15,13, アメｰジングミノル,---,勝浦正, 3.2, 23, -27, -15, 6, 16.4,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,12, エｰシンシルビア,---,中舘英, 4.8, 11, -32, -25, 8, 26.9,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+18 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,
"単勝:280円 複勝:12=120円 13=290円 11=130円 枠連:1,550円",,,,,,,,,,,,単勝:300円 複勝:08=150円 16=200円 09=320円 枠連:700円,,,,,,,,,,,,単勝:430円 複勝:01=180円 06=150円 02=400円 枠連:600円,,,,,,,,,,,,単勝:310円 複勝:06=150円 04=200円 14=250円 枠連:670円,,,,,,,,,,,
"馬連:1,650円 ワイド:12-13=750円 11-12=210円 11-13=640円",,,,,,,,,,,,"馬連:870円 ワイド:08-16=480円 08-09=690円 09-16=1,430円",,,,,,,,,,,,"馬連:690円 ワイド:01-06=360円 01-02=910円 02-06=1,180円",,,,,,,,,,,,馬連:880円 ワイド:04-06=390円 06-14=540円 04-14=990円,,,,,,,,,,,
