11年10月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,かがやき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,12,Ｊマイネルセグメント, 35,中谷雄, 3.2, 35, -10, -15,13,216.4, ⑬⑮,13, 2, シザｰハンズ,---,宮崎北, 1.1, 46, -24,  -2,14,103.4, ⑧⑧,13,10,Ｆアポロノサムライ, 69,ピンナ, 3.3, 52,  -4,  -7, 6, 36.3, ⑫⑬,,,,,,,,,,,,
14, 7,Ｏコスモワンパクオｰ, 23,丹内祐, 3.4, 34,  -5, -23,10, 80.3, ⑧⑧,14,15, ソｰワンダｰフル,---,中舘英, 1.5, 41, -23,  -8,11, 54.1, ⑦⑦,14,11,Ｍマイネルタイド, 52,丹内祐, 4.6, 42,  -2, -21,12,137.1, ⑧⑩,,,,,,,,,,,,
15,13,Ｍスピｰドパンジｰ, 31,吉田隼, 3.5, 33,  -5, -24,15,285.0, ⑩⑨,15, 8, キョウワアリス,---,吉田隼, 1.6, 38, -24, -10,13, 84.4, ⑥⑤,,,,,,,,,,,,,,,,,,,,,,,,
16, 9,Ｐネコヤッタネ, 23,小野寺, 4.4, 26,  -7, -30,12,125.1, ⑪⑪,16, 3, エネルジコ,---,柴山雄, 2.6, 29, -30, -14,16,195.9, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:1),,,,,,,,,,,
単勝:140円 複勝:11=110円 05=370円 06=160円 枠連:320円,,,,,,,,,,,,"単勝:4,030円 複勝:06=670円 14=170円 07=160円 枠連:4,640円",,,,,,,,,,,,単勝:320円 複勝:05=120円 09=110円 03=370円 枠連:160円,,,,,,,,,,,,単勝:190円 複勝:04=110円 03=160円 05=140円 枠連:590円,,,,,,,,,,,
"馬連:1,270円 ワイド:05-11=540円 06-11=220円 05-06=870円",,,,,,,,,,,,"馬連:12,540円 ワイド:06-14=2,730円 06-07=1,660円 07-14=390円",,,,,,,,,,,,馬連:210円 ワイド:05-09=140円 03-05=900円 03-09=630円,,,,,,,,,,,,馬連:590円 ワイド:03-04=230円 04-05=190円 03-05=410円,,,,,,,,,,,
"馬単:1,680円 3連複:1,720円 3連単:6,750円",,,,,,,,,,,,"馬単:39,060円 3連複:14,710円 3連単:162,270円",,,,,,,,,,,,"馬単:540円 3連複:1,430円 3連単:5,400円",,,,,,,,,,,,"馬単:850円 3連複:690円 3連単:2,590円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 8R  ダ1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1600m 3歳上ｵｰﾌﾟﾝ(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾟﾗﾀﾅｽ賞,,,,,,,,,,,,ﾏｲﾙﾁｬﾝﾋﾟｵﾝｼｯﾌﾟ南部杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃマイネルディｰン, 48,石橋脩,, 54, -24,* 14, 1,  2.8, ⑤④, 1, 8,Ｆクラリスピンク, 69,吉田豊,, 74,   0,* 14, 3,  7.6, ⑧⑧, 1, 2,Ｂオｰブルチェフ, 72,中舘英,, 75,*  8,*  3, 2,  4.9, ③③, 1,11,Ａトランセンド, 98,藤田伸,, 96,* 20,   9, 1,  1.6, ②②
 2, 3,Ａシンジルキボウアイ, 49,後藤浩, 0.1, 48,*-20,   6, 3,  4.5, ①①, 2, 5,Ｂペパｰミントラヴ, 72,丸田恭, 0.7, 70,   2,   6, 4,  9.3, ⑦⑦, 2, 7,Ａスタｰバリオン, 78,藤岡佑, 0.8, 70,   5,*  0, 1,  2.0, ⑥⑥, 2, 6,Ｂダノンカモン, 95,福永祐, 0.0, 95,  19,* 11, 3,  8.8, ④④
 3, 8,Ｉロマンチカ, 39,大野拓, 0.1, 53, -25,* 15, 6, 16.1, ⑧⑩, 3, 6,Ｇオメガロｰズマリｰ, 68,嶋田純, 0.9, 68,   3,   1, 5, 25.0, ⑤⑤, 3, 5,Ｋシルクブルックリン, 48,柴田善, 1.2, 66,   6,  -5, 9, 47.5, ④④, 3, 8,Ｈシルクフォｰチュン, 92,藤岡康, 0.1, 95,  17,* 14, 7, 20.8, ⑨⑧
 4, 2,Ｂヘリオスフィア, 49,蛯名正, 0.3, 46, -23,   5, 2,  3.8, ②②, 4, 4,Ｄオルレアンノオトメ, 69,武士沢, 1.1, 67,*  5,  -2, 6, 27.2, ③③, 4, 1,Ｄヴィンテｰジイヤｰ, 63,福永祐, 1.3, 66,   4,  -1, 4,  8.0, ⑨⑧, 4, 7,Ｊエスポワｰルシチｰ, 89,松岡正, 0.3, 92,* 21,   5, 2,  6.3, ①①
 5, 6,Ｊジャッドマックス, 31,嶋田純, 0.5, 42,*-21,   1, 8, 31.5, ③③, 5, 9,Ｈチリトテシャン, 67,西村太, 1.6, 65,  -2,   3, 9,196.2, ⑨⑨, 5,11,Ｆタイセイスティング, 61,丸田恭, 1.6, 63,   5,  -5,12, 95.3, ⑫⑪, 5,12,Ｇダイショウジェット, 92,柴山雄, 0.9, 86,  15,   8, 9,156.1, ⑩⑨
 6, 7,Ｋボンジュｰルエｰル, 26,三浦皇, 0.5, 47, -24,   7, 9, 43.5, ⑪⑧, 6, 2,Ａライラックパンチ, 73,横山典, 1.7, 63,*  5,  -7, 1,  1.8, ①①, 6, 3,Ｌエｰペックス, 48,後藤浩, 1.8, 60,   5,  -7, 6, 35.8, ⑦⑦, 6, 5,Ｃランフォルセ, 95,横山典, 1.0, 88,  15,   9, 4, 11.4, ⑪⑩
 7, 4,Ｄデルマジュロウジン, 46,青木芳, 0.6, 46, -27,  10, 5, 15.5, ⑩⑪, 7, 3,Ｉゲンパチマイラヴ, 65,平野優, 1.8, 62,*  4,  -8, 8, 78.2, ②②, 7, 4,Ｃタマモオンゾウシ, 65,国分恭, 1.9, 60,* 11, -18, 3,  5.6, ①①, 7, 1,Ｅバｰディバｰディ, 95,ピンナ, 1.2, 86,  19,   1, 8, 35.8, ③③
 8,10,Ｆスピカシチｰ, 40,赤岡修, 0.8, 42, -25,   4,10, 64.3, ⑨⑨, 8, 1,Ｃヘリオポｰズ, 70,幸英明, 2.0, 62,   3,  -7, 7, 27.5, ④④, 8,10,Ｅシゲルドリアン, 61,川須栄, 2.5, 57,   4, -11, 8, 43.7, ⑪⑩, 8,14,Ｉクリｰルパッション, 89,津村明, 1.5, 84,  15,   5,10,207.6, ⑫⑪
 9, 9,Ｅブラックモア, 43,武士沢, 1.2, 34, -24,  -4, 4,  9.9, ⑥⑤, 9, 7,Ｅサクラトップクイン, 69,福永祐,40.3,40.3---,   2, ---, 2,  3.8, ⑥⑥, 9, 9,Ｉエイコオハヤテ, 52,藤田伸, 2.6, 58,   3, -12,10, 59.1, ⑧⑫, 9, 4,Ｄブラボｰデイジｰ, 95,北村友, 1.6, 82,  18,  -2,11,212.3, ⑤⑤
10, 5,Ｈコスモネロ, 39,柴田大, 1.3, 33, -24,  -6, 7, 22.9, ⑦⑦,,,,,,,,,,,,,10,12,Ｈブラックビｰン, 52,松岡正, 4.5, 43,   4, -29, 5, 29.8, ⑩⑨,10, 9,Ｆオｰロマイスタｰ, 93,吉田豊, 1.7, 80,  18,  -2, 6, 19.5, ⑥⑥
11,11,Ｇフラワｰリング, 40,西田雄, 5.4,-24, -24, -66,11,138.7, ④⑥,,,,,,,,,,,,,11, 8,Ｇハマノヴィグラス, 56,吉田隼, 4.6, 42,   5, -34,11, 72.1, ⑤⑤,11,15,Ｋボレアス, 85,武豊  , 3.0, 73,  18, -13, 5, 16.9, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,12, 6,Ｊコウヨウゼウス, 49,武豊  , 6.2, 32,*  9, -53, 7, 41.5, ②②,12,10,Ｍゴｰルドマイン, 60,斎藤雄, 4.5, 63,   7,  -9,13,284.5, ⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 2, イｰグルビスティｰ,---,赤岡修, 5.3, 58,   4, -11,15,592.6, ⑬⑭
