11年12月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月17日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ｻﾝﾀｸﾛｰｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12, 2,Ｏエリモヴィエント, 36,太宰啓, 2.6, 45,  -3,  -8,14,164.3, ⑭⑬,12, 1, カワキタリュウジン,---,秋山真, 2.5, 33, -12, -24,12,210.6, ⑬⑬,12, 5,Ｈエイシンナナツボシ, 84,小牧太, 1.6, 75,* 10,   0,10, 34.1,③③③
,,,,,,,,,,,,13,11,Ｋアポロエトワｰル, 45,熊沢重, 3.0, 44,  -1, -14,15,342.7, ⑫⑪,13, 3, ケビンバロｰズ,---,メンデ, 2.6, 32,  -8, -36,10,112.2, ⑤⑤,13, 1,Ｎサクラブライアンス, 81,藤岡佑, 1.6, 78,   8,   6, 7, 22.6,⑥⑧⑧
,,,,,,,,,,,,14, 8,Ｍトライチャンス, 42,藤田伸, 3.0, 44,*  5, -22, 3,  6.8, ②②,,,,,,,,,,,,,14, 4,Ｏメイショウイッキ, 81,熊沢重, 1.7, 79,   6,   7,15,276.1,⑪⑪⑪
,,,,,,,,,,,,15, 9,Ｌクレバｰリバティｰ, 44,高倉稜, 7.2, 14,   1, -53,13, 94.4, ⑥⑮,,,,,,,,,,,,,15,12,Ｇハｰドシｰキング, 84,武豊  , 2.6, 70,   7,  -2,14,132.6,⑧⑦⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｋジョｰモルデュｰ, 83,吉田豊, 2.6, 73,   1,  13,16,373.9,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,
単勝:410円 複勝:01=120円 04=110円 07=150円 枠連:330円,,,,,,,,,,,,"単勝:2,610円 複勝:06=1,030円 01=170円 10=2,200円 枠連:1,500円",,,,,,,,,,,,単勝:140円 複勝:11=110円 13=130円 02=190円 枠連:230円,,,,,,,,,,,,単勝:260円 複勝:03=130円 09=190円 10=520円 枠連:670円,,,,,,,,,,,
馬連:330円 ワイド:01-04=170円 01-07=360円 04-07=220円,,,,,,,,,,,,"馬連:6,480円 ワイド:01-06=1,930円 06-10=33,270円 01-10=7,960円",,,,,,,,,,,,馬連:240円 ワイド:11-13=140円 02-11=320円 02-13=500円,,,,,,,,,,,,"馬連:660円 ワイド:03-09=300円 03-10=1,010円 09-10=2,130円",,,,,,,,,,,
"馬単:800円 3連複:570円 3連単:2,440円",,,,,,,,,,,,"馬単:15,890円 3連複:290,090円 3連単:1,533,730円",,,,,,,,,,,,"馬単:320円 3連複:700円 3連単:1,370円",,,,,,,,,,,,"馬単:1,070円 3連複:6,240円 3連単:19,030円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阪神ｶｯﾌﾟ ＧⅡ,,,,,,,,,,
