11年 4月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 4月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾒﾙﾎﾞﾙﾝﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂマｰベラスバロン, 65,渡辺薫,, 60,  -2,*  0, 4,  8.0,⑤⑤⑤, 1,11, ディアマジェスティ,,高田潤,,,,, 6, 13.3,③③③, 1, 6,Ｄオｰスミマリオン, 75,四位洋,, 78,* 10,*  9, 1,  2.1,①①①, 1,12,Ａエアティアｰモ, 84,四位洋,, 82,*  7,  11, 2,  6.5, ②②
 2, 3,Ｃボストンリョウマ, 65,和田竜, 0.0, 63,*  0,  -3, 3,  5.7,②②②, 2,12, オンワｰドホｰプ,,熊沢重,197.9,,,, 7, 13.6,①①①, 2,14,Ｃピサノルビｰ, 77,岩田康, 0.3, 78,*  9,*  7, 2,  3.3,③②②, 2,15,Ｄサウンドアクシス, 83,北村友, 0.3, 80,  -1,* 16, 5,  7.9, ⑬⑪
 3,15,Ｄクｰクｰダダ, 65,国分恭, 0.1, 64,  -2,*  2, 1,  5.2,⑪⑩⑪, 3, 2, スズカワイルド,,小坂忠,197.9,,,, 2,  4.0,②②②, 3, 4,Ｊジョｰシンドバッド, 69,和田竜, 0.7, 75,   8,   5,12, 99.5,④③③, 3, 6,Ｃアヤナルベルス, 83,熊沢重, 0.4, 80,*  9,   5, 4,  7.7, ①①
 4, 7,Ａセイプロスペリティ, 71,幸英明, 0.3, 62,  -2,  -1, 5,  8.1,⑬⑪⑥, 4, 8, ベｰトｰヴェン,,黒岩悠,199.4,,,, 8, 15.6,⑧⑥⑤, 4,15,Ｂキクノセンヒメ, 78,浜中俊, 0.9, 74,   7,   5, 4,  9.0,⑫⑧⑥, 4, 4,Ｊカフェマｰシャル, 79,佐藤哲, 0.6, 77,*  6,   6, 8, 20.7, ③③
 5, 8,Ｊダンスラナキラ, 55,小牧太, 0.3, 59,  -2,*  0,11, 37.4,⑦⑨⑧, 5, 5, ワキノレジェンド,,北沢伸,200.3,,,,11, 69.7,⑤⑤⑥, 5,12,Ａボリュｰムゾｰン, 79,安藤勝, 1.1, 71,   7,   3, 3,  6.8,⑪⑦⑨, 4,16,Ｆトｰセンクロス, 79,岩田康, 0.6, 78,   5,   7, 3,  6.8, ④④
 6,10,Ｅユキノミラクル, 62,佐藤哲, 0.4, 60,  -3,*  1, 2,  5.7,⑫⑫⑨, 6, 4, ハツノボリ,,草野太,200.9,,,,14,118.4,⑥④④, 6, 7,Ｎグランブリｰズ, 67,飯田祐, 1.2, 71,   5,   6,14,119.5,⑭⑫⑪, 6, 3,Ｅステイドリｰム, 81,国分恭, 0.8, 76,   0,  10, 9, 22.8, ⑨⑩
 7, 1,Ｇアドマイヤリボｰ, 61,岩田康, 0.4, 61,  -1,  -3, 8, 17.0,⑧⑧⑦, 7, 3, ダイナミックグロウ,,白浜雄,201.0,,,, 4,  9.1,④⑦⑦, 7, 3,Ｆマキハタビリケン, 71,芹沢純, 1.2, 71,   7,   3,10, 77.2,⑦⑨⑦, 7,13,Ｇゴｰルドエンデバｰ, 79,藤岡佑, 0.8, 76,  -1,* 12, 7, 20.2, ⑫⑫
 8,11,Ｌサンライズアルザス, 39,浜中俊, 0.5, 59,*  0,  -8, 9, 18.9,④④④, 8, 7, アラタマポケット,,水出大,201.2,,,,13,115.2,⑬⑫⑫, 8,13,Ｈサンライズコア, 71,国分恭, 1.2, 73,   8,   1, 7, 29.4,⑥⑤④, 8, 5,Ｈオｰシャンカレント, 79,浜中俊, 1.1, 73,  -1,   9,10, 24.9, ⑪⑬
