11年10月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
15,16,Ｏムジャウハラｰト, 33,杉原誠, 1.6, 41,* 15, -32,13,113.2, ②②,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｋケイエスケイト, 61,勝浦正, 1.2, 51,   3, -15,14, 98.4,   
16, 7,Ｋメイショウルｰメン, 37,田中健, 1.7, 35,  -6, -13, 8, 34.6, ⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｎストロングノヴァ, 58,長谷川, 1.3, 57,* 13, -23,15, 98.5,   
17, 2,Ｑキチロクトップガン,  9,高嶋活, 1.8, 34,  -4, -15,16,202.0, ⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｐフジマサオｰシャン, 56,小島太, 1.3, 50,   4, -18,16,108.2,   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｅクレムリンシチｰ, 70,高倉稜, 1.6, 45, -13, -10, 8, 15.0,   
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:不良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:7),,,,,,,,,,,
単勝:470円 複勝:12=180円 09=210円 17=960円 枠連:670円,,,,,,,,,,,,単勝:180円 複勝:02=140円 07=500円 枠連:0円,,,,,,,,,,,,"単勝:900円 複勝:09=210円 05=170円 03=160円 枠連:1,340円",,,,,,,,,,,,"単勝:780円 複勝:05=280円 13=540円 11=240円 枠連:1,420円",,,,,,,,,,,
"馬連:1,300円 ワイド:09-12=580円 12-17=3,110円 09-17=3,110円",,,,,,,,,,,,"馬連:3,720円 ワイド:02-07=810円 02-05=320円 05-07=1,100円",,,,,,,,,,,,"馬連:1,510円 ワイド:05-09=560円 03-09=490円 03-05=330円",,,,,,,,,,,,"馬連:8,560円 ワイド:05-13=2,550円 05-11=1,120円 11-13=2,120円",,,,,,,,,,,
"馬単:2,520円 3連複:18,550円 3連単:63,080円",,,,,,,,,,,,"馬単:4,810円 3連複:3,830円 3連単:23,800円",,,,,,,,,,,,"馬単:3,850円 3連複:1,880円 3連単:13,690円",,,,,,,,,,,,"馬単:15,950円 3連複:20,080円 3連単:132,480円",,,,,,,,,,,
■ 2R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,角田浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃスノｰドン, 43,古川吉,, 70,* -9,* 11, 3,  4.5,①①①, 1,10,Ｋロｰドセイバｰ, 59,高倉稜,, 69,   8,*  4, 8, 27.4, ⑩⑩, 1, 7,Ａゴｰルドロジャｰ, 76,的場勇,, 69,*  1,  13, 2,  4.7,②②②, 1, 7,Ｂガンドッグ, 82,吉田隼,, 84,* 19,   3, 1,  3.5, ①①
 2, 6,Ａコスモオアシス, 55,丹内祐, 0.4, 67,* -9,*  8, 1,  1.9,②②②, 2, 7,Ｂデンファレ, 73,的場勇, 0.0, 72,  13,  -1, 3,  4.8, ⑤⑤, 2, 4,Ｅオｰルヴォアｰル, 69,勝浦正, 0.1, 64,  -1,* 14, 1,  4.2,④④③, 2, 3,Ｇファンドリカップ, 78,勝浦正, 0.3, 78,  13,*  5,11, 36.3, ⑥⑤
 3, 4,Ｄヴェリタスウオリア, 42,川須栄, 1.2, 55, -10,  -2, 2,  3.7,④③③, 3,12,Ｃパラダイムシフト, 70,大野拓, 0.0, 68,   9,*  4, 7, 12.9, ⑨⑨, 3, 1,Ｃアポロストｰム, 71,丹内祐, 0.4, 64,  -1,  12, 4,  5.5,⑦⑤⑤, 3,12,Ｋタンジブルアセット, 76,丹内祐, 0.6, 77,  13,   3, 4,  7.9, ⑧⑥
 4, 1,Ｅカゼカオル, 42,上村洋, 2.1, 46, -12, -12, 5, 20.1,③④④, 4, 8,Ｆアンジュヴォレ, 67,古川吉, 0.2, 66,  10,   0,10, 45.8, ⑧⑧, 4, 9,Ｇスズカマジェスタ, 68,上村洋, 0.6, 60,*  1,   8, 7,  9.7,①①①, 4, 4,Ｉキンショｰユウジャ, 76,古川吉, 0.7, 75,* 16,  -2, 7, 13.3, ③②
 5, 8,Ｆナンヨｰウゼン, 40,吉田隼, 2.4, 44, -13, -12, 6, 30.6,⑦⑦⑤, 5, 5,Ｄコスモイルダｰナ, 70,丹内祐, 0.4, 66,  11,  -3, 1,  3.2, ⑦⑦, 5, 3,Ｆケイジｰウィンザｰ, 68,岩部純, 0.7, 61,  -3,  13, 5,  6.7,⑥⑥⑥, 5,13,Ｈサトノデｰトナ, 77,丸田恭, 0.8, 73,  11,   3, 8, 16.8, ⑩⑨
 6, 9,Ｂライムフレｰバｰ, 44,小野寺, 2.6, 43, -14, -10, 4, 10.2,⑨⑧⑧, 6, 1,Ｊホｰマンルッツ, 65,松田大, 0.6, 67,  13,  -6, 4,  7.0, ④③, 6, 2,Ｂアイティゴｰルド, 72,平野優, 1.1, 58,  -3,  10, 3,  4.9,⑧⑧⑧, 6, 5,Ｃスリｰボストン, 81,川須栄, 1.0, 72,  13,  -1, 2,  5.1, ⑦⑦
 7, 5,Ｇクリノラウエン, 35,高倉稜, 3.0, 36, -13, -21, 8, 66.5,⑥⑥⑥, 7,13,Ｇメイショウテッペイ, 67,森一馬, 0.6, 61,   5,   1,11, 58.1, ⑪⑪, 7, 8,Ｈヒミノキンカメ, 68,高倉稜, 1.2, 59,  -3,  10, 8, 32.3,⑨⑨⑨, 7, 8,Ａホクトキングダム, 87,木幡初, 1.2, 69,  12,  -2, 3,  6.1, ⑨⑪
 8, 7,Ｉヒシマイケル, 28,松山弘, 4.3, 24, -16, -32, 9,112.4,⑧⑨⑨, 8, 6,Ｅデイズオブメモリｰ, 68,藤懸貴, 0.6, 64,  11,  -4, 6, 12.0, ⑥⑥, 7, 5,Ｄスリｰプレシャス, 70,吉田隼, 1.2, 56,   0,   4, 6,  7.6,③③④, 8, 1,Ｎエスカｰダ, 63,的場勇, 1.2, 71,   7,   3,13, 75.3, ⑬⑬
 9, 3,Ｈバトルオスマン, 31,平野優, 4.5, 23, -13, -41, 7, 31.4,⑤⑤⑦, 9,14,Ｌスズカジェネラル, 56,鮫島良, 1.2, 57,   4,  -4,12,221.4, ⑬⑫, 9, 6,Ｉメイショウハウンド, 59,森一馬, 1.2, 57,  -2,   8, 9,103.7,⑤⑦⑦, 9,14,Ｅサミットストｰン, 79,村田一, 1.4, 66,   7,   1, 5, 10.4, ⑭⑭
,,,,,,,,,,,,10, 9,Ｉアスタｰポメリｰ, 66,川須栄, 1.5, 60,* 19, -19, 5,  9.9, ①①,,,,,,,,,,,,,10,15,Ｊダノンマイスタｰ, 76,津村明, 1.5, 67,  10,  -2,14,177.3, ⑪⑩
,,,,,,,,,,,,11, 3,Ｈミクル, 67,柴山雄, 1.8, 54,* 16, -20, 9, 32.7, ②②,,,,,,,,,,,,,11, 2,Ｌラベンダｰカラｰ, 70,松田大, 1.5, 72,* 17,  -9, 9, 19.5, ②③
,,,,,,,,,,,,12,11,Ｍカリスマロｰレル, 55,松山弘, 2.1, 47,  -3,  -5,14,478.1, ⑭⑭,,,,,,,,,,,,,12,10,Ｆヤマニンパピオネ, 79,高倉稜, 1.6, 69,  15,  -9, 6, 12.2, ⑤④
