11年 2月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,あすなろ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂアベマリア, 59,勝浦正,, 63,*  1,*  5, 2,  4.7,②②②, 1, 5,Ａアバウト, 62,芹沢純,, 61,* -2,  -1, 1,  3.4,①①①, 1, 7,Ａダノントレビアン, 77,松山弘,, 81,   2,* 18, 2,  3.0,⑥⑤③, 1, 2,Ｂカフナ, 74,丸山元,, 66,  -7,* 27, 1,  2.9,②③③
 2, 2,Ａウインジュビリｰ, 62,中舘英, 0.9, 56,*  1,  -3, 1,  1.2,①①①, 2,15,Ｂジョウノアラミス, 62,丸山元, 0.0, 63,  -6,*  7, 2,  4.3,⑨⑨⑨, 2, 3,Ｅウォｰタｰサムデイ, 71,酒井学, 0.8, 75,   2,  11, 5, 16.8,⑤③④, 2, 4,Ａゴｰルドブライアン, 78,浜中俊, 0.3, 65,  -8,* 27, 2,  3.2,⑧⑥⑥
 3,10,Ｃラブバｰボン, 57,田辺裕, 1.6, 51,  -1,  -4, 3, 12.3,⑦④③, 3, 3,Ｇマイネルヴィｰゼ, 55,丹内祐, 0.3, 61,  -6,*  3, 8, 17.8,⑧⑦⑦, 3, 1,Ｇオウシュウベスト, 70,勝浦正, 1.0, 71,*  5,   5, 8, 85.2,⑨①①, 3, 8,Ｄサトノシュレン, 60,田辺裕, 0.3, 60,* -6,  21, 4,  6.4,③②②
 4, 7,Ｇプレシャスマリン, 47,小野寺, 1.7, 51,  -3,  -3, 6, 40.4,⑨⑦⑥, 4, 4,Ｈダイヤノゲンセキ, 50,浜中俊, 0.3, 59,  -5,   0, 3,  6.0,⑤⑤⑤, 4,10,Ｂモルフェキング, 74,中舘英, 1.0, 71,*  3,   7, 1,  2.4,①②②, 4, 1,Ｇマイネルヴァルム, 56,丹内祐, 0.4, 61,* -4,  17, 5, 19.3,①①①
 5, 8,Ｆデンエン, 49,宮崎北, 2.3, 47,  -1,  -9, 9,103.7,⑤⑤⑤, 5,10,Ｃルｰビンシュタイン, 57,勝浦正, 0.4, 57,  -4,  -1, 6, 10.8,⑥⑥⑥, 5, 4,Ｄドリｰムザネクスト, 71,丸山元, 1.4, 69,   0,   8, 3,  5.8,⑧⑧⑥, 5, 6,Ｅマイネソルシエｰル, 59,丸田恭, 0.6, 60,  -8,  23, 6, 22.2,⑤⑤⑤
 6, 1,Ｄメメエナン, 57,二本柳, 2.4, 47,  -4,  -6, 5, 36.7,⑧⑧⑧, 6,13,Ｄザッツベタｰ, 57,川須栄, 0.6, 54,* -3,  -7, 4,  7.0,⑩④④, 6, 2,Ｆサｰチリザルト, 70,浜中俊, 1.7, 68,   1,   7, 7, 26.2,⑪⑪⑩, 6, 3,Ｃザルグｰン, 64,藤岡康, 0.7, 58,  -7,  17, 3,  3.2,④④④
 7, 3,Ｊサクラオイデ, 34,大野拓, 2.8, 45,  -7,  -3, 8, 77.8,⑩⑩⑨, 7, 8,Ｏサクライｰグル, 41,鮫島良, 0.6, 59, -10,*  6,15,110.3,⑯⑯⑮, 7, 5,Ｃウィアｰザスタｰ, 72,川須栄, 1.9, 67,   1,   3, 4,  7.1,③⑥⑤, 7, 7,Ｆシゲルカンリカン, 58,太宰啓, 2.9, 31, -10,  -7, 7, 56.8,⑥⑦⑧
 8, 4,Ｉサンキュｰレット, 34,西田雄, 2.9, 43,  -1, -15,10,184.7,④③④, 8,11,Ｍクリｰンメタボ, 43,丸田恭, 0.6, 56,  -6,  -1,12, 69.3,⑦⑧⑧, 8, 6,Ｈナンヨｰスラッガｰ, 69,太宰啓, 1.9, 65,   1,   3, 6, 17.9,④⑦⑨, 8, 5,Ｈコパノオンタイム, 43,勝浦正, 3.0, 30, -11,  -5, 8,132.2,⑦⑧⑦
