11年 4月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 4月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 7R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾈﾓﾌｨﾗ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃデミチンタ, 63,津村明,, 59,  -3,*  5, 5,  8.5,⑧⑦⑥, 1,11,Ａマウシャｰレ, 63,渡辺薫,, 61,* -1,*  7, 1,  1.9, ③③, 1, 8,Ａジュモｰ, 75,勝浦正,, 69,  -5,* 14, 2,  6.5,⑦⑦⑦, 1, 5,Ｅイデア, 68,太宰啓,, 81,   5,* 10, 5,  9.3,⑦⑦⑨
 2, 4,Ｄスリｰプレシャス, 59,川須栄, 0.1, 60,  -3,*  4, 3,  5.1,⑪⑧⑦, 2, 2,Ｊホｰマンベルウィン, 35,水口優, 0.8, 51, -14,*  8, 9, 46.8, ⑧⑧, 2, 3,Ｋレディｰムスタング, 63,花田大, 0.3, 64,* -2,   6, 5, 12.5,①①①, 2, 3,Ａアンバｰシェｰド, 74,酒井学, 0.2, 79,   5,*  9, 2,  5.4,⑨⑩⑥
 3, 6,Ａネオザスティング, 66,藤懸貴, 0.8, 54,* -1,  -4, 4,  7.1,②②②, 3,12,Ｅチャｰミングロック, 47,小林淳, 1.0, 50,  -7,   2, 8, 42.7, ⑦⑦, 3,12,Ｈルペルカリア, 66,田辺裕, 0.4, 64,  -5,   9, 3,  7.3,⑤⑥⑤, 3, 8,Ｄアストリンジャｰ, 71,石橋脩, 0.3, 77,   7,   3, 4,  6.1,⑥⑥③
 4, 9,Ｈディアアプロｰズ, 52,川島信, 0.9, 54,  -3,  -2, 7, 14.0,③⑤③, 4, 1,Ｄマルカファントム, 48,森一馬, 1.1, 48, -15,*  6, 6, 21.4, ⑨⑨, 4, 1,Ｂマイネフェリックス, 74,丹内祐, 0.5, 67,  -4,   7, 1,  1.8,④③②, 4, 4,Ｌコットンフィｰルド, 56,大野拓, 0.7, 75,   4,   4,12, 86.0,⑪⑨⑦
 5,13,Ｊマコトロングボウ, 51,中谷雄, 1.1, 52,* -1,  -6, 9, 25.1,⑤④④, 5,10,Ｃグッドクロック, 51,田辺裕, 1.1, 49,* -1,  -3, 3,  6.8, ①①, 5, 5,Ｇトワインブルｰム, 68,黛弘人, 0.6, 65,  -7,* 13,10, 41.5,⑧⑨⑧, 5,10,Ｆマイネルヴァルム, 65,丹内祐, 0.9, 72,* 10, -10, 7, 17.8,①①①
 6, 3,Ｅチェルビアット, 59,大野拓, 1.3, 49,* -1,  -8, 6, 11.9,①①①, 6, 7,Ｂエムオｰスマイル, 55,竹之下, 1.2, 48,  -4,  -2, 2,  5.1, ④④, 6,10,Ｍブランジェリｰナ, 59,杉原誠, 0.8, 62,  -4,   5, 6, 16.5,③⑤④, 6, 9,Ｂインナｰジョイ, 73,田辺裕, 1.1, 66,   6,  -6, 1,  2.8,⑧⑧⑤
 7,15,Ｂレッドオブガバナｰ, 63,伊藤工, 1.4, 49,  -3,  -7, 1,  3.5,⑦⑥⑧, 7, 4,Ｆジャックボウイ, 46,西村太, 1.2, 47,  -9,   1, 7, 33.2, ⑥⑥, 7,16,Ｅミリアム, 70,松山弘, 0.8, 64,  -5,   8, 4, 10.9,⑥⑧⑩, 7, 7,Ｃロングスロｰイン, 71,勝浦正, 1.1, 66,   7,  -9, 3,  5.9,④③④
 8, 5,Ｋミヤビコンクエスト, 41,田中博, 1.7, 50,  -5,  -5, 2,  5.0,⑥⑨⑨, 8, 9,Ｋダイヤモンドアロｰ, 33,酒井学, 1.6, 44,  -6,  -5, 5, 11.6, ⑤⑤, 8, 4,Ｆラウリシルヴァ, 70,大野拓, 0.9, 62,  -9,* 13, 9, 35.9,⑩⑪⑪, 8,13,Ｊグレｰトマッハ, 57,伊藤工, 1.4, 64,*  8, -16,11, 53.7,②②②
 9,12,Ｇシゲルシュカン, 54,花田大, 2.4, 45,  -8,  -5,12, 99.8,⑫⑫⑩, 9, 6,Ｉタマモカルメン, 40,花田大, 1.8, 40, -21,   3,10, 51.8, ⑩⑩, 9,13,Ｌヴィッテリア, 62,伊藤工, 1.1, 63,  -6,  10,15,262.4,⑫⑩⑨, 9, 2,Ｇゴｰズオン, 64,川須栄, 1.6, 64,   1,  -3, 9, 25.6,⑫⑫⑫
10, 1,Ｍトｰホウソング, 40,田辺裕, 2.5, 42,  -6, -10,10, 67.5,⑨⑩⑪,10,13,Ｇイｰグルフォンテン, 46,丸田恭, 1.9, 40,* -1, -10, 4,  8.7, ②②,10,11,Ｄマイネルナロッサ, 70,中谷雄, 1.2, 62, -10,* 13, 8, 30.5,⑬⑭⑮,10, 1,Ｈエｰシンミラｰジュ, 63,高倉稜, 2.1, 61,   1,  -7, 8, 18.9,⑬⑬⑬
11, 7,Ｐシャイニｰスイｰト, 38,西村太, 2.9, 41, -10,  -6,15,194.3,⑭⑭⑬,11, 8,Ｎアレルヤトウブ, 23,大野拓, 2.3, 35, -20,  -1,13,133.1, ⑪⑪,11,14,Ｉウエスタンエルザ, 65,石橋脩, 1.3, 59,  -9,  10,14,197.3,⑭⑬⑫,11,12,Ｋシャイニンロミオ, 57,丸田恭, 2.1, 58,   7, -21, 6, 14.1,⑤④⑧
12,11,Ｎグリｰンフラッグ, 38,松山弘, 3.1, 41,* -1, -22,13,136.5,④③⑤,12, 3,Ｌシオンフェアリｰ, 31,杉原誠, 2.5, 32, -24,  -1,11, 72.0, ⑫⑫,12, 2,Ｏニホンピロエリナ, 57,酒井学, 1.5, 61, -10,  12,11, 54.0,⑯⑯⑭,12,11,Ｍコパノテンジン, 49,津村明, 2.7, 54,   3, -21,13,278.2,⑩⑪⑪
13,16,Ｏザレヴォルｰション, 38,宮崎北, 3.1, 38,  -8, -11,16,313.2,⑬⑬⑫,13, 5,Ｈハイタッチレディ, 40,古川吉, 3.1, 25, -29,  -4,12,121.0, ⑬⑬,13, 9,Ｃティフィン, 70,藤懸貴, 1.6, 55,* -3,  -3,12, 62.9,⑨④⑥,13, 6,Ｉシｰライフ, 59,川島信, 2.8, 53,   7, -33,10, 40.9,③⑤⑩
14, 2,Ｌシシフンジン, 41,黛弘人, 3.3, 39, -11,  -9,14,157.0,⑮⑮⑮,14,14,Ｍリリｰコンコルド, 27,宮崎北, 4.1, 15, -32, -10,14,321.8, ⑭⑭,14, 6,Ｎヤマイチテキｰラ, 58,嶋田純, 2.0, 55,  -9,   3,13,163.1,⑪⑫⑬,,,,,,,,,,,,
15, 8,Ｉテイエムヒナマツリ, 52,古川吉, 3.7, 36,  -5, -20,11, 93.0,⑩⑪⑭,,,,,,,,,,,,,15,15,Ｊチリトテシャン, 63,西村太, 2.1, 55, -10,   4,16,322.2,⑮⑮⑯,,,,,,,,,,,,
16,14,Ｆヴァｰル, 56,高倉稜, 4.4, 29, -14, -14, 8, 15.4,⑯⑯⑯,,,,,,,,,,,,,16, 7,Ｐサンデｰジョウ, 56,津村明, 2.1, 50,* -3,  -9, 7, 27.1,②②③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
"単勝:850円 複勝:10=280円 04=170円 06=270円 枠連:1,000円",,,,,,,,,,,,"単勝:190円 複勝:11=110円 02=880円 12=680円 枠連:4,590円",,,,,,,,,,,,"単勝:650円 複勝:08=270円 03=440円 12=300円 枠連:2,680円",,,,,,,,,,,,"単勝:930円 複勝:05=260円 03=200円 08=210円 枠連:2,710円",,,,,,,,,,,
"馬連:1,700円 ワイド:04-10=640円 06-10=1,390円 04-06=660円",,,,,,,,,,,,"馬連:4,130円 ワイド:02-11=1,630円 11-12=950円 02-12=12,730円",,,,,,,,,,,,"馬連:4,430円 ワイド:03-08=1,460円 08-12=1,010円 03-12=2,070円",,,,,,,,,,,,"馬連:2,590円 ワイド:03-05=960円 05-08=860円 03-08=700円",,,,,,,,,,,
"馬単:3,810円 3連複:4,130円 3連単:30,100円",,,,,,,,,,,,"馬単:6,420円 3連複:25,370円 3連単:111,330円",,,,,,,,,,,,"馬単:7,400円 3連複:12,460円 3連単:49,600円",,,,,,,,,,,,"馬単:5,410円 3連複:5,180円 3連単:38,650円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1700m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,天草特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｃニュｰユニヴァｰス, 57,松山弘,, 58,  -3,*  3, 2,  3.6, ④③, 1,14,Ｃアラビアンザサン, 61,宮崎北,, 66,* -1,*  9, 7, 32.2,⑤③③, 1, 7,Ｂヴァンダライズ, 79,赤木高,, 77,*  8,* 11, 3,  4.6,②②②, 1, 4,Ｋタイセイレジェンド, 75,芹沢純,, 80,*  9,* 10, 7, 13.6,①①①
 2, 6,Ａエキナシア, 64,嶋田純, 0.0, 57,  -3,*  3, 1,  1.9, ③④, 2, 8,Ａトシザツンツン, 65,中舘英, 0.0, 68,*  0,*  8, 1,  2.4,②②②, 2, 6,Ｈスプリングバレル, 67,酒井学, 0.1, 77,*  8,   8, 9, 37.7,①①①, 2, 6,Ｅタガノアッシュ, 82,赤木高, 0.2, 80,   8,* 11, 4,  8.6,⑦⑤④
 3, 8,Ｂテルユｰホワット, 58,津村明, 0.4, 52,  -7,*  2, 4, 15.7, ⑥⑥, 3,15,Ｄキリマンジャロ, 61,田辺裕, 1.6, 56,  -4,  -1, 4,  6.9,⑧⑧⑨, 3, 2,Ｄユキノサイレンス, 74,古川吉, 0.4, 75,*  7,   8, 2,  4.4,③③③, 3, 5,Ｉトウショウデザイア, 78,高倉稜, 0.4, 76,*  8,   8,10, 21.2,②②②
 4,13,Ｌトｰセンスタッフ, 32,伊藤工, 0.6, 52,*  0,  -4, 8, 27.2, ②②, 4, 7,Ｇザキャッチ, 56,津村明, 1.8, 55,  -3,  -3, 8, 36.8,⑫⑩⑤, 4,13,Ｉピンクジャスミン, 66,宮崎北, 0.6, 74,   6,   8,11, 53.6,⑤⑥④, 4, 7,Ｈロングロウ, 78,中舘英, 0.7, 75,   7,   6, 8, 16.1,③③⑤
 5, 5,Ｅウインドワｰド, 52,田辺裕, 0.8, 49, -11,   2, 5, 15.8, ⑩⑩, 5, 3,Ｊスズカゴｰゴｰ, 49,西村太, 1.8, 55,  -2,  -5, 6, 15.9,③④④, 5,14,Ａロックバルｰン, 79,中舘英, 0.6, 74,   6,   7, 4,  5.9,⑥⑤⑥, 5, 2,Ｊテルミｰホワイ, 78,酒井学, 0.8, 75,   7,   6, 6, 10.2,④④③
 6, 3,Ｇアラマサアフリｰト, 47,勝浦正, 0.8, 49,  -9,   1, 7, 26.0, ⑧⑦, 6, 9, アンサンブル,---,川須栄, 2.2, 54,  -7,   0, 9, 43.5,⑮⑮⑭, 6,11,Ｋワキノブライアン, 65,太宰啓, 0.6, 75,   3,* 14, 6, 15.7,⑫⑫⑩, 6, 9,Ｄゴｰアップドラゴン, 82,嘉藤貴, 1.0, 75,   3,* 12, 3,  7.4,⑯⑮⑮
 7, 2,Ｄマンボフェスタ, 55,大野拓, 1.0, 47, -11,   0,11, 93.7, ⑨⑨, 7, 5,Ｎアｰスワンネス, 37,丸田恭, 2.3, 49,*  0, -12,12,113.4,①①①, 7,12,Ｃヤマニンシャスｰル, 78,田辺裕, 0.8, 70,   6,   7, 1,  3.2,⑪⑦⑧, 7, 1,Ｏワンダｰスル, 72,川須栄, 1.1, 74,   5,   9,12, 51.2,⑮⑪⑦
 8,10,Ｆミズｰラ, 49,中舘英, 1.0, 48,*  0,  -8, 6, 15.9, ①①, 8,13,Ｆシルバｰチｰフ, 58,古川吉, 2.3, 53,  -5,  -4,10, 54.9,⑭⑭⑮, 8, 1,Ｆシベリアンアロｰ, 71,川須栄, 0.9, 71,   4,   7,10, 40.7,⑦⑧⑦, 8, 3,Ｐミウラジェット, 69,嶋田純, 1.5, 71,   4,   6,16,313.2,⑭⑭⑫
 9, 7, オフ,---,小野寺, 1.2, 44, -15,   1,12,143.3, ⑪⑪, 9,11,Ｂカネトシリｰプイン, 64,花田大, 2.4, 51,  -2, -10, 2,  4.9,④⑤⑥, 9, 8,Ｅベルウッドゼウス, 72,大野拓, 1.7, 62,*  7, -10, 5,  9.7,④④⑤, 9,15,Ｃナリタカｰビン, 85,上村洋, 1.5, 70,   6,   1, 2,  4.5,⑨⑧⑨
10, 4,Ｈロｰズベリｰ, 47,西村太, 2.0, 38,  -3, -13,10, 69.2, ⑤⑤,10, 4,Ｍメジロボンテン, 47,黛弘人, 2.6, 50,  -5,  -8,11, 66.3,⑪⑫⑪,10, 3,Ｇキングオブロマネ, 67,勝浦正, 1.7, 61,   3,   0,13,137.0,⑩⑪⑪,10,12,Ｍセトノメジャｰ, 75,古川吉, 1.5, 71,   5,   5,11, 44.7,⑬⑬⑭
11, 1,Ｉナムラエイブル, 46,森一馬, 2.1, 34, -18,  -6, 3,  8.7, ⑫⑫,11, 1,Ｌフジマサフロｰラ, 48,小野寺, 2.8, 49,  -4, -11,13,234.9,⑦⑦⑧,11, 4,Ｏカネコメツヨシ, 55,渡辺薫, 1.7, 66,   2,   2,14,168.1,⑬⑬⑫,11,11,Ａナムラブレット, 86,太宰啓, 1.6, 69,   8,  -1, 1,  4.0,⑥⑦⑥
12,12,Ｋダンスインザサイト, 42,松田大, 3.0, 29,  -6, -21, 9, 50.5, ⑦⑧,12, 6,Ｈフライハイエスト, 55,嘉藤貴, 2.9, 48,  -5, -10,15,341.8,⑬⑬⑬,12, 9,Ｌスプリングナイル, 63,小林淳, 1.8, 63,   0,   4,15,251.5,⑭⑭⑭,12,13,Ｇディアトウシロウ, 79,伊藤直, 1.9, 68,   5,   2, 9, 20.4,⑫⑫⑬
13,11,Ｊキャヴァンクラブ, 45,高倉稜, 3.2, 22, -18, -16,13,186.2, ⑬⑬,13, 2,Ｏオペラヒメ, 29,藤懸貴, 3.0, 47,  -5, -11,14,237.9,⑩⑪⑩,13, 5,Ｊバトルイグアス, 65,松山弘, 1.8, 65,  -3,* 10, 7, 26.6,⑮⑮⑮,13,10,Ｂフロムジオリエント, 85,田辺裕, 2.0, 65,   7,  -4, 5,  8.8,⑤⑥⑧
14, 9,Ｍテイエムアイリス, 27,古川吉, 3.2, 23, -25, -10,14,234.5, ⑭⑭,14,12,Ｋゴッドツヨシ, 49,松田大, 3.6, 45,  -2, -21, 3,  5.0,⑥⑥⑦,14,10,Ｎクｰルドリオン, 58,丸田恭, 2.1, 57,   4, -10, 8, 31.2,⑧⑨⑨,14,16,Ｆパシコジュリエ, 80,宮崎北, 2.5, 61,   6,  -5,15, 68.7,⑪⑩⑪
,,,,,,,,,,,,15,16,Ｅチャｰミングダンス, 61,太宰啓, 3.6, 42,  -3, -19, 5, 11.1,⑨⑨⑫,15,15,Ｍニチリン, 59,西村太, 2.4, 55,   4, -14,12,130.1,⑨⑩⑬,15, 8,Ｎサダルメリク, 72,松山弘, 3.3, 60,   2,  -6,13, 56.1,⑩⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｌフルボディｰ, 75,松田大, 3.3, 60,   6, -13,14, 66.0,⑧⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
