11年 2月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 7R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1700m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,沈丁花賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃノッティングボｰイ, 56,黛弘人,, 63,  -1,*  3, 3,  6.4,⑩⑧⑤, 1,10,Ａビッグスマイル, 66,田辺裕,, 69,  -1,*  6, 2,  2.5, ⑦⑦, 1, 8,Ｂシゲルシゲザネ, 74,太宰啓,, 75,  13,   1, 1,  1.6, ④②, 1,12,Ｇスマｰトリブレ, 63,松山弘,, 67,   7,* -7, 6, 10.7,⑥⑤④
 2,16,Ｄウィンザｰフラッグ, 56,川須栄, 0.3, 60,*  3,  -8, 1,  2.7,①①①, 2, 3,Ｉケイエスアｰチャン, 50,太宰啓, 0.3, 66,   1,* -1, 3,  9.7, ⑤③, 2, 2,Ｉファｰストメジャｰ, 64,伊藤工, 0.0, 76,  13,   1, 5, 29.6, ②③, 2,15,Ｂタナトス, 69,丸山元, 0.2, 65,   6,* -5, 1,  2.5,⑩⑩⑧
 3,11,Ｂパラダイスポイント, 61,安部幸, 1.1, 55,*  2, -12, 5, 10.0,③③③, 3, 1,Ｇクリノトルネｰド, 52,丸田恭, 0.4, 68,*  8,  -8, 8, 31.0, ①①, 3,14,Ａプリサイストップ, 81,高倉稜, 0.1, 69,   5,*  5, 2,  4.0, ⑧⑦, 3, 5,Ｅロｰジｰライト, 68,丸田恭, 0.4, 61,   6,  -8, 9, 37.8,⑧⑦⑥
 4,14,Ａレッドオブガバナｰ, 64,伊藤工, 1.1, 55,  -1,  -8, 2,  3.5,⑥⑥⑦, 4,15,Ｆショウナンマイケル, 55,中舘英, 0.8, 62,   1,  -7, 7, 27.3, ⑥⑥, 4,10,Ｇフジノタカワシ, 66,丸田恭, 0.6, 64,   6,   0,12, 75.8, ⑦⑨, 4,13,Ｄゴッドハンド, 68,藤岡康, 0.7, 61,   4,* -8, 7, 12.2,⑫⑪⑩
 5, 1,Ｇウインテイクオフ, 47,高倉稜, 1.2, 51,  -1,  -8, 4,  7.2,⑧⑦⑧, 5, 8,Ｃニシノハピエン, 59,小野寺, 0.9, 61,*  5, -12, 4, 12.4, ③④, 5, 4,Ｋラブチャｰミｰ, 61,川島信, 0.6, 67,   8,   0,11, 71.5, ⑥⑤, 5, 2,Ｈオグリシュンコｰ, 63,丸野勝, 0.8, 60,   7, -14,11,121.4,⑤④③
 6,12,Ｋセイエイ, 44,田中博, 1.6, 53,  -3,  -8,15,228.8,⑨⑩⑩, 6, 5,Ｂオペラモｰヴ, 62,藤岡康, 0.9, 61,   4, -11, 1,  2.5, ④⑤, 6,11,Ｅデイズオブメモリｰ, 68,藤岡康, 0.6, 65,   2,*  4, 3, 10.9, ⑫⑭, 6,10,Ｋセンティラシオン, 58,宮崎北, 1.2, 57,   5, -14, 4,  8.7,⑨⑨⑦
 7,15,Ｅログインデジタル, 52,西村太, 1.7, 52,  -5,* -5,11, 46.3,⑯⑫⑪, 7, 2,Ｅクリノエンドレス, 57,伊藤工, 1.0, 55,  -7,  -2, 5, 16.8, ⑪⑨, 7,13,Ｄメイショウテッペイ, 71,田中健, 0.7, 62,   1,   2,10, 69.5, ⑬⑬, 7, 4,Ｃラブギャラクシｰ, 68,太宰啓, 1.5, 55,   3, -11, 5, 10.3,⑬⑬⑨
 8,10,Ｈスペｰスウォｰク, 46,田辺裕, 1.7, 49,  -3,  -9,10, 42.7,⑫⑪⑨, 8,12,Ｍオｰスミストｰン, 39,川島信, 1.0, 56,  -9,* -1,13,103.8, ⑮⑪, 8, 1,Ｈツインズメモリｰ, 64,川須栄, 0.7, 64,   4,   0, 9, 66.7, ⑨⑧, 8, 8,Ｆアベマリア, 65,勝浦正, 1.6, 56,   5, -16, 2,  5.8,⑪⑫⑫
 9, 9,Ｊメイショウツルギ, 45,飯田祐, 1.9, 49,   0, -16, 6, 21.3,⑦⑤⑥, 9,11, ブリリアントクラン,---,高倉稜, 1.0, 57,  -4,  -4, 9, 48.4, ⑧⑧, 9, 7,Ｌアトムスパンカｰ, 60,鮫島良, 0.7, 61,  -1,*  4,14,192.5, ⑭⑩, 9, 9,Ｎコパノオンタイム, 44,田辺裕, 1.7, 53,   0,  -9,14,267.5,⑮⑭⑬
10, 4,Ｉマイネルクロｰバｰ, 45,丹内祐, 3.2, 43,   0, -27, 8, 34.5,⑤④④,10,14,Ｈハｰドブラボｰ, 52,古川吉, 1.6, 47, -11,  -5,14,137.4, ⑯⑮,10, 3,Ｃホッコｰイェｰガｰ, 71,松山弘, 1.1, 65,  13,  -9, 4, 11.0, ③④,10,14,Ａヤマノサファイア, 70,高倉稜, 2.7, 46,   7, -27, 3,  6.3,⑦⑧⑪
11, 7,Ｌヘルタｰスケルタｰ, 41,安藤光, 3.5, 38,*  2, -33,13,190.4,②②②,11, 6,Ｌマキハタファントム, 46,安部幸, 1.8, 50,*  6, -25,12, 83.2, ②②,11, 6,Ｊブラウンチｰタｰ, 63,西田雄, 2.0, 49,   3, -10,13, 80.0, ⑪⑫,11, 1,Ｍヨイチサｰクル, 57,大野拓, 2.8, 45,* 10, -34,10, 48.6,①①①
12,13,Ｆメインアヴェニュｰ, 51,太宰啓, 3.5, 39,  -6, -18,12, 74.8,⑬⑯⑮,12,13,Ｊフォルスユキ, 50,勝浦正, 1.8, 46,  -4, -14,11, 63.1, ⑨⑫,12,12,Ｆシンボリアニマｰト, 67,田辺裕, 2.0, 53,  10, -15, 7, 45.6, ⑤⑥,12, 6,Ｌマｰベラスビジン, 58,上村洋, 3.0, 46,*  9, -35,13,142.2,③③②
