11年 6月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 6月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湯川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａネオザスティング, 60,秋山真,, 59,*  0,*  2, 3,  4.8,①①①, 1,11,Ａヒットザタｰゲット, 65,安藤勝,, 74,*  8,* -3, 2,  3.9,⑫①①, 1, 7,Ｆタピルｰジュ, 64,秋山真,, 61,*  5,  -2, 9, 31.7, ②②, 1,10,Ｂアキノカウンタｰ, 71,丸山元,, 80,* -4,* 20, 3,  9.4,①①①
 2, 1,Ｂメｰンテｰブル, 58,丸山元, 0.5, 56,  -2,*  0, 1,  2.1,④⑤⑤, 2,10,Ｄヤマニンアベイユ, 62,武豊  , 0.4, 72,*  5,* -4, 3,  5.8,⑩⑤②, 2, 3,Ｅコスモセレクト, 66,木幡初, 0.1, 57,  -7,*  5, 6, 11.8, ⑩⑧, 2,11,Ｆアナバティック, 67,上村洋, 0.0, 80,* -6,* 21, 5, 13.6,②②②
 3, 5,Ｃストリングビｰン, 56,丸田恭, 0.7, 54,* -1,  -4, 6, 19.7,③③③, 3, 5,Ｇレオパルドゥス, 56,池添謙, 1.0, 67,  -1,*  0, 8, 18.4,⑮⑮⑧, 3, 1,Ｄフジノタカワシ, 67,丸田恭, 0.1, 58,  -3,*  3, 8, 17.0, ⑥⑤, 3, 7,Ａヒットメｰカｰ, 80,池添謙, 0.6, 79,  -8,* 21, 1,  1.9,⑫⑨⑥
 4, 3,Ｅブロｰドピｰク, 55,吉田隼, 0.7, 58,*  0,  -3, 2,  4.3,②②②, 4, 6,Ｊオレンジシチｰ, 53,川島信, 1.0, 68,   2,* -4,12,105.9,⑭⑫⑥, 4, 4,Ｃアシュア, 67,丸山元, 0.1, 62,*  7,  -4, 3,  6.1, ①①, 4, 6,Ｃマイファｰストラヴ, 70,武豊  , 0.7, 75,  -9,  17, 2,  3.3,⑧⑥⑤
 5, 9,Ｄゴｰルドハｰベスト, 56,武豊  , 1.1, 53,  -2,  -6, 5, 11.6,⑤④④, 5, 9,Ｅプレスインザサン, 61,丸山元, 1.1, 65,   4, -10, 7, 16.0,⑪⑦③, 5,11,Ｂオリオンザブラック, 69,西村太, 0.3, 58,   3,  -3, 4,  6.1, ⑤④, 5, 4,Ｊコングラチュレｰト, 61,秋山真, 0.8, 72,  -7,  13, 7, 25.5,④③③
 6, 7,Ｉスズカバンパイア, 45,小林徹, 1.3, 55,  -5,  -1, 8,138.7,⑧⑨⑧, 6,12,Ｆシンボリストｰム, 59,吉田隼, 1.6, 60,*  5, -20, 4,  7.4,⑧④④, 6, 2,Ａセトノジャｰニｰ, 71,三浦皇, 0.6, 55,   2,  -5, 2,  3.9, ③③, 6, 2,Ｄベルウッドゼウス, 69,岩部純, 0.8, 74,  -9,  17, 8, 45.8,⑥⑦⑨
 7, 8,Ｈマキノスペシャル, 49,武英智, 1.6, 49,  -4,  -6,10,216.1,⑨⑦⑦, 7, 4,Ｉキャプテンダリア, 55,三浦皇, 2.4, 54,*  5, -33, 6, 12.9,③③⑤, 7, 5,Ｇエンジンゼンカイ, 62,吉田隼, 0.9, 50,  -6,  -3, 5,  8.7, ⑧⑨, 7,13,Ｇダッシュアキチャン, 65,三浦皇, 1.2, 73, -10,  16, 6, 18.8,⑪⑪⑩
 8,10,Ｇメイショウフジッコ, 49,長谷川, 1.9, 49,  -8,  -1, 7, 27.0,⑩⑩⑩, 8, 2,Ｋテイエムモｰレツ, 52,古川吉, 2.6, 52,   1, -24,14,158.5,⑬⑭⑬, 8, 8,Ｈペプチドサクシｰド, 59,武英智, 1.0, 50,  -1,  -7, 1,  3.6, ⑦⑦, 8, 5,Ｉシンクオブミｰ, 64,長谷川, 1.2, 67,  -9,  11,10,118.7,⑦⑧⑧
 9, 6,Ｆマシェリｰアンジュ, 55,三浦皇, 2.0, 46,  -4, -10, 4,  7.2,⑦⑥⑥, 9,16,Ｈウェディングドレス, 56,丸田恭, 2.7, 50,   2, -29,13,132.5,⑥⑧⑩, 9, 9,Ｉマキシムカムイ, 57,杉原誠, 1.0, 48,  -6,  -4,10, 55.7, ⑨⑩, 9, 8,Ｋラｰマブルｰ, 57,藤岡佑, 1.5, 70, -12,  14,12,185.5,⑬⑬⑬
10, 4,Ｊサクラオイデ, 44,丹内祐, 3.3, 41,  -5, -18, 9,158.4,⑥⑧⑨,10, 3,Ｂアズマユニヴァｰス, 64,藤岡佑, 3.3, 47,   4, -42, 1,  3.4,⑤⑥⑦,10, 6,Ｋセイルアゲン, 51,津村明, 1.1, 45, -14,   1,11,108.0, ⑪⑪,10, 9,Ｈツキヒカル, 65,勝浦正, 1.6, 63, -10,  10,11,147.9,⑩⑫⑪
,,,,,,,,,,,,11,15,Ｏアドマイヤジャコモ, 49,上村洋, 3.7, 42,   3, -45, 9, 46.0,⑦⑩⑪,11,10,Ｊアポロジェニｰ, 54,的場勇, 1.9, 44,   3, -18, 7, 13.5, ④⑥,11,12,Ｅシルヴァｰノ, 69,松田大, 1.7, 60,  -8,   0, 4, 10.6,⑤④④
,,,,,,,,,,,,12,13,Ｌヒシマドンナ, 52,木幡初, 4.2, 40,   2, -49,10, 47.8,⑨⑪⑫,,,,,,,,,,,,,12, 3,Ｌコマンドパワｰ, 56,荻野琢, 2.4, 51,  -8,  -9, 9, 60.3,③⑤⑦
,,,,,,,,,,,,13, 1,Ｍマヤノラスティｰ, 50,松田大, 4.8, 39,*  5, -66,15,188.2,①②⑨,,,,,,,,,,,,,13, 1,Ｍハギノウタヒメ, 55,津村明, 3.4, 42, -10, -15,13,272.1,⑨⑩⑫
,,,,,,,,,,,,14,14,Ｐオリンピアシチｰ, 36,柴山雄, 5.0, 35,   0, -53,16,393.6,⑯⑯⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 7,Ｎランドムテキ, 49,小林徹, 5.4, 33,  -1, -62,11,103.7,④⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 8,Ｃメイショウテッサイ, 64,長谷川, 6.5,  3,   4, -84, 5,  8.1,②⑨⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-5),,,,,,,,,,,
単勝:480円 複勝:02=140円 01=110円 05=230円 枠連:430円,,,,,,,,,,,,単勝:390円 複勝:11=160円 10=220円 05=380円 枠連:530円,,,,,,,,,,,,"単勝:3,170円 複勝:07=640円 03=350円 01=430円 枠連:11,100円",,,,,,,,,,,,"単勝:940円 複勝:10=230円 11=340円 07=130円 枠連:3,400円",,,,,,,,,,,
馬連:450円 ワイド:01-02=170円 02-05=680円 01-05=490円,,,,,,,,,,,,"馬連:1,180円 ワイド:10-11=490円 05-11=1,060円 05-10=1,630円",,,,,,,,,,,,"馬連:8,790円 ワイド:03-07=2,170円 01-07=3,740円 01-03=1,570円",,,,,,,,,,,,"馬連:3,570円 ワイド:10-11=1,380円 07-10=470円 07-11=660円",,,,,,,,,,,
"馬単:1,170円 3連複:1,720円 3連単:8,630円",,,,,,,,,,,,"馬単:2,310円 3連複:7,330円 3連単:26,800円",,,,,,,,,,,,"馬単:20,350円 3連複:29,680円 3連単:298,170円",,,,,,,,,,,,"馬単:9,000円 3連複:3,540円 3連単:35,960円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,五稜郭ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａニシノショｰタイム, 62,藤田伸,, 65,*  2,* -2, 1,  1.5, ①①, 1, 7, コスモメガトロン,---,丹内祐,, 68,  -6,*  6, 3,  5.0, ③③, 1, 2,Ｂビスカヤ, 70,藤田伸,, 71,  -4,* 10, 3,  5.7, ⑦⑦, 1, 3,Ｅホッカイカンティ, 86,藤田伸,, 87,  -3,  29, 5, 12.1,⑥⑥⑥
 2, 5,Ｊシラサギジョウ, 44,柴田善, 0.4, 61,*  0,  -3, 5, 23.7, ②②, 2, 1, パチャママ,---,武豊  , 0.6, 60,* -2,  -6, 5,  9.5, ①①, 2, 5,Ｄファミリズム, 68,藤岡佑, 0.3, 67, -12,* 14, 8, 27.9, ⑭⑬, 2, 4,Ｃブリッツェン, 88,柴田善, 0.0, 85,*  0,  25, 1,  2.3,③③②
 3, 7,Ｄアップルポテト, 51,水口優, 0.7, 56,  -6,  -3,10,186.1, ⑦⑤, 3, 4, ヴァップ,---,勝浦正, 0.9, 55, -13,   2, 7, 47.9, ⑦⑦, 3,12,Ｌウルトラファイン, 57,三浦皇, 0.3, 66,  -2,   3, 6, 12.1, ⑥⑥, 3, 1,Ａコロンバスサｰクル, 91,武豊  , 0.1, 87,  -4,* 32, 3,  5.6,⑦⑦⑦
