11年10月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,堀川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂエｰシンブランコス, 54,川田将,, 63,  -9,*  9, 2,  4.4, ⑤④, 1,12, サンレイランキング,,難波剛,,,,, 4,  6.2,⑥⑤④, 1, 5,Ｂトウカイパラダイス, 79,国分優,, 84,*-11,* 26, 3,  3.0,②②②, 1, 8,Ａビッグスマイル, 88,川田将,, 86,  11,* 10, 2,  2.9, ⑥⑥
 2,14,Ｊオリｰブ, 35,太宰啓, 0.2, 59,* -5,   2, 9, 55.6, ①①, 2,11, マサヤマト,,西谷誠,195.0,,,, 1,  2.8,②①①, 2, 2,Ａロｰレルジャブラニ, 80,武豊  , 0.6, 78, -12,  20, 1,  2.6,④④④, 2,13,Ｃグルヴェイグ, 84,岩田康, 0.2, 84,  10,* 11, 1,  2.8, ⑨⑨
 3,15,Ｃアｰスパイプ, 53,福永祐, 0.6, 56,* -8,   1, 1,  2.2, ③③, 3, 6, エｰシンマイトップ,,北沢伸,195.3,,,, 3,  4.8,③②②, 3, 3,Ｃレッドシェリフ, 77,小牧太, 0.6, 78,*-11,  18, 2,  2.7,③③③, 3, 6,Ｂドナウブルｰ, 86,浜中俊, 0.2, 84,  11,   7, 3,  5.7, ⑤⑤
 4, 2,Ｉトウケイオリオン, 40,飯田祐, 0.9, 53,* -7,  -3, 3,  7.2, ②②, 4,14, エルチョコレｰト,,小坂忠,195.7,,,, 2,  3.4,④③③, 4, 4,Ｆログ, 65,藤岡佑, 0.7, 76,* -9,  13, 5, 26.9,①①①, 4, 7,Ｅマイネジャンヌ, 78,和田竜, 0.3, 83,* 14,   1, 6, 16.7, ④④
 5, 7,Ａラガｰトモヒｰロ, 55,岩田康, 0.9, 53,  -9,   0, 5, 10.3, ④⑤, 5, 8, ユウタｰチェイサｰ,,金子光,195.8,,,, 5, 12.9,⑦⑦⑦, 5, 6,Ｄダイシンマジック, 72,川田将, 0.7, 79, -12,  20, 4, 11.6,⑦⑦⑤, 5, 1,Ｈメｰヴェ, 76,藤田伸, 0.7, 79,   8,   7, 5, 13.0, ⑪⑩
 6, 5,Ｈシゲルマンゴｰ, 44,浜中俊, 1.5, 49, -14,  -1,10, 76.5, ⑩⑩, 6, 5, ニホンピロキリバス,,田村太,195.9,,,, 7, 38.8,⑤④⑤, 6, 7,Ｇメイショウゴモン, 63,幸英明, 1.2, 71, -12,  13, 7, 52.9,⑥⑤⑥, 6,10,Ｋアドマイヤテンバ, 75,藤岡佑, 0.7, 78,* 18, -14, 4,  9.1, ①①
 7,16,Ｄソロデビュｰ, 52,和田竜, 1.6, 47, -13,  -4, 6, 10.9, ⑨⑧, 7,13, セルリアンデｰゲン,,田嶋翔,196.0,,,,14,163.5,⑪⑧⑧, 7, 1,Ｅコイスキャｰレ, 68,酒井学, 1.7, 65, -12,   7, 6, 52.1,⑤⑥⑦, 7, 5,Ｏトｰホウリッチ, 66,幸英明, 1.0, 72,* 15, -14,13,200.0, ②②
 8,11,Ｅウォｰタｰボルカノ, 49,武豊  , 1.6, 47, -12,  -4, 4,  8.6, ⑦⑥, 8, 2, フェアギャンブラｰ,,黒岩悠,197.3,,,,12,121.9,①⑥⑥,,,,,,,,,,,,, 8,16,Ｄハッピｰグラス, 79,福永祐, 1.1, 74,   8,   1, 7, 16.9, ⑫⑪
 9, 6,Ｆヤマニンフルｰリｰ, 48,小牧太, 1.8, 45, -12,  -5, 8, 37.9, ⑧⑦, 9,10, フジノベルモット,,高野和,197.6,,,, 6, 22.2,⑧⑨⑨,,,,,,,,,,,,, 9, 4,Ｉブライダルベｰル, 76,丸山元, 1.2, 75,   6,   6,11,176.0, ⑭⑬
10, 4,Ｋクニサキロンワン, 34,国分恭, 2.0, 44, -23,*  3,16,329.3, ⑮⑮,10, 3, トムコウクン,,岩崎祐,198.9,,,, 8, 40.4,⑫⑪⑩,,,,,,,,,,,,,10,11,Ｇキクカラヴリイ, 77,酒井学, 1.4, 71,   6,   2, 8, 63.3, ⑮⑮
11, 9,Ｇメイショウハチドリ, 44,北村友, 2.1, 42, -15,  -5, 7, 36.8, ⑪⑪,11, 9, メイショウヘミング,,南井大,199.8,,,, 9, 66.9,⑬⑫⑫,,,,,,,,,,,,,11, 3,Ｐウォｰタｰセレネ, 62,国分優, 1.4, 70,  10,  -6,16,517.8, ⑧⑧
