11年12月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月25日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,赤穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａエアハリファ, 68,オドノ,, 63,*  4,* -6, 1,  1.6,④⑤④, 1, 9, カネスラファｰル,,横山義,,,,, 4,  8.0,④④③, 1,13,Ａオリｰビン, 74,小牧太,, 78,  12,* -3, 1,  2.6, ⑨⑧, 1, 9,Ｂロｰマンレジェンド, 85,川田将,, 83,*  5,* 15, 1,  1.8,③③③
 2, 4,Ｈショウナンハヤブサ, 52,浜中俊, 0.3, 63,   2,* -5, 3,  8.2,⑥⑥⑤, 2,11, ヒカリアライブ,,西谷誠,211.1,,,, 3,  5.8,①①①, 2, 4,Ｂマカハ, 71,浜中俊, 0.3, 76,  10,* -6, 2,  3.6, ⑧⑨, 2,12,Ａデスペラｰド, 88,松岡正, 0.2, 84,   2,* 20, 2,  3.6,⑮⑮⑮
 3,15,Ｅコスモアンノｰン, 59,石橋脩, 0.6, 59,*  5, -13, 2,  6.7,②②②, 3, 2, リアルヴィクトリｰ,,中村将,211.8,,,, 6, 15.2,⑤⑤⑤, 3, 7,Ｅゴｰルデンムｰン, 64,秋山真, 0.3, 75,  10,* -6, 4, 10.0, ⑪⑩, 3,11,Ｏディｰプルマン, 75,和田竜, 0.7, 78,*  5,   9, 8, 30.3,④④④
 4, 8,Ｄタマモライオン, 61,国分恭, 1.2, 56,   1, -10, 4,  9.8,⑧⑩⑧, 4, 1, リザｰブカｰド,,穂苅寿,211.8,,,, 2,  3.4,⑥②②, 4, 9,Ｇメイショウダビンチ, 61,松岡正, 0.4, 75,  12, -10, 8, 18.0, ⑦⑥, 4, 7,Ｉキｰネプチュｰン, 78,岩崎祐, 1.0, 76,   5,   8,16,297.9,⑨⑧⑨
 5, 9,Ｐアルディエス, 23,秋山真, 1.3, 56,   1, -11, 6, 25.4,⑩⑨⑩, 5, 8, シゲルジュウヤク,,岩崎祐,212.0,,,, 7, 22.0,②③④, 5,12,Ｄフレイムコｰド, 67,北村友, 0.4, 73,  16, -17, 6, 15.0, ③③, 5, 5,Ｍファンタズミック, 75,藤岡佑, 1.1, 75,   5,   6, 4, 16.3,⑦⑦⑧
 6,14,Ｃハｰトビｰトボｰイ, 64,幸英明, 1.3, 57,  -3,* -5, 8, 51.8,⑭⑬⑫, 6, 6, ゴｰルデンガッツ,,植野貴,212.7,,,, 8, 22.8,⑦⑦⑦, 6,11,Ｈプレミアムブルｰ, 60,藤岡佑, 0.6, 73,  14, -16, 3,  7.1, ⑤⑤, 6,10,Ｃナムラブレット, 83,国分恭, 1.1, 77,   3,  13, 9, 38.4,⑬⑭⑭
 7, 6,Ｆモンテビアンコ, 57,小牧太, 1.7, 51,*  5, -23, 7, 28.4,①①①, 7, 3, アナザｰスタｰ,,小坂忠,212.8,,,, 5, 12.3,③⑥⑥, 7, 1,Ｃアｰスソニック, 70,石橋脩, 0.6, 72,  12, -12, 9, 18.7, ⑥⑦, 7,14,Ｈゴｰルデンジャガｰ, 79,北村友, 1.2, 73,*  6,   2, 3, 12.9,①①①
 8,13,Ｌキングオブセイント, 40,安部幸, 1.8, 52,  -2, -10, 9, 60.5,⑪⑪⑪, 8, 4, マルタカタキオン,,田村太,216.4,,,, 9, 76.2,⑨⑨⑧, 8, 5,Ｆエリアコンプリｰト, 63,幸英明, 0.8, 69,  10, -12, 7, 17.1, ⑩⑪, 8, 6,Ｊハスラｰ, 77,浜中俊, 1.2, 75,   5,   6, 7, 25.5,⑥⑥⑤
