11年10月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1300m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,甲斐路ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｊラブリｰスタｰ, 39,柴山雄,, 65,   3,* -1,10, 30.5, ④⑥, 1, 6, フロｰライゼ,,平沢健,,,,, 5, 16.2,④⑥⑥, 1, 1,Ｂタマモワルツ, 74,嶋田純,, 72,   1,*  7, 3,  4.8, ②③, 1,10,Ｄモンテエン, 84,田中勝,, 91,*-11,  29, 4,  7.9,③②②
 2,13,Ｂマイネベルヴィ, 51,柴田大, 0.3, 64,  -1,*  1,11, 33.1, ⑩⑨, 2, 3, ドラゴンハンタｰ,,石神深,206.6,,,, 1,  2.3,⑦⑦⑦, 2,13,Ｆミッキｰオリｰブ, 64,丸山元, 0.0, 73,   1,*  7, 7, 14.7, ④④, 2, 9,Ｂアロマカフェ, 88,武士沢, 0.0, 88,* -9,  26, 6, 15.2,①①①
 3, 8,Ｇジョｰマダガスカル, 46,石橋脩, 0.8, 58,   2,  -7, 2,  4.3, ⑧⑦, 3,12, ブルｰデザフィｰオ,,大庭和,207.1,,,, 4,  8.8,②①①, 3,12,Ａプロスペラスマム, 78,ピンナ, 0.1, 71,*  3,   4, 2,  4.1, ③②, 3, 4,Ｅマコトギャラクシｰ, 83,松岡正, 0.2, 91, -12,  29, 5,  8.9,⑤⑥⑤
 4, 7,Ａアルファウイング, 58,三浦皇, 1.1, 59,*  7, -15, 6, 13.7, ①①, 4,13, ディアマイホｰス,,横山義,207.3,,,, 2,  3.6,⑤⑤②, 4, 6,Ｃシルクミライ, 74,吉田豊, 0.1, 70,  -1,*  9, 1,  3.9, ⑤⑥, 4, 5,Ｉレインボｰダリア, 78,三浦皇, 0.2, 90,*-11,  28, 3,  7.9,②③③
 5, 5,Ｉフォルテリコルド, 43,吉田豊, 1.1, 55,   2, -10, 3,  4.4, ⑥⑤, 5, 4, パワｰショウ,,山本康,207.9,,,, 8, 37.7,⑥④⑤, 5, 8,Ｎシャラントレディ, 51,松岡正, 0.6, 68,*  4,  -1, 9, 25.6, ①①, 5, 3,Ａリルダヴァル, 91,ピンナ, 0.3, 87, -12,  28, 1,  1.7,④⑤④
 6,14,Ｄトップフライアｰ, 51,横山典, 1.2, 56,*  6, -15, 1,  4.3, ③②, 6,11, マイネルパルティア,,柴田大,211.6,,,, 3,  5.0,③③③, 6, 3,Ｇコウマルクイｰン, 61,柴山雄, 0.9, 64,  -3,   3,11,134.2, ⑧⑧, 6,11,Ｊビンテｰジチャｰト, 74,北村宏, 0.3, 89, -14,* 30, 7, 26.7,⑦⑦⑨
 7, 4,Ｃトミケンウエスト, 51,嶋田純, 1.3, 56,*  4, -14, 5,  8.0, ②③, 7, 1, キョウエイバトラｰ,,宗像徹,214.1,,,,10,146.8,⑩⑩⑩, 7, 5,Ｈスマｰトレモラ, 60,三浦皇, 0.9, 65,  -5,   6, 4,  6.5, ⑪⑪, 7, 2,Ｇマイネルギブソン, 80,中谷雄, 0.6, 88, -15,* 31,10,212.9,⑩⑩⑩
 8, 6,Ｆプレミアムゴｰルド, 48,小林淳, 1.5, 53,   2, -12, 4,  7.5, ⑦⑧, 8,10, グラスサミット,,金子光,214.1,,,, 7, 23.5,⑧⑧⑧, 8, 4,Ｉアトムスパンカｰ, 60,大庭和, 1.1, 64,  -3,   3,10, 64.8, ⑨⑨, 8, 7,Ｆスカイリュウホｰ, 80,丸山元, 0.6, 85, -13,  27, 9, 86.3,⑨⑨⑧
 9,15,Ｈコスモダンケシェン, 44,中谷雄, 2.1, 49,   4, -20, 7, 15.5, ⑤④, 9, 9, シャトルベクタｰ,,鈴木慶,214.2,,,, 6, 19.1,①②④, 9, 9,Ｄモエレシノノメ, 68,小林淳, 1.3, 62,  -5,   3, 6, 13.5, ⑫⑫, 9, 6,Ｈショウナンアクロス, 80,吉田豊, 0.8, 83, -15,  26, 8, 79.1,⑪⑪⑪
10, 1,Ｅスタｰゲイジング, 50,武士沢, 2.4, 45,  -2, -16, 9, 26.9, ⑫⑫,10, 5, バンクｰバｰリズム,,高野和,216.0,,,,14,323.5,⑨⑨⑨,10,11,Ｊコウヨウメビウス, 58,柴田大, 1.4, 62,   0,  -5,12,146.1, ⑥⑤,10, 1,Ｃエｰブチェアマン, 85,横山典, 1.0, 79, -13,  21, 2,  6.4,⑧⑧⑦
11, 2,Ｍハリファックス, 36,丸山元, 2.8, 42,  -1, -21, 8, 18.0, ⑬⑩,11, 2, アプロｰズヒｰロｰ,,江田勇,217.0,,,, 9, 55.7,⑫⑫⑫,11,14,Ｅルｰジュ, 68,横山典, 2.6, 50, -10,  -4, 5,  7.4, ⑮⑭,11, 8,Ｋトウカイプライム, 70,柴田大, 1.7, 68, -12,   8,11,332.8,⑥④⑥
12,11,Ｏホクセツロｰズ, 26,大庭和, 3.7, 37, -10, -16,12,249.1, ⑮⑭,12, 8, ジャンピンジャック,,大江原,219.8,,,,11,149.8,⑬⑬⑬,12, 2,Ｌクリノビｰトイット, 53,武士沢, 2.8, 50,  -5,  -9,14,231.0, ⑭⑬,,,,,,,,,,,,
13, 3,Ｎトｰトモデルニスモ, 34,江田照, 4.0, 34, -11, -18,13,281.6, ⑭⑮,13,14, レモスカ,,浜野谷,223.5,,,,12,163.7,⑪⑪⑪,13, 7,Ｍピュアプレジャｰ, 51,江田勇, 2.9, 48,  -3, -13,13,190.8, ⑩⑩,,,,,,,,,,,,
14,12,Ｋバｰデンバｰデン, 37,横山義, 5.3, 26,  -2, -40,15,464.0, ⑨⑪,,,,,,,,,,,,,14,10,Ｏプレスミｰダ, 38,石神深, 6.9, 16,  -9, -42,15,616.4, ⑬⑮,,,,,,,,,,,,
15, 9,Ｌムッシュホワイティ, 37,宗像徹, 5.3, 26,  -8, -33,14,454.2, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:重(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:稍重(指数:6),,,,,,,,,,,
"単勝:3,050円 複勝:10=650円 13=660円 08=200円 枠連:14,370円",,,,,,,,,,,,"単勝:1,620円 複勝:06=310円 03=120円 12=190円 枠連:1,510円",,,,,,,,,,,,単勝:480円 複勝:01=180円 13=330円 12=200円 枠連:810円,,,,,,,,,,,,"単勝:790円 複勝:10=300円 09=580円 04=330円 枠連:2,820円",,,,,,,,,,,
"馬連:31,070円 ワイド:10-13=5,150円 08-10=2,380円 08-13=2,720円",,,,,,,,,,,,"馬連:1,310円 ワイド:03-06=550円 06-12=1,160円 03-12=430円",,,,,,,,,,,,"馬連:3,470円 ワイド:01-13=900円 01-12=450円 12-13=1,060円",,,,,,,,,,,,"馬連:4,280円 ワイド:09-10=1,300円 04-10=1,010円 04-09=1,490円",,,,,,,,,,,
"馬単:71,480円 3連複:66,630円 3連単:760,370円",,,,,,,,,,,,"馬単:4,070円 3連複:2,810円 3連単:25,800円",,,,,,,,,,,,"馬単:5,930円 3連複:4,830円 3連単:32,340円",,,,,,,,,,,,"馬単:8,380円 3連複:10,650円 3連単:62,210円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ2100m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾞﾗｼﾞﾙｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅハッピｰシャワｰ, 47,丸山元,, 56,   0,*  6, 4,  8.1, ③③, 1, 2, ダイワインスパイア,---,北村宏,, 85,* 17,  -4, 2,  4.2, ①①, 1,12,Ｋジェネスサンキュｰ, 67,柴山雄,, 77,   7,* 13,12,118.1, ⑧⑪, 1, 7,Ｂインバルコ, 91,ピンナ,, 84,  13,*  6, 3,  5.5,⑩⑨⑨
