11年 2月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月14日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
,,,,,,,,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■10R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萌黄賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,, 1, 9,Ｈエｰシンミラｰジュ, 58,高倉稜,, 73,   8,* -1, 5, 10.0,⑯⑮⑨, 1,13,Ｃピエナファンタスト, 78,川須栄,, 83,  12,*  3, 1,  3.7,⑯⑯⑪, 1,12,Ｄアフォｰド, 68,中舘英,, 79,* 11,  -1, 1,  2.3, ②②
,,,,,,,,,,,, 2, 7,Ａアクアブルｰコナｰ, 65,勝浦正, 0.5, 68,  10,*-10,10, 18.2,⑮⑬⑤, 2,14,Ｄメジロジョン, 77,黛弘人, 0.0, 83,  14,*  0, 8, 16.0,⑫⑭⑦, 2,10,Ｂミヤジエムジェイ, 71,太宰啓, 0.4, 70,   5,  -1, 2,  3.2, ⑥⑥
,,,,,,,,,,,, 3,15,Ｆブルｰスビスティｰ, 59,田中博, 1.3, 61,  12, -27, 3,  7.0,⑫⑨⑧, 3, 8,Ａエイシンブイダンス, 85,藤岡康, 0.3, 81,* 15,  -9, 3,  5.9,⑨⑥④, 3, 1,Ｃヤサカシャイニｰ, 70,田辺裕, 0.5, 71,* 10,  -8, 5, 16.4, ①①
,,,,,,,,,,,, 4, 8,Ｉフェニックスソｰド, 58,鮫島良, 1.5, 60,  11, -27,13, 54.9,⑬⑩⑩, 4, 5,Ｐスマｰトファントム, 64,鮫島克, 0.4, 80,  12,* -1,15,116.1,⑮⑮⑯, 4, 2,Ｇマイネルマサムネ, 63,丹内祐, 0.5, 71,   7,  -3, 9, 33.1, ③④
,,,,,,,,,,,, 5, 1,Ｏユウタｰチェイサｰ, 47,川須栄, 1.5, 59,  11, -27,14, 70.5,⑩⑪⑫, 5, 4,Ｇトミケンプライム, 74,丸山元, 0.5, 80,  13,  -4, 4,  8.2,⑬⑪⑫, 5, 7,Ｌアンゲネｰム, 60,浜中俊, 0.5, 67,   1,*  1, 7, 27.2, ⑨⑧
,,,,,,,,,,,, 6,13,Ｇコスモディセント, 58,丹内祐, 1.6, 61,   9, -21, 8, 15.9,⑪⑭⑯, 6,12,Ｋディビデンド, 71,古川吉, 0.7, 77,  14,  -9,11, 42.9,⑩⑬⑮, 6,11,Ｍゴｰルデンオブジェ, 58,川須栄, 0.7, 63,  -4,*  4,11, 48.4, ⑮⑬
,,,,,,,,,,,, 7, 2,Ｎタガノキズナ, 47,北村友, 1.6, 56,  12, -33,15,141.3,⑧⑧⑦, 7,10,Ｂオｰルタｰゲット, 80,高倉稜, 0.8, 75,* 15, -19, 2,  5.4,④③①, 7, 5,Ｅエｰティｰランボｰ, 63,北村友, 0.8, 64,   3,  -4, 3,  8.8, ⑦③
,,,,,,,,,,,, 8, 3,Ｊエリモロッソ, 55,芹沢純, 1.9, 55,  12, -38, 6, 11.4,④⑥⑥, 8, 2,Ｆサンライズウィル, 74,浜中俊, 1.0, 75,* 15, -19, 6, 14.0,⑦⑤⑥, 8, 9,Ｉメジロミョウホウ, 63,大野拓, 1.0, 63,   5,  -9,12, 55.2, ⑤⑨
,,,,,,,,,,,, 9, 5,Ｒロｰレルアリエス, 17,松山弘, 2.1, 54,   5, -23,17,178.0,⑱⑰⑰, 9, 3,Ｊウォｰボネット, 72,勝浦正, 1.1, 73,  14, -17,10, 20.9,⑪⑨⑤, 9, 3,Ｋフィジｰクルｰズ, 61,松山弘, 1.0, 60,  -4,*  0,15,105.7, ⑭⑪
