11年 7月17日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月17日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,駒ｹ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅマスイデア, 37,黛弘人,, 58,* -5,* -3, 5, 22.2, ①①, 1, 6,Ｂヴァｰチュスタｰ, 65,松田大,, 73,*  6,*  4, 2,  4.4,②②②, 1,10,Ｊキュｰト, 61,藤岡佑,, 69,  -3,*  6, 4,  7.2, ⑥⑤, 1, 3,Ｅナムラアｰガス, 71,古川吉,, 72,   0,* 21, 6,  9.8,⑦⑦⑥
 2, 2,Ｂパッシフロｰラ, 45,池添謙, 1.0, 45,  -9, -12, 3,  7.1, ②②, 2, 5,Ｅトｰセンルクリア, 60,横山典, 0.0, 70,   3,*  9, 5, 12.9,⑥⑥⑥, 2, 9,Ａピｰスオブキング, 75,岩田康, 0.0, 68,  -2,   5, 2,  3.7, ⑤⑥, 2, 8,Ｇヤマニンリップル, 70,柴山雄, 0.0, 70,   1,  17, 5,  6.4,④④③
 3, 5,Ｃコスモアダム, 44,丹内祐, 1.2, 43, -16,  -8, 2,  6.5, ⑥⑦, 3, 7,Ａファイアｰブレス, 68,藤岡佑, 0.5, 67,   4,   3, 1,  2.8,⑤⑤⑤, 3, 5,Ｆゼニスパワｰ, 65,古川吉, 0.1, 67,   3,   2, 9, 33.5, ③③, 3, 2,Ａフェアリｰレイ, 76,津村明, 0.1, 69,   0,  18, 3,  5.3,⑤⑤④
 4, 1,Ｈエゾムサシ, 34,柴山雄, 1.3, 41, -12, -13, 7, 80.2, ④③, 4,12,Ｇネバｰプリンス, 59,川島信, 0.9, 62,*  6,  -5, 8, 21.4,①①①, 4, 1,Ｈアグネスジャスパｰ, 63,上村洋, 0.2, 65,  -8,*  7, 6, 22.8, ⑦⑦, 4, 1,Ｈペプチドルパン, 49,武英智, 0.3, 64,*  7,   1, 8, 77.9,①①①
 5, 8,Ｇサクラカンタｰビレ, 35,岩田康, 1.7, 37, -18, -12, 4, 17.2, ⑧⑤, 5,10,Ｆアドマイヤジャコモ, 60,上村洋, 0.9, 63,   3,   1, 9, 26.4,⑦⑦⑦, 5, 4,Ｂギガワット, 72,勝浦正, 0.3, 65,*  4,  -1, 1,  2.4, ②②, 5, 7,Ｂサトノシュレン, 75,川島信, 0.5, 67,   0,  13, 1,  3.1,⑥⑥⑤
 6, 3,Ａドリｰムバラｰド, 55,吉田隼, 2.1, 32,  -9, -26, 1,  1.3, ③④, 6, 3,Ｃドラゴンブレス, 64,安藤勝, 1.3, 61,   1,   2, 3,  4.4,⑫⑪⑩, 6, 8,Ｇハロｰエフェクト, 63,池添謙, 0.4, 63,  -6,   4, 7, 24.4, ⑧⑧, 6, 6,Ｆクレバｰロッシｰ, 70,丸山元, 0.7, 59,*  6,  -2, 4,  5.4,②②②
 7, 6,Ｄカシノレインボｰ, 37,伊藤直, 2.4, 27, -17, -22, 6, 52.0, ⑦⑥, 7,13,Ｊアスｰルアラテラ, 52,岩田康, 1.3, 62,   3,   0, 4,  9.2,⑩⑧⑧, 7, 3,Ｉプリンセスネｰジュ, 62,荻野琢, 0.7, 63,*  6,  -6, 3,  5.8, ①①, 7, 5,Ｄネオポラリス, 71,四位洋, 1.1, 61,  -3,  10, 7, 10.5,⑧⑧⑧
 8, 7,Ｆネコニコバン, 35,津村明, 3.7, 11, -13, -42, 8, 89.5, ⑤⑧, 8, 9,Ｈスズカアタック, 58,池添謙, 1.5, 59,   4,  -6, 7, 18.1,④④④, 8,11,Ｅルナエクリプス, 67,宮崎北, 0.8, 58,  -8,   3,10, 65.4, ⑩⑨, 8, 4,Ｃロｰレルキングダム, 74,岩田康, 2.0, 49,   0,  -9, 2,  5.2,③③⑦
