11年11月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北國新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄリアライズキボンヌ, 56,国分優,, 63,  -1,   6, 3,  6.5, ⑦⑥, 1, 2, ブチカマシ,,難波剛,,,,, 4,  7.2,③③②, 1, 4,Ｂサダムグランジュテ, 80,浜中俊,, 79,* 13,  -1, 3,  4.9, ①①, 1, 6,Ｂグランドシチｰ, 87,津村明,, 85,   3,* 25, 2,  4.8,⑪⑫⑪
 2, 3,Ｍリュクスメジャｰ,-74,秋山真, 0.2, 61, -14,* 16, 6, 12.9, ⑫⑪, 2, 4, メイショウブソン,,岩崎祐,213.8,,,, 1,  2.2,①①①, 2,13,Ｃデザｰトオアシス, 77,藤田伸, 0.0, 77,  10,*  2, 1,  1.9, ⑤③, 2, 1,Ｊデスペラｰド, 78,浜中俊, 0.1, 86,   4,* 23, 5, 15.0,⑯⑩⑦
 3,13,Ｇダッチェスドライヴ, 51,岡部誠, 0.8, 55,*  6,  -9, 1,  2.8, ②②, 3, 3, アナザｰスタｰ,,植野貴,214.1,,,, 7, 24.3,②②③, 3,15,Ａスピルオｰバｰ, 80,秋山真, 0.4, 73,   9,   0, 2,  4.1, ⑦⑤, 3,13,Ｌナリタシルクロｰド, 77,岡部誠, 0.2, 83,*  5,  20,12,119.1,⑩⑤⑤
 4, 6,Ｈシゲルライム, 44,川島信, 0.9, 56,  -3,   1,12,188.0, ⑥⑦, 4, 8, エルチョコレｰト,,小坂忠,214.9,,,, 2,  4.2,⑤⑥⑥, 4, 6,Ｄブラックイレブン, 74,川須栄, 0.8, 73,* 13,  -6, 4, 10.9, ②②, 4, 7,Ａエンリル, 88,佐藤哲, 0.4, 80,*  5,  17, 1,  2.2,①①①
 5, 5,Ｂミヤジガンバレ, 60,和田竜, 1.0, 54,*  7, -11, 2,  3.7, ①①, 5, 9, フロｰライゼ,,平沢健,215.2,,,, 6, 13.4,⑨⑤⑤, 5, 2,Ｅフィンデルムンド, 73,北村友, 1.0, 68,   4,*  3, 5, 22.3, ⑮⑭, 5, 5,Ｄドリｰムアライブ, 82,川島信, 0.6, 81,   2,  21,13,135.4,⑬⑭⑬
 6, 2,Ｃピサノベッテル, 58,川田将, 1.0, 55,   2,  -6, 5, 12.4, ③③, 6, 7, マルタカタキオン,,田村太,215.2,,,,10, 63.6,⑧⑦⑦, 6,12,Ｆエリモサプライズ, 71,熊沢重, 1.0, 68,   4,*  2, 6, 33.3, ⑬⑩, 6, 2,Ｅエｰシンバリントン, 82,川田将, 0.6, 81,   4,  18, 4,  8.5,③⑥⑥
 7, 9,Ｅステップワイズ, 53,浜中俊, 1.2, 53, -16,* 10, 9, 24.3, ⑬⑫, 7,10, メイケイオｰシャン,,白浜雄,215.5,,,, 8, 30.4,⑥⑨⑨, 7, 5,Ｎオｰシャンパワｰ, 61,和田竜, 1.4, 66,   7,  -5, 9, 93.5, ⑨⑧, 7, 8,Ｇナムラブレット, 81,国分恭, 0.6, 83,   2,* 23, 8, 27.2,⑮⑯⑮
 8,11,Ｌダブルプライム, 30,藤岡佑, 1.5, 50,   1,  -9, 7, 13.6, ⑤⑤, 8, 5, ゴｰルデンカイザｰ,,北沢伸,215.6,,,, 9, 46.6,④④④, 8,11,Ｋフミノアカデミｰ, 65,国分優, 1.4, 64,   2,   1, 8, 56.9, ⑯⑮, 8,11,Ｆボリュｰムゾｰン, 82,北村友, 0.9, 79,   2,  19, 6, 19.1,⑭⑬⑭
