11年 3月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 3月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,牧園特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｉスパｰクスフライ, 50,森一馬,, 62,   3,   6, 6, 16.3,③⑤③, 1, 9, アルマリンピア,---,佐藤哲,, 63,* -1,* -5, 3,  7.3, ③④, 1,14,Ａディアブラスト, 75,丸田恭,, 70,  -2,* 16, 2,  5.7,⑫⑬⑪, 1, 6,Ｃラガｰアンバｰ, 76,佐藤哲,, 81,   2,* 20,12, 51.0,⑦⑧②
 2, 2,Ａレッドオブガバナｰ, 62,伊藤工, 0.2, 62,   1,*  9, 3,  5.7,⑩⑧⑦, 2, 8,Ｃタイキガラハッド, 57,川須栄, 0.1, 62,* -1,* -6, 2,  4.4, ②③, 2,12,Ｂドリｰムザネクスト, 74,丸山元, 0.0, 70,  -1,* 13, 5,  8.3,⑬⑪⑨, 2, 4,Ａサンライズスカイ, 78,丸山元, 0.2, 80,   0,* 21, 2,  4.4,⑪⑪⑤
 3,16,Ｈタイトロｰプ, 51,勝浦正, 0.3, 60,   3,   4,15,172.2,⑤④⑤, 3, 4,Ｂテイエムムテキドン, 59,水口優, 0.4, 60,*  2, -12, 4,  9.3, ①①, 3, 9,Ｃベストフェット, 74,田辺裕, 0.2, 66,*  1,   8, 1,  2.1,⑥③③, 3,12,Ｉロックンロｰル, 72,野元昭, 0.4, 77,   2,  13, 1,  3.7,⑧⑥⑦
 4,15,Ｄギンザスクランブル, 58,中舘英, 0.3, 60,*  5,   1, 4,  5.7,①①①, 4, 1,Ａシルバｰトップ, 59,二本柳, 0.6, 56,  -2, -11, 1,  3.4, ④②, 4,11,Ｍプルプル, 60,高橋亮, 0.4, 68,   1,   8,12,189.9,⑩⑧⑤, 4, 9,Ｊセイカカリンバ, 71,太宰啓, 0.4, 76,*  5,   8,10, 27.8,①①①
 5,10, スプリングシｰズン,---,長谷川, 0.5, 57,*  4,  -1, 8, 21.5,②②②, 5,16,Ｆラガｰフォｰラム, 53,松山弘, 0.8, 51,  -6, -10, 9, 20.8, ⑦⑥, 5, 3,Ｄナンヨｰスラッガｰ, 73,高倉稜, 0.4, 64,   0,   8, 4,  7.4,⑨⑦⑧, 5, 7,Ｆスプリングアルタ, 74,田辺裕, 0.5, 75,   1,  15, 6, 14.2,⑨⑨⑧
 6, 1,Ｇマッテマシタ, 55,小野寺, 0.9, 57,  -2,*  7,14,155.2,⑪⑪⑨, 6,10,Ｅメイショウマオ, 53,藤懸貴, 1.0, 48,  -9, -10, 8, 13.1, ⑧⑦, 6, 4,Ｅホッコｰキングオｰ, 72,太宰啓, 0.4, 66,   0,   9, 6, 15.7,⑧⑨⑦, 6, 8,Ｄアキノカウンタｰ, 75,鮫島良, 0.6, 76,*  4,   8, 3,  6.2,④③④
 7, 5,Ｆロッセ, 57,上村洋, 1.0, 56,   3,   0, 5, 14.3,⑦⑥⑥, 7, 6,Ｌハギノハｰトフル, 41,中舘英, 1.0, 51,  -3, -14, 7, 11.2, ⑤⑤, 7, 5,Ｌトウカイファミリｰ, 64,荻野琢, 0.5, 68,   0,   8, 8, 61.1,⑤⑩⑩, 7, 1,Ｌドリｰムネイチヤｰ, 67,勝浦正, 0.7, 73,   3,   9, 7, 16.2,⑤⑤⑥
 8, 6,Ｃスマｰトレモラ, 58,丸山元, 1.0, 53,   3,  -3, 1,  2.9,④③④, 8,13,Ｊドンウイング, 43,高倉稜, 1.6, 41, -11, -15,13,214.6, ⑩⑨, 8,15,Ｊデステニｰアロｰ, 64,丹内祐, 0.9, 68,*  2,   3,16,454.3,⑦⑥④, 8,10,Ｇシャルルヴォア, 73,丸田恭, 0.8, 73,  -1,  13, 5, 10.9,⑫⑫⑩
 9, 3,Ｅハイエストバイオ, 57,西村太, 1.0, 55,   0,   4, 7, 16.9,⑧⑨⑩, 9, 7,Ｄナンゴクチョウチョ, 55,鮫島良, 1.7, 40, -19,  -8,10, 24.3, ⑮⑮, 9, 2,Ｈカワキタコマンド, 69,田中博, 1.0, 66,  -3,   9, 3,  5.7,⑯⑮⑮, 9, 2,Ｈマイネアロマ, 73,丹内祐, 0.9, 74,*  4,   5, 4,  6.3,③④③
10,11, フロッティ,---,松山弘, 1.1, 57,  -3,*  8,11, 47.5,⑫⑬⑬,10, 5,Ｍクリノオｰラ, 33,宮崎北, 1.9, 39,  -5, -23,16,550.4, ⑥⑧,10, 1,Ｆロトディパｰチャｰ, 69,大野拓, 1.0, 61,*  2,   1,10,114.2,③④⑥,10,15,Ｋアルティスト, 67,二本柳, 0.9, 74,  -1,  14,13,134.9,⑬⑭⑬
11,14, スズカキｰストン,---,芹沢純, 1.3, 55,  -4,*  7,12, 68.8,⑭⑭⑪,11,15,Ｋラララトゥモロｰ, 42,伊藤工, 2.0, 36, -13, -17,11, 89.6, ⑫⑪,11,13,Ｉフジマサボｰイ, 65,小野寺, 1.0, 64,  -2,   7,15,430.8,⑭⑭⑭,11,11,Ｂオｰルタｰゲット, 76,川須栄, 1.1, 72,   0,  10, 8, 17.6,⑭⑬⑭
12, 7,Ｂベルモントエデン, 61,田辺裕, 2.0, 45,   1,  -8,10, 45.3,⑥⑦⑧,12, 2,Ｈレモスカ, 48,大野拓, 2.1, 35, -11, -21, 6, 10.6, ⑨⑩,12,10,Ｎブレｰヴキャンタｰ, 56,西村太, 1.2, 62,  -2,   5,13,287.7,⑪⑫⑫,12,14,Ｅビップレジェンド, 75,松山弘, 1.7, 64,   1,  -1, 9, 18.2,⑩⑩⑪
13, 8, ティグレ,---,田中健, 2.5, 47,  -7,   3, 9, 34.5,⑯⑮⑮,13,12, スプリングフェスタ,---,勝浦正, 2.3, 32, -23, -12, 5,  9.8, ⑯⑯,13, 8,Ｋメイショウヤグラ, 64,田中健, 1.3, 60,*  2,  -4, 7, 20.0,②②②,13,16,Ｍダッシュアキチャン, 65,大野拓, 1.9, 66,  -2,   3,11, 34.7,⑯⑮⑮
14, 4, ステラ,---,武幸四, 2.7, 45,  -4,  -5, 2,  4.6,⑬⑫⑭,14,14,Ｉフェブストｰリｰ, 43,田中健, 2.4, 31, -17, -20,14,218.7, ⑭⑭,14, 7,Ｐワンダｰバイオｰ, 42,松山弘, 2.4, 55,  -5,   1,11,188.1,⑮⑯⑯,14,13,Ｏロイヤルロｰド, 58,石橋脩, 2.3, 57,   2, -14,15,235.9,⑥⑦⑨
15, 9,Ｊミラクルアイヴァｰ, 47,宮崎北, 3.3, 38,  -1, -15,13,111.8,⑨⑩⑫,15, 3,Ｎカシノリミテッド, 21,西村太, 2.6, 29, -16, -22,15,228.0, ⑬⑫,15,16,Ｇアスタｰクリス, 69,藤懸貴, 2.7, 50,*  3, -16, 9, 63.6,①①①,15, 3,Ｎホワイトヒロイン, 64,古川吉, 3.3, 48,*  4, -30,14,190.4,②②⑫
16,12,Ｋインテンション, 45,古川吉, 3.8, 39,  -8,  -6,16,226.1,⑮⑯⑯,16,11,Ｇデリｰル, 51,田辺裕, 2.9, 24, -15, -28,12,106.0, ⑪⑬,16, 6,Ｏカシノコロン, 55,二本柳, 4.8, 37,*  2, -31,14,401.7,④⑤⑬,16, 5,Ｐエルキャンディｰ, 58,高倉稜, 4.5, 40,  -4, -28,16,250.9,⑮⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
