11年10月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,米山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄグラントリノ, 53,村田一,, 60,* -6,*  1, 5,  8.8, ②②, 1, 7,Ｆウォｰタｰルルド, 70,酒井学,, 71,   5,*  8, 7, 12.4, ⑧⑧, 1, 8,Ｉトシザツンツン, 62,黛弘人,, 71,*  8,   3, 6,  9.8,②①①, 1, 5,Ｏシルクフラッシュ, 61,村田一,, 75,*  9,  -1,13,104.0, ①①
 2, 5,Ｆエステｰジャ, 47,大野拓, 0.2, 60,  -8,*  1, 2,  3.4, ④⑤, 2,11,Ｄアテｰナｰズブレス, 72,北村友, 0.2, 69,   4,*  7, 2,  4.5, ⑨⑨, 2, 2,Ａメイショウドレイク, 75,小島太, 0.0, 72,   4,* 12, 1,  3.1,⑤⑤⑤, 2, 9,Ｅゴｰゲッタｰ, 74,松田大, 0.1, 75,*  6,   2, 8, 13.5, ③③
 3, 3,Ｂアブマｰシュ, 54,木幡初, 0.2, 58,* -8,  -1, 3,  6.0, ③③, 3, 1,Ｂウエストハｰバｰ, 74,川須栄, 0.3, 72,* 12,  -2, 1,  2.8, ①①, 3, 7,Ｂシルクドルフィン, 71,宮崎北, 0.5, 65,*  7,   0, 5,  7.8,⑥②②, 3, 3,Ｆシェルエメｰル, 72,北村友, 0.1, 76,   1,*  9, 3,  5.9, ⑨⑨
 4, 6,Ｃロンググラティア, 53,森一馬, 0.2, 58,* -4,  -5,11, 98.4, ①①, 4, 2,Ｈタイキルネサンス, 68,大野拓, 0.3, 68,   7,   2, 8, 34.9, ④③, 4, 3,Ｈスタｰルｰセント, 63,菅原隆, 1.2, 65,   1,   7, 9,100.2,⑦⑦⑦, 4, 1,Ｄラブグランデｰ, 74,酒井学, 0.1, 75,   5,   3, 2,  5.8, ④⑤
 5,17,Ｇコスモナデシコ, 44,丹内祐, 0.6, 54, -11,  -2, 4,  6.2, ⑧⑥, 5, 9,Ｃタツフラッシュ, 73,津村明, 0.5, 69,*  9,  -1, 6, 12.2, ②②, 5, 4,Ｄフォルクスオｰパｰ, 69,田中健, 1.3, 67,   1,   5, 4,  6.2,④⑥⑥, 5,11,Ｂアウトオブオｰダｰ, 74,木幡初, 0.3, 72,   5,   1, 9, 13.7, ⑤④
 6,10,Ａシゲルアケビ, 61,川須栄, 0.8, 52, -21,*  4, 1,  3.2, ⑯⑮, 6, 3,Ｊハヤブサエミネンス, 66,勝浦正, 0.7, 66,   5,   2,12,144.7, ⑦⑦, 6, 1,Ｆタマノリテラシｰ, 67,西村太, 1.5, 61,   5,  -3, 3,  6.1,③④④, 6, 8,Ａリバｰハイランド, 75,太宰啓, 0.3, 74,  -5,* 15, 1,  4.9, ⑱⑱
 7, 2,Ｈベストミニオン, 42,二本柳, 1.1, 46, -14,  -6, 7, 24.9, ⑨⑨, 7, 5,Ｇビッグサンダｰ, 70,柴山雄, 0.9, 61,   1,   3,10,117.8, ⑩⑩, 7, 6,Ｇシルクマッドネス, 64,松山弘, 1.5, 64,   1,   5, 7, 14.3,⑧⑧⑧, 7,10,Ｃリビングストン, 74,勝浦正, 0.4, 72,   1,   6, 7, 11.9, ⑪⑫
 8,16,Ｅディアサルｰテ, 52,吉田隼, 1.1, 48,  -8, -11, 6, 12.9, ⑤④, 8, 4,Ｋジュピタｰドリｰム, 65,森一馬, 1.1, 60,   1,   1, 9, 51.9, ⑪⑪, 8, 5,Ｃホウライブライアン, 69,杉原誠, 2.7, 55,   0,  -4, 8, 23.1,⑨⑨⑨, 8,16,Ｒコスモラングデン, 48,吉田隼, 0.4, 72,   5,   1,11, 35.5, ⑦⑥
 9,15,Ｍリコレクション, 28,中舘英, 1.1, 49, -15,  -4, 8, 39.1, ⑩⑩, 9,10,Ｉシルクアイリス, 67,松山弘, 1.5, 60,   8,  -9, 4,  7.2, ③④, 9,10,Ｅゲンパチボロン, 68,平野優, 3.6, 47,   6, -23, 2,  3.9,①③③, 9,18,Ｌパワフルキリシマ, 66,古川吉, 0.5, 72,  -3,*  9,12, 54.8, ⑮⑬
10, 1,Ｉスプリングウィン, 38,平野優, 1.8, 37, -12, -18, 9, 50.1, ⑥⑧,10,13,Ａサトノロック, 79,杉原誠, 2.1, 54,   7, -14, 3,  5.7, ⑥⑥,,,,,,,,,,,,,10,17,Ｍアイファｰハイカラ, 62,松山弘, 0.6, 71,   0,   5,14,112.6, ⑫⑪
11, 7,Ｌウミホタル, 30,伊藤直, 2.0, 35, -17, -15,13,126.9, ⑫⑬,11, 8,Ｌデステニｰアロｰ, 62,高嶋活, 2.1, 52,  -1,  -4,13,334.5, ⑬⑬,,,,,,,,,,,,,11, 4,Ｇロｰドエアフォｰス, 70,藤岡康, 0.7, 68,   5,  -3,10, 14.1, ⑥⑦
12,14,Ｎカシマセイセン, 25,黛弘人, 2.1, 34, -18, -15,17,488.8, ⑭⑪,12, 6,Ｍディｰプインアスク, 53,小野寺, 2.8, 47,  -1, -12,11,129.8, ⑫⑫,,,,,,,,,,,,,11,13,Ｊコスモサイキック, 68,丹内祐, 0.7, 71,  -3,   7, 5, 10.9, ⑰⑯
13, 9,Ｋトワイライトダンス, 33,西村太, 2.2, 33, -23, -11,14,217.7, ⑰⑰,13,12,Ｅキタサンハヤブサ, 72,吉田隼, 3.6, 40,   7, -27, 5,  7.9, ⑤⑤,,,,,,,,,,,,,13,14,Ｈウエスタンディオ, 68,大野拓, 0.7, 70,  -1,   5, 4,  6.9, ⑭⑩
14,12,Ｊカシノレインボｰ, 37,西田雄, 2.6, 27, -11, -28,12,122.2, ⑦⑦,,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｋトツゼンノハピネス, 67,川須栄, 1.7, 57,*  8, -20, 6, 11.3, ②②
15, 4,Ｏタタ, 24,横山和, 2.7, 26, -17, -24,10, 94.4, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｉサンライズトラスト, 68,津村明, 1.9, 55,   4, -17,15,116.6, ⑧⑧
