11年 5月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,紫野特別,,,,,,,,,,,,葵ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 5,16,Ｒタイヨウパフュｰム, 35,秋山真, 0.3, 64,  -9,   6,14,200.8, ⑤⑥, 5, 3,Ｄノｰティカルスタｰ, 70,熊沢重, 1.6, 60,  10, -19, 6, 18.8,⑧⑧⑧, 5, 8,Ｄライフストリｰム, 70,国分恭, 0.6, 66,   1,   4, 5,  8.5, ⑩⑪, 5,11,Ｋメイショウバレｰヌ, 71,藤岡佑, 0.4, 78,  -5,* 16,11, 26.1, ⑮⑮
 6,15,Ｆウイングオブピｰス, 57,池添謙, 0.4, 60, -14,   8, 7, 11.8, ⑨⑩, 6, 4,Ａカピオラニパレス, 75,四位洋, 1.8, 58,* 14, -32, 3,  3.9,③②③, 6,11,Ｊネオシｰサｰ, 64,川島信, 0.6, 67,  -1,*  8,15,294.0, ⑬⑫, 6, 7,Ｍニシノモレッタ, 71,浜中俊, 0.5, 74,   5,   0,12, 30.4, ④③
 7, 2,Ｃトシロｰズ, 61,藤懸貴, 0.4, 58,* -4,  -3, 5, 10.4, ①①, 7, 8,Ｉアサクサショパン, 61,川田将, 1.9, 58,* 14, -30, 2,  3.4,④④⑤, 7, 6,Ｅカシノピストン, 70,藤懸貴, 0.7, 65,  -5,* 12,12,147.3, ⑯⑯, 7, 8,Ｆサトノロック, 75,国分恭, 0.6, 74,   4,   2, 3,  6.3, ⑥⑦
 8,14,Ｇコマノスクアｰロ, 57,佐藤哲, 0.5, 60, -15,   8, 8, 12.8, ⑩⑨, 8, 7,Ｇバンブｰチェルシｰ, 64,池添謙, 2.3, 53,  13, -33, 7, 54.3,⑥⑦⑦, 8, 3,Ｃダイシンサｰベル, 70,秋山真, 0.9, 63,   3,   0, 7, 18.7, ⑨⑦, 8, 5,Ｉシｰマｰク, 71,宮崎北, 0.6, 73,   4,   2, 9, 16.8, ⑧⑧
 9,17,Ｏキョウワジョリｰ, 43,上野翔, 0.7, 57, -17,   6,18,593.4, ⑫⑪,,,,,,,,,,,,, 9, 2,Ｐメモリｰパｰミット, 51,川田将, 1.3, 61,*  6,  -7, 8, 20.6, ②②, 9, 2,Ｈアイディンパワｰ, 73,秋山真, 0.7, 72,  -1,   7, 6, 10.2, ⑪⑫
10, 5,Ｎレンヌルシャトｰ, 43,北村友, 0.8, 55, -20,   8,11, 73.0, ⑮⑬,,,,,,,,,,,,,10,16,Ｎカクテルロｰズ, 62,高橋亮, 1.3, 60,  -3,   4,16,417.8, ⑮⑭,10,13,Ｌホットチリペッパｰ, 71,佐藤哲, 0.9, 68,* 13, -14,10, 21.3, ①①
11,13,Ｊテイエムラブパワｰ, 47,和田竜, 0.8, 53,* -8,  -5, 9, 26.2, ④④,,,,,,,,,,,,,11,15,Ｆフィｰルドウイナｰ, 69,小坂忠, 1.4, 59,  -3,   1,13,163.9, ⑭⑮,11, 4,Ｏセントエドワｰド, 65,藤懸貴, 1.1, 67,   3,  -4,15,224.1, ⑦⑥
12, 3,Ｌウィズイングレｰス, 45,熊沢重, 0.9, 52, -11,  -3,12, 77.1, ⑦⑤,,,,,,,,,,,,,12,10,Ｉコｰストバンクシア, 65,藤岡佑, 1.8, 57,   5, -11, 6,  9.4, ⑤④,12, 3,Ｊブライダルベｰル, 71,幸英明, 1.1, 70,  -1,   5,13, 77.4, ⑬⑭
13, 7,Ｈスオウタカモリ, 51,高田潤, 1.0, 53, -15,   1,10, 27.5, ⑧⑧,,,,,,,,,,,,,13, 9,Ｌサマｰラグｰン, 62,森一馬, 1.9, 55,   3,  -9,10, 51.2, ⑦⑧,13, 1,Ｅメイショウサバト, 76,森一馬, 1.5, 63,  -1,  -4, 7, 11.7, ⑩⑪
14, 9,Ｋシｰサイドウｰマン, 45,森一馬, 1.7, 43, -22,  -2,17,316.7, ⑰⑯,,,,,,,,,,,,,14, 5,Ｋエｰシンリバティｰ, 63,佐藤哲, 1.9, 55,   0,  -6,11,126.7, ⑫⑩,14, 9,Ｇシュテルンタｰラｰ, 75,川田将, 1.7, 60,   6, -15, 8, 14.4, ③④
15, 1,Ｑブルｰライトマリｰ, 40,国分恭, 1.7, 44, -18,  -5,13,161.2, ⑪⑫,,,,,,,,,,,,,15,14,Ｍロｰドロックスタｰ, 62,四位洋, 2.0, 54,   3, -10, 1,  4.0, ⑧⑨,15,12,Ｎチェアユｰアップ, 67,渡辺薫, 1.8, 60,   6, -15,14,166.4, ⑤⑤
16, 8,Ｍスペシャルムｰン, 44,小林徹, 2.3, 35, -25,  -7,16,293.5, ⑱⑱,,,,,,,,,,,,,16,13,Ｏインタレスティング, 61,石橋守, 2.9, 48,   1, -15,14,279.5, ⑪⑬,,,,,,,,,,,,
17,11,Ｐパｰプルポケット, 41,幸英明, 2.7, 29, -19, -17,15,201.1, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 4,Ｉジョイライド, 49,藤岡佑, 4.2,  9, -25, -32, 6, 11.6, ⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
単勝:450円 複勝:18=150円 12=150円 10=190円 枠連:960円,,,,,,,,,,,,単勝:280円 複勝:01=140円 02=230円 06=880円 枠連:840円,,,,,,,,,,,,"単勝:530円 複勝:12=220円 04=530円 01=210円 枠連:3,040円",,,,,,,,,,,,単勝:570円 複勝:14=220円 06=160円 15=250円 枠連:620円,,,,,,,,,,,
馬連:950円 ワイド:12-18=340円 10-18=470円 10-12=450円,,,,,,,,,,,,"馬連:810円 ワイド:01-02=360円 01-06=1,850円 02-06=2,390円",,,,,,,,,,,,"馬連:7,930円 ワイド:04-12=2,280円 01-12=650円 01-04=1,590円",,,,,,,,,,,,"馬連:1,330円 ワイド:06-14=560円 14-15=930円 06-15=920円",,,,,,,,,,,
"馬単:2,020円 3連複:1,650円 3連単:7,140円",,,,,,,,,,,,"馬単:1,460円 3連複:9,180円 3連単:30,490円",,,,,,,,,,,,"馬単:14,590円 3連複:9,770円 3連単:67,740円",,,,,,,,,,,,"馬単:2,880円 3連複:4,890円 3連単:27,820円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
