11年 5月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,紫野特別,,,,,,,,,,,,葵ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 9,Ｉビコｰラミナ, 46,佐久間, 2.0, 42, -13, -10,11, 70.2, ⑧⑫,13, 2,Ｋカイアナイト, 51,川島信, 1.7, 50,  -5, -17,11, 71.9, ⑨⑫,,,,,,,,,,,,,13, 6,Ｎペプチドサクシｰド, 59,小坂忠, 2.5, 41,  -1, -29,14,534.8, ③③
14, 2,Ｄメイショウヘレン, 52,秋山真, 2.4, 39, -16,  -9,10, 67.2, ⑮⑮,14, 5,Ｉエアガガ, 52,四位洋, 1.7, 49,* -2, -24, 8, 50.3, ①①,,,,,,,,,,,,,14,11,Ｊシゲルキョクチョウ, 70,幸英明, 2.7, 39,  -1, -32,10, 54.4, ④⑥
15, 3,Ｍジャンヌシチｰ, 44,北村友, 3.2, 31, -16, -17,14,208.3, ⑭⑭,15,12,Ｐシゲルカカリチョウ, 36,国分恭, 1.9, 49,  -9, -13,17,381.6, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
16,14,Ｎリュウシンマリリン, 43,渡辺薫, 3.2, 32, -13, -20,13,129.4, ⑨⑬,16, 7,Ｄトｰワフライト, 56,藤岡佑, 2.0, 46,  -4, -25,12, 83.0, ⑥⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,14,Ｌヤマニンエシャルプ, 48,熊沢重, 2.4, 42, -11, -18,18,478.6, ⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,18,Ｏウエスタンジェミｰ, 40,池添謙, 2.4, 41,  -8, -22,14,163.4, ⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,
"単勝:22,540円 複勝:04=2,700円 07=130円 16=130円 枠連:8,930円",,,,,,,,,,,,単勝:210円 複勝:03=110円 13=110円 10=220円 枠連:180円,,,,,,,,,,,,単勝:130円 複勝:06=110円 05=220円 枠連:0円,,,,,,,,,,,,"単勝:240円 複勝:03=130円 10=1,650円 13=280円 枠連:700円",,,,,,,,,,,
"馬連:25,240円 ワイド:04-07=5,200円 04-16=7,790円 07-16=190円",,,,,,,,,,,,馬連:190円 ワイド:03-13=130円 03-10=410円 10-13=440円,,,,,,,,,,,,"馬連:370円 ワイド:05-06=160円 03-06=290円 03-05=1,110円",,,,,,,,,,,,"馬連:10,720円 ワイド:03-10=2,730円 03-13=620円 10-13=9,010円",,,,,,,,,,,
"馬単:73,680円 3連複:19,990円 3連単:288,110円",,,,,,,,,,,,"馬単:360円 3連複:710円 3連単:1,820円",,,,,,,,,,,,"馬単:510円 3連複:1,960円 3連単:4,040円",,,,,,,,,,,,"馬単:15,530円 3連複:33,050円 3連単:175,510円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 8R  芝3930m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,京都ﾊｲｼﾞｬﾝﾌﾟ,,,,,,,,,,,,上賀茂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂグレｰトディｰル, 68,藤田伸,, 65,*  1,* 11, 6, 14.0,①①①, 1,13,Ｅドリｰムガイド, 56,熊沢重,, 62,  -4,   1, 1,  3.1, ④③, 1, 4, タマモグレアｰ,,林満明,,,,, 3,  6.5,⑦④③, 1, 2,Ｃシャア, 87,小坂忠,, 88,* 13,  12, 3,  7.4,⑦⑤②
 2,10,Ｇゲバラ, 60,四位洋, 0.2, 62,*  0,* 11, 1,  3.5,③②②, 2, 9,Ｌアキュｰトバイオ, 34,和田竜, 0.0, 61,  -6,*  3, 4,  6.7, ⑧⑦, 2,12, ランヘランバ,,五十嵐,267.1,,,, 1,  2.1,①①①, 2, 8,Ｉエイシンダッシュ, 84,安藤勝, 0.0, 87,  11,* 14, 2,  2.9,⑭⑩④
 3, 7,Ｉオｰヴァｰジョイド, 56,和田竜, 0.7, 61,  -1,   9, 3,  4.5,④⑤③, 3, 3,Ｉスリｰアルテミス, 50,国分恭, 0.5, 57,  -8,*  1, 5,  7.6, ⑨⑩, 3, 7, アペリティフ,,今村康,269.0,,,, 7, 33.2,⑤③②, 3,10,Ｋディアプリンシパル, 83,幸英明, 0.3, 88,   9,* 16,11, 98.9,⑮⑭⑩
 4, 9,Ａセイプロスペリティ, 69,幸英明, 0.8, 61,  -2,* 11, 4,  8.2,⑨⑩⑧, 4,16,Ｎサトノスパイダｰ,-20,藤田伸, 0.6, 56,* -3,  -7, 8, 39.5, ②②, 4, 9, グロッケンライン,,高田潤,269.6,,,,12, 86.8,④⑤⑤, 4,14,Ｊキャプテンマジン, 84,北村友, 0.5, 84,  10,  12, 6, 17.0,⑫⑫⑫
