11年 1月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2000m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,巌流島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 2,Ｋブルボンノキセキ, 31,竹之下, 2.2, 30,  -8, -14, 8, 81.1, ⑤⑥,12, 3, ジャスミンシチｰ,---,黛弘人, 3.3, 28, -11, -35,12, 60.2,⑬⑬⑫,,,,,,,,,,,,,12,18,Ｎラガｰキセキ, 63,松山弘, 0.9, 63,*  1,  -4,14,120.8, ③③
13, 1,Ｍシュンライ, 23,西田雄, 2.6, 24, -15, -13,11,167.7, ⑩⑩,13,13, ヤマニンミミック,---,丸山元, 3.6, 27,  -6, -52, 6, 11.4,⑤⑧⑪,,,,,,,,,,,,,13, 7,Ｆトシザレイクブルｰ, 69,浜中俊, 0.9, 62,  -6,   2, 4, 10.6, ⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｐアグネスロｰジイ, 59,丸山元, 1.0, 61,   0,  -4,13,106.5, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｑハツノボリ, 55,田辺裕, 1.2, 57, -10,   2,17,205.9, ⑯⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｊヤマニンファンシｰ, 65,伊藤工, 1.3, 57,  -2,  -7,15,127.7, ⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｏキャンディｰムｰン, 62,上村洋, 1.4, 56,  -5,  -6,16,187.9, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｒテイエムマイヒメ, 53,芹沢純, 1.4, 56,  -1, -10,18,212.8, ⑤④
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,
"単勝:3,210円 複勝:08=270円 13=100円 06=120円 枠連:1,080円",,,,,,,,,,,,"単勝:880円 複勝:12=220円 10=360円 06=140円 枠連:2,650円",,,,,,,,,,,,単勝:380円 複勝:07=180円 09=290円 01=260円 枠連:270円,,,,,,,,,,,,"単勝:220円 複勝:12=130円 17=220円 10=1,070円 枠連:630円",,,,,,,,,,,
"馬連:1,330円 ワイド:08-13=420円 06-08=730円 06-13=150円",,,,,,,,,,,,"馬連:9,980円 ワイド:10-12=2,470円 06-12=600円 06-10=1,000円",,,,,,,,,,,,"馬連:2,290円 ワイド:07-09=670円 01-07=750円 01-09=1,240円",,,,,,,,,,,,"馬連:730円 ワイド:12-17=380円 10-12=2,540円 10-17=5,550円",,,,,,,,,,,
