11年 9月 3日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月 3日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:16,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾀｲﾗﾝﾄﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａドリｰムキャプテン, 55,丸山元,, 54,*  0,* 12, 1,  1.4,①①①, 1,16,Ｄニシノキラボシ, 64,藤田伸,, 76,* 14,  -2, 3,  4.6, ④④, 1, 5,Ａマイネルマｰク, 70,丹内祐,, 74,*  6,   0, 1,  3.1,②②③, 1, 9,Ｇカリスマミッキｰ, 69,吉田隼,, 73,*  6,   3, 6, 15.7,①①①
 2, 2,Ｃマイネルフェイブル, 48,丹内祐, 0.8, 48,  -6,* 12, 7, 39.9,⑦⑦⑦, 2,14,Ｈコマノスクアｰロ, 58,四位洋, 0.0, 71,   5,*  6, 6, 10.5, ⑩⑫, 2, 4,Ｄレオパルドゥス, 67,池添謙, 0.1, 77,  -1,* 16, 3,  5.8,⑭⑬⑨, 2,10,Ｆインナｰジョイ, 72,池添謙, 0.0, 74,*  4,*  7, 3,  6.2,⑧⑤②
 3, 1,Ｅブライティアトップ, 46,西村太, 1.0, 44,  -3,   4, 6, 32.2,③④④, 3, 8,Ｂハッピｰトゥデイ, 65,丸山元, 0.3, 68,   8,  -1, 4,  6.2, ⑥⑤, 3, 9,Ｆナリタボルト, 63,秋山真, 0.3, 71,*  5,  -3, 2,  4.9,③③①, 3,11,Ｉサクセスパシュｰト, 68,宮崎北, 0.3, 73,   3,*  7, 9, 34.2,⑩⑨⑤
 4, 7,Ｇタイキプレミアム, 37,三浦皇, 1.1, 44,  -2,   0, 3, 10.5,④③③, 4, 3,Ｅエｰシンジャイヴ, 62,池添謙, 0.3, 71,* 15,  -8, 2,  4.3, ①①, 4,13,Ｌセルリアンディンゴ, 54,川島信, 0.6, 69,*  7, -10,12, 84.8,①①②, 4, 6,Ｄテンベアハｰト, 76,丸山元, 0.3, 72,*  4,   6, 5, 13.2,⑬⑧⑦
 5, 6,Ｆベルエアカイザｰ, 44,池添謙, 1.1, 44,  -3,   4, 5, 12.3,⑤⑤⑤, 5,13,Ａレスタンノｰル, 65,横山典, 0.5, 63,   6,  -2, 1,  4.3, ⑨⑧, 5, 1,Ｂノヴェッロ, 69,丸山元, 0.9, 66,   5,  -8, 4,  7.8,④④④, 5,13,Ｈエアポｰトメサ, 69,川島信, 0.4, 75,   2,* 11,12,101.1,⑫⑭⑩
 6, 5,Ｄマイネルツァウバｰ, 46,津村明, 1.2, 42,  -4,   4, 4, 11.3,⑥⑥⑥, 6,10, フミノサワヤカ,---,勝浦正, 0.7, 59,   2,*  0, 9, 36.3, ⑬⑬, 6, 7,Ｃマイネロサリラ, 69,津村明, 1.1, 64,   2,  -4, 8, 25.7,⑪⑧⑦, 6, 2,Ｌゴｰゴｰヒュウガ, 66,秋山真, 0.6, 68,*  4,  -1,10, 36.8,③③④
 7, 4,Ｂウイニングサルｰト, 54,藤田伸, 1.7, 36,*  0, -10, 2,  4.9,②②②, 7, 9,Ｆリキアイギムレット, 60,津村明, 0.8, 61,   7,  -6,10, 47.2, ⑧⑩, 7,14,Ｉバイザルｰマｰ, 58,藤田伸, 1.2, 65,   2,  -6, 6,  9.9,⑬⑩⑥, 7, 7,Ｋマルカゴクウ, 67,黛弘人, 0.7, 70,   3,   3,13,119.6,⑭⑪⑪
,,,,,,,,,,,, 8,12,Ｇクｰルテツマル, 59,丹内祐, 1.0, 62,* 15, -17, 7, 19.8, ③③, 8,10,Ｅサクラエスパｰダ, 65,横山典, 1.8, 58,  -2,  -3, 5,  9.6,⑮⑭⑬, 8, 1,Ｎセイカミカワ, 62,柴山雄, 0.7, 67,*  5,  -5,14,274.9,②②③
