11年12月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 4R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 9,Ｎクｰノ,-22,村田一, 2.1, 33, -16, -14,12,270.5, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｎシルキｰレッド, 50,杉原誠, 0.9, 70,  -5,  10,14,137.8,⑤⑩⑬
14, 3,Ｋタイヨウシｰカｰ, 16,宮崎北, 2.2, 31, -26,  -8,13,284.0, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｈシルクプロミス, 68,吉田隼, 1.0, 65,* -1,  -1, 6,  9.6,①①②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:3),,,,,,,,,,,
"単勝:5,850円 複勝:14=820円 04=540円 12=330円 枠連:3,230円",,,,,,,,,,,,"単勝:1,170円 複勝:10=210円 06=110円 05=120円 枠連:1,320円",,,,,,,,,,,,単勝:470円 複勝:03=180円 02=160円 06=130円 枠連:950円,,,,,,,,,,,,"単勝:1,860円 複勝:04=400円 14=160円 09=150円 枠連:1,930円",,,,,,,,,,,
"馬連:26,100円 ワイド:04-14=4,830円 12-14=1,760円 04-12=1,530円",,,,,,,,,,,,"馬連:1,850円 ワイド:06-10=440円 05-10=300円 05-06=160円",,,,,,,,,,,,馬連:960円 ワイド:02-03=360円 03-06=430円 02-06=250円,,,,,,,,,,,,"馬連:3,550円 ワイド:04-14=1,040円 04-09=1,160円 09-14=280円",,,,,,,,,,,
"馬単:71,280円 3連複:37,270円 3連単:532,980円",,,,,,,,,,,,"馬単:3,580円 3連複:1,010円 3連単:13,390円",,,,,,,,,,,,"馬単:1,820円 3連複:1,290円 3連単:7,450円",,,,,,,,,,,,"馬単:7,890円 3連複:3,850円 3連単:36,850円",,,,,,,,,,,
■ 2R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩国特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｇフォルクスオｰパｰ, 71,幸英明,, 75,   2,* 13, 6,  9.6,⑯⑤①, 1, 1,Ｃキタサンフクジン, 68,芹沢純,, 77,*  6,   8, 2,  5.3, ①①, 1, 9,Ａディアブラスト, 77,丸田恭,, 70,   3,* 12, 1,  2.9,⑨⑦⑥, 1, 9,Ｂプレファシオ, 83,吉田隼,, 80,   8,* 14, 1,  3.6,⑧⑦③
 2, 4,Ｍサントワマミｰ, 60,丸田恭, 0.8, 68,   1,   8,11, 52.6,④⑧⑦, 2, 6,Ｉトレモロ, 64,吉田隼, 0.5, 71,   2,   5, 3,  5.7, ③②, 2, 6,Ｉクｰルドリオン, 65,西村太, 0.1, 70,   3,* 12, 5, 11.5,⑥⑥⑦, 2,14,Ｌユウキマリアッチ, 71,高倉稜, 0.2, 79,   7,* 13, 6, 12.2,⑦⑩⑥
