11年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,白秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａシンハヤブサ, 53,太宰啓,, 54,* -6,* -5, 3,  4.7, ①①, 1,11, ハイリリｰ,---,吉田豊,, 66, -25,* 20, 4,  9.1, ⑩⑩, 1, 9,Ｂマイネオｰチャｰド, 74,中谷雄,, 70,   6,*  9, 3,  6.9,⑦⑧⑧, 1,13,Ｃツルマルネオ, 81,武士沢,, 87,   6,  13, 3,  8.2, ⑦⑥
 2, 7,Ｈコスモポｰラベア, 36,田辺裕, 0.6, 47, -12,* -2, 5,  9.2, ⑪⑫, 2, 3, エンドレスノット,---,丸山元, 0.1, 59,*-17,   6, 2,  3.8, ②②, 2, 5,Ｅナンデヤネン, 69,蛯名正, 0.1, 68,*  8,   0, 4,  7.8,②③③, 2,15,Ａヒットジャポット, 90,ピンナ, 0.2, 87,   2,* 15, 1,  2.1, ⑪⑩
 3, 3,Ｅトウショウテイスト, 43,武士沢, 0.9, 46, -11,  -7,10, 68.7, ⑩⑩, 3,10, グランシャルム,---,蛯名正, 0.4, 57,*-18,   3, 5, 11.2, ④③, 3, 2,Ｄエイダイポイント, 72,武士沢, 0.3, 66,   7,   2, 2,  6.4,⑥⑥⑥, 3, 9,Ｍシルクウェッジ, 74,蛯名正, 0.4, 81,* 10,   2, 2,  6.8, ②②
 4,11,Ｊズｰムイン, 32,中舘英, 1.3, 43,  -8, -15, 6, 10.7, ③④, 4, 6, ロｰレンルｰナ,---,藤田伸, 0.4, 57,*-18,   5, 1,  3.0, ③④, 4, 1,Ｆロンズデｰライト, 62,ピンナ, 0.3, 65,*  8,  -1, 6, 26.2,④②②, 4,14,Ｊラテアｰト, 75,太宰啓, 0.5, 83,   1,  14,12, 35.8, ⑬⑫
 5,10,Ｆキョウワアｰク, 42,西田雄, 1.3, 42,  -8, -14, 9, 40.1, ④③, 5, 9, パイライトパワｰ,---,千葉直, 0.5, 60, -25,* 14, 7, 32.6, ⑨⑨, 5, 6,Ｇマイネルシュライ, 56,三浦皇, 0.4, 66,*  8,  -3, 5, 17.1,⑤④④, 5,12,Ｅチャｰムポット, 80,中舘英, 0.5, 81,*  8,   4, 4,  8.5, ④④
 6, 1,Ｇマイネフラッシュ, 38,蛯名正, 1.3, 42, -13,  -7, 4,  6.5, ⑫⑪, 6,13, サクラスプレンダｰ,---,三浦皇, 0.6, 57, -20,   5, 9, 33.9, ⑥⑥, 6, 3,Ｃフレンドリｰドレス, 73,丸山元, 0.8, 62,   7,  -3, 8, 52.5,⑧⑦⑤, 6, 7,Ｌマイネプリンセス, 75,三浦皇, 0.6, 82,   2,  10,10, 28.8, ⑧⑧
 7, 4,Ｂツクバヴァンクｰル, 46,三浦皇, 1.7, 41, -10, -14, 1,  3.4, ⑦⑧, 7, 2, サトノレオパｰド,---,中舘英, 0.6, 56, -21,   4, 3,  4.3, ⑤⑤, 7, 7,Ｈゴｰルドラム, 52,藤岡佑, 1.0, 62,   4,  -1, 7, 29.0,⑨⑨⑨, 7, 1,Ｋダイワナイト, 75,大庭和, 0.6, 79,*  8,   2, 8, 18.4, ③③
 8, 9,Ｋラストツヨシ, 27,嶋田純, 2.4, 34,  -9, -23,13,221.5, ⑥⑥, 8, 7, ダｰクマレイン,---,田辺裕, 0.8, 48,*-16,  -5, 6, 12.3, ①①, 8, 4,Ａシャドウエミネンス, 82,藤田伸, 1.2, 57,* 10, -17, 1,  1.5,①①①, 8,11,Ｏセレスマジェスティ, 72,石橋脩, 0.7, 83,  -3,* 15,11, 33.8, ⑮⑭
 9, 6,Ｌイチリヅカ, 18,黛弘人, 2.8, 33, -10, -23,12,100.4, ⑨⑨, 9, 5, マイネルピエノ,---,武士沢, 0.9, 50, -21,   2,11, 68.3, ⑦⑦, 9, 8,Ｉリッカトレジャｰ, 47,田辺裕, 3.4, 39,   8, -42, 9,153.5,③⑤⑦, 9, 5,Ｄカゼノグッドボｰイ, 80,吉田豊, 0.8, 80,   0,  12, 7, 17.4, ⑩⑪
10,13,Ｃサラガドゥｰラ, 45,石橋脩, 2.8, 31,* -7, -29, 2,  4.6, ②②,10,12, マイネルクリフ,---,中谷雄, 1.0, 53, -26,   9, 8, 33.4, ⑪⑫,,,,,,,,,,,,,10,16,Ｉロｰドバロック, 76,田辺裕, 0.8, 82,  -3,* 16, 9, 22.5, ⑯⑮
11, 5,Ｍアｰトルムフｰガ, 17,丸山元, 3.3, 27, -15, -22,11, 85.4, ⑬⑬,11, 4, ガッテンキャンパス,---,ピンナ, 1.7, 43, -26,  -1,10, 46.3, ⑫⑪,,,,,,,,,,,,,11,10,Ｂブルｰデインヒル, 84,藤田伸, 0.8, 79,   3,   6, 6, 16.2, ⑨⑨
12,12,Ｄコスモライデイン, 44,中谷雄, 3.4, 27,  -9, -31, 8, 20.1, ⑧⑦,12, 8, ヴェルデルｰチェ,---,藤岡佑, 1.9, 40, -22, -10,12,119.9, ⑧⑧,,,,,,,,,,,,,12, 4,Ｆダノンブライアン, 80,丸山元, 0.8, 74,* 11,  -5, 5, 15.6, ①①
13, 8,Ｉバクシンドｰタｰ, 33,吉田豊, 5.9,  3, -10, -52, 7, 15.4, ⑤⑤,13, 1, トキノユウ,---,石橋脩, 2.0, 41, -29,  -1,13,134.0, ⑬⑬,,,,,,,,,,,,,13, 2,Ｇスｰパｰワシントン, 77,宮崎北, 0.8, 78,   5,   5,14,204.1, ⑤⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｎメイショウシオギリ, 74,藤岡佑, 0.9, 81,  -3,  14,13,141.8, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｐクリｰルバレット, 71,黛弘人, 1.1, 73,   6,  -2,16,365.9, ⑥⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｈゴｰルディｰロック, 77,嶋田純, 1.3, 75,  -4,  10,15,274.7, ⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:2),,,,,,,,,,,
"単勝:470円 複勝:02=200円 07=310円 03=930円 枠連:2,090円",,,,,,,,,,,,単勝:910円 複勝:11=240円 03=170円 10=290円 枠連:930円,,,,,,,,,,,,"単勝:690円 複勝:09=250円 05=260円 02=220円 枠連:1,570円",,,,,,,,,,,,単勝:820円 複勝:13=180円 15=120円 09=200円 枠連:600円,,,,,,,,,,,
"馬連:1,810円 ワイド:02-07=730円 02-03=1,330円 03-07=2,930円",,,,,,,,,,,,"馬連:1,660円 ワイド:03-11=560円 10-11=1,260円 03-10=890円",,,,,,,,,,,,"馬連:1,650円 ワイド:05-09=550円 02-09=430円 02-05=510円",,,,,,,,,,,,馬連:840円 ワイド:13-15=330円 09-13=820円 09-15=420円,,,,,,,,,,,
"馬単:3,030円 3連複:25,490円 3連単:91,320円",,,,,,,,,,,,"馬単:3,330円 3連複:4,940円 3連単:35,290円",,,,,,,,,,,,"馬単:3,200円 3連複:2,130円 3連単:13,290円",,,,,,,,,,,,"馬単:2,360円 3連複:1,930円 3連単:12,550円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  ダ2100m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,府中牝馬ｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂハｰドロッカｰ, 56,藤田伸,, 57,*-22,   8, 2,  3.1,①①①, 1,14,Ｂリｰサムダイチ, 72,武士沢,, 68,  -8,* 16, 2,  5.6, ⑪⑨, 1, 6,Ｇスギノブレイド, 80,武士沢,, 81,  10,*  9, 8, 24.6,⑨⑩⑩, 1,13,Ｅイタリアンレッド, 86,中舘英,, 90,   8,* 19, 5,  9.6,⑫⑫⑪
 2, 2,Ｅコスモオオゾラ, 39,中谷雄, 0.0, 58, -24,  11, 5,  9.7,③③③, 2,15,Ｅケイアイアシュラ, 71,嶋田純, 0.1, 67,* -3,   9, 8, 28.6, ①①, 2, 9,Ｆクラブトゥギャザｰ, 81,三浦皇, 0.1, 81,  10,   6, 5, 10.5,⑧⑨⑦, 2,15,Ｄアニメイトバイオ, 86,田辺裕, 0.0, 89,   6,* 22, 4,  8.1,⑮⑭⑭
 3, 3,Ｃラインシルビア, 49,石橋脩, 0.0, 60, -25,* 14, 3,  4.7,⑥⑤⑤, 3, 2,Ｄデイブレイク, 71,西田雄, 0.3, 65,  -6,  10, 6, 12.8, ③④, 3, 3,Ｂシルクシュナイダｰ, 84,吉田豊, 0.3, 77,   9,   6, 1,  2.5,⑩⑧⑨, 3, 5,Ｆフミノイマｰジン, 85,太宰啓, 0.1, 87,   6,* 21, 3,  7.3,⑬⑬⑬
 4, 6,Ａガンセ, 66,蛯名正, 0.2, 54,*-22,   5, 1,  2.1,④②②, 4, 3,Ｉグランドジョラス, 62,蛯名正, 0.3, 65,* -4,   8, 4,  9.8, ②②, 4, 5,Ｉトランスワｰプ, 79,藤田伸, 0.4, 78,* 12,  -2, 2,  4.2,②②②, 4, 1,Ｈアスカトップレディ, 84,大庭和, 0.3, 85,  11,   9,11, 57.4,④④④
