11年 1月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月16日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,,,,,,,,,,,,,■ 7R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初富士ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｊシグナルストｰン, 41,内田博,, 58,*  9,* -7, 1,  2.0, ④③,,,,,,,,,,,,, 1, 2,Ｃニシノステディｰ, 68,吉田豊,, 80,* 13,  -3, 1,  3.7, ①①, 1, 2,Ａブルｰミングアレｰ, 85,三浦皇,, 84,* 12,   6, 2,  5.2,③③③
 2, 3,Ｂナムラストリｰク, 55,伊藤直, 0.2, 57,* 10, -10, 4,  8.0, ①①,,,,,,,,,,,,, 2, 4,Ｇサｰストンサブリナ, 64,小野寺, 0.2, 74,   6,*  1, 8, 26.1, ⑦③, 2, 6,Ｇダイワファルコン, 80,後藤浩, 0.0, 84,   9,* 12, 1,  1.8,⑧⑦⑦
 3,12,Ｃマックスファイヤｰ, 52,木幡初, 0.3, 56,* 10, -11, 5, 10.7, ②②,,,,,,,,,,,,, 3, 9,Ａジョｰアラマｰト, 68,勝浦正, 0.8, 64,   1,  -2, 6, 11.3, ⑫⑩, 3, 1,Ｄモンテフジサン, 84,内田博, 0.2, 83,  10,   6, 3,  6.9,⑤⑤④
 4, 7,Ｆレインボｰデイズ, 46,柴山雄, 0.8, 47,  -1,* -4, 3,  6.4, ⑬⑪,,,,,,,,,,,,, 4, 7,Ｎフィジｰクルｰズ, 56,田辺裕, 1.0, 61,   1,  -4,14,155.4, ⑪⑪, 4,13,Ｅラルケット, 83,横山典, 0.3, 78,* 13,  -1, 4,  8.1,②②②
 5,10,Ａセクシイスイｰト, 56,吉田豊, 0.9, 45,   2, -10, 2,  5.4, ⑧⑧,,,,,,,,,,,,, 5,11,Ｌエクメｰネ, 57,北村宏, 1.1, 61,   5, -10, 7, 23.1, ⑧⑧, 5,12,Ｋマジックビクトリア, 78,木幡初, 0.4, 82,   5,* 13,13,112.6,⑬⑬⑭
 6,11,Ｎミスコマチ, 33,小野寺, 1.2, 46,   7, -16,14,245.6, ⑥⑥,,,,,,,,,,,,, 6, 6,Ｄツクババレｰ, 66,松岡正, 1.2, 58,  -6,   0, 5,  7.4, ⑬⑬, 6,11,Ｎヴィｰヴァヴォドカ, 72,田中勝, 0.4, 77,* 14,  -7,10, 83.9,①①①
 7, 4,Ｇジョウテンティアラ, 46,平野優, 1.6, 41,   2, -14,15,246.9, ⑦⑦,,,,,,,,,,,,, 7, 5,Ｆポピュラｰストック, 64,横山典, 1.2, 58,  -8,*  2, 3,  6.4, ⑮⑮, 7, 5,Ｉワルキュｰレ, 78,吉田隼, 0.5, 79,   6,  10, 7, 28.9,⑫⑫⑪
 8,13,Ｋウエスタンベルｰガ, 36,石橋脩, 1.7, 40,   1, -14, 6, 18.9, ⑩⑩,,,,,,,,,,,,, 8,13,Ｂヤサカシャイニｰ, 68,内田博, 1.3, 62,   9, -16, 2,  4.5, ⑥⑤, 8, 7,Ｍブルｰデインヒル, 75,ベリｰ, 0.6, 79,   4,* 13,14,171.6,⑭⑭⑬
 9,14,Ｅニシノゼｰレ, 48,三浦皇, 1.8, 43,* 10, -23, 8, 27.5, ③④,,,,,,,,,,,,, 9,10,Ｅコスモティカル, 65,津村明, 1.5, 57,   4, -13,13, 62.8, ⑩⑫, 9, 8,Ｊエｰシンコンファｰ, 78,伊藤工, 0.7, 76,  10,  -3, 8, 77.6,⑥④⑤
10, 5,Ｍウッディｰ, 34,水口優, 2.0, 36,  -5, -12,12,192.3, ⑭⑭,,,,,,,,,,,,,10, 1,Ｏビｰビｰマキシマス, 54,ベリｰ, 1.5, 60,  11, -20,11, 29.4, ③②,10, 9,Ｃラフレッシュブルｰ, 84,蛯名正, 0.7, 76,  11,  -1, 5, 14.8,④⑥⑥
11, 2,Ｉコウユｰヒカリママ, 42,伊藤工, 2.2, 35, -10,  -8,16,330.4, ⑯⑮,,,,,,,,,,,,,11, 3,Ｍジャｰグラット, 57,丸田恭, 1.6, 56,   4, -14,12, 37.5, ⑨⑦,11,10,Ｂマイティｰスルｰ, 85,吉田豊, 0.8, 75,   6,   5, 6, 18.0,⑩⑩⑩
12, 6,Ｄエクスペクト, 48,武士沢, 2.3, 34,   1, -18,10, 66.8, ⑪⑨,,,,,,,,,,,,,12,16,Ｋブラウニｰサンクス, 57,吉田隼, 1.7, 53,  -5,  -6,16,216.7, ⑭⑭,12,14,Ｌアロマンシェス, 77,江田照, 0.8, 77,   8,   3,12,104.9,⑪⑪⑫
13,16,Ｏツルギレンゾク, 30,宮崎北, 2.6, 30,  -7, -14,13,202.4, ⑮⑯,,,,,,,,,,,,,13, 8,Ｐコットンフィｰルド, 32,田中博, 1.9, 54, -19,*  4,15,171.7, ⑯⑯,13, 3,Ｈブルｰマｰテル, 79,柴田善, 0.9, 74,   8,   1,11, 92.7,⑦⑨⑨
14, 9,Ｈダイワドヌｰブ, 42,小林淳, 2.7, 31,   3, -25,11, 84.2, ⑨⑫,,,,,,,,,,,,,14,15,Ｈナムラオｰシャン, 64,中舘英, 2.1, 52,  10, -28,10, 28.4, ⑤⑨,14, 4,Ｆロッソトウショウ, 81,古川吉, 1.0, 73,   8,  -1, 9, 78.0,⑨⑧⑧
15, 1,Ｌロトマティｰニ, 35,江田照, 3.5, 25,  -2, -25, 9, 58.6, ⑫⑬,,,,,,,,,,,,,15,12,Ｊラッシュウインド, 58,的場勇, 2.1, 51,  11, -27, 9, 27.8, ④④,,,,,,,,,,,,
16, 8,Ｐファンキｰトット, 29,松岡正, 3.6, 25,   7, -37, 7, 21.3, ⑤⑤,,,,,,,,,,,,,16,14,Ｉタイセイクライマｰ, 63,後藤浩, 2.1, 52,* 12, -29, 4,  7.1, ②⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
単勝:200円 複勝:15=130円 03=190円 12=260円 枠連:810円,,,,,,,,,,,,,,,,,,,,,,,,"単勝:370円 複勝:02=190円 04=740円 09=310円 枠連:3,220円",,,,,,,,,,,,単勝:520円 複勝:02=150円 06=110円 01=170円 枠連:440円,,,,,,,,,,,
"馬連:840円 ワイド:03-15=340円 12-15=520円 03-12=1,000円",,,,,,,,,,,,,,,,,,,,,,,,"馬連:5,980円 ワイド:02-04=2,310円 02-09=970円 04-09=4,610円",,,,,,,,,,,,馬連:480円 ワイド:02-06=210円 01-02=550円 01-06=270円,,,,,,,,,,,
"馬単:1,250円 3連複:2,600円 3連単:8,110円",,,,,,,,,,,,,,,,,,,,,,,,"馬単:8,780円 3連複:20,750円 3連単:113,820円",,,,,,,,,,,,"馬単:1,170円 3連複:910円 3連単:4,840円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  ダ1800m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2000m 3 歳ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,京成杯 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｅサルジュ, 57,蛯名正,, 61,* -1,*  7, 2,  3.8,①①①, 1,11, ケイジｰシオン,---,丸田恭,, 55,*  2,* -9, 7, 24.2,②②②, 1,16,Ａトウカイレジｰナ, 80,古川吉,, 76,*  9,   1, 1,  2.5, ③③, 1, 2,Ｂフェイトフルウォｰ, 75,田中勝,, 78,  12,  -7, 2,  4.7,③④④
 2, 5,Ｈイキナヤツ, 54,小野寺, 0.8, 56,  -3,*  5, 9, 72.9,⑥⑥⑥, 2, 5, リヴァｰレ,---,的場勇, 1.0, 57,   0, -11, 4,  6.7,⑥⑦⑨, 2,10,Ｋドンビザッツウェイ, 62,丸田恭, 0.4, 67,   4,*  3, 5, 12.3, ⑧⑧, 2,10,Ｏデボネア, 60,吉田豊, 0.0, 79,  11,* -2, 8, 29.4,⑨⑧⑧
 3, 7,Ｂコスモソユｰズ, 61,内田博, 0.9, 58,  -3,*  5, 3,  9.5,⑦⑧⑤, 3,12, シルクアイリス,---,内田博, 1.0, 52,*  3, -18, 1,  2.9,①①①, 3,11,Ｃアポロノサムライ, 71,後藤浩, 0.5, 67,   3,*  3, 4,  9.7, ⑨⑨, 3, 5,Ｃプレイ, 72,柴田大, 0.4, 74,* 14, -15, 7, 19.9,④③③
 4, 6,Ｆマイネルマルゴｰ, 57,クラス, 0.9, 57,  -2,   4, 8, 31.2,④④④, 4,14, ミラクルクロス,---,中舘英, 1.2, 49,   0, -16,10, 71.4,⑦⑥⑤, 4, 4,Ｍウイニングタワｰ, 57,小林淳, 0.8, 63,  -3,*  6,12,133.9, ⑭⑮, 4, 3,Ｇマイネルメダリスト, 68,津村明, 0.4, 76,  11,  -6,10, 39.5,⑦⑦⑦
 5, 1,Ｃヒラボクラッキｰ, 60,後藤浩, 1.0, 54,  -2,   2, 1,  1.9,③③③, 5, 6, ブルｰパメラ,---,柴田善, 2.2, 43,  -7,* -9,14,137.4,⑬⑬⑫, 5,12,Ｌシｰガルプリンセス, 58,伊藤工, 0.9, 68,* 10,  -8, 8, 32.6, ①①, 5,13,Ｆメイショウトチワカ, 68,勝浦正, 0.5, 74,   8,* -3,15,145.4,⑪⑪⑫
 6,13,Ｄエミリアビスティｰ, 59,横山典, 1.0, 55,* -2,   0, 5, 14.7,②②②, 6, 8, セシリアシチｰ,---,伊藤直, 2.3, 44,  -1, -22, 9, 47.9,⑧⑨⑧, 6,15,Ｈデプラｰタ, 64,岩部純, 1.1, 64,   6,  -5, 7, 31.3, ⑦⑦, 6,12,Ｈマイネルギブソン, 67,クラス, 0.6, 75,   9,  -4,14,105.8,⑭⑬⑬
 7,15,Ｊタイソンバロｰズ, 48,宮崎北, 1.4, 51,  -2,  -1,12,141.4,⑤⑤⑦, 7, 7, リュウシンアド,---,後藤浩, 2.4, 41,   1, -27, 5, 10.4,③③③, 7, 1,Ｄモスキャンピオン, 67,西村太, 1.1, 60,  -4,*  3,16,285.7, ⑮⑭, 7, 6,Ｎインナｰジョイ, 61,後藤浩, 0.7, 73,   8,* -4, 6, 16.7,⑬⑮⑭
 8, 2,Ｋサンデンマックス, 45,柴田善, 1.4, 51,  -5,   4, 7, 23.3,⑬⑫⑩, 8,13, ゴｰルドデスティニ,---,津村明, 2.5, 42,   0, -24, 8, 27.9,⑩⑧⑦, 8, 3,Ｆリｰサムプライド, 67,ベリｰ, 1.2, 61,  -1,   0, 3,  6.6, ⑪⑩, 8, 1,Ｉユウセン, 66,蛯名正, 0.9, 70,  12, -19, 9, 32.2,⑤⑤⑤
 9, 4,Ｇハタノゼフィロス, 55,柴山雄, 1.6, 51,  -4,   1, 6, 15.7,⑪⑨⑧, 9, 2, マリブビｰチ,---,松岡正, 2.6, 43,  -4, -18, 2,  3.7,⑫⑪⑩, 9, 5,Ｇイｰサンヘモス, 67,三浦皇, 1.3, 62,   7,  -7, 9, 43.8, ⑤⑤, 9, 4,Ｋタナトス, 64,三浦皇, 1.1, 70,   9, -12,13, 81.4,⑩⑩⑪
10,12,Ｉメジロミョウジン, 53,吉田豊, 3.0, 40,  -5, -10,10, 87.4,⑧⑪⑪,10, 3, ウインベルフラワｰ,---,北村宏, 3.1, 40, -11,*-10,12, 87.2,⑮⑮⑮,10, 6,Ｅカシマチャンピオン, 67,宮崎北, 1.3, 59,   0,  -2,11, 73.7, ⑫⑪,10, 8,Ｌヌｰベルバｰグ, 64,松岡正, 1.1, 68,* 14, -25, 4,  7.7,②②②
