11年 1月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月22日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,かささぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 9,Ｌバンクｰバｰリズム, 27,二本柳, 2.7, 28, -19, -13,12,190.2, ⑪⑫,12, 7, アキノスプレンダｰ,---,勝浦正, 2.4, 32, -27,  -8,16,204.8, ⑬⑫,12, 4,Ｋトｰセンブｰケ, 53,田中博, 3.3, 56,   5, -16,12,178.9,③⑩⑫,12, 5,Ｅシゲルカンリカン, 67,赤木高, 1.9, 54,  -2,  -7,12, 45.3, ⑩⑩
13,10,Ｍトゥルｰプレイズ,-12,赤木高, 4.5, 10, -38, -16,13,207.6, ⑬⑬,13, 6, ホクテンノホシ,---,松山弘, 2.4, 31, -36,   0,14,137.6, ⑭⑭,13, 2,Ｍカワキタトップ, 33,川須栄, 3.3, 55,   2, -10,10,109.3,⑪⑬⑬,13, 3,Ｏクラウンハッピｰ, 49,鮫島克, 2.1, 52,  -8,  -3,14,228.6, ⑭⑭
,,,,,,,,,,,,14, 9, マウントフジ,---,宮崎北, 2.8, 27, -24, -16,12, 60.5, ⑪⑬,,,,,,,,,,,,,14, 2,Ｎコパノオンタイム, 50,勝浦正, 2.6, 43, -19,   1,15,229.1, ⑮⑮
,,,,,,,,,,,,15,11, グランロｰズ,---,川須栄, 3.0, 28, -33,  -6,15,189.4, ⑮⑮,,,,,,,,,,,,,15, 1,Ｌノブヴィクトリｰ, 54,高田潤, 2.9, 44,   7, -28,13, 87.8, ③④
,,,,,,,,,,,,16, 4, オｰスミメイン,---,赤木高, 3.0, 23, -44,  -1,11, 46.2, ⑱⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,15, マスコットウイング,---,和田竜, 3.5, 19, -35, -14,17,212.8, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,
単勝:270円 複勝:11=120円 05=130円 07=390円 枠連:360円,,,,,,,,,,,,"単勝:9,790円 複勝:12=1,390円 03=160円 18=270円 枠連:5,990円",,,,,,,,,,,,"単勝:400円 複勝:13=180円 05=390円 12=160円 枠連:1,900円",,,,,,,,,,,,"単勝:420円 複勝:04=170円 15=260円 12=190円 枠連:1,020円",,,,,,,,,,,
馬連:360円 ワイド:05-11=170円 07-11=750円 05-07=720円,,,,,,,,,,,,"馬連:11,800円 ワイド:03-12=3,380円 12-18=6,220円 03-18=540円",,,,,,,,,,,,"馬連:3,430円 ワイド:05-13=1,070円 12-13=410円 05-12=1,090円",,,,,,,,,,,,"馬連:1,990円 ワイド:04-15=670円 04-12=460円 12-15=820円",,,,,,,,,,,
"馬単:710円 3連複:1,880円 3連単:6,030円",,,,,,,,,,,,"馬単:38,730円 3連複:29,150円 3連単:378,740円",,,,,,,,,,,,"馬単:4,430円 3連複:5,520円 3連単:30,850円",,,,,,,,,,,,"馬単:3,560円 3連複:3,470円 3連単:19,610円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  ダ2400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 8R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■11R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,壇之浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃマイネルソラｰナ, 56,丹内祐,, 60,  -2,   3, 2,  4.5,③③②, 1, 4,Ａロッソネロ, 79,丸山元,, 70,   5,*  6, 1,  1.8,⑤⑨⑦, 1,15,Ａマヤノリュウジン, 77,丸田恭,, 73, -12,* 16, 3,  5.4, ⑪⑩, 1, 7,Ｄヤマニンウイスカｰ, 76,藤岡康,, 80,   3,  13, 2,  4.3,⑤⑤④
 2,13,Ｅアベマリア, 54,勝浦正, 0.0, 57,  -2,   3,10, 39.4,⑦④③, 2, 5,Ｄシルクマッドネス, 71,川須栄, 0.1, 70,   6,*  2, 9, 47.9,⑨⑧⑥, 2, 5,Ｅアイビｰフォｰルド, 69,和田竜, 0.4, 70, -12,* 13, 1,  3.7, ⑩⑪, 2, 1,Ｃザバトルユｰジロｰ, 79,太宰啓, 0.0, 81,   3,* 17, 5, 11.8,⑥⑥⑧
 3, 3,Ｇフラアンジェリコ, 52,北村友, 0.0, 57,  -5,*  7, 1,  4.2,⑧⑧⑤, 3, 7,Ｉニシノスロｰン, 65,川島信, 0.3, 69,*  7,  -1, 6, 23.1,④③②, 3,17,Ｃシャイニｰカフェ, 73,水口優, 0.5, 66,* -5,   3,12, 35.8, ③③, 3, 4,Ｇブルｰモｰリシャス, 73,上村洋, 0.2, 78,   4,  11, 7, 19.8,④④③
 4,12,Ｄダノンマックイン, 54,鮫島克, 0.6, 53,  -2,  -1, 3,  4.6,⑩⑥④, 4, 1,Ｅプルシアンオリｰブ, 71,鮫島良, 0.4, 68,*  7,  -4, 2,  3.2,①①①, 4, 3,Ｂベストブルｰム, 74,西村太, 0.5, 66,  -7,   6, 2,  4.7, ⑤⑥, 4, 5,Ｆラインドリｰム, 74,鮫島克, 0.3, 77,   1,* 15, 3,  5.0,⑨⑨⑨
 5, 7,Ｆレゴリス, 54,中舘英, 0.7, 50,* -1,  -6, 6, 12.7,①①①, 5, 3,Ｂアテンボｰイ, 77,西田雄, 0.6, 67,   6,  -1, 3,  7.5,⑦⑦⑤, 5,14,Ｌフェリキタｰス, 60,大野拓, 0.7, 64,* -5,   1,10, 31.0, ②②, 5, 8,Ｂナリタシリカ, 79,勝浦正, 0.3, 75,   4,  11, 6, 17.5,⑦⑦⑥
 6,10,Ｉマルブツマスタｰ, 46,和田竜, 0.8, 54,  -4,   0, 5,  7.8,⑤⑦⑧, 6, 9,Ｇメイショウロッコｰ, 68,勝浦正, 0.7, 67,*  7,  -4, 7, 39.3,⑧④③, 6, 2,Ｇロイヤルロｰド, 67,西田雄, 0.7, 63, -10,   6, 8, 29.5, ⑦⑧, 6, 2,Ｋガンダｰラ, 70,和田竜, 0.5, 75,   2,   9, 4,  9.8,⑧⑧⑦
