11年 4月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 4月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,芝桜賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａケイト, 67,中舘英,, 50,* -7,   8, 2,  4.1,①①①, 1, 6,Ａマイネルメガロス, 57,丹内祐,, 66,  -6,*  7, 1,  3.0, ⑤③, 1, 7,Ｄエｰシンビッグシｰ, 69,北村友,, 67,* -1,*  7, 1,  3.4, ②②, 1, 6,Ｆビットスタｰダム, 65,伊藤工,, 71,  -6,*  9,11, 36.7, ⑤③
 2, 6,Ｃキングダンサｰ, 58,勝浦正, 0.2, 49,  -9,*  9, 3,  5.2,③④⑤, 2,16,Ｄネオザミスティック, 54,藤岡康, 0.3, 61,*  0,  -2, 4,  6.6, ①①, 2, 5,Ｂフロｰズンタイム, 71,川須栄, 0.2, 65,*  2,   4, 2,  4.4, ①①, 2,12,Ｂマイネルロガｰル, 69,丹内祐, 0.3, 68,* -5,   4, 1,  3.2, ④⑥
 3,13,Ｋブロｰドピｰク, 44,藤岡康, 0.4, 49,* -7,   7, 5, 11.7,⑧⑤④, 3, 5,Ｈダズリングスマイル, 47,田中博, 0.7, 56,* -3,  -5, 3,  6.0, ③②, 3,10,Ｋツリｰズオブホｰプ, 58,高倉稜, 0.3, 62,  -8,*  9,11, 69.8, ⑧⑦, 3, 1,Ａビュｰティバラｰド, 70,吉田隼, 0.4, 66,* -2,   1,13, 43.0, ①①
 4,16,Ｂデルマアプサラス, 58,黛弘人, 0.4, 48, -10,*  9, 8, 16.5,⑫⑦⑦, 4, 4,Ｏニットウミラｰレ, 32,勝浦正, 1.1, 49,  -9,  -5, 9, 26.3, ⑦⑥, 4, 6,Ｃアヌエヌエ, 69,勝浦正, 0.3, 63,  -6,*  7, 3,  5.0, ⑥⑤, 4, 8,Ｄウルトラファイン, 67,田辺裕, 0.6, 61,  -6,   1,10, 31.2, ⑥④
 5, 4,Ｅアプレレクｰル, 55,川須栄, 0.5, 48, -12,* 11, 4,  6.4,⑨⑪⑬, 5, 1,Ｇタイキバラｰド, 49,小野寺, 1.2, 48,  -5, -10, 6, 11.3, ④⑤, 5,14,Ａグレイスサンセット, 72,丸山元, 0.4, 62,  -3,   5, 4,  5.1, ③③, 5, 7,Ｃメイショウツガル, 69,古川吉, 0.7, 62,  -6,   0, 2,  3.9, ⑦⑤
 6,15,Ｈフォトジェニック, 47,吉田隼, 0.7, 47,* -8,   3, 1,  3.8,④③③, 6, 2,Ｆサイクロニスト, 50,太宰啓, 1.2, 49,* -3, -12, 5,  9.8, ②④, 6, 3,Ｅマンダリンレイ, 68,丸田恭, 1.0, 55, -11,   6, 7, 16.3, ⑩⑩, 6, 9,Ｐエンジョイタイム, 57,川島信, 0.8, 61, -10,   3, 8, 21.1, ⑪⑩
 7,14,Ｊタイキアンジェリカ, 45,丸山元, 0.7, 45,  -9,   5, 9, 19.3,⑦⑥⑥, 7, 3,Ｃトウショウリズム, 55,松山弘, 1.2, 48, -13,  -3, 2,  5.5, ⑪⑦, 7, 1,Ｆマスタｰルティア, 66,中舘英, 1.0, 55, -11,   5, 6, 13.8, ⑨⑨, 7,10,Ｅマスタｰグレイマン, 67,丸山元, 0.8, 60,  -7,   0, 3,  5.6, ⑧⑧
 8, 2,Ｄニットウミュｰズ, 55,丸田恭, 0.9, 42, -10,   5, 6, 12.4,⑪⑨⑧, 8,10,Ｌデルマラクシュミｰ, 39,伊藤工, 1.2, 48, -17,*  2,16,189.8, ⑭⑬, 8,11,Ｎフォルメン, 46,小林淳, 1.0, 56,  -4,   0, 9, 48.1, ⑤④, 8,16,Ｋサカジロキング, 62,鮫島良, 0.8, 62, -14,*  7,14, 57.6, ⑮⑭
