11年 7月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝2200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,比良山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａアンティｰクカラｰ, 64,川田将,, 66,  -4,*  7, 2,  3.2, ④④, 1,13, ディアマジェスティ,,高田潤,,,,, 1,  1.5,②①①, 1, 5,Ａコスモディセント, 71,北村友,, 75, -11,* 16, 3,  5.7,⑫⑫⑫, 1, 4,Ｅレッドスパｰクル, 82,藤岡康,, 87,   1,* 28, 6, 14.0,⑭⑮⑭
 2,11,Ｃランファン, 61,幸英明, 0.3, 63,* -2,*  2, 4,  9.0, ③③, 2, 7, エムエスワｰルド,,熊沢重,210.3,,,, 2,  4.3,④②②, 2,16,Ｂアドマイヤネアルコ, 67,川田将, 0.1, 69,* -9,   6, 2,  4.9,④④③, 2,13,Ｂマｰムｰドイモン, 88,幸英明, 0.0, 84,   6,  17, 5, 12.3,⑥⑤④
 3, 5,Ｋエｰシンメンフィス, 47,和田竜, 0.8, 58,* -1,  -3, 3,  7.1, ①①, 3,11, ハイデフィニション,,小坂忠,210.8,,,, 3, 13.0,①③③, 3, 4,Ｄスマｰトリバティｰ, 64,太宰啓, 0.2, 71, -10,* 10, 4,  6.1,⑨⑨⑪, 3,15,Ａロｰドオブザリング, 89,武豊  , 0.1, 83,   4,  18, 1,  3.1,⑪⑨⑦
 4,14,Ｅサフランルｰデンス, 57,武豊  , 1.0, 57,  -8,*  2, 7, 14.8, ⑫⑫, 4,10, トップフリｰダム,,佐久間,211.8,,,, 6, 24.9,⑧⑧⑥, 4,12,Ｃゴットラウディｰ, 65,武豊  , 0.2, 69,* -9,   6, 1,  2.6,⑦⑥⑥, 4,10,Ｍキングスビレッジ, 74,川田将, 0.2, 81,*  7,  12, 7, 20.3,③④③
 4,16,Ｄアドマイヤクイｰナ, 59,北村友, 1.0, 56,  -5,  -1, 1,  3.1, ⑥⑤, 5,14, スリｰロゼット,,北沢伸,212.0,,,,14,232.0,⑦⑤④, 5, 7,Ｈキクノスフィｰダ, 54,川須栄, 0.8, 58,* -8,  -6, 6, 13.7,①①①, 5, 2,Ｋシゲルリジチョウ, 75,福永祐, 0.3, 82,   2,  19, 2,  5.4,⑬⑭⑪
 6, 8,Ｆメモリｰフェスタ, 55,松山弘, 1.6, 51,* -2, -10, 8, 33.4, ②②, 6, 5, マンノレｰシング,,難波剛,213.5,,,, 7, 33.2,⑪⑪⑩, 6,14,Ｆサンライズブレット, 56,秋山真, 1.0, 57,* -9,  -6, 5,  9.7,③③④, 6, 5,Ｄカネトシパサｰジュ, 83,浜中俊, 0.5, 83,   3,  19, 4,  6.1,⑮⑬⑬
 7, 9,Ｍタムロプリンセス, 46,佐藤哲, 1.7, 50,  -5,  -8, 6, 13.1, ⑤⑥, 7, 8, シデンカイ,,草野太,213.8,,,, 8, 34.6,⑨⑨⑦, 7,11,Ｌナリタサジタリウス, 45,浜中俊, 1.2, 57,* -9,  -7,12,168.3,⑤⑧⑦, 7,14,Ｆタニノエポレット, 82,川須栄, 0.6, 80,   0,* 22, 3,  5.9,⑯⑯⑯
 8, 2,Ｈハリエットビｰト, 51,川須栄, 1.9, 50,  -5,  -7,11, 68.3, ⑧⑧, 8, 9, キシュウグラシア,,植野貴,213.9,,,, 4, 15.9,⑤⑥⑧, 8, 3,Ｊニホンピロフィｰド, 47,酒井学, 1.2, 61, -12,   4, 9, 80.7,⑭⑭⑬, 8, 3,Ｉコスモヘイガｰ, 76,和田竜, 0.8, 77,   2,  12,10, 28.8,⑧⑪⑩
 9,10,Ｊビビアンスマイル, 48,高倉稜, 2.0, 47,  -7,  -9,10, 52.6, ⑩⑪, 9, 2, プレストキララ,,江田勇,214.1,,,,12,147.1,⑥⑦⑨, 9,13, ナリタボルト,---,幸英明, 1.4, 53,* -9, -10, 7, 18.4,⑪⑩⑧, 9,16,Ｎキｰネプチュｰン, 73,国分優, 1.1, 72,   4,   4,16,230.0,⑨⑧⑨
 9, 3,Ｉタマモビｰナス, 49,渡辺薫, 2.0, 48,  -5,  -9,14,212.6, ⑦⑦,10, 6, メイショウブソン,,今村康,214.4,,,,11, 90.6,③④⑤,10,10,Ｉタマモエスプレッソ, 48,藤岡康, 1.4, 51,* -9, -13, 8, 23.8,②②②,10, 8,Ｃパワｰエｰス, 85,熊沢重, 1.2, 73,   2,   7, 9, 28.3,⑩⑩⑫
11,13,Ｌビハク, 47,国分優, 2.1, 48,  -6,  -9,13,196.8, ⑪⑩,11, 3, マックスチャンプ,,西谷誠,214.7,,,, 5, 23.8,⑫⑬⑬,11, 6,Ｋユメノアイリス, 46,佐藤哲, 1.4, 55, -11,  -6,10,153.6,⑩⑪⑩,11, 1,Ｊキクカラヴリイ, 76,北村友, 1.2, 71,   4,   3,14, 71.5,⑦⑥⑧
12, 1,Ｎルッケリ, 45,芹沢純, 2.2, 45, -16,  -2,15,216.2, ⑮⑭,12,12, コｰド,,高野和,214.8,,,,13,191.1,⑬⑫⑫,12, 8,Ｇユウタｰチェイサｰ, 55,高倉稜, 1.6, 53, -10, -10,13,184.9,⑧⑦⑨,12, 7,Ｌジャングルストｰン, 75,国分恭, 1.3, 68,*  7,  -7,12, 40.0,②②②
13, 7,Ｂマウントフジ, 64,福永祐, 2.2, 46,  -6, -10, 5,  9.1, ⑨⑨,13, 1, スリｰサンフレンチ,,林満明,215.6,,,, 9, 35.7,⑩⑩⑪,13, 2,Ｍシｰサイドウｰマン, 43,国分優, 1.8, 47,* -9, -16,15,255.3,⑥⑤⑤,13,11,Ｇハｰドダダンダン, 81,高倉稜, 1.5, 68,   6,  -5, 8, 20.7,④③⑤
14, 4,Ｏサニｰサファイア, 38,国分恭, 2.3, 45,  -9, -10, 9, 33.4, ⑬⑬,14, 4, テイエムブユウデン,,南井大,225.9,,,,10, 51.6,⑭⑭⑭,14,15,Ｅメイショウマキビ, 57,花田大, 1.8, 54, -14,  -3,14,201.2,⑯⑮⑮,14,12,Ｐトレジャｰハント, 67,太宰啓, 1.5, 67,   4,  -3,13, 67.8,⑤⑦⑥
15,12,Ｇマイヨオロ, 52,花田大, 2.3, 44, -14,  -4,12,162.2, ⑭⑮,,,,,,,,,,,,,15, 1,Ｏテイエムトマホｰク,  8,和田竜, 2.0, 51, -14,  -7,11,158.5,⑬⑬⑭,15, 9,Ｏハｰマジェスティ, 72,小林慎, 2.0, 64,   2,  -4,15,221.9,⑫⑫⑮
16,15, テｰオｰフラッグ,---,森一馬, 2.4, 43, -16,  -3,16,242.1, ⑯⑯,,,,,,,,,,,,,16, 9,Ｎリンカｰンドリｰム, 23,武幸四, 7.7,-15, -21, -74,16,265.7,⑮⑯⑯,16, 6,Ｈウィッシングデュｰ, 79,酒井学, 2.4, 56,*  6, -23,11, 31.4,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
