11年 2月20日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 2月20日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1600m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初音ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｃエイコオウイング, 63,柴田善,, 73,   1,* 10, 3,  5.5, ⑥⑥, 7, 9,Ｄラポｰル, 59,後藤浩, 0.0, 68, -17,  18, 3,  8.4, ⑨⑩, 1, 9,Ｄマイネルグｰト, 80,ベリｰ,, 89,* 14,   5, 8, 22.7,②②②, 1, 4,Ｊトゥニｰポｰト, 78,内田博,, 84,* -6,  16, 8, 16.5, ②②
 2, 5,Ｍキザ, 47,福永祐, 1.1, 65,  -5,*  8, 5,  9.4, ⑫⑫, 1, 5,Ｂリンゴット, 62,デムｰ,, 63,*-13,   9, 1,  2.1, ①①, 2,11,Ａエイシンサクセス, 88,リスポ, 0.1, 88,* 13,   7, 1,  3.4,③④④, 2, 2,Ｄエオリアンハｰプ, 84,田中勝, 0.0, 87, -11,* 25, 6, 12.5, ⑨⑨
 3,10,Ａトｰセンレラ, 70,デムｰ, 1.8, 58,   2,  -8, 1,  3.1, ⑤⑤, 2, 2,Ｃエｰブライジン, 62,内田博, 0.2, 66, -15,  12, 5, 10.1, ④④, 3, 2,Ｐヒシカツジェｰムス, 66,蛯名正, 0.3, 87,* 13,   4, 6, 10.6,⑥③③, 3, 3,Ｂソｰマジック, 86,三浦皇, 0.0, 82,* -6,  14, 2,  5.0, ①①
 4, 9,Ｂグランデアトレ, 69,柴山雄, 2.2, 56,*  4, -13, 2,  3.9, ③③, 3,11,Ａオマワリサン, 63,柴田善, 0.2, 67, -20,* 19, 4,  8.6, ⑬⑫, 4, 6,Ｆプティプランセス, 79,小野寺, 0.5, 86,   6,* 15, 7, 22.4,⑭⑭⑭, 4,13,Ｇクｰデグレイス, 81,リスポ, 0.0, 86, -12,* 25, 7, 13.2, ⑪⑩
 5, 3,Ｊアグネスシャロット, 52,吉田豊, 2.3, 53,  -4,  -4, 6, 14.8, ⑨⑨, 4, 6,Ｆアラマサコマンダｰ, 57,田辺裕, 0.2, 65, -17,  15, 9, 26.9, ⑧⑧, 5,16,Ｅクラックシｰド, 80,横山典, 0.5, 86,   8,* 13, 4,  6.2,⑩⑪⑫, 5, 7,Ａレディアルバロｰザ, 88,松岡正, 0.0, 84,  -9,  19, 1,  3.2, ④④
 6, 7,Ｋチャｰミングロック, 48,武士沢, 2.5, 52,  -6,  -4,14,323.2, ⑪⑪, 5, 4,Ｎダイヤモンドアスク, 36,武士沢, 0.3, 68, -21,* 19,11, 77.9, ⑭⑭, 6,12,Ｃアドバンスヘイロｰ, 80,田中勝, 0.7, 83,  12,   1, 3,  5.4,④⑦⑤, 6,12,Ｅアグネスミヌエット, 83,岩田康, 0.2, 86, -13,* 24,10, 47.4, ⑫⑪
 7, 6,Ｄアップタｰン, 58,勝浦正, 2.5, 54,   2, -14, 4,  6.5, ④④, 6,12,Ｅキｰフォｰス, 58,リスポ, 0.4, 66, -21,* 19, 8, 19.9, ⑮⑮, 7, 3,Ｈフランドルシチｰ, 76,内田博, 0.8, 84,   6,* 11, 9, 34.1,⑮⑮⑮, 7,11,Ｃニｰマルオトメ, 84,後藤浩, 0.2, 81,  -9,  17, 9, 21.3, ⑧⑥
 8,15,Ｉキョカキョク, 52,三浦皇, 2.5, 53,  -9,   1,12,123.5, ⑯⑮, 8,10,Ｋトｰセンジャガｰ, 45,江田照, 0.4, 69, -22,* 22,10, 45.7, ⑯⑯, 8, 1,Ｉダイアナバロｰズ, 75,北村宏, 0.8, 83,   8,  10,11, 53.6,⑪⑫⑬, 8,10,Ｍスペルバインド, 77,武豊  , 0.2, 83, -10,  20, 5,  8.3, ⑦⑧
