11年 6月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 6月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1600m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,稲村ヶ崎特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｅナムラエメラルド, 63,横山典,, 63,   0,*  1, 2,  7.1, ⑫⑪, 1, 4,Ｇイッツスパｰブ, 56,吉田豊,, 67,  10, -17, 5, 15.8,⑦⑦⑤, 1, 3,Ｄトレジャｰチェスト, 70,北村宏,, 71,*  7,*  1, 9, 23.6, ②②, 1, 1,Ｂメイショウジンム, 84,安藤勝,, 83,* -3,  16, 2,  3.6,②②②
 2, 8,Ｂハｰドボイルド, 68,石神深, 0.1, 63,   5,  -5, 3,  9.3, ⑨⑧, 2,11,Ｂエｰブフウジン, 69,蛯名正, 0.0, 69,   9,*-14, 1,  3.1,⑥⑥⑦, 2, 9,Ａライラックパンチ, 74,横山典, 0.1, 70,*  7,   1, 1,  2.6, ③③, 2, 9,Ｇメジロスプレンダｰ, 75,蛯名正, 0.0, 84,  -5,* 17, 8, 19.9,④③③
 3, 5,Ａエフティシュタルク, 74,蛯名正, 0.1, 63,   5,  -7, 1,  1.4, ⑥⑥, 3, 1,Ａヒカルウインド, 70,横山典, 0.0, 67,   7,*-13, 4,  4.9,⑩⑨⑧, 3,10,Ｃディミｰタ, 71,蛯名正, 0.3, 70,   6,*  2, 2,  5.0, ⑥⑧, 3, 7,Ｄベストアンサｰ, 78,横山典, 0.4, 81,  -8,* 18, 6, 17.3,⑧⑧⑨
 4, 3,Ｃキザ, 66,北村宏, 0.2, 63,   4,  -5, 5, 15.2, ⑧⑨, 4,14,Ｅマイネロｰレライ, 63,松岡正, 0.3, 65,* 13, -29, 3,  4.6,⑤②②, 4, 2,Ｂチャレンジフラッグ, 72,後藤浩, 0.3, 68,   5,*  1, 3,  6.5, ⑧⑤, 4, 2,Ｅベルタリド, 77,江田照, 0.6, 76,  -5,  10,10, 65.0,③④④
 5, 9,Ｊビリｰヴマイン, 53,松岡正, 0.5, 59,  -3,*  2, 7, 34.2, ⑬⑬, 5, 8, サトノナイト,---,石橋脩, 0.4, 65,   5,*-13, 2,  4.5,⑮⑭⑫, 5, 7,Ｉレッドプラネット, 65,武士沢, 0.7, 64,*  9,  -7, 4,  6.7, ①①, 5, 6,Ａサブコンシャス, 84,後藤浩, 0.8, 76,  -8,  12, 4,  6.0,⑪⑪⑩
 6, 7,Ｄトウショウジャック, 63,吉田豊, 0.6, 60,*  9, -15, 4, 10.5, ③③, 6, 6,Ｈサンデンマックス, 55,嶋田純, 0.6, 61,  10, -26,11, 61.5,③⑤④, 6, 4,Ｇマドモアゼルノン, 65,柴田大, 0.9, 65,   6,  -4,11,103.8, ⑤⑥, 6, 4,Ｃガンズオブナバロン, 82,北村宏, 0.9, 73,  -7,   7, 1,  3.1,⑤⑥⑤
 7, 6,Ｈソレイユレディｰ, 57,石橋脩, 1.1, 55,   1,  -9,11,177.1, ⑪⑩, 7, 9,Ｄラシアンウッズ, 64,後藤浩, 0.7, 61,   5, -17, 8, 23.6,⑭⑮⑬, 7, 5,Ｋリズモア, 62,三浦皇, 1.0, 66,   3,   1, 5,  9.3, ⑫⑫, 7, 5,Ｊトモロマイスタｰ, 69,武士沢, 1.1, 72,  -5,   3, 5,  9.3,⑥⑤⑥
 8, 2,Ｉタツサイゴン, 57,熊沢重, 1.2, 57,   7, -18, 8, 72.0, ④④, 8, 7,Ｆスウェｰジｰ, 59,北村宏, 1.1, 57,   6, -24, 9, 49.3,⑪⑪⑪, 8,11,Ｌモエレポｰルスタｰ, 59,嶋田純, 1.2, 62,   6,  -8,12,311.5, ④④, 8,11,Ｉタイセイダンサｰ, 70,三浦皇, 1.2, 72,  -6,   4, 7, 19.7,⑨⑨⑧
