11年 5月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朱雀ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃクレセントシチｰ, 62,佐藤哲,, 68,  -3,* 14, 7, 12.5,⑪⑬⑧, 1, 4, リリｰハｰバｰ,,小坂忠,,,,, 4,  8.0,①①①, 1, 5,Ｊアドマイヤベルナ, 65,川田将,, 86,*  9,* 11, 5,  8.8, ②①, 1, 4,Ｃエアラフォン, 81,ピンナ,, 83, -11,* 21, 1,  3.1, ⑩⑩
 2,13,Ｆスプリングシｰズン, 59,長谷川, 0.1, 64,*  1,   2, 2,  5.0,④③③, 2,10, スズカワイルド,,林満明,194.8,,,, 1,  2.7,④③③, 2, 3,Ａドリｰムクラフト, 78,佐藤哲, 0.7, 80,   4,* 14, 1,  2.0, ⑩⑩, 2, 1,Ｉエｰシンウェズン, 75,川田将, 0.1, 80,  -8,  14, 3,  4.0, ④④
 3,11,Ｄダンスラナキラ, 61,小牧太, 0.3, 63,  -2,*  7, 5,  7.9,⑨⑦⑦, 3,11, オンワｰドホｰプ,,熊沢重,195.0,,,, 2,  4.4,③②②, 3, 6,Ｅテキｰラ, 72,ピンナ, 0.9, 78,   2,* 14, 3,  7.5, ⑬⑫, 3,12,Ｊマイネルプルｰト, 75,和田竜, 0.2, 81, -11,  18, 9, 62.3, ⑪⑪
 4, 2,Ｊネバｰミスザマｰク, 47,太宰啓, 0.5, 60,*  1,  -2, 3,  6.0,①①①, 4, 1, カワキタトップ,,植野貴,195.2,,,, 5,  9.9,⑥④④, 4, 4,Ｄマイネアロマ, 72,和田竜, 1.1, 74,*  8,  -2, 4,  7.9, ③②, 4, 6,Ｍモトヒメ, 71,太宰啓, 0.2, 78,  -8,  12,14,231.5, ③③
 5, 7,Ａランスブレイク, 69,和田竜, 0.6, 62,   1,  -1, 1,  2.7,③④④, 5, 2, ヤラマイカ,,五十嵐,196.3,,,,10, 49.5,⑦⑤⑤, 5,13,Ｂサンライズスカイ, 76,幸英明, 1.3, 73,   5,   2, 2,  4.9, ⑨⑧, 5, 7,Ｄメモリｰパフィア, 79,幸英明, 0.3, 75,* -5,   8, 5, 10.8, ①①
 6,14,Ｅシｰズガレット, 60,国分恭, 0.7, 62,  -1,   3, 6, 12.1,⑧⑥⑤, 6, 7, ワキノレジェンド,,北沢伸,196.7,,,, 8, 17.3,⑤⑥⑥, 6, 9,Ｆマグニフィセント, 72,小坂忠, 1.5, 72,   3,   6,13,431.5, ⑪⑬, 6, 9,Ｂオオトリオウジャ, 83,小牧太, 0.3, 82, -19,* 26, 7, 21.0, ⑭⑭
 7,10,Ｂビヨンドザリｰフ, 67,川田将, 1.0, 60,   0,  -1, 4,  7.0,⑥⑤⑥, 7,13, スズカケノミチ,,高野和,198.0,,,,14,163.0,⑧⑦⑦, 7, 8,Ｃナリタプラチナ, 74,鮫島良, 1.5, 70,   6,  -5, 6,  9.8, ④④, 7,14,Ｈアグネスヨジゲン, 75,鮫島良, 0.3, 80, -15,* 21, 8, 33.6, ⑬⑬
 8, 5,Ｉネバｰプリンス, 50,田中克, 1.1, 57,*  1,  -6, 9, 64.3,②②②, 8, 3, ピエナグッドラック,,中村将,199.3,,,, 3,  7.1,⑩⑩⑨, 8,11,Ｈヒダカタイザン, 67,飯田祐, 1.5, 71,   5,   2, 9,152.7, ⑧⑨, 8, 8,Ｆロｰズカットダイヤ, 77,秋山真, 0.4, 77, -10,  13, 6, 16.9, ⑦⑦
 9,12,Ｈシルバｰチｰフ, 54,幸英明, 1.6, 57,  -2,  -3,11, 95.9,⑭⑩⑨, 9,12, アラタマポケット,,難波剛,200.7,,,,13,138.3,⑫⑪⑪, 9,12,Ｉジュヴェビアン, 67,川島信, 1.7, 68,   6,  -8, 8, 95.0, ⑦⑤, 9, 3,Ａマルカベスト, 85,安藤勝, 0.5, 74,  -9,  11, 2,  3.8, ⑤⑥
10, 3, キャピタルチャンス,---,国分優, 2.1, 52,  -5,  -4,10, 82.7,⑬⑭⑬,10, 9, エｰシンテュポｰン,,今村康,200.9,,,, 7, 14.8,⑨⑨⑩,10, 2,Ｇグレｰトビンテｰジ, 68,小牧太, 1.8, 69,   3,   1,10,161.6, ⑫⑪,10,10,Ｅシゲルモトナリ, 77,藤岡佑, 0.5, 75, -10,  12, 4,  7.5, ⑨⑧
11, 8,Ｇシルクアリオン, 57,竹之下, 2.2, 52,  -3,  -7, 8, 43.1,⑫⑫⑪,11,14, ブルｰフォｰチュン,,田嶋翔,201.3,,,, 6, 12.3,②⑧⑧,11, 1,Ｌラガｰゴｰルデン, 57,上野翔, 2.2, 65,   8, -12,11,263.4, ⑤⑦,11, 5,Ｌユメイッポ, 74,国分優, 0.5, 73,* -7,   6,13,145.9, ②②
12, 1,Ｍテイクミｰウェイ, 40,中村将, 2.8, 48,  -4, -10,14,195.1,⑦⑪⑫,12, 6, ライオングラス,,横山義,204.4,,,,11, 76.9,⑪⑫⑫,12, 7,Ｋアルアラビアン, 59,柴原央, 2.3, 60,   6, -17, 7, 24.8, ⑥⑥,12, 2,Ｋテラノファントム, 74,佐藤哲, 0.6, 74, -11,  12,12,107.0, ⑧⑨
13, 9,Ｋメイショウアサギリ, 43,森一馬, 3.5, 43,  -3, -19,13,121.7,⑩⑨⑩,13, 8, シンボリルルド,,山本康,207.7,,,, 9, 30.8,⑭⑬⑬,13,10,Ｍピエナヴィブレ, 48,国分恭, 4.5, 42,*  9, -53,12,404.9, ①③,13,11,Ｎイセノスバル, 71,熊沢重, 0.7, 71,  -8,   6,10, 63.8, ⑥⑤
14, 6,Ｌフィッシャｰガｰル, 43,秋山真, 6.6, 24,  -3, -45,12,106.3,⑤⑧⑭,14, 5, トップオブボストン,,白浜雄,214.0,,,,12, 88.9,⑬⑭⑭,,,,,,,,,,,,,14,13,Ｇマイネルプライゼン, 76,柴山雄, 0.7, 74, -13,  13,11, 87.2, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,250円 複勝:04=310円 13=210円 11=210円 枠連:1,850円",,,,,,,,,,,,単勝:800円 複勝:04=230円 10=130円 11=140円 枠連:520円,,,,,,,,,,,,単勝:880円 複勝:05=280円 03=110円 06=170円 枠連:510円,,,,,,,,,,,,単勝:310円 複勝:04=150円 01=160円 12=930円 枠連:330円,,,,,,,,,,,
"馬連:3,140円 ワイド:04-13=1,100円 04-11=1,130円 11-13=770円",,,,,,,,,,,,"馬連:1,520円 ワイド:04-10=560円 04-11=620円 10-11=210円",,,,,,,,,,,,"馬連:1,240円 ワイド:03-05=470円 05-06=1,280円 03-06=330円",,,,,,,,,,,,"馬連:570円 ワイド:01-04=270円 04-12=2,530円 01-12=2,700円",,,,,,,,,,,
"馬単:7,270円 3連複:8,210円 3連単:55,860円",,,,,,,,,,,,"馬単:3,640円 3連複:1,620円 3連単:11,420円",,,,,,,,,,,,"馬単:3,130円 3連複:2,720円 3連単:19,930円",,,,,,,,,,,,"馬単:1,040円 3連複:13,200円 3連単:44,440円",,,,,,,,,,,
■ 2R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  ダ1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■11R  ダ1400m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,栗東ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｃパイクスピｰク, 59,渡辺薫,, 60,* -8,   2, 1,  3.7, ④③, 1, 1,Ｂユウキマリアッチ, 71,安藤光,, 70,   6,   5, 5,  9.3, ④⑥, 1, 1,Ａピサノルビｰ, 79,川田将,, 74,* -7,* 23, 1,  1.3,②②②, 1, 9,Ｋトｰホウドルチェ, 86,幸英明,, 90,*  8,  19, 6, 19.9, ③②
 2,18,Ｈサンレガｰロ, 48,藤岡佑, 0.1, 60,  -9,   5, 7, 19.6, ⑥⑥, 2, 3,Ａサミットストｰン, 71,小牧太, 0.0, 69,  -4,* 15, 1,  2.7, ⑪⑪, 2,10,Ｄトウカイファミリｰ, 70,秋山真, 0.2, 72,* -7,  22, 4, 10.9,①①①, 2, 6,Ｃワｰルドワイド, 91,小牧太, 0.1, 87,*  8,  19, 2,  4.6, ②③
 3,17,Ｇエｰシンサクショｰ, 51,柴山雄, 0.1, 60, -12,*  9,10, 53.1, ⑫⑦, 3,13,Ｊマｰベラスビジン, 63,太宰啓, 0.2, 68,   3,   6,15,115.1, ⑧⑦, 3, 4,Ｃコウエイテンプウ, 70,和田竜, 0.3, 74,  -8,* 23, 2,  9.9,④⑥⑥, 3,16,Ｅナムラタイタン, 89,熊沢重, 0.4, 87,   5,  19, 4,  5.7, ⑦⑤
