11年 1月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山科ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂブライ, 62,岩田康,, 64,   6,* -6, 1,  2.2, ④④, 1, 4, メイショウブソン,,植野貴,,,,, 3,  5.9,①①①, 1, 1,Ｄハｰトシュｰタｰ, 80,国分優,, 81,   5,* 16, 5,  7.9,⑦⑥⑥, 1,11,Ｌスペｰスフライト, 78,和田竜,, 84,  10,  10,10, 45.2, ⑨⑧
 2, 5,Ｉアフリカンハンタｰ, 38,武豊  , 0.0, 61,   4,* -5, 4,  8.5, ⑤⑤, 2, 2, コンゴウ,,高田潤,197.8,,,, 4,  7.3,⑤④②, 2, 2,Ｂスイｰトテン, 81,岩田康, 0.3, 80,   4,  15, 1,  3.6,⑧⑨⑧, 2, 2,Ｅノルマンディｰ, 82,リスポ, 0.1, 82,  12,   6, 2,  3.2, ④④
 3, 4,Ｇスオウタカモリ, 46,福永祐, 0.7, 56,   0,* -6, 3,  6.8, ⑩⑦, 3,12, マリエンベルク,,佐久間,198.2,,,,10, 24.2,⑦⑦⑥, 3, 8,Ｎツルミプラチナム, 69,柴原央, 0.4, 79,   2,* 16,11, 43.7,⑮⑬⑩, 3, 8,Ｉスマｰトブレｰド, 81,幸英明, 0.1, 80,   7,* 11, 9, 41.8, ⑪⑪
 4,11,Ｃエｰシンボダイジュ, 53,吉田稔, 0.9, 52,   1, -10, 5, 11.7, ⑥⑧, 4, 1, メイケイオｰシャン,,白浜雄,198.6,,,,11, 46.3,⑩⑨⑩, 4,12,Ａアイウォントユｰ, 83,酒井学, 0.5, 79,   1,* 19, 4,  7.1,⑭⑮⑮, 4, 1,Ｄルティラｰレ, 82,長谷川, 0.2, 79,   5,* 12, 6, 20.1, ⑫⑫
 4, 3,Ａサワヤカユウタ, 62,藤田伸, 0.9, 53,   1,  -9, 2,  3.4, ⑨⑨, 5, 3, ディアマイホｰス,,江田勇,198.6,,,, 5,  7.3,⑫⑩⑨, 5,16,Ｃヒットメｰカｰ, 80,国分恭, 0.7, 75,   3,  12, 2,  4.8,⑬⑭⑪, 5, 3,Ｆマジックボンバｰ, 82,小牧太, 0.2, 79,   7,  10,11, 50.3, ⑩⑩
 6,10,Ｅシャドｰボｰル, 47,和田竜, 1.4, 52,*  7, -19, 8, 38.1, ③②, 6, 8, ピサロナイト,,今村康,198.7,,,, 2,  4.8,⑥⑥⑦, 6, 4,Ｅテｰオｰストｰム, 79,藤岡佑, 0.7, 73,   5,   5, 3,  5.7,⑤⑤⑤, 6, 7,Ｊステイドリｰム, 79,藤岡佑, 0.4, 80,  11,   4, 5, 13.6, ⑥⑤
 7, 7,Ｌジュピタｰドリｰム, 37,国分恭, 1.4, 53,*  9, -21,10, 73.6, ①①, 7, 7, ブロｰヒッタｰ,,熊沢重,198.9,,,, 6, 14.5,②③④, 7, 5,Ｌタガノイノセンス, 69,赤木高, 0.8, 70,*  8,  -4, 8, 16.7,①①①, 7,10,Ｋダノンアスカ, 79,渡辺薫, 0.4, 77,   3,* 12,12, 70.2, ⑬⑬
 8, 6, シゲルヤクイン,---,藤岡康, 1.5, 48,   3, -16, 7, 32.4, ⑦⑥, 8, 5, スマｰトカンパニｰ,,五十嵐,198.9,,,, 7, 15.8,⑧⑧⑧, 8,11,Ｇカネスアドラシオン, 73,和田竜, 0.9, 72,*  6,  -1, 6, 15.0,③④③, 8, 4,Ｃゴｰルドエンデバｰ, 82,吉田稔, 0.5, 77,  10,   5, 4,  7.9, ⑧⑨
 9,13,Ｄサンレイワイルド, 52,浜中俊, 1.6, 47,   1, -16, 6, 24.6, ⑧⑩, 9,13, アドマイヤゴルゴ,,北沢伸,199.5,,,, 1,  3.4,③②③, 9, 6,Ｆエイシンブイダンス, 77,武豊  , 0.9, 73,   2,   9, 7, 16.3,⑩⑩⑫, 9, 9,Ｂグロｰリｰルピナス, 84,武豊  , 0.6, 78,  12,   3, 3,  7.8, ⑦⑥
10, 2,Ｈマサノエクスプレス, 44,国分優, 1.7, 45,  -3, -12,12,278.0, ⑫⑪,10, 9, ワンダｰクラフティ,,林満明,200.3,,,, 9, 22.1,④⑤⑤,10, 3,Ｏロックンロｰル, 64,野元昭, 1.1, 68,*  6,  -3,10, 37.3,④③④,10, 5,Ｈストｰリｰテリング, 81,川島信, 0.7, 76,  11,   2, 8, 30.3, ⑤⑦
11, 1,Ｆビコｰラミナ, 46,佐久間, 1.9, 42,  -5, -12,11,119.6, ⑬⑬,11, 6, シンボリルルド,,山本康,201.1,,,,12, 87.8,⑪⑪⑪,11,15,Ｐデンコウアルセウス, 64,川島信, 1.2, 73,   2,   5,15,181.3,⑪⑪⑬,11,13,Ｎブラックシャドウ, 75,熊沢重, 1.5, 72,* 15,  -9,13,102.2, ③③
12,15,Ｍイズミシリウス, 36,小林徹, 2.0, 43,  -1, -17,13,304.1, ⑪⑫,12,14, マルイチシンゲキ,,小坂忠,205.1,,,, 8, 17.5,⑨⑫⑫,12,14,Ｊアッシュｰル, 71,浜中俊, 1.2, 69,   5,  -1,12, 43.8,⑥⑦⑦,12,12,Ｇガンドッグ, 82,岩田康, 1.6, 71,* 15, -10, 1,  2.5, ②②
13,14,Ｎディル, 15,柴田大, 2.2, 41,  -4, -16,14,314.0, ⑮⑭,13,11, モエレスタｰレット,,草野太,210.7,,,,13,149.5,⑬⑬⑬,13, 7,Ｍメイショウグラｰド, 69,太宰啓, 1.6, 66,   2,   0,14,160.3,⑫⑫⑭,13, 6,Ｍストレｰトイン, 76,松山弘, 3.2, 58,* 16, -25, 7, 27.6, ①①
14, 8,Ｊキングファルコン, 38,安部幸, 2.2, 44,*  8, -27, 9, 40.5, ②③,,,,,,,,,,,,,14,10,Ｉサンライズトラスト, 72,幸英明, 1.8, 61,*  6, -15, 9, 23.2,②②②,,,,,,,,,,,,
15, 9,Ｋアクトクｰル, 38,赤木高, 2.9, 37,  -4, -19,15,363.7, ⑭⑮,,,,,,,,,,,,,15,13,Ｋミッキｰリヒト, 70,上村洋, 2.0, 62,   4, -10,13, 63.5,⑨⑧⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:3),,,,,,,,,,,
単勝:220円 複勝:12=110円 05=240円 04=200円 枠連:380円,,,,,,,,,,,,"単勝:590円 複勝:04=220円 02=240円 12=600円 枠連:1,100円",,,,,,,,,,,,"単勝:790円 複勝:01=270円 02=160円 08=1,090円 枠連:1,450円",,,,,,,,,,,,"単勝:4,520円 複勝:11=970円 02=160円 08=830円 枠連:320円",,,,,,,,,,,
"馬連:1,080円 ワイド:05-12=400円 04-12=390円 04-05=830円",,,,,,,,,,,,"馬連:1,750円 ワイド:02-04=690円 04-12=2,050円 02-12=1,750円",,,,,,,,,,,,"馬連:1,260円 ワイド:01-02=460円 01-08=3,570円 02-08=2,330円",,,,,,,,,,,,"馬連:6,470円 ワイド:02-11=1,840円 08-11=4,330円 02-08=2,020円",,,,,,,,,,,
"馬単:1,670円 3連複:2,000円 3連単:8,720円",,,,,,,,,,,,"馬単:3,560円 3連複:12,470円 3連単:64,820円",,,,,,,,,,,,"馬単:2,850円 3連複:16,050円 3連単:105,060円",,,,,,,,,,,,"馬単:19,310円 3連複:28,860円 3連単:299,550円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 8R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1200m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,淀短距離ｽﾃｰｸｽ,,,,,,,,,,
