11年 5月15日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月15日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ゆきつばき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂショウナンガｰデン, 58,田辺裕,, 62,* -4,*  8, 2,  3.8,②②②, 1, 9,Ｄメジロコウミョウ, 59,黛弘人,, 59,* -5,   8, 5,  9.8,⑯④③, 1,14,Ｏロｰドヴィオレット, 35,高倉稜,, 69,  10,  -9, 2,  5.1, ⑤⑥, 1,15,Ｄメイショウツガル, 65,古川吉,, 73,*  8,  -5, 2,  4.8, ③②
 2,14,Ｊスペシャルピｰス, 51,川須栄, 0.7, 58,  -5,*  4, 5,  8.8,⑦⑤⑤, 2, 7,Ｃヤマニンリップル, 62,吉田隼, 0.0, 62,  -8,* 13, 1,  2.8,⑤⑥⑤, 2, 6,Ｈハイレイヤｰ, 65,杉原誠, 0.1, 67,  12, -14,10, 31.2, ④④, 2,16,Ｅナムラドリｰミｰ, 64,松山弘, 0.0, 73,* 11,  -7, 5, 10.3, ①①
 3, 2,Ｈメｰンテｰブル, 53,丸山元, 0.9, 57,  -5,   1, 4,  8.1,③④④, 3,12,Ｂポレモス, 62,平野優, 0.2, 56,* -5,   3, 3,  5.3,⑮②②, 3, 5,Ｄマイファｰストラヴ, 69,川須栄, 0.1, 67,  11, -10, 1,  2.6, ⑥⑤, 3,13,Ａアグネスウイッシュ, 68,勝浦正, 0.1, 66,  -5,*  7, 4,  6.4, ⑫⑩
 4, 3,Ｄサマｰティアラ, 56,勝浦正, 1.0, 58,  -5,   3, 3,  5.7,⑤⑥⑥, 4, 4,Ａクイｰンオリｰブ, 63,田辺裕, 0.4, 51,* -4,  -1, 2,  3.8,①①①, 4, 9,Ｃメイショウタフ, 69,花田大, 0.1, 68,   6,* -2, 7, 13.9, ⑫⑫, 4, 9,Ｂアンゲネｰム, 68,丸山元, 0.3, 64, -13,* 12, 1,  4.4, ⑯⑯
 5, 4,Ｅエｰシンミモザ, 55,村田一, 1.1, 55,* -3,  -3, 6, 16.5,①①①, 5,11,Ｊセミニョン, 44,川須栄, 0.4, 55,  -7,   5, 9, 46.4,⑭⑤⑥, 5,15,Ｋサトノサウザｰ, 61,藤懸貴, 0.3, 67,   6,* -3, 4, 10.9, ⑬⑭, 5,14,Ｆポピュラｰストック, 64,木幡初, 0.3, 67,   1,  -1, 6, 10.6, ⑨⑦
 6,10,Ａクラベス, 64,平野優, 1.1, 56,  -7,   3, 1,  2.5,⑧⑧⑦, 6,15,Ｇコスモウィッシュ, 51,丹内祐, 0.6, 55,* -5,   1,10, 67.6,③③④, 6, 8,Ｆメイショウデュｰイ, 66,小島太, 0.4, 63,* 19, -32, 6, 13.7, ①①, 6,11,Ｊミスタｰマスタｰド, 59,武幸四, 0.4, 68,*  9, -10, 8, 17.2, ②③
 7, 8,Ｆストリングビｰン, 54,中舘英, 1.3, 54,* -4,  -3, 7, 27.5,④③③, 7, 8,Ｉデルマラｰトリｰ, 46,宮崎北, 0.9, 53,  -8,   2,12,134.6,⑦⑧⑦, 7, 2,Ａルロワ, 77,平野優, 0.5, 63,  12, -19, 3,  5.3, ③③, 7, 4,Ｃサｰストンサブリナ, 67,小野寺, 0.7, 61,  -1,  -5, 3,  6.1, ⑧⑨
 8,13,Ｇココアンジュ, 53,津村明, 2.0, 51,  -7,  -3, 9, 69.2,⑨⑩⑧, 8, 2,Ｈメリｰハｰト, 47,石橋脩, 1.1, 51,  -9,   3, 7, 18.6,④⑩⑨, 8, 3,Ｌトウカイフィット, 60,伊藤工, 0.5, 66,   4,*  0, 8, 19.6, ⑭⑮, 8, 8,Ｋフェイスフルラバｰ, 58,石橋脩, 1.0, 57,  -4,  -4,11, 27.9, ⑪⑫
