11年 1月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,背振山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃウエストハｰバｰ, 56,川須栄,, 63,*  0,*  7, 3,  4.8, ①①, 1,10,Ｄコウエイオトメ, 51,川須栄,, 54,*-22,*  7, 3,  8.6,④③④, 1, 9,Ａアサギリ, 80,中舘英,, 70,*  2,* 13, 1,  1.8, ①①, 1, 7,Ｅバウンシングライト, 74,中舘英,, 82,*  5,* 28, 2,  5.4,②②②
 2, 3,Ｄニュｰユニヴァｰス, 53,荻野琢, 1.0, 51, -12,*  6, 4, 15.6, ⑦⑥, 2, 8,Ｊママキジャ, 43,渡辺薫, 0.0, 58, -22,*  9, 7, 30.8,③④③, 2,14,Ｂシゲルシゲザネ, 76,北村友, 0.2, 68,*  0,* 12, 2,  2.8, ②②, 2,11,Ｄツルミプラチナム, 75,柴原央, 0.0, 81,*  7,* 25, 4,  8.2,①①①
 3,12,Ｉアラマサスチｰル, 36,勝浦正, 1.1, 51,  -8,   3, 5, 32.3, ⑤④, 3, 2,Ｂクｰファセクメト, 54,北村友, 0.2, 53, -24,*  9, 1,  1.9,⑤⑥⑤, 3, 6,Ｋダノンフリｰデン, 59,丸山元, 0.9, 60,  -2,   8, 4, 17.3, ③③, 3,15,Ａエクスペディション, 82,丸山元, 0.4, 77,*  5,  23, 1,  2.2,⑥④④
 4, 4,Ｅダンツソレイユ, 49,丸田恭, 1.2, 48, -11,   4, 6, 36.6, ⑥⑦, 4, 5,Ｃマイネロサリラ, 54,丹内祐, 0.6, 48, -23,   0, 5,  8.8,⑮⑤⑥, 4, 5,Ｊテングジョウ, 61,宮崎北, 0.9, 59,  -6,  11,11, 87.4, ⑥⑤, 4, 4,Ｉニシノマナザシ, 71,上村洋, 0.5, 77,*  5,  22, 3,  7.0,③⑤③
 5, 9,Ａシゲルテイトク, 67,太宰啓, 1.4, 47,* -3,  -4, 1,  1.8, ③③, 5, 4,Ｈダンスインザスカイ, 47,安藤光, 0.8, 48, -26,   4, 6, 21.8,⑧⑩⑦, 5,12,Ｆナスザン, 64,大野拓, 1.1, 56, -11,  12, 7, 31.2, ⑧⑧, 5, 2,Ｊロックンロｰル, 71,野元昭, 0.6, 76,   2,* 25,10, 44.2,⑦⑨⑤
 6,11,Ｆスズカラッシュ, 42,安藤光, 1.5, 48,*  0,  -5, 7, 66.4, ②②, 6,11,Ｉディヴァインクレア, 47,丸田恭, 0.9, 44, -24,  -1, 8, 40.8,⑦⑦⑧, 6, 4,Ｉグラスヴィクタｰ, 61,嘉藤貴, 1.2, 56, -14,* 13,12,148.8, ⑪⑩, 6, 8,Ｂダノンインスパイア, 78,西田雄, 0.7, 73,   4,  21, 6, 13.0,⑤⑥⑥
 7, 7,Ｂアポロノカンザシ, 63,丹内祐, 1.6, 47,  -8,  -2, 2,  3.4, ④⑤, 7,13,Ｌラソワ, 38,野元昭, 1.2, 38,*-21, -11,13,175.1,①①①, 7, 3,Ｅハｰトフルボディ, 68,太宰啓, 1.5, 52, -14,  10, 8, 35.3, ⑩⑪, 7, 1,Ｈウォｰボネット, 73,勝浦正, 0.8, 74,   2,* 25, 8, 29.9,⑬⑪⑨
 8, 6,Ｋレオミヤビ, 31,水口優, 2.3, 37, -14,  -4,12,166.4, ⑨⑨, 8, 3,Ａニシノテキｰラ, 60,田中健, 1.2, 44, -27,   1, 4,  8.7,⑬⑯⑯, 8, 2,Ｃファｰストメジャｰ, 71,松山弘, 1.6, 54,  -5,   4, 6, 24.6, ⑤④, 8,10,Ｆキングウェｰルズ, 74,北村友, 1.1, 70,   4,  17, 5,  8.6,⑧⑦⑧
 9, 1,Ｇテイエムヒットンダ, 41,大野拓, 2.4, 36, -14,  -4,11, 97.3, ⑧⑧, 9, 9,Ｆトｰワフライト, 50,長谷川, 1.3, 42, -27,   0,10,100.1,⑩⑮⑫, 9, 7,Ｄキクノフェｰデ, 68,勝浦正, 1.7, 52,  -6,   3, 5, 22.3, ⑦⑦, 9, 6,Ｇエｰシングレｰソロ, 73,古川吉, 1.3, 68,   2,  17, 7, 24.3,⑩⑩⑪
10, 5,Ｈナリタワイルド, 37,小野寺, 2.7, 32, -25,  -1, 8, 71.1, ⑪⑪,10, 7,Ｎトｰセンクリオネ, 36,水口優, 1.4, 40, -25,  -4,16,265.0,⑥⑪⑩,10,11,Ｇメジロライダｰ, 64,渡辺薫, 1.7, 52, -14,   9, 9, 62.6, ⑫⑫,10, 9,Ｏマｰベラスブレイド, 59,丹内祐, 1.3, 72,   0,  23,12, 88.3,⑭⑭⑫
11, 8,Ｌサクラピュアハｰト, 29,丸山元, 3.7, 24, -17, -14, 9, 71.5, ⑩⑩,11, 6,Ｍヒデノシリウス, 36,荻野琢, 1.4, 40, -27,  -2,15,232.9,⑨⑭⑨,11, 8,Ｈヴィッテリア, 61,西田雄, 1.8, 52, -15,  10,14,202.5, ⑬⑬,11, 3,Ｋディビデンド, 69,赤木高, 1.4, 68,   1,  18,11, 57.8,⑪⑬⑬
12, 2,Ｊミスタｰガラメキ, 32,古川吉, 5.7,  5, -43, -14,10, 95.3, ⑫⑫,12,12,Ｇブロｰドピｰク, 48,鮫島良, 1.4, 41, -25,  -5, 2,  4.7,⑪⑧⑪,12, 1,Ｍトｰセンディケム, 54,黛弘人, 1.9, 49, -11,   5,10, 63.1, ⑨⑨,12, 5,Ｎワキノレジェンド, 61,太宰啓, 1.5, 69,   0,  21,13,166.4,⑮⑮⑮
,,,,,,,,,,,,13,14,Ｋヤマノアサカゼ, 42,松山弘, 1.4, 34,*-21, -14,12,146.2,②②②,13,13,Ｌカシノハクリュウ, 58,川須栄, 2.3, 46,  -3,  -4, 3, 15.2, ④⑥,13,13,Ｃカワキタライジン, 75,大野拓, 1.5, 66,*  5,   7, 9, 39.7,④③⑦
,,,,,,,,,,,,14, 1,Ｐクｰファバステト, 28,小野寺, 1.7, 36, -27,  -7,11,115.0,⑯⑬⑭,14,10,Ｎスプリングプラハ, 53,古川吉, 4.3, 24, -16, -14,13,178.3, ⑭⑭,14,14,Ｍヤマニンアロンディ, 63,伊藤工, 1.9, 63,   2,  10,15,415.9,⑫⑫⑭
,,,,,,,,,,,,15,15,Ｅファランギｰス, 51,西村太, 1.9, 33, -27, -10, 9, 80.6,⑫⑫⑬,,,,,,,,,,,,,15,12,Ｌメイショウグラｰド, 68,長谷川, 2.0, 59,   4,   3,14,235.8,⑨⑧⑩
,,,,,,,,,,,,16,16,Ｏメイショウブブゼラ, 32,小島太, 4.2,  3, -25, -45,14,231.3,⑭⑨⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:1),,,,,,,,,,,
単勝:480円 複勝:10=240円 03=440円 12=940円 枠連:840円,,,,,,,,,,,,"単勝:860円 複勝:10=240円 08=500円 02=120円 枠連:7,780円",,,,,,,,,,,,単勝:180円 複勝:09=110円 14=110円 06=260円 枠連:170円,,,,,,,,,,,,単勝:540円 複勝:07=160円 11=210円 15=130円 枠連:770円,,,,,,,,,,,
"馬連:2,190円 ワイド:03-10=690円 10-12=1,420円 03-12=2,130円",,,,,,,,,,,,"馬連:11,200円 ワイド:08-10=2,570円 02-10=480円 02-08=890円",,,,,,,,,,,,馬連:170円 ワイド:09-14=120円 06-09=420円 06-14=550円,,,,,,,,,,,,"馬連:2,660円 ワイド:07-11=770円 07-15=310円 11-15=480円",,,,,,,,,,,
"馬単:3,610円 3連複:11,600円 3連単:40,960円",,,,,,,,,,,,"馬単:23,610円 3連複:6,730円 3連単:74,790円",,,,,,,,,,,,"馬単:250円 3連複:890円 3連単:2,050円",,,,,,,,,,,,"馬単:4,620円 3連複:1,630円 3連単:15,660円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  ダ1700m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,和布刈特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃタガノエテルネル, 61,川須栄,, 67,* -5,* 11, 2,  4.2,②②②, 1, 7,Ａサクラナスカ, 73,荻野琢,, 69,  -2,   7, 1,  2.3, ④③, 1, 8,Ｄエアキリヤン, 69,小野寺,, 73,* -1,   7, 7, 10.6,①①①, 1, 9,Ｂメイショウダグザ, 84,丸山元,, 87,* 12,* 17, 3,  4.8,②②②
