11年 1月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 1月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2910m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伏見ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａアフリカンハンタｰ, 66,武豊  ,, 59,  -2,*  4, 1,  1.5, ③③, 1,10, ピエナミッチｰ,,西谷誠,,,,, 8, 38.5,⑤①①, 1, 5,Ｄアイウォントユｰ, 78,幸英明,, 81,   8,*  7, 4,  8.6, ⑫⑩, 1, 2,Ｎオリオンスタｰズ, 74,岩田康,, 85,  -2,* 12, 8, 27.1, ③③
 2, 9,Ｂマッキンリｰ, 63,和田竜, 0.2, 58,*  1,   0, 2,  3.1, ①①, 2, 2, メルシｰゴｰルド,,山本康,196.9,,,, 3,  5.8,④③③, 2,13,Ｃアドマイヤセナ, 78,リスポ, 0.0, 80,  10,   2, 3,  4.1, ⑩⑨, 2, 6,Ａケンブリッジエル, 86,佐藤哲, 0.3, 79,* -1,   7, 5,  7.7, ②②
 3, 3,Ｅメイショウサリマン, 51,幸英明, 0.3, 57,  -7,*  7, 7, 49.5, ⑧⑤, 3, 3, タニノディキディキ,,小坂忠,197.0,,,, 6, 17.3,⑧②②, 3,14,Ｂマックスドリｰム, 79,小牧太, 0.3, 78,   3,* 11, 2,  3.8, ⑯⑮, 3, 7,Ｆカレンチャン, 81,池添謙, 0.5, 76,  -2,   6, 1,  2.9, ④④
 4,11,Ｉシゲルシュサ, 41,国分恭, 0.7, 54,  -4,   1, 4, 18.9, ⑥⑥, 4,14, ジェンティリティｰ,,林満明,197.7,,,, 1,  2.5,②④⑤, 4,12,Ｈサンライズスカイ, 71,秋山真, 0.3, 76,  13,  -8,10, 25.5, ⑥⑥, 4, 1,Ｅドリｰムバレンチノ, 81,安部幸, 0.5, 77,  -5,   8, 2,  6.1, ⑥⑦
 5, 1,Ｄシゲルソウトク, 51,国分優, 0.8, 53,  -2,  -1, 3, 12.7, ④④, 5, 9, オｰプンセサミ,,中村将,197.7,,,, 2,  4.2,⑪⑧⑥, 5,15,Ｉヤマカツゴｰルド, 71,池添謙, 0.4, 77,   9,   0, 9, 25.2, ⑨⑫, 5,10,Ｄボｰダレスワｰルド, 82,リスポ, 0.6, 76,  -5,   7, 4,  7.4, ⑧⑤
 6, 7,Ｈアスクドラゴン, 41,安藤光, 1.8, 43, -14,   1, 8, 91.2, ⑪⑪, 6,11, ゴｰカイフォンテン,,横山義,197.8,,,, 7, 20.3,③⑤④, 6, 3,Ｅフラムドｰル, 73,国分恭, 0.8, 70,  14, -19, 5, 13.8, ④③, 6, 3,Ｍセブンシｰクィｰン, 75,和田竜, 0.7, 73,*  2,  -1, 6,  8.2, ①①
 7, 5,Ｆチョウイケイケ, 44,吉田稔, 2.1, 39,  -7,  -9, 5, 26.9, ⑦⑧, 7, 6, スリｰサンカリスマ,,北沢伸,197.8,,,, 5,  9.9,⑦⑨⑧, 7,16,Ｇセキサンダンスイン, 71,武豊  , 0.9, 72,   6,  -2, 7, 16.9, ⑭⑭, 7, 8,Ｌメイショウカｰタｰ, 76,幸英明, 0.8, 75, -13,* 12,15,178.0, ⑬⑬
 8, 4,Ｊスプリングディナン, 35,安部幸, 2.3, 39, -11,  -7, 9,127.4, ⑨⑨, 8, 8, グレイトロｰタリｰ,,佐久間,197.9,,,, 4,  7.6,⑨⑪⑩, 8, 9,Ｋメイショウタフ, 69,和田竜, 0.9, 71,  13, -17,12, 68.4, ⑦⑦, 8,14,Ｃクリｰルバレット, 83,藤田伸, 0.9, 73,  -9,   7,10, 45.0, ⑪⑨
 9, 2,Ｇイズミシリウス, 44,秋山真, 2.5, 38,  -4, -15,10,260.1, ⑤⑦, 9, 4, ゴｰルデンダニエル,,石神深,197.9,,,,13,134.0,⑥⑦⑦, 9, 4,Ｌピカピカテッタ, 67,小坂忠, 0.9, 69,* 16, -22,16,219.2, ②②, 9,13,Ｂゴｰルドアグリ, 84,安藤勝, 1.0, 74, -21,* 18, 7, 17.6, ⑮⑮
10,10,Ｃソングアンドダンス, 57,熊沢重, 2.9, 36,*  1, -22, 6, 35.6, ②②,10,13, カシマレジェンド,,草野太,200.4,,,,12,110.2,⑫⑩⑨,10, 2,Ｍシゲルキリガミネ, 66,吉田稔, 1.0, 67,* 17, -28,13,107.5, ①①,10,12,Ｈロｰズカットダイヤ, 80,秋山真, 1.0, 71,  -8,   4, 3,  6.4, ⑨⑩
11, 8,Ｋナムラシャングリラ, 27,小林徹, 4.3, 24, -10, -22,11,335.0, ⑩⑩,11, 5, プリティゴｰルド,,金子光,200.7,,,, 9, 39.9,⑩⑫⑫,11, 7,Ｎビｰチパｰティｰ, 62,渡辺薫, 1.0, 72,   9,  -9,15,159.5, ⑪⑪,11, 4,Ｋアキノパンチ, 77,渡辺薫, 1.0, 71,  -5,   2,13,113.8, ⑦⑧
,,,,,,,,,,,,12, 7, プロスペクタス,,池崎祐,201.4,,,,11,101.2,⑭⑬⑬,12, 6,Ｆロｰザフィオｰレ, 72,佐藤哲, 1.4, 64,  14, -27,11, 49.9, ⑤④,12,15,Ｉセイウンワキタツ, 80,小牧太, 1.2, 69, -16,  10,11, 52.6, ⑭⑭
,,,,,,,,,,,,13,12, テイクザホｰク,,五十嵐,202.7,,,,10, 47.6,①⑥⑪,13, 1,Ｊシャイニｰブレｰヴ, 69,熊沢重, 1.4, 67,   6, -10, 6, 15.8, ⑬⑬,13, 9,Ｇメイショウシオギリ, 80,長谷川, 1.3, 67, -12,   4,12, 62.4, ⑫⑫
,,,,,,,,,,,,14, 1, トミケンクロワｰル,,穂苅寿,206.1,,,,14,154.7,⑬⑭⑭,14,10,Ｐメイショウホオズキ, 46,高橋亮, 1.6, 64,  11, -20,14,131.0, ⑧⑧,14, 5,Ｊトｰホウシンバル, 80,四位洋, 1.3, 67,  -9,   2, 9, 30.4, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ａアドマイヤショット, 79,川田将, 1.7, 64,   3,  -8, 1,  3.8, ⑮⑯,15,11,Ｏドリｰムフォワｰド, 74,国分恭, 1.7, 60,  -4,  -9,14,175.8, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｏグロリアスフラワｰ, 58,国分優, 2.7, 53,  14, -45, 8, 24.9, ③⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,
単勝:150円 複勝:06=100円 09=110円 03=430円 枠連:150円,,,,,,,,,,,,"単勝:3,850円 複勝:10=740円 02=230円 03=560円 枠連:800円",,,,,,,,,,,,単勝:860円 複勝:05=210円 13=160円 14=150円 枠連:720円,,,,,,,,,,,,"単勝:2,710円 複勝:02=590円 06=250円 07=160円 枠連:740円",,,,,,,,,,,
馬連:140円 ワイド:06-09=110円 03-06=510円 03-09=590円,,,,,,,,,,,,"馬連:6,470円 ワイド:02-10=2,220円 03-10=4,190円 02-03=1,190円",,,,,,,,,,,,"馬連:1,540円 ワイド:05-13=430円 05-14=460円 13-14=330円",,,,,,,,,,,,"馬連:9,600円 ワイド:02-06=2,290円 02-07=1,510円 06-07=530円",,,,,,,,,,,
"馬単:190円 3連複:880円 3連単:1,560円",,,,,,,,,,,,"馬単:14,070円 3連複:38,350円 3連単:289,340円",,,,,,,,,,,,"馬単:3,640円 3連複:1,800円 3連単:13,980円",,,,,,,,,,,,"馬単:21,090円 3連複:11,880円 3連単:111,990円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  ダ1900m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1800m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平安ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｅマイネルティンラン, 57,吉田稔,, 64,  -1,*  4, 6, 23.2,⑬⑪⑪, 1, 3,Ｂロｰドハリアｰ, 63,池添謙,, 60,  -7,  -3, 2,  3.7, ③③, 1,15,Ｃアルバトン, 75,四位洋,, 72,   9,* -4, 6,  9.6,⑧⑩⑩, 1, 3,Ｃダイシンオレンジ, 94,川田将,, 92,* 18,   7, 2,  2.8,③③②
 2, 4,Ｄコルｰジャ, 58,小坂忠, 0.2, 62,  -2,*  1, 4,  5.9,⑧⑨⑨, 2,13,Ｃシゲルリジチョウ, 62,吉田稔, 0.0, 61,  -8,   0, 9, 36.7, ⑩⑧, 2,12,Ｂエリモサプライズ, 75,小牧太, 0.6, 63,* 11, -16, 2,  6.4,⑥④④, 2,15,Ｂインバルコ, 95,リスポ, 0.0, 92,  14,* 13, 3,  5.8,⑬⑩⑩
 3, 7,Ｎメイショウカイオウ, 49,秋山真, 0.7, 60,  -2,  -1, 9, 33.6,⑭⑭⑬, 3,15,Ｄメイショウヤタロウ, 60,武豊  , 0.1, 58,  -7,  -4, 1,  2.8, ⑥⑤, 3, 3,Ｄウインドミネｰタｰ, 73,岩田康, 0.9, 66,* 12, -19, 1,  2.9,①①①, 3,14,Ｄサクラロミオ, 93,藤岡佑, 0.0, 93,  14,* 14, 4, 11.9,⑫⑫⑨
 4,16,Ｐエｰスチョウサン, 41,安藤光, 0.9, 58,   0,  -6,11, 46.9,⑩⑦⑦, 4, 5,Ａアドマイヤバｰトン, 64,安藤勝, 0.1, 62, -11,*  4, 3,  3.7, ⑪⑩, 4, 8,Ａニシノヴァンクｰル, 77,幸英明, 0.9, 65,* 12, -19, 5,  9.1,③③③, 4,13,Ｅピイラニハイウェイ, 91,熊沢重, 0.2, 92,  17,   6,10, 39.3,⑥⑤③
 5, 6,Ｊバンブｰチェルシｰ, 53,和田竜, 0.9, 59,   0,  -9, 1,  3.7,⑤⑤⑥, 5, 6,Ｇヴイブラッド, 53,川田将, 0.2, 57,* -4,  -9, 4, 13.7, ②②, 5, 2,Ｈニシキホマレ, 68,藤岡佑, 0.9, 66,   9, -12, 9, 32.8,⑦⑨⑨, 5, 1,Ａマチカネニホンバレ, 99,安藤勝, 0.7, 85,  16,   4, 1,  2.7,④⑥⑤
 6,10,Ｏユキノミラクル, 48,藤岡佑, 0.9, 59,  -4,*  0, 8, 33.1,⑯⑯⑯, 6, 1,Ｋリｰアノン, 49,リスポ, 0.3, 54,* -4, -12, 6, 20.7, ①①, 6, 6,Ｎハヤブサイッポン, 57,川田将, 1.0, 68,   3,*  0,12, 93.8,⑯⑭⑬, 6, 4,Ｈバトｰドｰル, 89,安部幸, 0.9, 85,  16,   2, 6, 21.5,⑦⑦⑥
