11年11月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年11月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆキセキノハナ, 48,野元昭,, 57,  -5,*  1, 5,  8.2, ⑧⑦, 1, 5,Ａメロウメロディ, 74,松山弘,, 64,*-16,* 21, 1,  2.0,②②②, 1, 1,Ｂモリトブイコｰル, 67,横山和,, 70,*  5,   7, 2,  3.8, ①①, 1, 4,Ｉエｰシンミラｰジュ, 66,太宰啓,, 76,  -6,  17, 7, 13.0,⑧⑧⑨
 2, 5,Ｅクリノショｰタイム, 51,江田照, 0.1, 57,  -2,* -2, 6, 18.6, ⑤⑤, 2,11,Ｂアルファアップル, 73,勝浦正, 0.4, 62, -16,  20, 3,  5.3,⑦④④, 2, 4,Ａデュｰクワンダｰ, 74,吉田隼, 0.2, 67,  -1,   9, 1,  2.3, ⑤⑤, 2, 5,Ｂロットネスト, 80,丸田恭, 0.0, 77,  -8,* 18, 2,  3.8,⑨⑨⑦
 3, 6,Ｂメイショウジビュス, 55,松山弘, 0.2, 58,   0,  -5, 1,  3.3, ④④, 3, 6,Ｃツヨイキモチ, 72,丸田恭, 0.5, 60, -17,* 21, 2,  5.0,⑨⑧⑧, 3, 2,Ｆフジノタカワシ, 64,丸田恭, 0.4, 65,   1,   7, 6, 13.6, ④④, 3,11,Ｄサンライズマルス, 73,吉田隼, 0.1, 69,* -1,   1, 1,  3.3,②②②
 4, 9,Ａシｰフェリックス, 59,太宰啓, 0.5, 50,  -9,* -1, 4,  5.0, ⑩⑩, 4, 4,Ｊワイキキブリｰズ, 53,太宰啓, 0.7, 58,*-16,  16, 9, 78.2,①①①, 4, 7,Ｃクリスリリｰ, 66,藤懸貴, 0.8, 60, -17,* 14, 7, 20.6, ⑩⑩, 4, 1,Ｆトｰセンケイトゥｰ, 70,鮫島良, 0.1, 78,  -7,* 18, 6, 11.9,⑩⑩⑩
 5,13,Ｃハクユウリリｰ, 54,吉田隼, 1.2, 52,*  5, -16, 3,  4.6, ①①, 5, 9,Ｋファｰマレッド, 50,宮崎北, 0.7, 60, -16,  18, 8, 54.6,⑥⑥⑥, 5, 8,Ｉアｰトオブプライド, 57,平野優, 0.8, 62,  -3,   5,10,135.5, ⑦⑦, 5,10,Ｃミヤコトップガン, 78,勝浦正, 0.3, 71,  -4,   9, 3,  4.3,⑤⑤④
 6, 2,Ｄパンツァｰリｰト, 52,村田一, 1.3, 44,  -3, -12, 2,  4.0, ⑥⑥, 6, 2,Ｆメイショウボヌス, 69,上村洋, 0.8, 60, -17,  19, 5,  9.9,⑧⑨⑨, 6, 5,Ｅサクラフェニックス, 66,勝浦正, 0.9, 61,*  3,   0, 3,  4.7, ②②, 6, 7,Ｈリッカメルド, 68,酒井学, 0.3, 71,  -5,   9, 9, 35.5,④④⑤
 7,11,Ｈクｰルフォエバｰ, 39,西田雄, 1.3, 47,*  3, -16, 9, 78.6, ②②, 7, 3,Ｇフレイムヴェイン, 68,杉原誠, 1.0, 58, -16,  16, 7, 34.7,③⑤⑤, 7, 6,Ｄゼニスパワｰ, 66,宮崎北, 1.0, 60,   2,   0, 4, 10.0, ③③, 7, 3,Ａメイショウピゴット, 81,村田一, 0.3, 73,  -6,  13, 5, 11.9,⑥⑦⑧
 8, 3,Ｋムジャウハラｰト, 35,西村太, 1.4, 45,   0, -15,10, 79.2, ③③, 8, 7,Ｈアｰスソング, 67,吉田隼, 1.0, 57,*-15,  14, 6, 19.2,④③③, 8,10,Ｇアスパイヤリング, 61,江田照, 1.3, 55,  -5,   2, 5, 12.1, ⑥⑥, 8, 8,Ｅキングウェｰルズ, 72,松山弘, 0.4, 72,  -6,  10, 8, 19.0,⑦⑥⑥
