11年10月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-24,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 2,Ｇムジャウハラｰト, 33,幸英明, 3.1, 31,*  4, -20, 6, 39.1, ②②,12,15, ヤマノリリｰ,---,大野拓, 3.4, 20, -44,  -1, 6,  9.2, ⑭⑫,,,,,,,,,,,,,12, 1,Ｍサクライダテン, 57,幸英明, 2.1, 56,  -8,  -4,10,130.7, ⑪⑪
13,16,Ｌケイジｰハンタｰ, 13,平野優, 4.0, 23,   3, -25,14,244.5, ⑤⑤,13,16, ハヌルソンムル,---,大庭和, 4.0, 17, -39, -10,10, 64.5, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
14, 3,Ｉタツブライト, 30,江田照, 4.0, 20,  -3, -22, 2, 21.4, ⑧⑦,14, 5, アウルム,---,嶋田純, 4.0, 15, -43,  -8, 8, 30.1, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,
15,11,Ｈオメガボンドガｰル, 32,石橋脩, 4.6, 16,  -3, -25, 9, 80.4, ⑩⑨,15,10, カワキタコンバット,---,武士沢, 4.1, 16, -58,*  6,16,307.4, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
16,13,Ｐクラウンペコ,-33,小野寺, 5.8,  7, -13, -28,16,499.8, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-22 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,
"単勝:110円 複勝:05=100円 14=860円 15=290円 枠連:2,660円",,,,,,,,,,,,"単勝:4,610円 複勝:04=1,050円 09=210円 03=210円 枠連:1,480円",,,,,,,,,,,,"単勝:1,270円 複勝:05=200円 02=130円 06=110円 枠連:1,650円",,,,,,,,,,,,単勝:140円 複勝:04=110円 08=330円 12=140円 枠連:940円,,,,,,,,,,,
"馬連:2,590円 ワイド:05-14=720円 05-15=330円 14-15=6,210円",,,,,,,,,,,,"馬連:11,450円 ワイド:04-09=2,990円 03-04=3,490円 03-09=620円",,,,,,,,,,,,"馬連:1,470円 ワイド:02-05=430円 05-06=330円 02-06=160円",,,,,,,,,,,,"馬連:1,220円 ワイド:04-08=440円 04-12=170円 08-12=710円",,,,,,,,,,,
"馬単:3,750円 3連複:9,100円 3連単:32,180円",,,,,,,,,,,,"馬単:31,230円 3連複:21,700円 3連単:223,030円",,,,,,,,,,,,"馬単:4,370円 3連複:860円 3連単:11,460円",,,,,,,,,,,,"馬単:1,560円 3連複:1,220円 3連単:5,330円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｽﾌﾟﾘﾝﾀｰｽﾞｽﾃｰｸｽ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂミヤコマンハッタン, 57,石橋脩,, 64,* -3,   7, 1,  3.3,③③③, 1, 8, マイネエカテリｰナ,---,松岡正,, 65,*-16,  11, 4,  7.6,②②②, 1, 8,Ａヒラボクマジック, 78,後藤浩,, 71,* -6,* 19, 1,  1.8,④③③, 1,10,Ａカレンチャン, 92,池添謙,, 92,  10,* 18, 3, 11.2, ⑧⑥
 2, 8,Ｉブライトライン, 41,安藤勝, 0.1, 64, -10,* 17, 3,  4.3,⑨⑩⑧, 2, 1, ガンセ,---,大野拓, 0.2, 69, -21,* 19, 7, 22.8,⑬⑫⑩, 2, 1,Ｅテンゲントッパ, 71,西田雄, 0.4, 70,  -8,* 19, 7, 17.1,⑦⑦⑧, 2, 3,Ｃパドトロワ, 90,安藤勝, 0.3, 89,* 16,   8, 9, 49.4, ①①
 3, 6,Ｅマイネルアトラクト, 48,柴田大, 0.2, 60,* -2,   3, 2,  4.1,②②②, 3, 9, フジマサエンペラｰ,---,横山典, 0.2, 65, -20,  17, 2,  4.1,⑧⑧⑧, 3, 7,Ｄウエスタンブラボｰ, 73,田中勝, 0.4, 71,  -7,  18, 3,  8.0,⑥⑥④, 3,14,Ｇエｰシンヴァｰゴウ, 87,福永祐, 0.3, 89,  12,  12, 7, 21.0, ⑤③
 4, 3,Ｄアサクサウタヒメ, 48,福永祐, 0.5, 58,  -6,   5, 4,  6.7,④⑤④, 4, 2, ショウナンラピス,---,後藤浩, 0.2, 67, -19,  17,10, 44.3,⑨⑨⑨, 4,11,Ｂコスモイｰチタイム, 76,松岡正, 0.5, 72,  -9,* 20, 2,  4.5,⑪⑨⑨, 4, 5, ロケットマン,---,コｰツ, 0.4, 87,  14,   9, 1,  1.5, ③⑤
 5,10,Ｃプリッキｰヌｰ, 49,吉田豊, 0.7, 56, -11,* 12, 7, 18.8,⑭⑪⑪, 5, 3, ダイワプライム,---,安藤勝, 0.5, 62, -20,  12, 1,  2.9,⑦⑦⑦, 5, 3,Ｈタケルハヤテ, 66,石橋脩, 0.6, 69,  -8,  18, 5, 15.1,⑧⑧⑦, 5, 1,Ｂラッキｰナイン, 90,プレブ, 0.5, 86,  12,   9, 4, 11.5, ④④
 6,14,Ａコスモミレネｰル, 58,松岡正, 0.9, 55,  -6,   1, 5,  8.8,⑪⑦⑦, 6, 7, フェスティヴタロｰ,---,田中勝, 0.5, 66, -24,* 21, 6, 19.0,⑫⑬⑬, 6, 2,Ｃデュアルサクセス, 74,嶋田純, 1.0, 66,* -6,  12, 8, 17.5,③④⑤, 6, 7,Ｄフィフスペトル, 88,横山典, 0.5, 86,  10,  12, 6, 19.3, ⑦⑧
 7, 9,Ｈドリｰミングラヴ, 44,木幡初, 1.2, 50,  -6,  -5, 9, 56.0,⑤⑥⑥, 7,12, モントリヒト,---,北村宏, 0.5, 61, -17,  10, 3,  4.5,⑥⑤⑤, 7, 9,Ｇタイトロｰプ, 68,柴田大, 1.6, 61,* -6,   6, 4, 12.0,②②②, 7, 6,Ｆサンカルロ, 88,吉田豊, 0.6, 84,   3,* 17, 5, 16.6, ⑫⑫
 8, 5,Ｌデｰヴィｰ, 34,中谷雄, 1.3, 49,  -9,  -1,11,100.2,⑧⑨⑩, 8,11, ツクババンドｰオｰ,---,武士沢, 0.7, 60, -21,  12,11, 55.3,⑪⑪⑫, 8, 5,Ｊシンボリルアｰブル, 61,幸英明, 1.7, 63,  -9,  11, 6, 16.9,⑨⑪⑩, 8,16,Ｈグリｰンバｰディｰ, 87,アング, 0.6, 84,   4,  15, 8, 39.9, ⑪⑪
 9,16,Ｋコスモライデイン, 35,大野拓, 1.6, 48, -13,   2,15,427.3,⑮⑫⑫, 9,13, エｰブゴｰドン,---,福永祐, 0.8, 56,*-16,   3, 9, 41.2,③③③, 9, 4,Ｋレップウ, 59,大庭和, 1.7, 61,* -5,   4,11,151.8,①①①, 9,11,Ｏトウカイミステリｰ, 79,北村友, 0.8, 82,  -2,* 19,13,192.8, ⑭⑮
10, 2,Ｏロングストライド, -3,江田照, 2.0, 38,* -2, -24,12,140.2,①①①,10,14, ビルアｰツ,---,江田照, 0.8, 56, -18,   5,14,303.4,④⑥⑥,10,12,Ｆティアップゼウス, 70,江田照, 1.8, 63,  -9,  12,12,178.5,⑫⑫⑪,10, 4,Ｋエｰシンリジル, 83,田辺裕, 0.8, 82,  11,   6,10,100.6, ⑥⑦
11,12,Ｊドリｰムリｰグ, 40,後藤浩, 2.0, 39,* -3, -20, 6, 11.4,⑥④⑤,11,10, ゲンパチメジャｰ,---,石橋脩, 0.8, 53,*-16,  -2, 5, 11.6,①①①,11,10,Ｉアイティテイオｰ, 65,吉田豊, 2.2, 56,  -9,   6, 9,113.9,⑩⑩⑫,11, 8,Ｉダッシャｰゴｰゴｰ, 87,川田将, 0.9, 81,   4,  11, 2,  6.4, ⑩⑩
12, 1,Ｇミットフロイデ, 46,田辺裕, 2.3, 37,  -9, -15, 8, 53.4,⑦⑧⑨,12, 6, ユキムスメ,---,幸英明, 1.0, 57, -20,   8,13,116.4,⑩⑩⑪,12, 6,Ｌエイコｰンキッド, 48,北村友, 3.4, 47,* -7,  -8,10,116.8,⑤⑤⑥,12,15,Ｍサンダルフォン, 82,酒井学, 1.1, 77,  -3,  15,15,335.4, ⑮⑭
13, 7,Ｆパストラルシチｰ, 47,嶋田純, 2.4, 38, -16,  -4,10, 83.4,⑬⑮⑭,13, 4, リトルモア,---,川田将, 1.4, 48, -18,  -5,12, 71.2,⑤④④,,,,,,,,,,,,,13,12,Ｌアｰバニティ, 83,北村宏, 1.1, 78,   2,  12,14,261.3, ⑬⑬
14,11,Ｐギンザファイタｰ, -9,小島太, 2.4, 38, -17,  -3,16,706.4,⑩⑯⑮,14, 5, ストロングシャリオ,---,プレブ, 2.2, 47, -28,   5, 8, 23.9,⑭⑭⑭,,,,,,,,,,,,,14, 9,Ｎヘッドライナｰ, 80,幸英明, 1.2, 77,* 18,  -5,11,177.5, ②②
15, 4,Ｎラストツヨシ, 17,幸英明, 2.8, 32, -14, -12,13,262.3,⑯⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｊケイアイアストン, 83,後藤浩, 1.5, 73,   8,   0,12,187.2, ⑨⑨
16,15,Ｍデルマアマテラス, 25,武士沢, 2.9, 31, -14, -14,14,307.6,⑫⑬⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,
単勝:330円 複勝:13=120円 08=160円 06=150円 枠連:500円,,,,,,,,,,,,"単勝:760円 複勝:08=270円 01=670円 09=180円 枠連:5,620円",,,,,,,,,,,,"単勝:180円 複勝:08=110円 01=350円 07=190円 枠連:1,010円",,,,,,,,,,,,"単勝:1,120円 複勝:10=420円 03=1,050円 14=610円 枠連:7,260円",,,,,,,,,,,
馬連:850円 ワイド:08-13=340円 06-13=290円 06-08=370円,,,,,,,,,,,,"馬連:8,110円 ワイド:01-08=2,660円 08-09=670円 01-09=1,490円",,,,,,,,,,,,"馬連:1,290円 ワイド:01-08=540円 07-08=310円 01-07=1,390円",,,,,,,,,,,,"馬連:13,030円 ワイド:03-10=3,330円 10-14=1,260円 03-14=4,690円",,,,,,,,,,,
"馬単:1,810円 3連複:1,110円 3連単:6,870円",,,,,,,,,,,,"馬単:13,980円 3連複:9,450円 3連単:74,240円",,,,,,,,,,,,"馬単:1,720円 3連複:2,370円 3連単:9,010円",,,,,,,,,,,,"馬単:30,430円 3連複:25,610円 3連単:212,610円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 9R  芝1600m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,芙蓉ｽﾃｰｸｽ,,,,,,,,,,,,中山ｵｰﾀﾑﾌﾟﾚﾐｱﾑ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａドラゴンヴォイス, 65,福永祐,, 64,  -6,*  8, 1,  1.3,⑥⑨⑦, 1, 2,Ａクラシックセンス, 78,横山典,, 84,*  6,* 18, 1,  1.6,⑨②①, 1,10,Ｂサウンドオブハｰト, 64,松岡正,, 73, -12,* 20, 1,  2.1,⑤⑤④, 1, 5,Ｋデュアルスウォｰド, 78,横山典,, 83,  11,* 17, 2,  5.1, ④⑤
 2,13,Ｃダイワセインツ, 61,平野優, 0.3, 60,  -8,*  7,11,105.0,⑮⑫⑨, 2, 1,Ｅドリｰムザネクスト, 73,田中勝, 0.8, 79,   3,* 15, 2,  5.5,③⑦⑦, 2, 1,Ｆサトノギャラント, 59,北村宏, 0.2, 66,* -7,  10, 3,  5.4,①①①, 2,11,Ａクリスタルボｰイ, 91,池添謙, 0.4, 80,* 14,  10, 1,  4.3, ①①
 3, 8,Ｉサイレントイｰグル, 50,後藤浩, 1.1, 52,* -5,  -5, 3, 12.6,②②②, 3, 8,Ｇバリアントバイオ, 71,後藤浩, 1.1, 75,   5,   9, 7, 33.4,⑧③②, 3, 2,Ａピｰエムデメテル, 65,後藤浩, 0.2, 71, -11,* 19, 6, 17.5,⑥④⑤, 3, 6,Ｄグリフィンゲｰト, 84,田中勝, 0.4, 80,   5,* 18, 3,  5.6, ⑫⑪
 4, 7,Ｆモｰリマティｰニ, 54,大野拓, 1.2, 51,  -6,  -3, 7, 42.9,⑤⑤⑤, 4, 3,Ｂゴｰルドロジャｰ, 76,的場勇, 1.7, 76,   4,   6, 5, 15.6,④⑤⑤, 4, 3,Ｈオメガホｰムラン, 56,横山典, 0.3, 66, -10,  13, 2,  3.5,②②③, 4, 4,Ｆデイトユアドリｰム, 84,北村友, 0.5, 78,  10,  13, 7, 14.9, ⑥④
 5,12,Ｇタケショウデオ, 54,嶋田純, 1.2, 53,* -6,  -5, 6, 41.7,①③③, 5, 9,Ｊエフティファラオ, 69,木幡初, 1.7, 71,   5,   5, 8,113.0,②④④, 5, 6,Ｄドリｰムトレイン, 60,幸英明, 0.4, 65, -10,  12, 5, 15.6,③③②, 5,13,Ｃサリエル, 85,吉田豊, 0.5, 77,  10,  13, 4,  7.1, ⑦⑨
 6, 6,Ｂレッドアｰガス, 61,田中勝, 1.3, 52,* -4,  -8, 5, 38.5,⑧①①, 6, 6,Ｃシルクパルサｰ, 75,嶋田純, 2.0, 70,   5,   2, 3,  5.7,⑤⑥⑥, 6, 4,Ｇウインフロレゾン, 57,田辺裕, 0.7, 65, -14,  16, 7, 25.1,④⑥⑦, 6,12,Ｂエアティアｰモ, 88,後藤浩, 0.8, 76,* 14,   6, 5,  7.2, ②②
 7,14,Ｅアトミックデザイン, 55,田辺裕, 1.4, 52,  -6,  -5, 4, 16.1,⑫⑦⑥, 7, 7,Ｄコスモリゾルヴ, 73,中谷雄, 2.1, 70,   3,   5, 4,  9.2,⑥⑧⑧, 7, 7,Ｅレオアクティブ, 60,福永祐, 0.7, 65, -14,  16, 4,  8.4,⑧⑦⑥, 7, 8,Ｇストレｰトイン, 81,大野拓, 0.8, 75,* 12,   8,11,161.0, ③③
 8, 5,Ｎファントムクォｰツ, 37,北村宏, 1.5, 52,  -8,  -3, 8, 44.8,⑨⑪⑧, 8, 4,Ｈアイアムイルシオン, 70,幸英明, 2.5, 67,*  6,  -3, 9,121.2,①①③, 8, 5,Ｃシンボリスウィフト, 62,吉田豊, 0.9, 63, -16,  16, 8, 58.2,⑦⑧⑨, 8,10,Ｅキングパｰフェクト, 84,岩部純, 0.9, 76,   9,  11, 9, 22.0, ⑧⑧
 9, 1,Ｈラブインザレイン, 53,杉原誠, 1.7, 51,  -9,  -2, 9, 63.8,⑭⑬⑪, 9, 5,Ｉトップランナｰ, 69,田辺裕, 2.6, 66,   2,   2,10,162.7,⑩⑩⑩, 9, 9,Ｉリョウラン, 45,中谷雄, 1.7, 54, -18,   9, 9,117.2,⑨⑨⑧, 9, 3,Ｌドリｰムクラウン, 77,石橋脩, 1.1, 73,   3,  14,12,217.4, ⑬⑬
10, 9,Ｄコスモゴｰルデン, 61,松岡正, 2.1, 47,* -5, -12, 2,  5.9,⑩④④,10,10,Ｆアリゾナアベニュｰ, 72,石橋脩, 3.1, 62,   3,  -3, 6, 18.0,⑦⑨⑨,10, 8, ネコグンダン,---,西田雄, 4.3, 19, -23, -22,10,170.0,⑩⑩⑩,10, 7,Ｉフェイムロバリｰ, 80,福永祐, 1.2, 73,   8,   9,10, 58.9, ⑩⑦
11,11,Ｌマイヨオロ, 42,川田将, 2.9, 42,  -7, -16,10, 66.1,⑦⑧⑫,,,,,,,,,,,,,,,,,,,,,,,,,11, 2,Ｈフィｰルドシャイン, 81,幸英明, 1.2, 73,  11,   6, 6,  8.6, ⑤⑥
12, 4,Ｍジレイトソｰニ, 40,アング, 3.7, 38,  -7, -21,16,359.3,④⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｊチャレンジシチｰ, 78,武士沢, 1.4, 70,   8,   7,13,336.2, ⑨⑩
13,15, ヒュｰストンシチｰ,---,小野寺, 5.8, 30, -21, -13,13,190.3,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｍミオリチャン, 73,田辺裕, 2.7, 61,   8,  -3, 8, 20.5, ⑪⑫
14,10,Ｏリｰサムガガ, 34,幸英明, 5.8, 26, -10, -35,12,117.0,⑬⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,Ｋヒシカツジョｰジ, 44,大庭和,12.2,-23,  -6, -95,15,329.8,③⑥⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 3,Ｊアトミックハｰト, 48,高嶋活,15.6,-45, -11, ---,14,271.1,⑪⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
