11年 7月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月 9日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,枚方特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａストリｰトハンタｰ, 63,福永祐,, 65,*  6,* -5, 1,  1.3, ①①, 1,11, ワシャモノタリン,,熊沢重,,,,, 1,  2.6,①①①, 1,15,Ｌシャインストｰン, 49,幸英明,, 67,   6,  -3,12, 21.9,⑩⑥③, 1,15,Ｅリｰガルスキｰム, 77,国分恭,, 78,   2,* 15,12, 97.7, ⑮⑭
 2, 3,Ｈシゲルキョホウ, 39,浜中俊, 1.3, 54,   3, -14, 4, 18.3, ②③, 2,12, メイショウロッコｰ,,黒岩悠,196.9,,,, 4,  8.0,③②②, 2,16,Ｋネオリアライズ, 53,川須栄, 0.1, 63,*  7,  -8,16,163.9,①①①, 2, 1,Ｆウィキマジック, 77,川田将, 0.0, 79,   8,   6, 1,  1.9, ④④
 3, 6,Ｂシルクティソナ, 58,佐藤哲, 1.7, 49,*  4, -19, 2,  5.4, ③②, 3, 9, サンレイランキング,,難波剛,197.7,,,,10, 71.1,②③③, 3, 5,Ａレットミｰノｰ, 64,花田大, 0.6, 62,   1,*  0, 8, 12.3,⑬⑬⑭, 3,10,Ｋテイエムフルパワｰ, 76,太宰啓, 0.4, 75,   4,* 10,10, 79.7, ⑭⑬
 4, 8,Ｇソｰリメンバｰ, 40,和田竜, 2.0, 47,   1, -17, 5, 28.9, ⑤⑤, 4, 5, ウィルビｰキング,,佐久間,197.8,,,, 2,  3.2,⑧⑥⑤, 4,12,Ｂカシノウィンド, 63,松山弘, 0.7, 61,   6, -10, 7, 12.1,⑦⑤④, 4, 9,Ｄアンヴァルト, 79,和田竜, 0.6, 75,   9,   0, 2,  5.3, ⑤③
 5, 2,Ｅタイキベイビｰ, 45,国分優, 2.2, 45,   1, -19, 6, 45.4, ④④, 5, 6, アドマイヤゴルゴ,,北沢伸,198.1,,,, 5,  8.1,④④④, 5,11,Ｈザッツベタｰ, 57,太宰啓, 0.7, 58,*  6, -12, 4,  9.8,④③②, 5,11,Ｂリュシオル, 82,武幸四, 0.6, 73,   3,   7, 6, 16.3, ⑫⑫
 6,11,Ｃエｰシンビュｰティ, 56,川田将, 2.4, 42,  -1, -19, 3,  7.4, ⑦⑥, 6, 2, アドマイヤマジン,,高田潤,199.1,,,, 3,  6.8,⑪⑪⑧, 6,10,Ｆアストロボｰイ, 58,高倉稜, 0.7, 61,  -1,*  2,13, 28.8,⑮⑯⑮, 6,13,Ｍシルバｰキセキ, 74,福永祐, 0.7, 73,   6,   3, 7, 25.1, ⑨⑦
 7, 9,Ｆシゲルコウギョク, 40,川須栄, 2.5, 40,  -2, -19, 7, 54.9, ⑧⑧, 7, 1, ダイナミックグロウ,,田嶋翔,199.1,,,, 6, 17.9,⑦⑧⑨, 7, 6,Ｊメイショウゴモン, 54,藤岡康, 0.8, 59,   5,  -9,11, 21.1,②⑦⑦, 7, 4,Ｇダノンエクスプレス, 76,北村友, 0.7, 73,   6,   3,11, 90.5, ⑧⑨
 8, 5,Ｊタマモギャラクシｰ, 35,高倉稜, 2.5, 39, -10, -12,10,254.0, ⑩⑩, 8, 3, ピエナグッドラック,,西谷誠,199.2,,,, 7, 30.1,⑨⑩⑪, 8, 2,Ｇタイセイソルジャｰ, 58,藤懸貴, 1.2, 58,   2,  -7, 9, 19.8,⑪⑫⑬, 8,12,Ｊアグネスラナップ, 76,幸英明, 0.8, 72,   4,   4, 9, 54.6, ⑪⑩
 9, 1,Ｋシゲルカボス, 20,北村友, 3.1, 35, -13, -13,11,288.7, ⑪⑪, 9, 7, シゲルゴユウサン,,岩崎祐,200.9,,,,11, 91.3,⑩⑨⑩, 9, 9,Ｄメジロビゼン, 60,和田竜, 1.3, 56,   4, -12, 3,  6.1,⑨⑩⑨, 9, 6,Ｌアマノレインジャｰ, 75,浜中俊, 0.8, 73,   7,   0, 5, 11.8, ⑦⑤
10,10,Ｉシゲルクルミ, 35,太宰啓, 3.7, 30,  -1, -31, 9,197.6, ⑥⑨,10, 4, メイショウアルグン,,今村康,201.5,,,, 9, 70.0,⑥⑤⑥,10,14, メイショウミルキｰ,---,浜中俊, 1.3, 59,   1,  -6,14, 41.4,⑯⑭⑪,10, 5,Ｏキングコｰリンオｰ, 70,熊沢重, 1.6, 67,   4,  -3,16,606.3, ⑩⑪
11, 7,Ｄトウケイロベルト, 48,幸英明, 3.9, 30,  -3, -30, 8, 86.0, ⑨⑦,11, 8, テイエムチｰタｰ,,南井大,202.0,,,, 8, 34.7,⑤⑦⑦,11, 7,Ｅマイダルタニアン, 59,川田将, 1.4, 56,   6, -16, 1,  4.7,③②⑤,11, 8,Ｐスズカアトラス, 67,高倉稜, 1.7, 63,   0,   1,15,581.6, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,12, 8,Ｎアメｰジングミノル, 23,国分優, 1.9, 53,   4, -18,10, 20.9,⑥⑨⑧,12, 3,Ｎトｰセンディケム, 71,国分優, 1.7, 66,   7,  -7,14,170.8, ⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｉホｰマンレｰヴ, 56,安藤光, 2.0, 52,   2, -15,15,141.6,⑫⑪⑩,13, 2,Ｃオペラモｰヴ, 80,佐藤哲, 1.7, 64,   9, -10, 3,  6.6, ③⑥
,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｃマスタｰオブライト, 61,北村友, 2.4, 48,   6, -24, 5, 11.6,⑤④⑥,14, 7,Ａメイショウトリノ, 82,藤岡康, 1.9, 64,* 11, -14, 4,  8.9, ①①
,,,,,,,,,,,,,,,,,,,,,,,,15,13, ジャバルタｰリク,---,小牧太, 3.3, 42,   0, -22, 6, 12.0,⑭⑮⑯,15,14,Ｉイチオカ, 76,小坂忠, 1.9, 62,   3,  -4, 8, 51.6, ⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｍキンジシ, 48,福永祐, 4.1, 38,   4, -36, 2,  5.4,⑧⑧⑫,16,16,Ｈヒシコモンズ, 76,川須栄, 2.3, 61,* 11, -17,13,114.8, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-15 馬場:稍重(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,
"単勝:130円 複勝:04=100円 03=340円 06=160円 枠連:1,040円",,,,,,,,,,,,"単勝:260円 複勝:11=140円 12=220円 09=1,040円 枠連:740円",,,,,,,,,,,,"単勝:2,190円 複勝:15=570円 16=3,640円 05=410円 枠連:39,900円",,,,,,,,,,,,"単勝:9,770円 複勝:15=1,620円 01=120円 10=1,210円 枠連:3,440円",,,,,,,,,,,
"馬連:1,150円 ワイド:03-04=400円 04-06=190円 03-06=840円",,,,,,,,,,,,"馬連:720円 ワイド:11-12=340円 09-11=2,490円 09-12=4,510円",,,,,,,,,,,,"馬連:87,150円 ワイド:15-16=20,590円 05-15=5,080円 05-16=23,270円",,,,,,,,,,,,"馬連:12,340円 ワイド:01-15=3,690円 10-15=31,030円 01-10=2,400円",,,,,,,,,,,
"馬単:1,490円 3連複:1,100円 3連単:5,250円",,,,,,,,,,,,"馬単:1,160円 3連複:12,250円 3連単:35,800円",,,,,,,,,,,,"馬単:89,180円 3連複:696,210円 3連単:3,245,430円",,,,,,,,,,,,"馬単:42,900円 3連複:136,640円 3連単:1,438,760円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾗｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａブラックアテナ, 64,川田将,, 67,* -2,*  5, 1,  1.4,③③⑤, 1, 6, エイシンキンチェム,---,川田将,, 49,* -2, -20, 1,  1.7, ②②, 1, 3,Ｉアフォリズム, 64,浜中俊,, 80,   0,* 11, 7, 36.2, ⑩⑩, 1,11,Ｃエｰシンリタｰンズ, 84,川田将,, 97,  -3,* 25, 2,  3.6, ③③
 2, 1,Ｄマスコットウイング, 60,芹沢純, 0.1, 67,  -2,*  7, 6, 29.2,⑭⑩⑥, 2, 3, キクエチャン,---,花田大, 0.4, 42,  -7, -20,10,114.3, ⑤⑤, 2, 4,Ｂビコｰペグｰ, 77,小牧太, 0.1, 78,  -1,* 14, 2,  5.2, ⑫⑫, 2,15,Ｂエｰシンホワイティ, 85,福永祐, 0.2, 94,  -3,* 24, 1,  1.7, ⑥④
 3, 9,Ｃリボルトレイダｰ, 63,森一馬, 0.3, 65,* -1,   3, 3, 19.6,⑥⑤④, 3,10, シシリアンルｰジュ,---,浜中俊, 0.6, 38, -14,*-16, 4, 11.1, ⑨⑨, 3, 6,Ｄセキサンダンスイン, 72,国分優, 0.1, 77,   0,* 11, 6, 14.3, ⑪⑪, 3, 7,Ｈグロｰリｰルピナス, 78,小坂忠, 0.8, 86,  -4,  17,11, 65.8, ⑤⑥
 4, 4,Ｂホホヲヨセテ, 63,福永祐, 0.6, 63,*  0,  -1, 2,  4.3,①①①, 4, 8, テイエムハピネス,---,芹沢純, 0.9, 34, -11, -23, 9, 94.5, ⑦⑦, 4, 9,Ｃジュヴェビアン, 72,国分恭, 0.4, 72,*  5,  -5, 4,  7.1, ②②, 4,18,Ｇチャｰムポット, 79,佐藤哲, 0.8, 86,  -4,  17, 3, 11.8, ⑧⑦
 5,11,Ｊスカイプラネット, 50,藤懸貴, 0.9, 62,  -4,   3,11,189.8,⑨⑫⑪, 5, 5, サンマルリジイ,---,佐藤哲, 0.9, 34,  -8, -27, 5, 12.8, ⑥⑥, 5, 2,Ａコンカラン, 77,川田将, 0.5, 73,*  4,  -3, 1,  2.0, ④③, 5, 2,Ｋホｰカｰハリケｰン, 77,太宰啓, 1.0, 81,*  1,   8, 4, 16.5, ②②
 6,10,Ｌダンスインザスカイ, 50,安藤光, 1.1, 60,  -5,   2,12,248.1,⑪⑭⑩, 6, 7, プレシャスペスカ,---,幸英明, 0.9, 36,* -4, -31, 3,  9.0, ③③, 6,10,Ｅアトムスパンカｰ, 69,太宰啓, 0.6, 71,   1,   0, 9, 60.1, ⑨⑨, 6,17,Ａピｰスピｰス, 87,飯田祐, 1.0, 87, -12,* 25, 7, 37.5, ⑯⑯
 7, 8,Ｅニシノフェイム, 56,浜中俊, 1.9, 56,* -1, -10, 5, 21.8,⑤⑥⑦, 7, 9, ケイトシチｰ,---,酒井学, 1.1, 32, -14, -23, 7, 25.9, ⑧⑧, 7,11,Ｊニホンピロエリナ, 64,酒井学, 0.6, 70,   3,  -3,11, 89.2, ⑤⑤, 7, 9,Ｊドリｰムスカイラブ, 77,酒井学, 1.2, 80,  -6,  13,15,163.3, ⑦⑨
 8,14,Ｈキュｰルエキュｰル, 51,和田竜, 2.5, 51,  -2, -15, 4, 21.8,⑧⑦⑧, 8,11, テイエムセキトバ,---,太宰啓, 1.2, 34, -23,*-14, 8, 62.1, ⑩⑩, 8, 8,Ｇメイショウスズラン, 66,松山弘, 0.8, 69,   1,  -3, 8, 48.4, ⑧⑧, 8, 6,Ｏスｰパｰワシントン, 75,国分恭, 1.2, 85, -12,  23,16,246.2, ⑮⑮
 9, 3,Ｇクッカ, 51,松山弘, 2.9, 48,  -2, -18,13,331.4,⑦⑧⑨, 9, 4, タイキプリマドンナ,---,国分優, 1.4, 30,* -2, -39, 6, 22.8, ①①, 9, 7,Ｈタガノエベンヌ, 66,福永祐, 0.9, 66,*  5, -13, 3,  6.4, ①①, 9,13,Ｌトｰホウカイザｰ, 76,高倉稜, 1.4, 84, -15,* 24, 9, 54.1, ⑰⑱
10,16,Ｋミステリアスガｰル, 50,国分恭, 3.3, 44,* -1, -24, 7, 30.5,④④③,10, 2, クレｰルドリュヌ,---,福永祐, 1.5, 28,  -6, -36, 2,  4.0, ④④,10,13,Ｋワイドロｰタス, 62,武幸四, 2.1, 54,   3, -24,13,195.0, ⑥⑥,10, 3,Ｅマイネルプルｰト, 79,小牧太, 1.4, 77,  -3,   8,10, 54.8, ④⑤
11, 7,Ｉエピデンドラム, 51,藤岡康, 3.3, 44,*  0, -24, 9, 76.1,②②②,11,12, シゲルスモモ,---,川須栄, 2.2,  4, -28, -22,11,201.8, ⑪⑪,11, 5,Ｌブラウブリッツ, 58,高倉稜, 2.5, 52,  -4, -15,10, 72.2, ⑬⑬,11, 1,Ｍカイシュウボナンザ, 76,和田竜, 1.4, 81, -11,  17, 5, 22.3, ⑬⑭
12,15,Ｍクリスタルエイト, 48,渡辺薫, 4.4, 39,  -3, -29,14,615.4,⑩⑪⑫,12, 1, ハｰトオブミニｰ,---,安藤光, 3.0,-10, -31, -31,12,233.8, ⑫⑫,12,12,Ｍブルｰデライト, 50,川須栄, 2.5, 50,*  4, -33,12,179.2, ③④,12,10,Ｉシェｰンヴァルト, 77,北村友, 1.5, 78,  -7,  12, 8, 50.1, ⑩⑪
13, 5,Ｎクリスマスドリｰム, 39,花田大, 5.2, 34, -10, -22,15,630.4,⑮⑯⑯,,,,,,,,,,,,,13, 1,Ｆマイネノｰブレス, 68,和田竜, 2.5, 52,   2, -27, 5, 10.0, ⑦⑦,13, 5,Ｑミリオンウェｰブ, 69,藤岡康, 1.5, 83, -17,* 25,12,101.6, ⑱⑰
14,13, ビットエクスプレス,---,国分優, 5.3, 34,  -3, -37,10,155.9,⑬⑨⑬,,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｄロリンザｰユｰザｰ, 80,国分優, 1.5, 78,  -7,  12,17,302.9, ⑪⑫
15,12,Ｏキャンディパラソル, 36,鮫島良, 6.3, 31,  -3, -42,16,691.1,⑫⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｐピエナポパイ, 73,渡辺薫, 1.7, 76,  -7,   8,13,149.2, ⑨⑧
