11年 8月20日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 8月20日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿賀野川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃフライングバルｰン, 50,蛯名正,, 63,* -8,*  6, 3,  5.7, ②③, 1,10,Ｉスナン, 52,北村宏,, 71,* -1,*  6, 7, 17.1,   , 1,13,Ｄアルスマルカｰト, 63,江田照,, 71,*  4,*  4, 2,  4.5,①①①, 1, 2,Ｃオｰシャンブルｰ, 80,福永祐,, 91,   2,* 21, 1,  2.7,⑧⑩⑧
 2, 7,Ａラパｰジュ, 53,中舘英, 0.6, 56, -11,   1, 2,  3.7, ⑦⑦, 2,15,Ａサトノヴィクトリア, 64,平野優, 0.0, 70,*  2,   4, 1,  3.2,   , 2, 3,Ａサミットフィｰバｰ, 72,伊藤工, 1.2, 65,   0,*  1, 1,  3.4,⑧⑨⑧, 2, 3,Ａトウシンイｰグル, 82,蛯名正, 0.0, 89,*  3,* 18, 3,  5.6,⑦⑥④
 3, 9,Ｆエアロケット, 40,福永祐, 0.7, 56, -14,*  4, 7, 35.6, ⑩⑪, 3,17,Ｂノンパッサｰレ, 61,江田照, 0.4, 64,  -5,   3, 3,  5.0,   , 3,11,Ｃアウトヒット, 64,大野拓, 1.3, 61,   1,  -2, 4,  5.7,⑨⑦⑥, 3, 5,Ｇシンボリアニマｰト, 75,大野拓, 0.4, 82,*  3,   9,11, 41.6,③③⑤
 4,12,Ｂマイネルディｰン, 50,石橋脩, 0.7, 55, -12,   2, 1,  1.9, ⑨⑨, 4,13,Ｊトップデュタン, 51,木幡初, 0.5, 64, -14,*  9,11, 52.7,   , 4, 4,Ｂジｰガｰゴｰルド, 64,小林淳, 1.4, 63,   2,  -3, 5,  9.3,⑥⑥⑤, 4,12,Ｊプラｰジュ, 74,柴田善, 0.5, 85,   0,* 17, 6, 17.3,⑬⑬⑫
 5, 1,Ｉハギノグラシアス, 37,田辺裕, 0.9, 50, -11,  -3, 4, 10.1, ⑥⑥, 5, 7,Ｄケイオｰクラウン, 56,大野拓, 0.6, 62, -13,*  6, 5, 10.1,   , 5, 1,Ｆバットゥｰタ, 63,嶋田純, 2.1, 58,  -2,  -3, 7, 21.1,⑫⑫⑫, 5, 9,Ｉバイタルスタイル, 74,江田照, 0.7, 76,*  5,   1, 4, 11.8,①①①
 6,13,Ｄコスモリボン, 42,柴田大, 0.9, 50, -10,  -5, 8, 50.0, ④⑤, 6,11,Ｆサクラスパｰクル, 54,柴田大, 0.7, 59,  -4,  -1,13,167.2,   , 6, 6,Ｉラヴァリｰデファｰ, 56,田中勝, 3.0, 52,*  3, -20, 3,  4.7,②②②, 6,11,Ｅゴｰルドスパｰクル, 76,石橋脩, 0.7, 81,*  4,   9, 9, 24.2,⑨⑤⑥
 7, 5,Ｋセイファｰト, 22,柴田善, 1.1, 49, -12,  -5, 6, 23.0, ⑧⑧, 7,18,Ｅゲｰムオブモレッタ, 55,村田一, 0.7, 60,  -9,   2, 4,  7.3,   , 7, 8,Ｅディｰエスハスラｰ, 63,石橋脩, 3.1, 50,   2, -19, 9, 40.0,⑪⑤④, 7,10,Ｈハイゲｰト, 74,田辺裕, 0.7, 80,   0,  12,10, 39.6,⑫⑪⑪
 8,10,Ｈポップイン, 37,平野優, 1.7, 41, -14, -10, 9, 75.0, ⑪⑩, 8, 3,Ｒソニックフリｰト, 32,田辺裕, 1.0, 57, -26,* 11,12,100.7,   , 8,12,Ｇビッグアスリｰト, 62,北村宏, 3.7, 47,   2, -24, 6, 11.9,⑤④③, 8, 1,Ｌリスキｰプラン, 66,木幡初, 0.8, 79,   2,   8,12,328.4,⑤⑦⑩
 9, 2,Ｅガッテンラヴ, 41,木幡初, 2.3, 30,* -8, -28, 5, 16.9, ③②, 9, 6,Ｎビヨンドトゥモロｰ, 43,石橋脩, 1.1, 54,  -8,  -3,10, 50.8,   , 9, 5,Ｈミラクルレインボｰ, 57,嘉藤貴, 3.9, 46,  -1, -21,10, 43.0,⑩⑪⑨, 9, 8,Ｂマイネルウｰノ, 81,柴田大, 1.0, 73,*  5,  -2, 8, 23.3,②②②
10, 4,Ｍジョウノソナタ,  8,北村宏, 2.8, 25, -11, -31,11,369.2, ⑤④,10, 4,Ｃエレガンテココ, 59,大庭和, 1.1, 54,  -4,  -6, 6, 12.3,   ,10, 9,Ｊスパｰキｰブラウン, 54,平野優, 4.5, 43,  -1, -26,13,227.8,⑦⑩⑪,10, 4,Ｄヒカルマンテンボシ, 79,松岡正, 1.2, 72,*  3,  -2, 7, 17.4,④④③
11, 3,Ｌサニｰスペシャル, 17,田中勝, 3.1, 20,* -8, -42,10, 83.0, ①①,11, 2,Ｋレモスカ, 50,蛯名正, 1.1, 53,  -9,  -4, 8, 19.9,   ,11, 7,Ｌダノンウェルカム, 42,田辺裕, 4.8, 40,   2, -33, 8, 21.4,③③⑦,11,13,Ｋガンズオブナバロン, 72,北村宏, 1.2, 74,   2,   4, 5, 17.1,⑩⑨⑦
12, 6,Ｊトｰセンレングス, 22,杉原誠, 4.1, 14, -24, -29,12,548.6, ⑫⑫,12, 9,Ｈセイユアドリｰム, 53,高嶋活, 1.2, 52, -18,   2, 9, 29.2,   ,12, 2,Ｋアイソｰザライト, 44,木幡初, 5.0, 39,   0, -32,11,119.2,④⑧⑩,12, 6,Ｆアｰセナルゴｰル, 76,小牧太, 1.6, 68,   2,  -3, 2,  3.3,⑥⑧⑨
,,,,,,,,,,,,13,16,Ｇコスモアトミック, 53,松岡正, 1.3, 51, -10,  -5, 2,  4.8,   ,13,10,Ｍアルコファンタジア, 34,小野寺, 5.1, 42,  -4, -24,12,212.2,⑬⑬⑬,13, 7,Ｍアリガタイ, 63,平野優, 2.6, 58,   0, -15,13,341.1,⑪⑫⑬
,,,,,,,,,,,,14, 8,Ｌソアリング, 48,杉原誠, 1.8, 43, -25,  -2,14,288.5,   ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,14,Ｐカチドキハル, 34,嶋田純, 2.2, 36, -22,  -9,15,290.3,   ,,,,,,,,,,,,,,,,,,,,,,,,
