11年 9月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 9月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅテｰオｰサクセス, 56,後藤浩,, 71,*  8,  -4, 8, 73.1, ③②, 1, 5,Ａフェニックスソｰド, 66,小牧太,, 65,*  5,* -2, 6,  9.5,③③③, 1, 7,Ａダロｰネガ, 65,佐藤哲,, 56,* -1,*  7, 1,  1.5, ②②, 1,11,Ａブラｰニｰストｰン, 75,国分恭,, 77,   2,*  8, 1,  3.6, ⑩⑩
 2,14,Ａダンツソレイユ, 62,松山弘, 0.1, 70,   6,* -2, 2,  4.2, ⑦⑥, 2, 6,Ｅタマモダリア, 62,国分恭, 0.3, 64,   4,* -3, 2,  4.9,④④④, 2, 1,Ｂニシノビｰクイック, 62,浜中俊, 0.1, 54,  -2,*  7, 2,  5.5, ③③, 2,10,Ｄラヴアンドサンクス, 71,赤木高, 0.0, 78,   8,   2,12, 39.2, ⑥⑤
 3, 3,Ｂスナｰクワイルド, 61,幸英明, 0.4, 68,   6,  -5, 3,  7.0, ⑤⑤, 3,15,Ｇベリｰフィｰルズ, 61,幸英明, 0.3, 65,   2,*  0, 3,  6.7,⑭⑨⑦, 3, 3,Ｄメイショウカドマツ, 55,福永祐, 0.4, 50,*  0,  -2, 6, 21.3, ①①, 3,15,Ｉトップルビｰ, 69,小牧太, 0.1, 75,  -1,* 10, 8, 18.5, ⑪⑫
 4, 5,Ｄグロｰリアスロｰズ, 59,小牧太, 0.6, 65,   7,  -7, 1,  1.7, ④③, 4, 3,Ｂピュカｰロ, 65,松山弘, 0.8, 62,*  5,  -9, 5,  8.8,②②②, 4, 6,Ｇカイルアロマンス, 45,小牧太, 0.5, 51,  -3,   6, 5, 13.9, ⑦⑥, 4, 2,Ｇラブグランデｰ, 69,武豊  , 0.3, 72,  -2,*  9, 2,  4.7, ⑬⑬
 5,15,Ｎエリザベｰトアスク, 41,木村健, 0.7, 63,  -1,*  2, 9, 74.5, ⑬⑬, 5,10,Ｋルｰスデラルナ, 52,福永祐, 1.0, 61,   2,  -5, 9, 33.5,⑦⑦⑧, 5, 4,Ｃルリシュブｰル, 60,後藤浩, 1.0, 43,  -2,  -6, 4, 13.6, ④④, 5, 5,Ｋスギノブロッサム, 68,藤懸貴, 0.3, 72,  -1,   7, 7, 16.2, ⑫⑪
 6,10,Ｃグレイレジェンド, 59,武豊  , 1.0, 62,   2,  -5, 4,  9.7, ⑪⑪, 6, 4,Ｄスピログラフ, 64,武豊  , 1.2, 59,   1,  -5, 4,  7.2,⑪⑩⑩, 6, 2,Ｅビｰムライフル, 54,武豊  , 1.2, 43,  -6,   0, 3,  5.6, ⑥⑦, 6,16,Ｃハピシン, 72,酒井学, 0.5, 72,   7,  -3, 6, 14.0, ⑧⑧
 7, 9,Ｋキャピタルチャンス, 50,川須栄, 1.4, 58,   3, -10,11,152.3, ⑨⑧, 7,13,Ｃディｰプフィｰルド, 64,北村友, 1.5, 56,   0,  -7, 1,  2.7,⑫⑪⑫, 7, 5,Ｆキリシマトリオ, 54,北村友, 1.2, 41,  -4,  -6, 7, 34.9, ⑤⑤, 7, 9,Ｏコｰストバンクシア, 61,川須栄, 0.5, 69,  -8,* 11,11, 36.4, ⑯⑯
 8, 2,Ｉエメラルドコｰスト, 51,高倉稜, 1.5, 58,*  8, -17, 6, 35.4, ②①, 8, 9,Ｏシルクプラズマ, 34,国分優, 1.5, 57,   0,  -7,15,152.7,⑬⑬⑨,,,,,,,,,,,,, 8,13,Ｍキャロルロゼ, 67,飯田祐, 0.5, 69,  -4,   7,14, 60.4, ⑭⑮
 9,12,Ｈネロスパｰダ, 53,国分恭, 3.3, 44,   4, -26, 7, 47.1, ⑩⑨, 9, 1,Ｌエリｰトバイオ, 51,後藤浩, 1.7, 53,*  5, -18,11, 92.3,①①①,,,,,,,,,,,,, 9, 8,Ｅセルリアンレッド, 70,渡辺薫, 0.6, 71,   7,  -5,15, 63.7, ⑦⑦
10, 7,Ｊマスタｰイｰグル, 51,和田竜, 3.3, 46,   6, -28,14,204.1, ⑥⑦,10,16,Ｈテンシノイツル, 60,中村将, 1.8, 55,   2, -11,13,108.1,⑩⑧⑪,,,,,,,,,,,,,10, 4,Ｊマルブツサバンナ, 68,幸英明, 0.6, 71,* 12, -10, 5,  8.2, ②②
11,16,Ｇアンクルポケット, 54,国分優, 3.5, 44,  -2, -19,10,101.0, ⑭⑭,11, 7,Ｉヤマカツクライム, 58,赤木高, 2.1, 52,   3, -17,14,130.6,⑤⑤⑤,,,,,,,,,,,,,11, 1,Ｈダノンカスガ, 69,熊沢重, 0.7, 67,  -5,   6, 3,  6.4, ⑮⑭
12,11, キョウワフロスト,---,太宰啓, 4.5, 34,  -6, -25,13,203.5, ⑮⑮,12,12,Ｎセルリアンデｰゲン, 38,田嶋翔, 2.2, 53,  -1,  -9,16,496.3,⑮⑯⑮,,,,,,,,,,,,,12,12,Ｌエｰティｰガンダム, 68,国分優, 0.8, 69,* 12, -12,13, 41.5, ③③
13, 1,Ｆニシノシュクラン, 55,北村友, 4.5, 35,*  9, -44, 5, 13.8, ①④,13, 2,Ｍアサクサジェット, 44,木村健, 3.3, 45,   0, -21,12,102.2,⑨⑫⑬,,,,,,,,,,,,,13, 3,Ｆテイエムアモｰレ, 69,小林慎, 1.1, 66,* 15, -19, 9, 27.0, ①①
14,13,Ｌスリｰバリアント, 47,中村将, 4.7, 33,   3, -38,12,181.7, ⑧⑩,14,11, テｰオｰオリビア,---,川須栄, 4.0, 40,  -1, -25,10, 90.7,⑯⑮⑭,,,,,,,,,,,,,14, 7,Ｐノブクィｰン, 46,高田潤, 1.1, 63,   3,  -7,16,292.1, ⑨⑨
15, 6,Ｍミスズファミリｰ, 43,藤懸貴, 5.2, 30,   2, -41,16,537.5, ⑫⑫,15,14,Ｊヒルノクラウド, 57,高田潤, 5.1, 34,  -3, -31, 7, 19.1,⑧⑭⑯,,,,,,,,,,,,,15,14,Ｂレｰガン, 72,石橋守, 1.5, 59,   9, -19, 4,  7.9, ④⑥
16, 8,Ｏサワヤカオジョｰ, 14,岩崎祐, 8.1,  1,  -6, -55,15,400.7, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｎロｰドセイバｰ, 65,浜中俊, 1.6, 59,  10, -20,10, 32.5, ⑤④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:3),,,,,,,,,,,
"単勝:7,310円 複勝:04=1,190円 14=130円 03=240円 枠連:1,020円",,,,,,,,,,,,"単勝:950円 複勝:05=230円 06=180円 15=210円 枠連:2,790円",,,,,,,,,,,,単勝:150円 複勝:07=110円 01=180円 枠連:0円,,,,,,,,,,,,"単勝:360円 複勝:11=190円 10=1,060円 15=590円 枠連:3,560円",,,,,,,,,,,
"馬連:7,680円 ワイド:04-14=2,000円 03-04=2,540円 03-14=420円",,,,,,,,,,,,"馬連:2,280円 ワイド:05-06=600円 05-15=820円 06-15=520円",,,,,,,,,,,,馬連:340円 ワイド:01-07=180円 03-07=430円 01-03=750円,,,,,,,,,,,,"馬連:6,940円 ワイド:10-11=2,540円 11-15=1,690円 10-15=5,830円",,,,,,,,,,,
"馬単:28,870円 3連複:12,160円 3連単:133,320円",,,,,,,,,,,,"馬単:5,090円 3連複:3,600円 3連単:25,680円",,,,,,,,,,,,"馬単:440円 3連複:1,470円 3連単:3,580円",,,,,,,,,,,,"馬単:11,050円 3連複:37,460円 3連単:195,770円",,,,,,,,,,,
