11年12月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年12月10日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,六甲ｱｲﾗﾝﾄﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄダｰクナイサｰ, 54,岩田康,, 56,*  2,  -2, 2,  3.6,①①①, 1,12,Ｂタガノキャンドル, 60,岩田康,, 60,  -2,   9, 2,  4.6, ③③, 1, 4,Ａエアインシャラｰ, 78,岩田康,, 72,*  5,   6, 1,  1.5, ②②, 1, 5,Ａスプリングサンダｰ, 85,四位洋,, 84,  11,   3, 1,  1.6, ⑦④
 2,10,Ａグレｰトチャｰルズ, 61,秋山真, 0.2, 56,  -2,*  4, 1,  2.3,⑪⑩⑥, 2, 4,Ａアドマイヤレイ, 61,川田将, 0.0, 61,  -3,* 11, 1,  2.5, ⑦⑦, 2, 6,Ｐシセイギンガ, 38,岡部誠, 0.1, 73,   1,* 11,11,126.6, ⑨⑩, 2, 3,Ｇルナキッズ, 78,藤田伸, 0.1, 81,   6,*  8, 6, 17.2, ⑨⑨
 3,11,Ｃスズカルパン, 61,岩崎祐, 0.3, 55,*  1,  -2, 3,  5.5,⑥③③, 3,11,Ｇエアソミュｰル, 57,和田竜, 0.1, 63,  -4,* 13, 6, 11.2, ⑪⑩, 3, 8,Ｆフランキンセンス, 69,熊沢重, 0.1, 72,   2,   8, 7, 40.6, ⑥⑥, 3, 6,Ｉトｰホウシンバル, 77,和田竜, 0.1, 83,  11,   2, 3,  9.4, ④⑤
 4, 9,Ｅダイメイサンデｰ, 50,吉田稔, 0.5, 54,  -1,   0, 6, 18.3,⑧⑦④, 4, 2,Ｄサンライズトゥルｰ, 60,幸英明, 0.3, 58,  -3,   8, 3,  7.8, ⑤⑥, 4, 9,Ｉサトノモンスタｰ, 67,吉田稔, 0.2, 72,  -2,* 14,10, 63.0, ⑭⑭, 4,10,Ｆインプレスウィナｰ, 79,秋山真, 0.2, 81,  10,   2, 5, 17.2, ⑤⑥
 5,12,Ｆモアナルアパｰク, 50,熊沢重, 0.6, 54,*  1,  -5, 8, 43.8,②②②, 5, 8,Ｊシルクキングリｰ, 51,池添謙, 0.5, 58,  -6,* 12, 9, 30.6, ⑮⑭, 5,13,Ｅジャマイカジョｰ, 72,川島信, 0.3, 70,  -2,* 12, 8, 41.8, ⑬⑬, 5, 7,Ｃシルクウェッジ, 82,岩田康, 0.3, 81,* 14,  -4, 2,  4.8, ②②
 6, 2,Ｂハリケｰンミノル, 61,池添謙, 0.8, 51,  -1,  -3, 5, 10.8,⑦⑥⑤, 6,15,Ｉマイネルクルタナ, 52,吉田稔, 0.5, 53,*  1,  -4,11, 58.6, ①①, 6,14,Ｃトイボックス, 74,幸英明, 0.3, 70,   3,   5, 2,  5.7, ⑤③, 6, 4,Ｊタイガｰストｰン, 77,岡部誠, 0.4, 76,   3,*  8, 8, 41.3, ⑪⑪
 7, 7,Ｈアマノスペリオｰル, 44,幸英明, 1.1, 51,  -4,*  1,10, 75.5,⑩⑪⑨, 7, 6,Ｈマイネルコンキスタ, 54,佐藤哲, 0.6, 54,  -2,   0, 7, 18.2, ⑥④, 7, 2,Ｋカネトシイナｰシャ, 65,川田将, 0.3, 70,   2,   7,13,176.1, ⑦⑦, 7,11,Ｄチャｰムポット, 80,佐藤哲, 0.5, 77,  11,  -4, 4, 11.1, ③③
 8, 4,Ｇシゲルキンカン, 48,国分恭, 2.1, 43,  -1, -12, 9, 65.1,⑨⑧⑧, 8, 5,Ｃドラゴネッティ, 60,岡部誠, 0.8, 54,  -4,   5, 8, 19.7, ⑩⑪, 8, 5,Ｄスマイリングムｰン, 73,メンデ, 0.7, 66,   3,   2, 5, 21.8, ④⑤, 8, 1,Ｅファンドリノチカラ, 79,武豊  , 0.6, 75,   9,  -2, 7, 20.1, ⑥⑦
 9, 3,Ｋエメラルフジ,  7,北村友, 4.1, 31,  -9, -14,12,252.3,⑫⑫⑫, 9, 9,Ｆリインカネｰション, 58,メンデ, 0.9, 51,  -3,  -1, 4,  8.1, ⑧⑧, 9,10,Ｂガｰルズストｰリｰ, 76,国分恭, 0.7, 68,   1,   6, 3,  7.8, ⑩⑫, 9, 8,Ｋクリｰルバレット, 71,北村友, 0.9, 69,  -3,* 10,12,273.5, ⑫⑫
10, 5,Ｉウインナイトホｰク, 40,佐藤哲, 5.1, 23,  -1, -40, 4,  9.6,④④⑦,10,10,Ｅサンクフルネス, 59,武豊  , 1.0, 51,  -4,   2,10, 31.2, ⑫⑫,10, 7,Ｇカネトシファイタｰ, 69,秋山真, 0.8, 67,   0,   5, 9, 54.4, ⑪⑪,10,12,Ｈアドマイヤヘッド, 78,川田将, 1.0, 70,   7,  -6,11,200.9, ⑧⑧
11, 6, アポロサクシｰド,---,和田竜, 6.1, 20,  -3, -43,11,131.1,③⑨⑪,11, 7,Ｏコスモアダム, 32,渡辺薫, 1.4, 49,  -6,  -1,13,297.7, ⑭⑮,11, 1,Ｈマックスコヒヌｰル, 67,四位洋, 0.8, 67,   3,   1, 6, 33.7, ③④,11, 2,Ｂピｰスピｰス, 83,高橋亮, 1.0, 69,   5,  -2,10,114.9, ⑩⑩
12, 8,Ｊロイヤルチョイス, 40,メンデ,16.4,-60,  -2, ---, 7, 23.9,⑤⑤⑩,12, 1,Ｌエイユｰサｰパス, 44,秋山真, 1.4, 46,  -4,  -5,14,346.4, ⑨⑨,12,15,Ｍゴｰルドサムソン, 63,渡辺薫, 0.9, 66,   0,   4,14,178.6, ⑫⑨,12, 9,Ｌメモリｰパフィア, 65,幸英明, 1.9, 62,* 15, -26, 9,110.6, ①①
,,,,,,,,,,,,13,14,Ｍテストマッチ, 41,北村友, 1.5, 43,  -2, -12, 5, 10.7, ④⑤,13,12,Ｊシルクレグルス, 65,武豊  , 1.3, 63,  -3,   5, 4, 15.4, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,14,13,Ｋアラタマユニバｰス, 46,国分恭, 1.5, 44,*  0, -15,12,296.4, ②②,14, 3,Ｏサトノティアラ, 59,藤田伸, 1.3, 63,   0,   0,12,157.8, ⑧⑧,,,,,,,,,,,,
,,,,,,,,,,,,15, 3,Ｎノｰドラメｰル, 38,川島信, 2.0, 44,  -5,  -9,15,394.9, ⑬⑬,15,11,Ｌレッドマロン, 63,和田竜, 2.0, 56,*  6, -13,15,271.0, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:3),,,,,,,,,,,
単勝:360円 複勝:01=130円 10=110円 11=140円 枠連:370円,,,,,,,,,,,,単勝:460円 複勝:12=140円 04=120円 11=250円 枠連:420円,,,,,,,,,,,,"単勝:150円 複勝:04=110円 06=2,070円 08=690円 枠連:1,100円",,,,,,,,,,,,単勝:160円 複勝:05=110円 03=320円 06=200円 枠連:890円,,,,,,,,,,,
馬連:380円 ワイド:01-10=180円 01-11=310円 10-11=170円,,,,,,,,,,,,馬連:440円 ワイド:04-12=200円 11-12=670円 04-11=370円,,,,,,,,,,,,"馬連:9,370円 ワイド:04-06=2,790円 04-08=960円 06-08=26,770円",,,,,,,,,,,,"馬連:1,050円 ワイド:03-05=450円 05-06=260円 03-06=1,230円",,,,,,,,,,,
"馬単:880円 3連複:540円 3連単:2,420円",,,,,,,,,,,,"馬単:1,060円 3連複:1,240円 3連単:5,790円",,,,,,,,,,,,"馬単:11,350円 3連複:52,540円 3連単:232,150円",,,,,,,,,,,,"馬単:1,540円 3連複:2,140円 3連単:7,660円",,,,,,,,,,,
