11年 8月14日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 8月14日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,羊蹄山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃレｰザｰインパクト, 48,福永祐,, 56, -23,*  8, 1,  1.5, ②②, 1, 5,Ｄダノンウィスラｰ, 63,福永祐,, 73,*  3,*  7, 3,  4.6,①①①, 1,10,Ｄアｰトオブビｰン, 71,岩田康,, 72,*  7,*  5, 4,  9.2, ③③, 1, 8,Ａサイレントメロディ, 88,横山典,, 83,   7,  17, 1,  1.5,④④③
 2, 1,Ｂコスモラヴバニｰ, 51,丹内祐, 0.0, 55,*-20,   5, 3,  8.8, ①①, 2, 6,Ｂスマｰトリバティｰ, 68,岩田康, 0.3, 72,*  1,*  9, 1,  2.4,⑥⑦⑥, 2, 3,Ｃクｰルフォｰマ, 72,丸田恭, 0.2, 66,   0,*  7, 7, 23.5, ⑧⑦, 2, 4,Ｄシルクエステｰト, 80,池添謙, 0.3, 83,   5,* 20, 4, 14.0,⑩⑨⑧
 3, 3,Ａキボウダクリチャン, 59,藤岡佑, 0.2, 55, -27,*  9, 2,  3.0, ③③, 3, 2,Ａロッセ, 70,四位洋, 0.9, 66,  -1,*  4, 4,  8.8,⑩⑩⑩, 3, 5,Ｊゴｰルドオリｰブ, 63,荻野琢, 0.3, 70,*  8,   1, 8, 26.1, ①①, 3, 7,Ｉテｰオｰストｰム, 72,藤岡佑, 0.4, 83,   5,  17, 7, 27.0,⑨⑦⑥
 4, 6,Ｄアムｰルアドニス, 26,宮崎北, 1.1, 42, -26,  -2, 6, 43.9, ④④, 4, 1,Ｆアドマイヤカヤｰジ, 60,上村洋, 0.9, 63,*  1,  -3, 6, 23.5,④②②, 4,11,Ｆケイアイカミｰリア, 65,松田大, 0.4, 68,   5,   2, 9, 27.4, ④④, 4,11,Ｈレッドボルサリｰノ, 74,松田大, 0.6, 81,*  8,  10, 9, 76.4,②②②
 5, 2, トドロキテンシツｰ,---,丸山元, 1.2, 42, -38,*  8, 4, 18.5, ⑥⑥, 5, 7,Ｇロｰズアダｰジョ, 56,吉田隼, 0.9, 65,   0,   1,10, 60.7,⑧⑥⑧, 5, 8,Ｇナムラオｰシャン, 64,西村太, 0.8, 58,  -6,*  5, 5,  9.3, ⑫⑫, 5, 5,Ｆルロワ, 78,岩田康, 0.6, 78,   7,  12, 2,  4.2,③③④
 6, 5, オリエンタルボｰイ,---,勝浦正, 1.8, 30, -32,  -7, 5, 26.0, ⑤⑤, 6,11,Ｋケミカルチェンジ, 53,蛯名正, 1.2, 62,   0,  -2, 5, 10.6,⑪⑨⑦, 6, 2,Ｅプリティスタｰ, 67,吉田隼, 0.8, 62,   2,   1,10, 28.4, ⑦⑧, 6, 9,Ｃロｰンウルフ, 81,蛯名正, 0.9, 76,   6,  11, 6, 26.7,⑦⑥⑦
,,,,,,,,,,,, 7, 4,Ｅボルト, 62,横山和, 1.6, 59,  -4,   1,13,119.9,⑬⑭⑭, 7, 6,Ｈハロｰタマ, 63,勝浦正, 0.9, 58,  -3,   3,11, 34.3, ⑪⑨, 7,10,Ｂビタｰスウィｰト, 81,丹内祐, 0.9, 78,*  9,   7, 3,  8.8,①①①
,,,,,,,,,,,, 8,10,Ｃウィッシュ, 68,池添謙, 1.6, 57,   0,  -9, 2,  4.4,⑦⑧⑨, 8, 1,Ｂプリマベｰラシチｰ, 73,蛯名正, 0.9, 60,   3,  -1, 3,  7.1, ⑥⑤, 8, 1,Ｅゴｰアップドラゴン, 79,丸田恭, 1.0, 78,   3,  17, 8, 63.6,⑪⑪⑩
