11年10月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月23日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,桂川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂマウンテンファスト, 57,幸英明,, 63,*  3,*  1, 2,  3.1, ③③, 1, 9, ナガラオリオン,---,安藤勝,, 75,*  0,* 10, 3,  6.1, ②②, 1, 5,Ａテイエムドンマイ, 82,幸英明,, 80,   6,  12, 2,  3.7,⑤⑦④, 1,18,Ｂナイアｰド, 79,四位洋,, 78,*  7,   0,12, 57.0, ①①
 2, 6,Ａシゲルユズ, 59,熊沢重, 0.4, 59,   1,* -1, 1,  2.7, ④④, 2, 8, ラヴァンドゥｰ,---,川田将, 0.1, 74,  -2,* 11, 1,  2.3, ③③, 2, 1,Ｄエンリル, 81,赤木高, 0.0, 79,*  9,   6, 5, 10.3,①①①, 2, 2,Ｃトｰホウシンバル, 78,池添謙, 0.0, 79,   1,*  7,11, 50.4, ⑥⑥
 3, 3,Ｅタイキベイビｰ, 45,国分優, 0.5, 59,*  5,  -6, 7, 39.5, ②②, 3, 2, シゲルアセロラ,---,武豊  , 0.9, 67,*  2,   1, 2,  2.6, ①①, 3,15,Ｊサンライズクォリア, 78,岩田康, 0.2, 80,   4,* 16, 4,  8.0,⑭⑬⑬, 3, 6,Ｊミスクリアモン, 75,浜中俊, 0.1, 76,*  4,   1, 3,  7.0, ②③
 4,10,Ｇメイショウマサシゲ, 42,岩崎祐, 1.4, 47,  -4,  -6, 8, 62.8, ⑧⑧, 4, 1, クｰルフォックス,---,国分優, 2.3, 54,  -3,  -8, 6, 32.1, ⑤⑤, 4, 3,Ｂナムラブレット, 81,国分恭, 0.5, 76,   8,   6, 7, 12.4,③⑤③, 4, 5,Ａドリｰムバレンチノ, 81,松山弘, 0.1, 78,  -2,*  8, 4,  7.4, ⑨⑨
 5,13,Ｌハリスキャスケｰド, 35,小林徹, 1.5, 49,   1, -11,12,178.9, ⑤⑤, 5, 6, ビナスイｰト,---,岡部誠, 2.5, 52, -15,   2,11,132.9, ⑨⑨, 5,11,Ｍカスガ, 75,池添謙, 0.5, 77,   6,  10,10, 56.1,⑩⑪⑪, 5, 1,Ｇデリキットピｰス, 77,福永祐, 0.3, 77,  -6,*  9, 5,  8.2, ⑭⑮
 6,12,Ｆニコニコマｰク, 42,蛯名正, 2.0, 41, -18,*  4,11,102.2, ⑭⑬, 6, 3, ヤマノクリスタル,---,池添謙, 2.7, 51,  -9,  -5, 5, 15.1, ⑧⑥, 6,12,Ｃロッソネロ, 81,福永祐, 0.6, 77,   4,* 12, 8, 18.7,⑬⑫⑫, 6,12,Ｍエｰシンビｰセルズ, 74,岩田康, 0.5, 73,  -3,   4,14, 98.1, ⑫⑫
 7,14,Ｋタイセイタイクｰン, 35,北村友, 2.0, 43,  -1, -12, 6, 24.5, ⑥⑥, 7,11, トキノビスコンティ,---,国分恭, 3.6, 43,  -1, -21, 8, 54.8, ④④, 7,13,Ｅフロムジオリエント, 81,田辺裕, 0.7, 75,   6,   6, 9, 44.6,⑦⑨⑦, 7,15,Ｎエイシンパンサｰ, 74,後藤浩, 0.5, 71,   2,  -2, 8, 29.7, ④⑦
 8, 8,Ｉシゲルライム, 41,川島信, 2.1, 42,  -2, -12, 9, 75.3, ⑦⑦, 8, 5, リバｰリンカｰン,---,木村健, 5.0, 32,  -5, -27, 9, 55.9, ⑥⑦, 8, 2,Ｇマルタカタキオン, 79,安藤勝, 0.8, 75,   4,  12,13, 90.2,⑪⑭⑭, 8,11,Ｄオｰルブランニュｰ, 77,小牧太, 0.5, 73,  -6,*  6, 7, 13.1, ⑯⑭
