11年10月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年10月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2910m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,古都ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂレッドクラウディア, 54,浜中俊,, 62,* -3,* -1, 1,  2.2, ④④, 1, 1, ルｰルプロスパｰ,,白浜雄,,,,, 3,  5.3,①①①, 1, 3,Ａスカイスクレイパｰ, 78,赤木高,, 76,*  8,   6, 1,  1.8,②②②, 1, 3,Ｂリッツィｰスタｰ, 85,浜中俊,, 92,*  3,* 17, 4, 11.4,②③③
 2, 4,Ｆタマノフウジン, 49,国分恭, 0.2, 59,* -3,* -3, 6, 24.4, ②②, 2, 3, タッチマイハｰト,,小坂忠,194.4,,,, 5,  9.7,③②②, 2, 1,Ｃメイショウカルロ, 72,武豊  , 0.3, 74,   7,   6, 2,  2.8,④③③, 2, 7,Ａトレイルブレイザｰ, 86,和田竜, 0.0, 93,*  5,  14, 1,  2.5,③②②
 3,14,Ａデンコウアクティブ, 67,小牧太, 0.7, 54,  -4,  -5, 3,  4.8, ⑤⑤, 3,11, ナリタシャトル,,西谷誠,194.5,,,, 2,  3.2,⑤④③, 3, 2,Ｄアドマイヤアゲイン, 69,岩田康, 0.3, 74,   6,*  8, 5, 14.3,⑥⑤⑤, 3, 4,Ｇレッドスパｰクル, 80,藤岡佑, 0.3, 94,   1,* 20, 3,  6.5,⑩⑪⑨
 4, 1,Ｈツキミハナミ, 45,川田将, 0.7, 56,* -1,  -8, 2,  3.9, ①①, 4,12, アグネスハイヤｰ,,北沢伸,195.0,,,, 1,  3.1,④⑤⑤, 4, 7,Ｆトップチェッカｰ, 68,池添謙, 2.1, 61,   7, -10, 3,  7.3,③④④, 4, 9,Ｄメイショウジンム, 82,小牧太, 0.4, 91,   1,* 19, 8, 20.3,⑪⑨⑩
 5, 8,Ｅフミノメルキオｰル, 50,安藤光, 0.8, 54,  -5,  -5, 7, 35.3, ⑦⑥, 5,10, ビコｰコルサコフ,,田村太,195.6,,,,14,326.1,⑥⑥⑥, 5, 5,Ｂコイスキャｰレ, 74,小牧太, 2.4, 57,   5, -10, 6, 34.7,⑦⑦⑥, 5, 1,Ｆタガノファントム, 80,岩田康, 0.5, 88,   2,  14,10, 41.6,⑦⑥④
 6, 3,Ｇメイショウアサヒ, 47,飯田祐, 1.2, 51,  -5,  -8, 9, 45.6, ⑥⑨, 6,13, クレバｰウエスタン,,植野貴,195.7,,,,11, 68.0,⑪⑦⑦, 6, 6,Ｅスズノオオタカ, 68,国分恭, 2.5, 57,*  8, -17, 4, 12.3,①①①, 6, 6,Ｈドリｰムセｰリング, 80,荻野琢, 0.5, 85,*  5,   7, 2,  3.5,①①①
 7,10,Ｉヒミノオオワシ, 45,和田竜, 1.4, 49,  -6,  -8,11, 94.5, ⑨⑦, 7, 9, シャロｰム,,高田潤,195.8,,,, 7, 20.7,⑧⑧⑧, 7, 4,Ｇナスムネタカ, 67,幸英明, 2.7, 58,   6, -11, 7, 55.4,⑤⑥⑦, 7,10,Ｃメイショウドンタク, 82,武豊  , 0.7, 84,   2,  10, 5, 11.8,⑧⑤⑥
 8, 9,Ｃスリｰサンハｰツ, 51,川島信, 1.5, 49,  -6,  -9, 4,  9.5, ⑩⑧, 8, 4, メジャｰテｰスト,,岩崎祐,196.0,,,, 8, 39.6,⑦⑩⑩, 8, 8,Ｈフミノフェイマス, 46,大下智, 3.1, 55,   3, -11, 8,335.4,⑧⑧⑧, 8,12,Ｊアグネスミヌエット, 73,国分恭, 0.9, 86,   1,  14,11,144.6,⑫⑫⑫
 9, 2,Ｍエｰシンスキッパｰ, 36,国分優, 2.0, 44, -11,  -8, 8, 38.0, ⑬⑬, 9, 5, ナムラバｰク,,難波剛,197.5,,,, 6, 18.7,②③④,,,,,,,,,,,,, 9, 2,Ｉセタガヤフラッグ, 76,池添謙, 0.9, 84,   2,  10, 7, 20.2,⑨⑩⑪
10,13,Ｄマイネルブラｰムス, 51,幸英明, 2.3, 41, -10, -12,10, 85.3, ⑫⑫,10, 8, シングルショット,,熊沢重,198.6,,,, 4,  7.6,⑨⑨⑨,,,,,,,,,,,,,10, 8,Ｅロイヤルネックレス, 81,秋山真, 1.0, 81,   2,   7, 9, 24.0,⑤⑧⑧
11, 5,Ｏバトルオスマン, 28,花田大, 2.4, 40, -12, -10,13,348.5, ⑭⑭,11, 6, マイネルオｰクベイ,,平沢健,199.6,,,,10, 56.3,⑩⑪⑪,,,,,,,,,,,,,11, 5,Ｋフィニステｰル, 72,藤田伸, 1.1, 81,   2,   5, 6, 17.9,⑥⑦⑦
12, 7,Ｊドンスキマｰ, 39,岩田康, 2.6, 39,* -3, -24, 5, 14.6, ③③,12, 2, タケカエルダ,,林満明,203.1,,,,13,173.6,⑫⑫⑫,,,,,,,,,,,,,12,11,Ｌナリタキングパワｰ, 69,国分優, 1.4, 74,*  3,  -2,12,205.5,④④⑤
13,11,Ｋリワｰドプレンダ, 37,藤岡佑, 2.7, 39,  -9, -16,14,399.0, ⑪⑪,13, 7, スズカルンバ,,南井大,207.9,,,, 9, 50.6,⑬⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
14,12,Ｌコトノクリチャン, 36,藤懸貴, 2.8, 37, -14, -11,15,553.4, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Ｎユキノクンシラン, 35,渡辺薫, 3.1, 36,  -5, -24,12,165.9, ⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-4),,,,,,,,,,,
"単勝:220円 複勝:06=120円 04=320円 14=150円 枠連:2,010円",,,,,,,,,,,,"単勝:530円 複勝:01=190円 03=210円 11=150円 枠連:2,630円",,,,,,,,,,,,単勝:180円 複勝:03=110円 01=110円 02=180円 枠連:0円,,,,,,,,,,,,"単勝:1,140円 複勝:03=280円 07=140円 04=200円 枠連:1,330円",,,,,,,,,,,
"馬連:2,560円 ワイド:04-06=890円 06-14=310円 04-14=1,060円",,,,,,,,,,,,"馬連:3,090円 ワイド:01-03=1,010円 01-11=510円 03-11=540円",,,,,,,,,,,,馬連:180円 ワイド:01-03=120円 02-03=240円 01-02=370円,,,,,,,,,,,,"馬連:1,410円 ワイド:03-07=470円 03-04=1,000円 04-07=350円",,,,,,,,,,,
"馬単:3,200円 3連複:3,280円 3連単:16,700円",,,,,,,,,,,,"馬単:5,180円 3連複:3,240円 3連単:25,480円",,,,,,,,,,,,"馬単:310円 3連複:460円 3連単:1,150円",,,,,,,,,,,,"馬単:3,730円 3連複:2,700円 3連単:20,730円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,室町ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
