11年 3月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 3月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾋﾟｶｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂワイズアンドクｰル, 58,嶋田純,, 60,* 10, -16, 5, 12.4, ②②, 1, 1, レンディル,,横山義,,,,, 2,  3.9,④④④, 1,12,Ｃデュアルスウォｰド, 69,松岡正,, 76,   0,* 11, 2,  3.6, ④③, 1, 2,Ａダイワファルコン, 95,北村宏,, 85,   9,* 11, 1,  1.5,②②②
 2,10,Ｅグランドジョラス, 52,水野貴, 0.1, 57,   6, -13, 8, 38.0, ④③, 2, 9, フタタビ,,山本康,195.9,,,, 7, 31.4,②②②, 2, 6,Ｅトｰセンナスクラ, 66,横山典, 0.6, 70,  -3,*  9, 4, 13.3, ⑧⑥, 2, 4,Ｄラルケット, 79,横山典, 0.2, 79,* 22, -18, 3,  6.5,①①①
 3,16,Ｃプレチェス, 56,石橋脩, 0.2, 56,   6, -14, 3,  7.1, ⑤④, 3,10, オｰルフォｰミｰ,,宗像徹,196.1,,,, 3,  4.4,①①①, 3, 1, モルフェソングエル,---,柴田善, 0.9, 66,  -2,   4, 8, 72.1, ⑤⑤, 3, 8,Ｃシェｰンヴァルト, 83,北村友, 0.6, 79,   7,   6, 4,  9.0,④④④
 4, 9,Ａスマｰトレモラ, 60,蛯名正, 0.3, 57,* 10, -18, 1,  2.5, ①①, 4,11, スズヨジハｰド,,穂苅寿,196.3,,,, 1,  2.6,③③③, 4, 7,Ｄコｰンドリｰ, 68,田中勝, 1.0, 67,   0,   2, 5, 13.5, ③④, 4, 1,Ｈニシノメイゲツ, 68,柴田善, 0.6, 81,   6,* 11, 5, 30.9,⑤⑤⑤
 5, 6,Ｄコスモロングロｰド, 54,津村明, 0.4, 51,   0, -10, 4,  9.5, ⑥⑤, 5, 4, シルクパナシア,,金子光,196.9,,,, 5, 17.2,⑨⑦⑦, 5, 8,Ｂパシオンルｰジュ, 70,内田博, 1.2, 65,*  3,  -2, 3,  4.4, ①①, 5, 6,Ｇブルｰマｰテル, 71,三浦皇, 1.2, 75,   4,   5, 6, 90.4,③⑦⑦
 6, 3,Ｈゴガツノカゼ, 46,江田照, 0.5, 50,  -5,* -6,13,276.4, ⑬⑪, 6, 6, カリユガ,,大庭和,198.6,,,,10, 61.7,⑧⑩⑨, 6,16,Ｋリアライズブレイク, 58,リスポ, 1.2, 65,  -1,   2, 6, 28.0, ⑦⑦, 6, 7,Ｂクｰデグレイス, 85,リスポ, 1.5, 69,   5,  -4, 2,  3.7,⑦⑥⑥
 7,14,Ｊアブラカタブラ, 45,柴田大, 0.7, 50,   1, -14, 9, 44.4, ⑦⑦, 7, 7, メジロジェラルド,,江田勇,198.7,,,, 4,  6.9,⑤⑥⑥, 7, 3,Ｆドナリサ, 65,御神本, 1.6, 61, -14,* 10, 7, 51.8, ⑯⑯, 7, 3,Ｆテラノファントム, 72,御神本, 2.1, 65,   3,  -5, 7,101.0,⑥⑧⑧
 8, 8,Ｇダイメイロｰド, 47,柴山雄, 0.9, 45,  -8,* -7,14,303.6, ⑭⑬, 8, 8, サンデｰチョウサン,,浜野谷,198.9,,,, 8, 36.2,⑦⑤⑤, 8, 9,Ａアユミチャン, 71,蛯名正, 1.9, 58,*  3,  -8, 1,  2.1, ②②, 8, 5,Ｅアサヒバロン, 76,田中勝, 3.8, 47,   8, -43, 8,161.5,⑧③③
