11年 5月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月22日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,六波羅特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃマイネマグノリア, 61,和田竜,, 55,*-12,*  2, 5,  8.0,②②①, 1,14, スリｰサンフレンチ,,林満明,,,,, 6, 17.0,①①①, 1,10,Ａフレｰルジャック, 78,岩田康,, 77,* 12,  -1, 1,  1.5, ②②, 1,13,Ｄトップゾｰン, 79,川田将,, 86,*  0,  18, 2,  4.8, ④③
 2, 7,Ａブラックアテナ, 64,岩田康, 0.4, 53, -15,*  3, 1,  2.3,⑦⑩⑧, 2, 5, ディｰプスピリット,,熊沢重,199.6,,,, 4,  9.6,④②②, 2, 8,Ｇジョウノアラミス, 64,福永祐, 0.3, 75,   6,*  4, 5, 13.9, ⑧⑦, 2,12,Ｃマコトヴォイジャｰ, 80,横山典, 0.0, 84,  -2,* 20, 3,  6.7, ③④
 3,11,Ｆヤマニンレジェｰル, 56,熊沢重, 0.5, 54, -14,*  1,12,227.8,⑩⑨⑤, 3, 3, ウィルビｰキング,,小坂忠,200.4,,,, 3,  6.6,⑨⑦⑦, 3, 6,Ｈノヴァグロリア, 63,佐藤哲, 0.3, 74,   7,   3,10, 40.8, ⑥⑥, 3, 5,Ａセイルラｰジ, 82,岩田康, 0.1, 85,  -1,  19, 1,  2.1, ⑤⑤
 4, 3,Ｌシｰエリアル, 39,野元昭, 0.6, 51,*-12,  -2,14,412.6,⑫③②, 4, 7, エルアルト,,横山義,200.7,,,, 8, 28.9,⑦④③, 4, 9,Ｆフレンチボウ, 65,和田竜, 0.5, 73,   5,*  4, 3, 12.7, ⑩⑨, 4, 6,Ｇヤマニンシャスｰル, 77,和田竜, 0.1, 88,  -4,* 25, 5, 14.9, ⑫⑪
 5, 1,Ｂビｰチパレｰド, 62,川島信, 1.2, 45, -13,  -7, 3,  7.1,③⑥⑥, 5, 9, モチ,,高田潤,201.3,,,, 1,  2.8,②③④, 5, 5,Ｉスズカファルコン, 62,国分優, 0.7, 70,   5,   1, 9, 30.5, ⑨⑧, 5, 8,Ｋオメガブルｰハワイ, 76,武豊  , 0.2, 84,  -2,  19, 4, 10.2, ⑦⑥
 6,10,Ｅサフランルｰデンス, 60,小林慎, 1.3, 45, -14,  -5, 4,  7.9,⑧⑧⑩, 6, 2, ツルマルビビッド,,植野貴,201.7,,,, 5, 15.8,⑧⑧⑥, 6, 7,Ｄカリスマミッキｰ, 71,幸英明, 0.8, 67,* 16, -21, 8, 27.4, ①①, 6, 1,Ｂフェイズシフト, 80,秋山真, 0.3, 83,  -3,  19, 8, 23.2, ⑧⑦
 7, 5, メイショウシモｰヌ,---,幸英明, 1.8, 44, -16,  -6, 8, 27.7,⑪⑪⑪, 7, 1, サトノケンオｰ,,黒岩悠,202.7,,,,12, 98.3,⑩⑨⑧, 7, 1,Ｂオンリｰザブレイヴ, 74,川田将, 0.9, 68,   9,  -8, 7, 17.5, ③③, 7, 3,Ｆスズカスパｰク, 78,小牧太, 0.5, 80,  -4,  18, 7, 19.3, ⑥⑩
 8, 9,Ｈアサヒチェリｰ, 49,国分優, 2.1, 39, -14, -13,11,182.8,⑥⑤⑦, 8, 4, ハツノボリ,,草野太,203.9,,,, 7, 25.8,⑤⑤⑤, 8, 4,Ｅゴットマスタング, 68,国分恭, 1.0, 68,   5,  -3, 6, 16.5, ⑦⑩, 8, 2,Ｉサバｰス, 77,福永祐, 0.5, 82,  -4,  18, 6, 16.3, ⑩⑨
