11年 5月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 5月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2000m 4歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,秩父特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａホワイトアッシュ, 60,戸崎圭,, 63,*  4,  -4, 1,  2.0, ②②, 1, 8, マサライト,,西谷誠,,,,, 1,  2.9,③①①, 1, 2,Ｊファストワｰカｰ, 67,横山典,, 77,*  0,* 16, 1,  1.7, ①①, 1, 9,Ｆポルカマズルカ, 76,横山典,, 77,*  1,*  6, 4,  6.4,②②②
 2, 3,Ｆココロバ, 49,三浦皇, 0.3, 58,  -1,* -1, 5, 10.3, ⑤⑤, 2,11, トキノナスティア,,浜野谷,219.4,,,, 2,  4.0,④②②, 2,11,Ｂコスモバロン, 73,柴田大, 0.8, 72,  -2,  12, 7, 23.5, ⑩⑥, 2, 1,Ｇビコｰペグｰ, 75,蛯名正, 0.0, 78,*  1,   3, 5,  6.5,①①①
 3, 4,Ｄマイネクォｰツ, 50,松岡正, 0.5, 58,*  2,  -6, 4,  8.9, ④④, 3, 7, マックスチャンプ,,今村康,220.0,,,, 9, 38.8,⑩⑩⑧, 3, 7,Ｈリックムファサ, 69,吉田豊, 1.0, 71,  -5,* 15, 5, 13.6, ⑪⑩, 3, 8,Ｄレディパレｰド, 76,戸崎圭, 0.2, 76,  -1,*  6, 1,  3.4,④⑥⑥
 4,12,Ｇタイキアンジェリカ, 48,吉田豊, 0.6, 55,  -2,* -2, 2,  6.2, ⑧⑨, 4, 1, ハクサン,,石神深,220.2,,,, 8, 18.5,⑦⑦④, 4, 8,Ｄカンタベリｰダダ, 72,三浦皇, 1.1, 70,  -2,   8, 3,  7.0, ③④, 4, 2,Ａダイアナバロｰズ, 83,北村宏, 0.4, 75,   0,   3, 2,  4.0,③④④
 5, 2,Ｃソレイユレディｰ, 51,石橋脩, 0.9, 54,  -1,  -5, 9, 33.3, ⑦⑦, 5, 9, シンボリプロキオン,,宗像徹,220.3,,,,12,121.7,⑧⑧⑦, 5, 1,Ｆエイブルブラッド, 69,石橋脩, 1.1, 70,  -4,  12, 9, 40.6, ⑦⑨, 5,10,Ｉメジロスプレンダｰ, 72,三浦皇, 0.4, 76,   0,   3, 6, 11.3,⑤⑤⑤
 6,10,Ｂコスモオルバｰス, 57,柴田大, 1.1, 52,  -3,  -5, 8, 26.1, ⑩⑩, 6, 4, アドマイヤサンサン,,北沢伸,220.6,,,, 4,  7.1,⑨⑨⑩, 6, 9,Ａダイワモｰビル, 74,北村宏, 1.2, 70,  -3,   9, 2,  5.9, ⑨⑧, 6, 6,Ｂマルラニビスティｰ, 83,田中勝, 0.5, 76,  -2,   5, 3,  5.4,⑨⑦⑧
 7,14,Ｊバトルドゥｰマ, 42,川島信, 1.9, 47,*  4, -20,10, 44.5, ①①, 7, 2, シュンリキ,,植野貴,220.7,,,, 5, 11.0,⑥⑥⑥, 7, 3,Ｇサトノピｰスピｰス, 69,後藤浩, 1.3, 69,  -8,* 17, 4, 12.3, ⑫⑫, 7, 7,Ｊオカゲサマデ, 71,石橋脩, 0.7, 73,  -2,   2,10,100.8,⑦⑧⑦
 8, 9,Ｍフレンドリｰパｰル, 40,田中勝, 1.9, 44,  -7,  -7,11, 80.1, ⑭⑬, 8,14, スリｰラスカル,,熊沢重,220.8,,,, 3,  6.0,⑤③③, 8,12,Ｉテンゲントッパ, 68,武士沢, 1.3, 68,  -2,   7,10, 79.1, ⑥⑤, 8, 3,Ｅクラヴィコｰド, 76,後藤浩, 0.8, 69,*  1,  -6, 7, 16.1,⑥③③
 9, 1,Ｈダイメイロｰド, 45,小島太, 2.0, 43, -10,  -4,14,151.1, ⑬⑭, 9,13, コｰド,,蓑島靖,220.8,,,,14,172.3,⑫⑪⑪, 9,10,Ｅニシノゲイナｰ, 70,松岡正, 1.8, 65,* -1,   2, 8, 40.6, ④②, 9, 5,Ｃトウカイライフ, 78,村田一, 0.8, 72,  -3,   3, 8, 26.7,⑩⑩⑨
10, 5,Ｋクリノミッキｰ, 41,熊沢重, 2.2, 45,  -2, -16,12,111.9, ⑨⑧,10, 3, マッハジュウクン,,高田潤,221.9,,,, 7, 15.1,②④⑤,10, 4,Ｃモンク, 72,蛯名正, 1.9, 63,  -2,   1, 6, 15.3, ②③,10, 4,Ｈゴｰルドマッシモ, 73,吉田豊, 1.0, 70,  -3,   2, 9, 64.2,⑧⑨⑩
11,11,Ｎノボプリンセス, 38,大庭和, 2.9, 36,  -7, -16,15,224.9, ⑫⑫,11,10, ハストラング,,山本康,222.2,,,,10, 54.9,⑬⑬⑫,11, 6,Ｋシンケンショウブ, 66,江田照, 2.3, 60,  -3,   0,11,188.5, ⑤⑦,,,,,,,,,,,,
12, 8,Ｉベネチアブルｰ, 44,後藤浩, 2.9, 38,   0, -25, 6, 16.7, ⑥⑥,12, 6, コウヨウウェｰブ,,五十嵐,222.5,,,, 6, 14.8,①⑤⑨,12, 5, ベニバナセンプｰ,---,戸崎圭, 2.5, 62,  -7,   6,12,400.0, ⑧⑪,,,,,,,,,,,,
13,13,Ｅレナキックス, 49,北村宏, 3.0, 37,  -4, -21, 3,  6.4, ⑪⑪,13,12, シｰスピアｰ,,白浜雄,223.2,,,,11, 95.8,⑪⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,
14,15, キタサンアメリカン,---,村田一, 3.5, 32, -13, -13,13,119.6, ⑮⑮,14, 5, ナドレ,,穂苅寿,228.2,,,,13,167.7,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
15, 7,Ｌテンジンテンニョ, 40,江田照, 4.1, 29,*  2, -38, 7, 22.7, ③③,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,
単勝:200円 複勝:06=110円 03=230円 04=220円 枠連:810円,,,,,,,,,,,,単勝:290円 複勝:08=150円 11=170円 07=860円 枠連:550円,,,,,,,,,,,,"単勝:170円 複勝:02=110円 11=370円 07=260円 枠連:1,550円",,,,,,,,,,,,"単勝:640円 複勝:09=190円 01=200円 08=150円 枠連:1,510円",,,,,,,,,,,
