11年 7月10日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,11年 7月10日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:16,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陸奥湾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａハマノヴィグラス, 56,吉田隼,, 55,  -4,  -1, 6,  9.7, ⑤④, 1,12,Ａヤマチョウフェア, 69,津村明,, 67,* -2,* 10, 1,  2.4,②②②, 1, 4,Ａセトノメジャｰ, 76,古川吉,, 78,* 12,*  4, 1,  2.8,①①①, 1, 3,Ａヒットザタｰゲット, 77,安藤勝,, 75,  10,* -5, 1,  2.1,③③②
 2, 7,Ｃディアジｰロｰズ, 55,藤岡佑, 0.0, 57,   0,  -3, 2,  3.9, ③③, 2, 2,Ｊミッキｰセブン, 51,松田大, 0.0, 72,* -2,*  9, 9, 49.9,①①①, 2, 2,Ｅジェットヴォイス, 70,岩田康, 0.5, 77,  10,*  4, 3,  6.1,⑧④③, 2,10,Ｃヴァンダライズ, 73,岩田康, 0.3, 75,   9,* -5, 2,  3.8,⑦⑦⑤
 3, 5, シンハヤブサ,---,黛弘人, 0.3, 51, -18,*  5, 7, 16.4, ⑧⑧, 3, 4,Ｂナリタムｰンライト, 63,池添謙, 0.7, 64,  -6,*  8, 3,  4.8,⑥⑥⑥, 3, 1,Ｄステキナシャチョウ, 71,荻野琢, 1.2, 73,  11,  -4, 2,  3.7,④②②, 3, 8,Ｇキイレ, 66,木幡初, 0.5, 72,   9,  -9, 5, 22.3,⑥⑥④
 4, 4,Ｄゼロス, 53,藤田伸, 0.4, 53,*  6, -11, 3,  4.6, ①①, 4, 8, シルバｰフォックス,---,岩田康, 0.7, 64,  -5,   8, 4, 10.4,⑤④③, 4,10,Ｂナンヨｰスラッガｰ, 76,吉田隼, 1.6, 69,  11,  -8, 6, 11.8,③③④, 4, 7,Ｂカリスマミッキｰ, 73,丸山元, 0.9, 66,* 11, -19, 4,  6.5,②②①
 5, 1,Ｂホｰプマイスタｰ, 56,岩田康, 0.4, 50, -12,   1, 4,  5.0, ⑦⑦, 5, 5,Ｆベルウッドサヴァン, 60,丸山元, 1.2, 60,  -6,   5, 6, 14.0,③⑤⑤, 5, 5,Ｇランドオウジ, 69,松田大, 1.8, 71,  10,  -7, 8, 25.6,⑤⑤⑤, 5, 5,Ｉスゴイ, 60,吉田隼, 1.2, 66,   3,  -7, 8, 31.6,⑩⑩⑩
 6, 8,Ｅナムラプラトｰン, 50,伊藤直, 0.6, 50,*  6, -13, 5,  8.9, ②②, 6,11,Ｃヒラボクラッキｰ, 61,古川吉, 1.4, 57,* -3,  -1, 2,  4.8,④③④, 6, 8,Ｊチリトテシャン, 63,水口優, 2.0, 66,   7,  -4,10,255.9,⑩⑨⑦, 6, 6,Ｈジパングダマシイ, 60,松田大, 1.2, 65,* 12, -25,10, 45.7,①①③
 7, 6,Ｇマスイデア, 37,柴山雄, 1.2, 40, -22,   0, 8, 80.5, ⑨⑨, 7,10,Ｈハヤブサアビオン, 54,四位洋, 1.8, 58,  -7,   4,11, 78.0,⑩⑧⑧, 7, 7,Ｆチャｰムドライフ, 69,丸田恭, 2.1, 65,   9,  -7, 7, 20.3,②⑥⑥, 7, 1,Ｅタキオンコウショウ, 68,長谷川, 1.3, 62,  10, -22, 3,  5.8,④④⑥
 8,10,Ｈカシノレインボｰ, 28,丸田恭, 1.2, 41,  -9,  -9,10,133.5, ⑥⑥, 8, 7,Ｉジャック, 54,藤岡佑, 1.9, 58,  -8,   3, 5, 13.3,⑦⑦⑦, 8, 3,Ｃダｰクフィラメント, 72,的場勇, 2.5, 67,   7,  -8, 9, 61.9,⑨⑩⑨, 8, 2,Ｊエルドラゴン, 39,的場勇, 1.3, 65,   6, -12, 7, 30.2,⑧⑨⑨
 9, 9, ネコニコバン,---,津村明, 1.9, 32, -23,  -6, 9,119.7, ⑩⑩, 9, 9,Ｄヤマニンパンケｰキ, 61,柴山雄, 1.9, 55, -10,   6, 7, 14.7,⑨⑩⑨, 9, 9,Ｉダブルイｰグル, 65,柴山雄, 2.5, 61,   8, -10, 5,  8.1,⑦⑧⑧, 9, 4,Ｄベストプロジェクト, 69,丸田恭, 1.4, 62,   6, -15, 9, 37.0,⑨⑧⑧
10, 2,Ｆモズブラッド, 49,丸山元, 2.7, 29,  -3, -25, 1,  3.6, ④⑤,10, 6,Ｅラッキｰゾｰン, 60,勝浦正, 2.2, 55, -11,   6,10, 56.5,⑪⑫⑫,10, 6,Ｈウマザイル, 67,丸山元, 6.8, 35,   9, -48, 4,  7.0,⑥⑦⑩,10, 9,Ｆビップレジェンド, 66,柴山雄, 2.1, 57,  10, -33, 6, 30.1,⑤⑤⑦
,,,,,,,,,,,,11,13, テｰオｰサクセス,---,吉田隼, 2.3, 55,  -8,   1,12,116.8,⑧⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12, 3,Ｇダイコウヒョウ, 58,丸田恭, 3.0, 48, -11,  -1, 8, 23.3,⑫⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13, 1,Ｋアドマイヤアキｰダ, 49,柴田善, 3.5, 45, -10,  -7,13,182.9,⑬⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-2),,,,,,,,,,,
"単勝:970円 複勝:03=270円 07=150円 05=450円 枠連:1,200円",,,,,,,,,,,,"単勝:240円 複勝:12=140円 02=770円 04=160円 枠連:6,990円",,,,,,,,,,,,単勝:280円 複勝:04=120円 02=150円 01=140円 枠連:740円,,,,,,,,,,,,単勝:210円 複勝:03=140円 10=140円 08=370円 枠連:350円,,,,,,,,,,,
"馬連:1,370円 ワイド:03-07=400円 03-05=1,800円 05-07=970円",,,,,,,,,,,,"馬連:5,920円 ワイド:02-12=1,670円 04-12=270円 02-04=1,990円",,,,,,,,,,,,馬連:690円 ワイド:02-04=240円 01-04=240円 01-02=450円,,,,,,,,,,,,馬連:410円 ワイド:03-10=200円 03-08=550円 08-10=750円,,,,,,,,,,,
"馬単:3,450円 3連複:5,770円 3連単:37,470円",,,,,,,,,,,,"馬単:8,800円 3連複:7,620円 3連単:47,240円",,,,,,,,,,,,"馬単:1,210円 3連複:760円 3連単:3,600円",,,,,,,,,,,,"馬単:710円 3連複:2,270円 3連単:7,080円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,巴賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａタイトロｰプ, 71,勝浦正,, 63,*  1,*  0, 1,  1.3,④①①, 1, 1, ニシノカチヅクシ,---,藤田伸,, 64, -15,* 10, 1,  3.4, ④③, 1, 4,Ｄドリｰムピｰチ, 69,岩田康,, 76,  -6,* 14, 1,  2.4, ⑦⑥, 1, 1,Ｃマイネルスタｰリｰ, 87,丹内祐,, 88,   0,* 19, 6,  8.9,⑤⑤④
 2, 4,Ｉファイアｰブレス, 46,藤岡佑, 0.1, 65,*  0,*  1, 8, 92.7,②②②, 2, 4, プリサイスファイン,---,丹内祐, 0.1, 62,*-10,   4, 2,  3.7, ①①, 2, 3,Ｃクリノスレンダｰ, 70,杉原誠, 0.2, 71,  -2,   8, 6, 14.6, ⑤④, 2, 6,Ｂブリッツェン, 88,柴田善, 0.1, 85,   1,  15, 1,  2.2,②②②
 3, 6,Ｌリアライズキング, 37,藤田伸, 0.5, 63,  -2,*  0, 4, 20.7,⑧⑥⑤, 3, 3, デビルシニスタ,---,岩田康, 0.9, 53, -23,*  6, 3,  4.5, ⑦⑦, 3, 5,Ｅバクシンミノル, 68,松田大, 0.4, 69,  -6,   9, 3,  6.7, ⑧⑦, 3, 9,Ｅストロングガルｰダ, 85,丸山元, 0.1, 81,*  5,   8, 4,  8.1,①①①
 4,11,Ｄフォｰスワン, 57,古川吉, 1.2, 55,  -1,  -6, 5, 21.1,③⑤③, 4, 6, オオタニジムチョウ,---,竹之下, 1.3, 46, -15,  -6, 7, 45.5, ⑤⑤, 4, 2,Ｂソムニア, 70,勝浦正, 0.4, 70,  -8,* 12, 4,  7.8, ⑨⑧, 4, 3,Ｄミッキｰパンプキン, 86,池添謙, 0.2, 86,  -2,* 19, 2,  4.8,⑨⑧⑦
 5,13,Ｂピｰスワンボｰイ, 61,丸山元, 1.6, 54,   0, -10, 2,  6.9,⑤④④, 5, 9, リプレイスインディ,---,吉田隼, 1.3, 46, -13,  -9, 6, 10.1, ③④, 5, 6,Ａフィドルプレイヤｰ, 75,丸山元, 0.5, 67,*  3,  -1, 2,  3.3, ①①, 5, 5,Ｇメイショウクオリア, 84,藤岡佑, 0.4, 83,   0,  14, 3,  6.0,④④③
 6, 1, ヤマカツクライム,---,岩田康, 1.7, 53,  -3,  -8, 3,  9.0,⑨⑦⑦, 6, 8, セイチャリアット,---,勝浦正, 2.0, 36,*-10, -20, 4,  5.6, ②②, 6, 1,Ｇマスタｰウィンド, 64,丸田恭, 0.6, 66,  -1,   2, 5,  8.8, ④③, 6, 4,Ａマイネルエルフ, 91,吉田隼, 0.4, 82,  -1,  13, 5,  8.6,⑦⑥⑥
 7, 5,Ｇアｰジュドｰル, 50,的場勇, 1.9, 58,  -2,  -7, 7, 88.1,⑩⑪⑨, 7, 2, エゾムサシ,---,柴山雄, 2.2, 35, -27,  -6, 9, 63.4, ⑧⑧, 7, 8,Ｆロスヴィｰタ, 66,水口優, 1.3, 58,   2, -10, 8, 41.7, ③⑤, 7, 2,Ｆシャインモｰメント, 85,柴山雄, 0.8, 80,  -3,  15, 9, 84.8,⑧⑨⑨
 8,10,Ｆメイショウフジッコ, 51,長谷川, 2.1, 51,  -3,  -9, 6, 33.5,⑪⑩⑧, 8, 5, アスコットシチｰ,---,丸山元, 2.4, 32, -20, -15, 5,  7.5, ⑥⑥, 8, 9,Ｈポルタノｰヴァ, 62,荻野琢, 1.3, 58,  -5,  -4, 9,169.7, ⑥⑨, 8, 8,Ｉエアシャトゥｰシュ, 79,岩田康, 0.8, 78,  -2,  11, 7, 19.3,⑥⑦⑧
 9, 8,Ｅカミニｰト, 52,丸田恭, 2.2, 49,  -5,  -8,10,115.0,⑫⑫⑪, 9, 7, テイエムオウショウ,---,小林徹, 2.5, 31, -28,  -9, 8, 53.0, ⑨⑨, 9, 7, ヤマノグラス,---,柴山雄, 1.8, 51,*  3, -18, 7, 23.6, ②②, 9, 7,Ｈルｰルプロスパｰ, 81,勝浦正, 0.9, 73,   1,   5, 8, 78.6,③③⑤
10, 9,Ｃビレッジタイム, 59,柴山雄, 2.7, 45,  -6,  -8,12,315.5,⑬⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11, 2,Ｈクインテッサ, 48,池添謙, 3.4, 41,  -1, -26,11,145.3,①③⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, 3,Ｊサクラオイデ, 41,丹内祐, 4.7, 36,  -3, -32,13,481.4,⑥⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, 7,Ｋベルモントベロニカ, 40,四位洋, 5.4, 29,  -3, -38, 9,105.6,⑦⑨⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,
"単勝:130円 複勝:12=110円 04=1,340円 06=360円 枠連:1,210円",,,,,,,,,,,,単勝:340円 複勝:01=140円 04=140円 03=150円 枠連:500円,,,,,,,,,,,,単勝:240円 複勝:04=120円 03=240円 05=180円 枠連:980円,,,,,,,,,,,,"単勝:890円 複勝:01=250円 06=120円 09=200円 枠連:1,250円",,,,,,,,,,,
"馬連:4,150円 ワイド:04-12=1,730円 06-12=420円 04-06=6,830円",,,,,,,,,,,,馬連:580円 ワイド:01-04=230円 01-03=270円 03-04=320円,,,,,,,,,,,,"馬連:1,260円 ワイド:03-04=470円 04-05=330円 03-05=920円",,,,,,,,,,,,"馬連:1,160円 ワイド:01-06=470円 01-09=1,070円 06-09=340円",,,,,,,,,,,
